	Class ID	Original term	Term	T2T best score	Ontology	found_term	TermID
151	http://purl.obolibrary.org/obo/CHMO_0000796	high-performance liquid chromatography-mass spectrometry	high-performance liquid chromatography-mass spectrometry surveillance	0.89	ncit	High Performance Liquid Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C103513
152	http://purl.obolibrary.org/obo/CHMO_0000796	high-performance liquid chromatography-mass spectrometry	high-performance liquid chromatography-mass spectrometry	0.985	ncit	High Performance Liquid Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C103513
165	http://purl.obolibrary.org/obo/MMO_0000288	chromatography	chromatography	0.991	ncit	Chromatography	http://purl.obolibrary.org/obo/NCIT_C16431
168	http://purl.obolibrary.org/obo/CHMO_0001000	chromatography	chromatography	0.991	ncit	Chromatography	http://purl.obolibrary.org/obo/NCIT_C16431
183	http://purl.obolibrary.org/obo/MMO_0000003	electrocardiography	electrocardiography	0.991	ncit	Electrocardiography	http://purl.obolibrary.org/obo/NCIT_C38053
189	http://www.ebi.ac.uk/efo/EFO_0004327	electrocardiography	electrocardiography	0.991	ncit	Electrocardiography	http://purl.obolibrary.org/obo/NCIT_C38053
195	http://purl.obolibrary.org/obo/MMO_0000845	affinity chromatography	affinity chromatography	0.989	ncit	Affinity Chromatography	http://purl.obolibrary.org/obo/NCIT_C16432
198	http://purl.obolibrary.org/obo/CHMO_0001006	affinity chromatography	affinity chromatography	0.989	ncit	Affinity Chromatography	http://purl.obolibrary.org/obo/NCIT_C16432
210	http://purl.obolibrary.org/obo/MMO_0000098	immunoassay	immunoassay	0.986	ncit	Immunoenzyme Procedure	http://purl.obolibrary.org/obo/NCIT_C16714
211	http://purl.obolibrary.org/obo/MMO_0000098	immunoassay	immunoassay process	0.771	ncit	Immunoenzyme Procedure	http://purl.obolibrary.org/obo/NCIT_C16714
212	http://purl.obolibrary.org/obo/MMO_0000098	immunoassay	immunoassay diagnostic	0.713	ncit	Immunology Test	http://purl.obolibrary.org/obo/NCIT_C16723
213	http://www.bioassayontology.org/bao#BAO_0000129	immunoassay	immunoassay	0.986	ncit	Immunoenzyme Procedure	http://purl.obolibrary.org/obo/NCIT_C16714
214	http://www.bioassayontology.org/bao#BAO_0000129	immunoassay	immunoassay process	0.771	ncit	Immunoenzyme Procedure	http://purl.obolibrary.org/obo/NCIT_C16714
215	http://www.bioassayontology.org/bao#BAO_0000129	immunoassay	immunoassay diagnostic	0.713	ncit	Immunology Test	http://purl.obolibrary.org/obo/NCIT_C16723
276	http://purl.obolibrary.org/obo/MMO_0000170	osmometry	osmometry assessment	0.704	ncit	Assessment	http://purl.obolibrary.org/obo/NCIT_C25217
279	http://purl.obolibrary.org/obo/CHMO_0001082	osmometry	osmometry assessment	0.704	ncit	Assessment	http://purl.obolibrary.org/obo/NCIT_C25217
303	http://purl.obolibrary.org/obo/MMO_0000534	mass spectrometry	mass spectrometry	0.988	ncit	Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C17156
306	http://purl.obolibrary.org/obo/CHMO_0000470	mass spectrometry	mass spectrometry	0.988	ncit	Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C17156
312	http://www.bioassayontology.org/bao#BAO_0000055	mass spectrometry	mass spectrometry	0.988	ncit	Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C17156
327	http://purl.obolibrary.org/obo/MMO_0000503	cell proliferation assay	cell proliferation assay	0.972	ncit	Cell Proliferation Assay	http://purl.obolibrary.org/obo/NCIT_C116553
330	http://www.bioassayontology.org/bao#BAO_0002805	cell proliferation assay	cell proliferation assay	0.972	ncit	Cell Proliferation Assay	http://purl.obolibrary.org/obo/NCIT_C116553
333	http://purl.obolibrary.org/obo/OBI_0000891	cell proliferation assay	cell proliferation assay	0.972	ncit	Cell Proliferation Assay	http://purl.obolibrary.org/obo/NCIT_C116553
372	http://purl.obolibrary.org/obo/MMO_0000470	gas-solid chromatography	gas-solid chromatography	0.871	ncit	Gas Chromatography	http://purl.obolibrary.org/obo/NCIT_C30014
378	http://purl.obolibrary.org/obo/CHMO_0001015	gas-solid chromatography	gas-solid chromatography	0.871	ncit	Gas Chromatography	http://purl.obolibrary.org/obo/NCIT_C30014
381	http://purl.obolibrary.org/obo/MMO_0000496	histology	histology diagnostic	0.715	ncit	X-Ray Imaging	http://purl.obolibrary.org/obo/NCIT_C38101
384	http://purl.obolibrary.org/obo/MMO_0000073	radioimmunoassay	radioimmunoassay	0.98	ncit	Radioimmunoassay	http://purl.obolibrary.org/obo/NCIT_C17057
385	http://purl.obolibrary.org/obo/MMO_0000073	radioimmunoassay	radioimmunoassay identification	0.716	ncit	Radioimmunoassay	http://purl.obolibrary.org/obo/NCIT_C17057
386	http://purl.obolibrary.org/obo/MMO_0000073	radioimmunoassay	radioimmunoassay tests	0.856	ncit	Radioimmunoassay	http://purl.obolibrary.org/obo/NCIT_C17057
387	http://www.bioassayontology.org/bao#BAO_0002428	radioimmunoassay	radioimmunoassay	0.98	ncit	Radioimmunoassay	http://purl.obolibrary.org/obo/NCIT_C17057
388	http://www.bioassayontology.org/bao#BAO_0002428	radioimmunoassay	radioimmunoassay identification	0.716	ncit	Radioimmunoassay	http://purl.obolibrary.org/obo/NCIT_C17057
389	http://www.bioassayontology.org/bao#BAO_0002428	radioimmunoassay	radioimmunoassay tests	0.856	ncit	Radioimmunoassay	http://purl.obolibrary.org/obo/NCIT_C17057
390	http://purl.obolibrary.org/obo/MMO_0000094	spirometry	spirometry design	0.775	ncit	Spirometry	http://purl.obolibrary.org/obo/NCIT_C85397
391	http://purl.obolibrary.org/obo/MMO_0000094	spirometry	spirometry assessment	0.693	ncit	Spirometry	http://purl.obolibrary.org/obo/NCIT_C85397
392	http://purl.obolibrary.org/obo/MMO_0000094	spirometry	spirometry system	0.775	ncit	Spirometry	http://purl.obolibrary.org/obo/NCIT_C85397
399	http://purl.obolibrary.org/obo/MMO_0000536	gas chromatography-mass spectrometry	gas chromatography-mass spectrometry	0.989	ncit	Gas Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C111203
400	http://purl.obolibrary.org/obo/MMO_0000536	gas chromatography-mass spectrometry	gas chromatography-mass spectrometry design	0.914	ncit	Gas Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C111203
402	http://purl.obolibrary.org/obo/CHMO_0000497	gas chromatography-mass spectrometry	gas chromatography-mass spectrometry	0.989	ncit	Gas Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C111203
403	http://purl.obolibrary.org/obo/CHMO_0000497	gas chromatography-mass spectrometry	gas chromatography-mass spectrometry design	0.914	ncit	Gas Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C111203
429	http://purl.obolibrary.org/obo/MMO_0000535	liquid chromatography-mass spectrometry	liquid chromatography-mass spectrometry	0.987	ncit	Liquid Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C18475
431	http://purl.obolibrary.org/obo/MMO_0000535	liquid chromatography-mass spectrometry	liquid chromatography-mass spectrometry administration	0.843	ncit	Liquid Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C18475
432	http://purl.obolibrary.org/obo/CHMO_0000524	liquid chromatography-mass spectrometry	liquid chromatography-mass spectrometry	0.987	ncit	Liquid Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C18475
434	http://purl.obolibrary.org/obo/CHMO_0000524	liquid chromatography-mass spectrometry	liquid chromatography-mass spectrometry administration	0.843	ncit	Liquid Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C18475
451	http://purl.obolibrary.org/obo/MMO_0000217	scale	scale design	0.725	ncit	Design	http://purl.obolibrary.org/obo/NCIT_C43358
465	http://purl.obolibrary.org/obo/MMO_0000368	hemocytometer	hemocytometer	0.974	ncit	Hemocytometer	http://purl.obolibrary.org/obo/NCIT_C78807
501	http://purl.obolibrary.org/obo/MMO_0000736	inductively coupled plasma mass spectrometry	inductively coupled plasma mass spectrometry testing	0.904	ncit	Inductively-Coupled Plasma Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C62328
502	http://purl.obolibrary.org/obo/MMO_0000736	inductively coupled plasma mass spectrometry	inductively coupled plasma mass spectrometry method	0.915	ncit	Inductively-Coupled Plasma Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C62328
503	http://purl.obolibrary.org/obo/MMO_0000736	inductively coupled plasma mass spectrometry	inductively coupled plasma mass spectrometry system	0.914	ncit	Inductively-Coupled Plasma Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C62328
504	http://purl.obolibrary.org/obo/CHMO_0000538	inductively coupled plasma mass spectrometry	inductively coupled plasma mass spectrometry testing	0.904	ncit	Inductively-Coupled Plasma Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C62328
505	http://purl.obolibrary.org/obo/CHMO_0000538	inductively coupled plasma mass spectrometry	inductively coupled plasma mass spectrometry method	0.915	ncit	Inductively-Coupled Plasma Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C62328
506	http://purl.obolibrary.org/obo/CHMO_0000538	inductively coupled plasma mass spectrometry	inductively coupled plasma mass spectrometry system	0.914	ncit	Inductively-Coupled Plasma Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C62328
516	http://purl.obolibrary.org/obo/MMO_0000100	gel electrophoresis	gel electrophoresis identification	0.741	ncit	Gel Electrophoresis	http://purl.obolibrary.org/obo/NCIT_C18091
517	http://purl.obolibrary.org/obo/MMO_0000100	gel electrophoresis	gel electrophoresis	0.988	ncit	Electrophoresis Gel	http://purl.obolibrary.org/obo/NCIT_C45307
518	http://purl.obolibrary.org/obo/MMO_0000100	gel electrophoresis	gel electrophoresis detection	0.813	ncit	Electrophoresis Gel	http://purl.obolibrary.org/obo/NCIT_C45307
519	http://purl.obolibrary.org/obo/CHMO_0001021	gel electrophoresis	gel electrophoresis identification	0.741	ncit	Gel Electrophoresis	http://purl.obolibrary.org/obo/NCIT_C18091
520	http://purl.obolibrary.org/obo/CHMO_0001021	gel electrophoresis	gel electrophoresis	0.988	ncit	Electrophoresis Gel	http://purl.obolibrary.org/obo/NCIT_C45307
521	http://purl.obolibrary.org/obo/CHMO_0001021	gel electrophoresis	gel electrophoresis detection	0.813	ncit	Electrophoresis Gel	http://purl.obolibrary.org/obo/NCIT_C45307
522	http://purl.obolibrary.org/obo/MMO_0000441	bioassay	bioassay sampling	0.693	ncit	Bioassay	http://purl.obolibrary.org/obo/NCIT_C16341
523	http://purl.obolibrary.org/obo/MMO_0000441	bioassay	bioassay diagnostic	0.734	ncit	Diagnosis	http://purl.obolibrary.org/obo/NCIT_C15220
524	http://purl.obolibrary.org/obo/MMO_0000441	bioassay	bioassay	0.979	ncit	Bioassay	http://purl.obolibrary.org/obo/NCIT_C16341
531	http://www.bioassayontology.org/bao#BAO_0000015	bioassay	bioassay sampling	0.693	ncit	Bioassay	http://purl.obolibrary.org/obo/NCIT_C16341
532	http://www.bioassayontology.org/bao#BAO_0000015	bioassay	bioassay diagnostic	0.734	ncit	Diagnosis	http://purl.obolibrary.org/obo/NCIT_C15220
533	http://www.bioassayontology.org/bao#BAO_0000015	bioassay	bioassay	0.979	ncit	Bioassay	http://purl.obolibrary.org/obo/NCIT_C16341
540	http://purl.obolibrary.org/obo/MMO_0000469	gas chromatography	gas chromatography method	0.852	ncit	Gas Chromatography	http://purl.obolibrary.org/obo/NCIT_C30014
541	http://purl.obolibrary.org/obo/MMO_0000469	gas chromatography	gas chromatography	0.991	ncit	Gas Chromatography	http://purl.obolibrary.org/obo/NCIT_C30014
555	http://purl.obolibrary.org/obo/CHMO_0001002	gas chromatography	gas chromatography method	0.852	ncit	Gas Chromatography	http://purl.obolibrary.org/obo/NCIT_C30014
556	http://purl.obolibrary.org/obo/CHMO_0001002	gas chromatography	gas chromatography	0.991	ncit	Gas Chromatography	http://purl.obolibrary.org/obo/NCIT_C30014
558	http://purl.obolibrary.org/obo/MMO_0000714	microplate reader	microplate reader study	0.858	ncit	Microplate Reader	http://purl.obolibrary.org/obo/NCIT_C70661
559	http://purl.obolibrary.org/obo/MMO_0000714	microplate reader	microplate reader method	0.839	ncit	Microplate Reader	http://purl.obolibrary.org/obo/NCIT_C70661
560	http://purl.obolibrary.org/obo/MMO_0000714	microplate reader	microplate reader process	0.82	ncit	Microplate Reader	http://purl.obolibrary.org/obo/NCIT_C70661
564	http://purl.obolibrary.org/obo/OBI_0001058	microplate reader	microplate reader study	0.858	ncit	Microplate Reader	http://purl.obolibrary.org/obo/NCIT_C70661
565	http://purl.obolibrary.org/obo/OBI_0001058	microplate reader	microplate reader method	0.839	ncit	Microplate Reader	http://purl.obolibrary.org/obo/NCIT_C70661
566	http://purl.obolibrary.org/obo/OBI_0001058	microplate reader	microplate reader process	0.82	ncit	Microplate Reader	http://purl.obolibrary.org/obo/NCIT_C70661
576	http://purl.obolibrary.org/obo/MMO_0000712	centrifugation	centrifugation administration	0.714	ncit	Administration	http://purl.obolibrary.org/obo/NCIT_C25409
579	http://purl.obolibrary.org/obo/OBI_0302886	centrifugation	centrifugation administration	0.714	ncit	Administration	http://purl.obolibrary.org/obo/NCIT_C25409
636	http://purl.obolibrary.org/obo/CHMO_0002607	micromanipulator	micromanipulator	0.67	ncit	Nanomanipulator	http://purl.obolibrary.org/obo/NCIT_C62331
639	http://purl.obolibrary.org/obo/CHMO_0001640	filtration	filtration	0.932	ncit	Filtration	http://purl.obolibrary.org/obo/NCIT_C16583
641	http://purl.obolibrary.org/obo/CHMO_0001640	filtration	filtration approach	0.695	ncit	Filtration	http://purl.obolibrary.org/obo/NCIT_C16583
642	http://purl.obolibrary.org/obo/CHMO_0000974	open-tubular column	open-tubular column analysis	0.56	ncit	Analysis	http://purl.obolibrary.org/obo/NCIT_C25391
643	http://purl.obolibrary.org/obo/CHMO_0000974	open-tubular column	open-tubular column diagnostic	0.6	ncit	Diagnosis	http://purl.obolibrary.org/obo/NCIT_C15220
644	http://purl.obolibrary.org/obo/CHMO_0000974	open-tubular column	open-tubular column design	0.501	ncit	Design	http://purl.obolibrary.org/obo/NCIT_C43358
645	http://purl.obolibrary.org/obo/CHMO_0000975	packed column	packed column assessment	0.654	ncit	Assessment	http://purl.obolibrary.org/obo/NCIT_C25217
647	http://purl.obolibrary.org/obo/CHMO_0000975	packed column	packed column design	0.566	ncit	Design	http://purl.obolibrary.org/obo/NCIT_C43358
648	http://purl.obolibrary.org/obo/CHMO_0000979	reflectron	reflectron detection	0.703	ncit	Reflectron	http://purl.obolibrary.org/obo/NCIT_C70697
649	http://purl.obolibrary.org/obo/CHMO_0000979	reflectron	reflectron assessment	0.686	ncit	Physical Examination	http://purl.obolibrary.org/obo/NCIT_C20989
650	http://purl.obolibrary.org/obo/CHMO_0000979	reflectron	reflectron diagnostic	0.697	ncit	Diagnosis	http://purl.obolibrary.org/obo/NCIT_C15220
657	http://purl.obolibrary.org/obo/OBI_0302893	storage	storage	0.982	ncit	Storage	http://purl.obolibrary.org/obo/NCIT_C60824
666	http://purl.obolibrary.org/obo/BFO_0000015	process	process	0.982	ncit	Human Cells, Tissues, and Cellular and Tissue-Based Products Processing	http://purl.obolibrary.org/obo/NCIT_C133285
667	http://purl.obolibrary.org/obo/BFO_0000015	process	process design	0.72	ncit	Human Cells, Tissues, and Cellular and Tissue-Based Products Processing	http://purl.obolibrary.org/obo/NCIT_C133285
696	http://purl.obolibrary.org/obo/CHMO_0001688	precipitation	precipitation study	0.797	ncit	Protein Precipitation	http://purl.obolibrary.org/obo/NCIT_C113065
698	http://purl.obolibrary.org/obo/CHMO_0001688	precipitation	precipitation	0.938	ncit	Protein Precipitation	http://purl.obolibrary.org/obo/NCIT_C113065
699	http://purl.obolibrary.org/obo/CHMO_0002820	concentration	concentration	0.965	ncit	Able to Concentrate	http://purl.obolibrary.org/obo/NCIT_C105891
702	http://purl.obolibrary.org/obo/CHMO_0000960	ion source	ion source sampling	0.682	ncit	Ionization Source	http://purl.obolibrary.org/obo/NCIT_C47927
703	http://purl.obolibrary.org/obo/CHMO_0000960	ion source	ion source tests	0.752	ncit	Ionization Source	http://purl.obolibrary.org/obo/NCIT_C47927
705	http://purl.obolibrary.org/obo/BFO_0000023	role	role	0.444	ncit	Dietary Oleic Acid Measurement	http://purl.obolibrary.org/obo/NCIT_C184436
714	http://purl.obolibrary.org/obo/OBCS_0000058	sensitivity	sensitivity	0.87	ncit	Low Sensitivity Method	http://purl.obolibrary.org/obo/NCIT_C179821
716	http://purl.obolibrary.org/obo/OBCS_0000058	sensitivity	sensitivity method	0.905	ncit	Low Sensitivity Method	http://purl.obolibrary.org/obo/NCIT_C179821
717	http://purl.obolibrary.org/obo/CHMO_0002793	sensor	sensor	0.974	ncit	Sensor Device	http://purl.obolibrary.org/obo/NCIT_C50166
718	http://purl.obolibrary.org/obo/CHMO_0002793	sensor	sensor sampling	0.729	ncit	Sampling	http://purl.obolibrary.org/obo/NCIT_C25662
722	http://purl.obolibrary.org/obo/CHEBI_35255	chloroform	chloroform testing	0.633	ncit	Testing	http://purl.obolibrary.org/obo/NCIT_C15336
723	http://purl.obolibrary.org/obo/CHMO_0002808	gas chromatography oven	gas chromatography oven	0.891	ncit	Gas Chromatography	http://purl.obolibrary.org/obo/NCIT_C30014
724	http://purl.obolibrary.org/obo/CHMO_0002808	gas chromatography oven	gas chromatography oven system	0.786	ncit	Gas Chromatography	http://purl.obolibrary.org/obo/NCIT_C30014
728	http://purl.obolibrary.org/obo/CHMO_0002740	analyte role	analyte role sampling	0.626	ncit	Sampling	http://purl.obolibrary.org/obo/NCIT_C25662
729	http://purl.obolibrary.org/obo/CHMO_0002742	elution	elution detection	0.723	ncit	Detection	http://purl.obolibrary.org/obo/NCIT_C16210
731	http://purl.obolibrary.org/obo/CHMO_0002742	elution	elution review	0.667	ncit	Review	http://purl.obolibrary.org/obo/NCIT_C42729
732	http://purl.obolibrary.org/obo/CHMO_0002743	matrix	matrix	0.853	ncit	Matrix for Implantation Matrix Dosage Form	http://purl.obolibrary.org/obo/NCIT_C149646
733	http://purl.obolibrary.org/obo/CHMO_0002743	matrix	matrix detection	0.73	ncit	Biological Detection Test	http://purl.obolibrary.org/obo/NCIT_C174330
735	http://purl.obolibrary.org/obo/CHMO_0002196	activation	activation surveillance	0.786	ncit	Patient Observation	http://purl.obolibrary.org/obo/NCIT_C15722
736	http://purl.obolibrary.org/obo/CHMO_0002196	activation	activation	0.94	ncit	Activation	http://purl.obolibrary.org/obo/NCIT_C64382
738	http://purl.obolibrary.org/obo/OBI_0001032	light emission device	light emission device review	0.552	ncit	Medical Device	http://purl.obolibrary.org/obo/NCIT_C16830
739	http://purl.obolibrary.org/obo/OBI_0001032	light emission device	light emission device approach	0.533	ncit	Approach	http://purl.obolibrary.org/obo/NCIT_C176499
740	http://purl.obolibrary.org/obo/OBI_0001032	light emission device	light emission device	0.584	ncit	Light Emitting Diode Device	http://purl.obolibrary.org/obo/NCIT_C49923
780	http://purl.obolibrary.org/obo/CHMO_0000110	phase contrast microscopy	phase contrast microscopy	0.988	ncit	Phase-Contrast Microscopy	http://purl.obolibrary.org/obo/NCIT_C16857
781	http://purl.obolibrary.org/obo/CHMO_0000110	phase contrast microscopy	phase contrast microscopy sampling	0.851	ncit	Phase-Contrast Microscopy	http://purl.obolibrary.org/obo/NCIT_C16857
792	http://purl.obolibrary.org/obo/CHMO_0010011	personal protective equipment	personal protective equipment	0.957	ncit	Personal Protective Equipment	http://purl.obolibrary.org/obo/NCIT_C173748
793	http://purl.obolibrary.org/obo/CHMO_0010011	personal protective equipment	personal protective equipment tests	0.879	ncit	Personal Protective Equipment	http://purl.obolibrary.org/obo/NCIT_C173748
801	http://purl.obolibrary.org/obo/CHMO_0001378	infiltration	infiltration	0.757	ncit	Filtration	http://purl.obolibrary.org/obo/NCIT_C16583
802	http://purl.obolibrary.org/obo/CHMO_0001378	infiltration	infiltration system	0.618	ncit	Filtration	http://purl.obolibrary.org/obo/NCIT_C16583
804	http://purl.obolibrary.org/obo/CHMO_0001099	transmission electron microscope	transmission electron microscope	0.959	ncit	Transmission Electron Microscope	http://purl.obolibrary.org/obo/NCIT_C78813
806	http://purl.obolibrary.org/obo/CHMO_0001099	transmission electron microscope	transmission electron microscope tests	0.892	ncit	Transmission Electron Microscope	http://purl.obolibrary.org/obo/NCIT_C78813
811	http://purl.obolibrary.org/obo/CHMO_0000104	bright-field microscopy	bright-field microscopy diagnostic	0.794	ncit	Diagnostic Microscopy	http://purl.obolibrary.org/obo/NCIT_C116505
849	http://purl.obolibrary.org/obo/CHEBI_60027	polymer	polymer identification	0.792	ncit	Biologic Entity Classification	http://purl.obolibrary.org/obo/NCIT_C164374
851	http://purl.obolibrary.org/obo/CHEBI_60027	polymer	polymer sampling	0.705	ncit	Sampling	http://purl.obolibrary.org/obo/NCIT_C25662
852	http://purl.obolibrary.org/obo/CHMO_0002244	detector	detector sampling	0.69	ncit	Detector	http://purl.obolibrary.org/obo/NCIT_C41276
853	http://purl.obolibrary.org/obo/CHMO_0002244	detector	detector study	0.765	ncit	Detector	http://purl.obolibrary.org/obo/NCIT_C41276
854	http://purl.obolibrary.org/obo/CHMO_0002244	detector	detector process	0.712	ncit	Detector Device	http://purl.obolibrary.org/obo/NCIT_C49916
855	http://purl.obolibrary.org/obo/CHMO_0000575	tandem mass spectrometry	tandem mass spectrometry	0.986	ncit	Tandem Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C18142
885	http://purl.obolibrary.org/obo/OBI_0000661	ELISA	ELISA sampling	0.757	ncit	Sampling	http://purl.obolibrary.org/obo/NCIT_C25662
887	http://purl.obolibrary.org/obo/OBI_0000661	ELISA	ELISA detection	0.755	ncit	Biological Detection Test	http://purl.obolibrary.org/obo/NCIT_C174330
888	http://purl.obolibrary.org/obo/CHMO_0001810	synchrotron	synchrotron	0.967	ncit	Synchrotron	http://purl.obolibrary.org/obo/NCIT_C48205
889	http://purl.obolibrary.org/obo/CHMO_0001810	synchrotron	synchrotron design	0.778	ncit	Synchrotron	http://purl.obolibrary.org/obo/NCIT_C48205
912	http://purl.obolibrary.org/obo/CHMO_0000061	flow cytometry	flow cytometry	0.987	ncit	Flow Cytometry	http://purl.obolibrary.org/obo/NCIT_C16585
913	http://purl.obolibrary.org/obo/CHMO_0000061	flow cytometry	flow cytometry review	0.816	ncit	Flow Cytometry	http://purl.obolibrary.org/obo/NCIT_C16585
914	http://purl.obolibrary.org/obo/CHMO_0000061	flow cytometry	flow cytometry system	0.816	ncit	Flow Cytometry	http://purl.obolibrary.org/obo/NCIT_C16585
929	http://purl.obolibrary.org/obo/OBI_0000070	assay	assay identification	0.832	ncit	Material Identification	http://purl.obolibrary.org/obo/NCIT_C138993
948	http://purl.obolibrary.org/obo/CHMO_0002636	superconducting quantum interference device	superconducting quantum interference device	0.969	ncit	Superconducting Quantum Interference Device	http://purl.obolibrary.org/obo/NCIT_C124066
950	http://purl.obolibrary.org/obo/CHMO_0002636	superconducting quantum interference device	superconducting quantum interference device sampling	0.878	ncit	Superconducting Quantum Interference Device	http://purl.obolibrary.org/obo/NCIT_C124066
964	http://purl.obolibrary.org/obo/CHEBI_50796	nanotube	nanotube tests	0.608	ncit	Laboratory Procedure	http://purl.obolibrary.org/obo/NCIT_C25294
965	http://purl.obolibrary.org/obo/CHEBI_50796	nanotube	nanotube system	0.648	ncit	Device System	http://purl.obolibrary.org/obo/NCIT_C50311
967	http://purl.obolibrary.org/obo/OBI_0000185	imaging assay	imaging assay surveillance	0.676	ncit	Surveillance	http://purl.obolibrary.org/obo/NCIT_C15719
972	http://purl.obolibrary.org/obo/CHMO_0010003	protective clothing	protective clothing	0.509	ncit	Protective Face Mask	http://purl.obolibrary.org/obo/NCIT_C173747
977	http://purl.obolibrary.org/obo/CHMO_0001528	dissection	dissection administration	0.748	ncit	Administration	http://purl.obolibrary.org/obo/NCIT_C25409
978	http://purl.obolibrary.org/obo/CHMO_0001522	dialysis	dialysis	0.994	ncit	Dialysis Method of Administration	http://purl.obolibrary.org/obo/NCIT_C149433
979	http://purl.obolibrary.org/obo/CHMO_0001522	dialysis	dialysis analysis	0.915	ncit	Dialysis	http://purl.obolibrary.org/obo/NCIT_C15221
981	http://purl.obolibrary.org/obo/CHMO_0002232	spectrophotometer	spectrophotometer analysis	0.813	ncit	Spectrophotometer	http://purl.obolibrary.org/obo/NCIT_C62333
982	http://purl.obolibrary.org/obo/CHMO_0002232	spectrophotometer	spectrophotometer surveillance	0.755	ncit	Spectrophotometer	http://purl.obolibrary.org/obo/NCIT_C62333
