	count	term	ror_id	ror_label	priority	exact_match?
86	1019	Academy of Finland	https://ror.org/05k73zm37	Academy of Finland	3	True
87	1015	Coordenação de Aperfeiçoamento de Pessoal de Nível Superior	https://ror.org/00x0ma614		3	False
88	1003	National Institute of Diabetes and Digestive and Kidney Diseases	https://ror.org/00adh9b73	National Institute of Diabetes and Digestive and Kidney Diseases	3	True
89	991	National Natural Science Foundation of China (National Science Foundation of China)	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	False
90	982	National Institute of Mental Health	https://ror.org/04t0s7x83	National Institute of Mental Health	3	True
91	943	Ministry of Education, Culture, Sports, Science and Technology	https://ror.org/048rj2z13	Ministry of Education, Culture, Sports, Science and Technology	3	True
92	927	DER - Obstetric and Pediatric Pharmacology and Therapeutics Branch (OPPTB)	https://ror.org/01gnpsq58	Canadian Society of Pharmacology and Therapeutics	3	False
93	885	Fundação de Amparo à Pesquisa do Estado de São Paulo	https://ror.org/02ddkpn78	Fundação de Amparo à Pesquisa do Estado de São Paulo	3	True
94	882	National Institute of Neurological Disorders and Stroke	https://ror.org/01s5ya894	National Institute of Neurological Disorders and Stroke	3	True
95	881	Intramural EPA	https://ror.org/03tns0030	Environmental Protection Agency	3	False
96	867	Narodowe Centrum Nauki	https://ror.org/03ha2q922	Narodowe Centrum Nauki	3	True
97	853	National Center for Advancing Translational Sciences	https://ror.org/04pw6fb54	National Center for Advancing Translational Sciences	3	True
98	827	Horizon 2020 Framework Programme	https://ror.org/0235g7a39	Framework	3	False
99	800	Russian Science Foundation	https://ror.org/03y2gwe85	Russian Science Foundation	3	True
100	785	U.S. Department of Energy	https://ror.org/01bj3aw27	U.S. Department of Energy	3	True
101	782	Swedish Research Council	https://ror.org/03zttf063	Swedish Research Council	3	True
102	773	ZonMw	https://ror.org/01yaj9a77	Netherlands Organisation for Health Research and Development	3	False
103	760	Eunice Kennedy Shriver National Institute of Child Health and Human Development	https://ror.org/04byxyr05	Eunice Kennedy Shriver National Institute of Child Health and Human Development	3	True
104	754	Natural Sciences and Engineering Research Council	https://ror.org/01h531d29	Natural Sciences and Engineering Research Council	3	True
105	726	Fundação para a Ciência e a Tecnologia	https://ror.org/00snfqn58	Foundation for Science and Technology	3	False
106	725	National Key R&amp;D Program of China	Error	No items	3	False
107	717	Natural Science Foundation of Guangdong Province	https://ror.org/0493m8x04	Guangdong Province Women and Children Hospital	3	False
108	703	MEXT | Japan Society for the Promotion of Science	https://ror.org/00hhkn466	Japan Society for the Promotion of Science	3	False
109	701	Ministry of Science and Technology of the People&apos;s Republic of China	Error	No items	3	False
110	694	American Heart Association	https://ror.org/013kjyp64	American Heart Association	3	True
111	677	Horizon 2020	https://ror.org/0254y9b08		3	False
112	675	National Institute on Drug Abuse	https://ror.org/00fq5cm18	National Institute on Drug Abuse	3	True
113	667	CSRD VA	https://ror.org/033z00p21	Centre for Social Research and Development	3	False
114	665	World Health Organization	https://ror.org/01f80g185	World Health Organization	3	True
115	655	Ministerio de Economía y Competitividad	https://ror.org/01ccvt456	Ministry of Labour and Social Economy	3	False
116	625	Chinese Academy of Sciences	https://ror.org/034t30j35	Chinese Academy of Sciences	3	True
117	610	U.S. Department of Defense	https://ror.org/0447fe631	U.S. Department of Defense	3	True
118	606	Ministerio de Ciencia e Innovación	https://ror.org/05r0vyz12	Ministerio de Ciencia e Innovación	3	True
119	602	Israel Science Foundation	https://ror.org/04sazxf24	Israel Science Foundation	3	True
120	602	National Institute of Food and Agriculture	https://ror.org/05qx3fv49	National Institute of Food and Agriculture	3	True
121	594	National Library of Medicine	https://ror.org/0259fwx54	ZB MED - Information Centre for Life Sciences	3	False
122	574	National Aeronautics and Space Administration	https://ror.org/027ka1x80	National Aeronautics and Space Administration	3	True
123	561	H2020 Marie Skłodowska-Curie Actions	https://ror.org/015h0qg34	Maria Curie-Skłodowska University	3	False
124	557	National Institute of Environmental Health Sciences	https://ror.org/00j4k1h63	National Institute of Environmental Health Sciences	3	True
125	555	Takeda	https://ror.org/04hjbmv12	Takeda	3	True
126	549	Natural Science Foundation of Jiangsu Province	https://ror.org/004svx814	Government of Jiangsu Province	3	False
127	546	Science and Engineering Research Board	https://ror.org/03ffdsr55	Science and Engineering Research Board	3	True
128	544	Consejo Nacional de Ciencia y Tecnología	https://ror.org/00aejfc65	Consejo Nacional de Ciencia y Tecnología	3	True
129	531	Villum Fonden	https://ror.org/05nqkay65	Villum Fonden	3	True
130	523	U.S. Department of Agriculture	https://ror.org/001ke5c68	Department of Agriculture	3	False
131	515	HSRD VA	https://ror.org/05rsv9s98	United States Department of Veterans Affairs	3	False
132	508	Chief Scientist Office	https://ror.org/01613vh25	Chief Scientist Office	3	True
133	502	JSPS KAKENHI	https://ror.org/00hhkn466	Japan Society for the Promotion of Science	3	False
134	499	Ministerio de Ciencia, Innovación y Universidades	https://ror.org/05r0vyz12	Ministerio de Ciencia, Innovación y Universidades	3	True
135	493	Russian Foundation for Basic Research	https://ror.org/02mh1ke95	Russian Foundation for Basic Research	3	True
136	487	Natural Science Foundation of Zhejiang Province	https://ror.org/04aqat463	Zhejiang Provincial Natural Science Foundation	3	False
137	484	NCCDPHP CDC HHS	https://ror.org/021rths28	National Center for Chronic Disease Prevention and Health Promotion	2	False
138	480	Fonds Wetenschappelijk Onderzoek	https://ror.org/03qtxy027	Research Foundation - Flanders	3	False
139	480	Royal Society	https://ror.org/03wnrjx87	Royal Society	3	True
140	475	Intramural NIST DOC	https://ror.org/01qc33y56	National Institute of Sports and Tourism of Turkmenistan	3	False
141	472	Japan Science and Technology Agency	https://ror.org/00097mb19	Japan Science and Technology Agency	3	True
142	465	Ministerio de Economía, Industria y Competitividad, Gobierno de España	https://ror.org/038jjxj40	Government of Spain	3	False
143	452	Versus Arthritis	https://ror.org/02jkpm469	Versus Arthritis	3	True
144	451	Ministero della Salute	https://ror.org/00789fa95	Ministero della Salute	3	True
145	449	Max-Planck-Gesellschaft	https://ror.org/055pgv213		3	False
146	444	Foundation for the National Institutes of Health	https://ror.org/00k86s890	Foundation for the National Institutes of Health	3	True
147	442	NIADDK NIH HHS	https://ror.org/020qj1b53	Helping Hand Society	1	False
148	441	Academy of Medical Sciences	https://ror.org/00c489v88	Academy of Medical Sciences	3	True
149	441	National Research Foundation	https://ror.org/03cpyc314	National Research Foundation	3	True
150	431	Seventh Framework Programme	https://ror.org/0235g7a39	Framework	3	False
151	429	Associazione Italiana per la Ricerca sul Cancro	https://ror.org/02g2x7380	Associazione Italiana per la Ricerca sul Cancro	3	True
152	429	National Key R&D Program of China	Error	No items	3	False
153	423	Norges Forskningsråd	https://ror.org/00epmv149	Norges Forskningsråd	3	True
154	420	Science and Technology Commission of Shanghai Municipality	https://ror.org/03kt66j61	Science and Technology Commission of Shanghai Municipality	3	True
155	419	Knut och Alice Wallenbergs Stiftelse	https://ror.org/004hzzk67	Knut and Alice Wallenberg Foundation	3	False
156	414	MEXT | Japan Society for the Promotion of Science (JSPS)	https://ror.org/00hhkn466	Japan Society for the Promotion of Science	3	False
157	414	Natural Science Foundation of China	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	False
158	410	Ministry of Education	https://ror.org/03m01yf64	Ministry of Education	3	True
159	407	U.S. Department of Veterans Affairs	https://ror.org/05rsv9s98	U.S. Department of Veterans Affairs	3	True
160	406	Ministry of Science and Technology	https://ror.org/02b207r52	Ministry of Science and Technology	3	True
161	403	National Basic Research Program of China	https://ror.org/00jkr8r49	Program for the Development of Basic Sciences	3	False
162	399	Rosetrees Trust	https://ror.org/04e3zg361	Rosetrees Trust	3	True
163	395	Takeda Science Foundation	https://ror.org/02y123g31	Takeda Science Foundation	3	True
164	394	Leverhulme Trust	https://ror.org/012mzw131	Leverhulme Trust	3	True
165	389	National Council for Scientific and Technological Development	https://ror.org/03swz6y49	National Council for Scientific and Technological Development	3	True
166	385	HHS | National Institutes of Health	https://ror.org/01cwqze88	National Institutes of Health	2	False
167	385	RRD VA	https://ror.org/01dmjt679	Roessingh Research and Development	3	False
168	380	German Research Foundation	https://ror.org/018mejw64	German Research Foundation	3	True
169	380	Pfizer	https://ror.org/03x2xt559		3	False
170	377	Natural Science Foundation of Shandong Province	https://ror.org/03jjt8440	Government of Shandong Province	3	False
171	375	Science Foundation Ireland	https://ror.org/00qvjvf51	Catalyst	3	False
172	374	European Union	https://ror.org/019w4f821	European Union	3	True
173	371	FDA HHS	https://ror.org/034xvzb47	United States Food and Drug Administration	2	False
174	368	American Cancer Society	https://ror.org/02e463172	American Cancer Society	3	True
175	368	Czech Science Foundation	https://ror.org/01pv73b02	Czech Science Foundation	3	True
176	364	NIOSH CDC HHS	https://ror.org/0502a2655	National Institute for Occupational Safety and Health	2	False
177	363	Korea Health Industry Development Institute	https://ror.org/00fdzyk40	Korea Health Industry Development Institute	3	True
178	351	University Grants Commission	https://ror.org/04p800546	University Grants Commission	3	True
179	350	Ministry of Health and Welfare	https://ror.org/00vxgjw72	Ministry of Health and Welfare	3	True
180	350	National Institute of Arthritis and Musculoskeletal and Skin Diseases	https://ror.org/006zn3t30	National Institute of Arthritis and Musculoskeletal and Skin Diseases	3	True
181	349	United States Department of Agriculture	https://ror.org/01na82s61	United States Department of Agriculture	3	True
182	345	AstraZeneca	https://ror.org/04n8fbz89		3	False
183	338	ACL HHS	https://ror.org/019sw1443	Association for Computational Linguistics	2	False
184	334	NSF	https://ror.org/03t3x0x69	NSF	3	True
185	334	National Institute of Child Health and Human Development	https://ror.org/00s0b8a75	Institute of Human Development, Child and Youth Health	3	False
186	332	National Eye Institute	https://ror.org/03wkg3b53	National Eye Institute	3	True
187	329	Alberta Innovates	https://ror.org/00ynafe15	Alberta Innovates	3	True
188	328	American Heart Association-American Stroke Association	https://ror.org/013kjyp64	American Heart Association	3	False
189	328		Error	request parse issue	3	False
190	327	Centers for Disease Control and Prevention	https://ror.org/042twtr12	Centers for Disease Control and Prevention	3	True
191	327	Fundação para a Ciência e Tecnologia	https://ror.org/00snfqn58	Foundation for Science and Technology	3	False
192	325	Ministero dell’Istruzione, dell’Università e della Ricerca	https://ror.org/0341vw408	Ministry of Universities and Research	3	False
193	321	The Francis Crick Institute	https://ror.org/04tnbqb63	The Francis Crick Institute	3	True
194	319	National Institute of Health	https://ror.org/02hssy432	National Institute of Health	3	True
195	318	Centre National de la Recherche Scientifique	https://ror.org/02feahw73	Centre National de la Recherche Scientifique	3	True
196	316	Alexander von Humboldt-Stiftung	https://ror.org/012kf4317	Alexander von Humboldt Foundation	3	False
197	316	DFG	https://ror.org/05v8e1c02	DFG	3	True
198	314	Intramural NASA	https://ror.org/027ka1x80	National Aeronautics and Space Administration	3	False
199	312	The Danish Cancer Society	https://ror.org/03ytt7k16	Danish Cancer Society	3	False
200	309	Ministry of Science and Technology of the People's Republic of China	https://ror.org/027s68j25	Ministry of Science and Technology of the People's Republic of China	3	True
201	306	National Institute on Alcohol Abuse and Alcoholism	https://ror.org/02jzrsm59	National Institute on Alcohol Abuse and Alcoholism	3	True
202	305	Division of Chemistry	https://ror.org/01ar8dr59	Division of Chemistry	3	True
203	305	Grantová Agentura České Republiky	https://ror.org/01pv73b02	Czech Science Foundation	3	False
204	305	National Institute of Biomedical Imaging and Bioengineering	https://ror.org/00372qc85	National Institute of Biomedical Imaging and Bioengineering	3	True
205	303	Ministero dell'Istruzione, dell'Università e della Ricerca	https://ror.org/0341vw408	Ministry of Universities and Research	3	False
206	301	Cancer Foundation Finland sr	https://ror.org/0113k5861	Cancer Foundation Finland	3	False
207	301	U.S. Department of Health &amp; Human Services | National Institutes of Health	Error	No items	3	False
208	295	São Paulo Research Foundation	https://ror.org/02ddkpn78	São Paulo Research Foundation	3	True
209	288	Deutsche Forschungsgemeinschaft (DFG)	https://ror.org/018mejw64	German Research Foundation	3	False
210	282	NASA	https://ror.org/027ka1x80	NASA	3	True
211	281	Department of Science and Technology, Ministry of Science and Technology	https://ror.org/02b207r52	Ministry of Science and Technology	3	False
212	280	Canada Research Chairs	https://ror.org/0517h6h17	Canada Research Chairs	3	True
213	274	Council of Scientific and Industrial Research	https://ror.org/021wm7p51	Council of Scientific and Industrial Research	3	True
214	274	NCI	https://ror.org/05tpaf310	NCI	3	True
215	273	National Science Foundation of China	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	False
216	273	Welch Foundation	https://ror.org/00np6vq88	Welch Foundation	3	True
217	272	the National Key Research and Development Program of China	https://ror.org/024zcda42		3	False
218	271	Simons Foundation	https://ror.org/01cmst727	Simons Foundation	3	True
219	270	Fondation pour la Recherche Médicale	https://ror.org/04w6kn183	Fondation pour la Recherche Médicale	3	True
220	270	Generalitat de Catalunya	https://ror.org/01bg62x04	Generalitat de Catalunya	3	True
221	268	National Science Center	https://ror.org/03ha2q922	National Science Center	3	True
222	266	Coordenação de Aperfeicoamento de Pessoal de Nível Superior	https://ror.org/00x0ma614	Coordenação de Aperfeicoamento de Pessoal de Nível Superior	3	True
223	265	Cancer Prevention and Research Institute of Texas	https://ror.org/0003xa228	Cancer Prevention and Research Institute of Texas	3	True
224	265	Cancerfonden	https://ror.org/0527jb766	Cancerfonden	3	True
225	265	Office of Naval Research	https://ror.org/01awap711	Office of Naval Research	3	True
226	264	The National Natural Science Foundation of China	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	False
227	257	United States Agency for International Development	https://ror.org/01n6e6j62	United States Agency for International Development	3	True
228	255	Javna Agencija za Raziskovalno Dejavnost RS	https://ror.org/059bp8k51	The Slovenian Research and Innovation Agency	3	False
229	254	Fondo Nacional de Desarrollo Científico y Tecnológico	https://ror.org/016nafs32	Fondo Nacional de Desarrollo Científico y Tecnológico	3	True
230	253	HHS | NIH | National Institute of Allergy and Infectious Diseases	https://ror.org/043z4tv69	National Institute of Allergy and Infectious Diseases	1	False
231	253	Worldwide Cancer Research	https://ror.org/031tfbz57	Worldwide Cancer Research	3	True
232	251	The Research Council of Norway	https://ror.org/00epmv149	The Research Council of Norway	3	True
233	250	European Social Fund	https://ror.org/04sc7sk27	European Social Observatory	3	False
234	249	National Human Genome Research Institute	https://ror.org/00baak391	National Human Genome Research Institute	3	True
235	247	CCR NIH HHS	https://ror.org/020qj1b53	Helping Hand Society	1	False
236	242	Federal Ministry of Education and Research	https://ror.org/04pz7b180	Federal Ministry of Education and Research	3	True
237	242	Italian Ministry of Health	https://ror.org/03mcwam86	Ministry of Health	3	False
238	239	NNF Center for Basic Metabolic Research	https://ror.org/02s32fb62	Novo Nordisk Foundation Center for Basic Metabolic Research	3	False
239	238	Deutsche Forschungsgemeinschaft (German Research Foundation)	https://ror.org/018mejw64	German Research Foundation	3	False
240	238	HHS | NIH | National Institute of General Medical Sciences	https://ror.org/04q48ey07	National Institute of General Medical Sciences	1	False
241	238	National Nature Science Foundation of China	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	False
242	236	National Natural Science Foundation of China (NSFC)	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	False
243	236	National Research Foundation of Korea (NRF)	https://ror.org/013aysd81	National Research Foundation of Korea	3	False
244	236	National Science Foundation (NSF)	https://ror.org/021nxhr62	U.S. National Science Foundation	3	False
245	235	National Institute of Dental and Craniofacial Research	https://ror.org/004a2wv92	National Institute of Dental and Craniofacial Research	3	True
246	233	Deutscher Akademischer Austauschdienst	https://ror.org/039djdh30	Deutscher Akademischer Austauschdienst	3	True
247	233	U.S. Department of Health &amp; Human Services | NIH | National Cancer Institute	Error	No items	1	False
248	232	Priority Academic Program Development of Jiangsu Higher Education Institutions	https://ror.org/02hwjhx76	Universities Norway	3	False
249	230	Human Frontier Science Program	https://ror.org/02ebx7v45	International Human Frontier Science Program Organization	3	False
250	229	Projekt DEAL	https://ror.org/04qk3kg25	Defence Electronics Application Laboratory	3	False
251	228	Foundation for Innovative Research Groups of the National Natural Science Foundation of China	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	False
252	224	Natural Science Foundation of Shanghai	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	False
253	224	Science and Technology Facilities Council	https://ror.org/057g20z61	Science and Technology Facilities Council	3	True
254	223	PEPFAR	https://ror.org/025g6sc95	PEPFAR	3	True
255	222	Division of Intramural Research, National Institute of Allergy and Infectious Diseases	https://ror.org/043z4tv69	National Institute of Allergy and Infectious Diseases	3	False
256	222	European Cooperation in Science and Technology	https://ror.org/01bstzn19	European Cooperation in Science and Technology	3	True
257	222	Ministry of Science, ICT and Future Planning	https://ror.org/01wpjm123	Ministry of Science and ICT	3	False
258	220	Ministry of Health, Labour and Welfare	https://ror.org/03mwa7s65	Ministry of Health Labour and Welfare	3	False
259	218	Canada Foundation for Innovation	https://ror.org/000az4664	Canada Foundation for Innovation	3	True
260	217	Department of Biotechnology , Ministry of Science and Technology	https://ror.org/0380vn954	Department of Information Technology, Biotechnology and Science and Technology	3	False
261	217	KWF Kankerbestrijding	https://ror.org/0368jnd28	Dutch Cancer Society	3	False
262	217	National Key Research and Development Program	https://ror.org/00ew61678	Strategic Environmental Research and Development Program	3	False
263	216	GlaxoSmithKline	https://ror.org/03fe56089		3	False
264	216	Gordon and Betty Moore Foundation	https://ror.org/006wxqw41	Gordon and Betty Moore Foundation	3	True
265	216	NNF Center for Biosustainability	https://ror.org/01bbdh545	The Nurture Nature Foundation	3	False
266	216	Natural Science Foundation of Beijing Municipality	https://ror.org/02zha5019	Beijing Museum of Natural History	3	False
267	215	Comunidad de Madrid	https://ror.org/040scgh75	Community of Madrid	3	False
268	215	national natural science foundation of china	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	False
269	214	Bill &amp; Melinda Gates Foundation	Error	No items	3	False
270	213	Max Planck Society	https://ror.org/01hhn8329	Max Planck Society	3	True
271	212	EPA	https://ror.org/03tns0030	EPA	3	True
272	211	China Agriculture Research System	https://ror.org/04m2bcn74		3	False
273	210	Agencia Estatal de Investigación	https://ror.org/003x0zc53	Agencia Estatal de Investigación	3	True
274	209	Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro	https://ror.org/03kk0s825	Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro	3	True
275	208	Indian Council of Medical Research	https://ror.org/0492wrx28	Indian Council of Medical Research	3	True
276	207	John E. Fogarty International Center for Advanced Study in the Health Sciences	https://ror.org/02xey9a22	Fogarty International Center	3	False
277	207	Ministry of Science and Higher Education of the Russian Federation	https://ror.org/00ghqgy32	The Ministry of Education and Science of the Russian Federation	3	False
278	207	Svenska Forskningsrådet Formas	https://ror.org/00epmv149	The Research Council of Norway	3	False
279	207	United States Department of Energy	https://ror.org/01bj3aw27	United States Department of Energy	3	True
280	206	Alzheimers Research UK	https://ror.org/01gycsq30	Epilepsy Research UK	3	False
281	205	National Breast Cancer Foundation	https://ror.org/0120ky124	National Breast Cancer Foundation	3	True
282	204	Lundbeckfonden	https://ror.org/03hz8wd80	Lundbeck Foundation	3	False
283	203	Basic Energy Sciences	https://ror.org/05mg91w61	Office of Basic Energy Sciences	3	False
284	201	Rural Development Administration	https://ror.org/03xs9yg50	Rural Development Administration	3	True
285	200	CDC HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	2	False
286	199	NIH Office of the Director	https://ror.org/00fj8a872	Office of the Director	1	False
287	199	Research Grants Council, University Grants Committee	https://ror.org/00djwmt25	University Grants Committee	3	False
288	197	Department of Health | National Health and Medical Research Council	https://ror.org/011kf5r70	National Health and Medical Research Council	3	False
