	count	term	ror_id	ror_label	priority	exact_match?	Manual review?	Good?	ror_id	ror_label	notes
739	66	Univerzita Karlova v Praze	https://ror.org/024d6js02	Charles University	3	FALSE	Yes	Yes			
346	154	CGH CDC HHS	https://ror.org/05vxnmp88	Cheil General Hospital and Women's Healthcare Center	2	FALSE	Yes	No	https://ror.org/02e5dc168	Center for Global Health	
132	508	Chief Scientist Office	https://ror.org/01613vh25	Chief Scientist Office	3	TRUE	Yes	Yes			
733	66	National Science and Technology Major Project of China	https://ror.org/03sfb9j07	China University of Science and Technology	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/501100018537	National Science and Technology Major Project	
681	71	Chulalongkorn University	https://ror.org/028wp3y58	Chulalongkorn University	3	TRUE	Yes	Yes			
29	5455	CIHR	https://ror.org/01gavpb45	CIHR	3	TRUE	Yes	Yes			
531	95	Young Scientists Fund	https://ror.org/00r06ws05	Club Young Scientists	3	FALSE	Yes	No			
328	166	CNPq	https://ror.org/03swz6y49	CNPq	3	TRUE	Yes	Yes			
575	86	CNRS	https://ror.org/04zzdbj59	CNRS	3	TRUE	Yes	No	https://ror.org/02feahw73	Centre National de la Recherche Scientifique	
513	98	"Council of Scientific and Industrial Research, India"	https://ror.org/021wm7p51	Council of Scientific and Industrial Research	3	FALSE	Yes	Yes			
615	80	DER - Pediatric Trauma and Critical Illness Branch (PTCIB)	https://ror.org/01bhvb147	Critical Illness & Trauma Foundation	3	FALSE	Yes	No	https://ror.org/04byxyr05	Eunice Kennedy Shriver National Institute of Child Health and Human Development	
673	73	Hrvatska Zaklada za Znanost	https://ror.org/03n51vw80	Croatian Science Foundation	3	FALSE	Yes	Yes			
343	157	CAMS Innovation Fund for Medical Sciences	https://ror.org/058qzvd72	Cyprus Arbitration & Mediation Centre	3	FALSE	Yes	No	https://ror.org/02drdmm93	Chinese Academy of Medical Sciences & Peking Union Medical College	
203	305	Grantová Agentura České Republiky	https://ror.org/01pv73b02	Czech Science Foundation	3	FALSE	Yes	Yes			
811	58	Vedecká Grantová Agentúra MŠVVaŠ SR a SAV	https://ror.org/01pv73b02	Czech Science Foundation	3	FALSE	Yes	Yes			
878	52	Kræftens Bekæmpelse	https://ror.org/03ytt7k16	Danish Cancer Society	3	FALSE	Yes	Yes			
661	74	Det Frie Forskningsråd	https://ror.org/02regzg56	"Danish Council for Independent Research, Society and Business"	3	FALSE	Yes	No	https://ror.org/05svhj534	Danish Council for Independent Research	
487	105	Danmarks Grundforskningsfond	https://ror.org/00znyv691	Danish National Research Foundation	3	FALSE	Yes	Yes			
250	229	Projekt DEAL	https://ror.org/04qk3kg25	Defence Electronics Application Laboratory	3	FALSE	Yes	No	https://www.wikidata.org/wiki/Q52187209	Projekt DEAL	
130	523	U.S. Department of Agriculture	https://ror.org/001ke5c68	Department of Agriculture	3	FALSE	Yes	No	https://ror.org/01na82s61	United States Department of Agriculture	
908	50	"Department of Atomic Energy, Government of India"	https://ror.org/02m388s04	Department of Atomic Energy	3	FALSE	Yes	Yes			
905	51	US Department of Energy	https://ror.org/02m388s04	Department of Atomic Energy	3	FALSE	Yes	No	https://ror.org/01bj3aw27	United States Department of Energy	
687	70	Department of Biotechnology	https://ror.org/03tjsyq23	Department of Biotechnology	3	TRUE	Yes	Yes			
966	46	Agentschap voor Innovatie door Wetenschap en Technologie	https://ror.org/01g94x362	"Department of Economy, Sciency & Innovation"	3	FALSE	Yes	No	https://ror.org/01antkr91	Agentschap voor Innovatie door Wetenschap en Technologie	
653	75	Department of Education and Training | Australian Research Council	https://ror.org/02sx0vk32	Department of Education and Training	3	FALSE	Yes	Yes			
909	50	Department of Education and Training | Australian Research Council (ARC)	https://ror.org/02sx0vk32	Department of Education and Training	3	FALSE	Yes	Yes			
33	4252	Department of Health	https://ror.org/05rfgws98	Department of Health	3	TRUE	Yes	No			"Refers to Department of Health for various countries, cannot assign"
316	173	U.S. Department of Health and Human Services	https://ror.org/05p26gw61	Department of Health and Human Services	3	FALSE	Yes	No	https://ror.org/033jnv181	United States Department of Health and Human Services	
260	217	"Department of Biotechnology , Ministry of Science and Technology"	https://ror.org/0380vn954	"Department of Information Technology, Biotechnology and Science and Technology"	3	FALSE	Yes	Yes			
397	133	"Department of Biotechnology, Ministry of Science and Technology"	https://ror.org/0380vn954	"Department of Information Technology, Biotechnology and Science and Technology"	3	FALSE	Yes	Yes			
326	168	"Department of Biotechnology, Ministry of Science and Technology, India"	https://ror.org/0380vn954	"Department of Information Technology, Biotechnology and Science and Technology"	3	FALSE	Yes	Yes			
620	79	Department of Science and Technology	https://ror.org/0101xrq71	Department of Science and Technology	3	TRUE	Yes	No			"Too generic, can refer to multiple countries"
518	97	Natural Science Foundation of Anhui Province	https://ror.org/01e70gy59	Department of Science and Technology of Anhui Province	3	FALSE	Yes	Partial			
459	112	Natural Science Foundation of Liaoning Province	https://ror.org/02f09cx53	Department of Science and Technology of Liaoning Province	3	FALSE	Yes	Partial			
894	51	Department of Veterans Affairs	https://ror.org/05dbx6743	Department of Veterans Affairs	3	TRUE	Yes	No	https://ror.org/05rsv9s98	United States Department of Veterans Affairs	
952	47	EC | European Regional Development Fund	https://ror.org/01rkhv978	Development Fund	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/501100008530	European Regional Development Fund	
77	1126	European Regional Development Fund	https://ror.org/01rkhv978	Development Fund	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/501100008530	European Regional Development Fund	
197	316	DFG	https://ror.org/05v8e1c02	DFG	3	TRUE	Yes	No	https://ror.org/018mejw64	Deutsche Forschungsgemeinschaft	
844	54	Division of Biological Infrastructure	https://ror.org/04qn9mx93	Division of Biological Infrastructure	3	TRUE	Yes	Yes			
995	45	"Division of Cancer Epidemiology and Genetics, National Cancer Institute"	https://ror.org/00vkwep27	Division of Cancer Epidemiology and Genetics	3	FALSE	Yes	No	https://ror.org/040gcmg81	National Cancer Institute	
595	83	"Division of Chemical, Bioengineering, Environmental, and Transport Systems"	https://ror.org/0471zv972	"Division of Chemical, Bioengineering, Environmental, and Transport Systems"	3	TRUE	Yes	Yes			
202	305	Division of Chemistry	https://ror.org/01ar8dr59	Division of Chemistry	3	TRUE	Yes	Yes			
497	102	Division of Environmental Biology	https://ror.org/03g87he71	Division of Environmental Biology	3	TRUE	Yes	Yes			
602	82	Division of Graduate Education	https://ror.org/00whkrf32	Division of Graduate Education	3	TRUE	Yes	Yes			
642	76	Division of Integrative Organismal Systems	https://ror.org/01rvays47	Division of Integrative Organismal Systems	3	TRUE	Yes	Yes			
419	127	Division of Materials Research	https://ror.org/01pc7k308	Division of Materials Research	3	TRUE	Yes	Yes			
773	61	Division of Molecular and Cellular Biosciences	https://ror.org/002jdaq33	Division of Molecular & Cellular Biosciences	3	FALSE	Yes	Yes			
482	107	ReumaFonds	https://ror.org/05dr3r825	Dutch Arthritis Foundation	3	FALSE	Yes	Yes			
261	217	KWF Kankerbestrijding	https://ror.org/0368jnd28	Dutch Cancer Society	3	FALSE	Yes	Yes			
539	93	Hartstichting	https://ror.org/05nxhgm70	Dutch Heart Foundation	3	FALSE	Yes	Yes			
49	1924	Dutch Research Council (NWO)	https://ror.org/04jsz6e67	Dutch Research Council	3	FALSE	Yes	Yes			
436	122	Natural Science Foundation of Hunan Province	https://ror.org/05ckg3w11	Education Department of Hunan Province	3	FALSE	Yes	No			
499	102	Natural Science Foundation of Hunan Province	https://ror.org/05ckg3w11	Education Department of Hunan Province	3	FALSE	Yes	No			
712	68	Natural Science Foundation of Jiangxi Province	https://ror.org/04d8xwh61	Education Department of Jiangxi Province	3	FALSE	Yes	No			
481	107	RCUK | Engineering and Physical Sciences Research Council	https://ror.org/0439y7842	Engineering and Physical Sciences Research Council	3	FALSE	Yes	Yes			
463	110	RCUK | Engineering and Physical Sciences Research Council (EPSRC)	https://ror.org/0439y7842	Engineering and Physical Sciences Research Council	3	FALSE	Yes	Yes			
484	106	Health and Medical Research Fund	https://ror.org/03szkq031	Environment and Health Fund	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/501100005847	Health and Medical Research Fund	
280	206	Alzheimers Research UK	https://ror.org/01gycsq30	Epilepsy Research UK	3	FALSE	Yes	No	https://ror.org/02ymzm013	Alzheimer�s Research UK	
442	117	EPSRC	https://ror.org/0439y7842	EPSRC	3	TRUE	Yes	Yes			
663	74	Eesti Teadusagentuur	https://ror.org/00jjeja18	Estonian Research Council	3	FALSE	Yes	Yes			
765	62	Eidgenössische Technische Hochschule Zürich	https://ror.org/05a28rw58	ETH Zurich	3	FALSE	Yes	Yes			
628	78	European Union’s Horizon 2020 research and innovation programme	https://ror.org/042k5q325	European Metrology Programme for Innovation and Research	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/100010661	Horizon 2020 Framework Programme	
911	50	European Union's Horizon 2020 research and innovation programme	https://ror.org/042k5q325	European Metrology Programme for Innovation and Research	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/100010661	Horizon 2020 Framework Programme	
233	250	European Social Fund	https://ror.org/04sc7sk27	European Social Observatory	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/501100004895	European Social Fund	
698	69	Office of Public Health Research	https://ror.org/01qtc5416	Federal Office of Public Health	3	FALSE	Yes	No	https://ror.org/02ggwpx62	National Center for Emerging and Zoonotic Infectious Diseases	Based on mapping of  funding IC codes
551	91	Suomen Kulttuurirahasto	https://ror.org/027xav248	Finnish Cultural Foundation	3	FALSE	Yes	Yes			
962	47	Suomen Lääketieteen Säätiö	https://ror.org/0593mby10	Finnish Medical Foundation	3	FALSE	Yes	Yes			
47	2074	FIC NIH HHS	https://ror.org/02xey9a22	Fogarty International Center	1	FALSE	Yes	Yes			
105	726	Fundação para a Ciência e a Tecnologia	https://ror.org/00snfqn58	Foundation for Science and Technology	3	FALSE	Yes	Yes			
191	327	Fundação para a Ciência e Tecnologia	https://ror.org/00snfqn58	Foundation for Science and Technology	3	FALSE	Yes	Yes			
329	166	EC | Horizon 2020 Framework Programme	https://ror.org/0235g7a39	Framework	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/100010661	Horizon 2020 Framework Programme	
476	107	EC | Horizon 2020 Framework Programme (EU Framework Programme for Research and Innovation H2020)	https://ror.org/0235g7a39	Framework	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/100010661	Horizon 2020 Framework Programme	
98	827	Horizon 2020 Framework Programme	https://ror.org/0235g7a39	Framework	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/100010661	Horizon 2020 Framework Programme	
150	431	Seventh Framework Programme	https://ror.org/0235g7a39	Framework	3	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/100011102	Seventh Framework Programme	
548	91	French National Research Agency	https://ror.org/04tqhj682	French Development Agency	3	FALSE	Yes	No	https://ror.org/00rbzpz17	Agence Nationale de la Recherche	
322	170	Natural Science Foundation of Fujian Province	https://ror.org/05eg09m10	Fujian Province Science and Technology Association	3	FALSE	Yes	No			
709	68	Earmarked Fund for China Agriculture Research System	https://ror.org/03q83t159	Fund for Scientific Research	3	FALSE	Yes	No			
305	182	Fonds De La Recherche Scientifique - FNRS	https://ror.org/03q83t159	Fund for Scientific Research	3	FALSE	Yes	Yes			
895	51	FWO	https://ror.org/03qtxy027	FWO	3	TRUE	Yes	Yes			
368	141	Ligue Contre le Cancer	https://ror.org/00byz6s18	Geneva League Against Cancer	3	FALSE	Yes	No	https://ror.org/00rkrv905	La Ligue Contre le Cancer	
659	75	Studienstiftung des Deutschen Volkes	https://ror.org/05xwwfy96	German National Academic Foundation	3	FALSE	Yes	Yes			
864	53	Goddard Space Flight Center NASA	https://ror.org/0171mag52	Goddard Space Flight Center	3	FALSE	Yes	Yes			
438	121	Gouvernement du Canada | Canadian Institutes of Health Research	https://ror.org/010q4q527	Government of Canada	3	FALSE	Yes	No	https://ror.org/01gavpb45	Canadian Institutes of Health Research	
876	52	Gouvernement du Canada | Canadian Institutes of Health Research (Instituts de Recherche en Santé du Canada)	https://ror.org/010q4q527	Government of Canada	3	FALSE	Yes	No	https://ror.org/01gavpb45	Canadian Institutes of Health Research	
299	190	Gouvernement du Canada | Natural Sciences and Engineering Research Council of Canada	https://ror.org/010q4q527	Government of Canada	3	FALSE	Yes	No	https://ror.org/01h531d29	Natural Sciences and Engineering Research Council	
994	45	"Department of Biotechnology, Government of India"	https://ror.org/036h6g940	Government of India	3	FALSE	Yes	No	https://ror.org/03tjsyq23	Department of Biotechnology	
501	102	"The government of Aomori Prefecture, Japan."	https://ror.org/03ftb9350	Government of Japan	3	FALSE	Yes	No			
126	549	Natural Science Foundation of Jiangsu Province	https://ror.org/004svx814	Government of Jiangsu Province	3	FALSE	Yes	Partial			
883	52	Natural Science Foundation of Jilin Province	https://ror.org/02vt3b359	Government of Jilin Province	3	FALSE	Yes	Partial			
170	377	Natural Science Foundation of Shandong Province	https://ror.org/03jjt8440	Government of Shandong Province	3	FALSE	Yes	Partial			
854	54	Taishan Scholar Foundation of Shandong Province	https://ror.org/03jjt8440	Government of Shandong Province	3	FALSE	Yes	Partial			
142	465	"Ministerio de Economía, Industria y Competitividad, Gobierno de España"	https://ror.org/038jjxj40	Government of Spain	3	FALSE	Yes	No	https://ror.org/034900433	"Ministry of Economy, Industry and Competitiveness"	
454	114	Science and Technology Planning Project of Guangdong Province	https://ror.org/058xdps70	Guangdong Province Science and Technology Library	3	FALSE	Yes	No			
107	717	Natural Science Foundation of Guangdong Province	https://ror.org/0493m8x04	Guangdong Province Women and Children Hospital	3	FALSE	Yes	No			
735	66	Shenzhen Science and Technology Innovation Commission	https://ror.org/05t4nb462	"Guangzhou Science, Technology and Innovation Commission"	3	FALSE	Yes	No			
941	48	Guangzhou Municipal Science and Technology Project	https://ror.org/01dan7p53	Guangzhou Vocational College of Science and Technology	3	FALSE	Yes	No			
784	60	Guangzhou Science and Technology Program key projects	https://ror.org/01dan7p53	Guangzhou Vocational College of Science and Technology	3	FALSE	Yes	No			
767	62	Science and Technology Program of Guangzhou	https://ror.org/01dan7p53	Guangzhou Vocational College of Science and Technology	3	FALSE	Yes	No			
537	93	Department of Defense	https://ror.org/0195p5j91	Hawaii Department of Defense	3	FALSE	Yes	No			
285	200	CDC HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	2	FALSE	Yes	No	https://ror.org/042twtr12	Centers for Disease Control and Prevention	
65	1373	Intramural CDC HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	2	FALSE	Yes	No	https://ror.org/042twtr12	Centers for Disease Control and Prevention	
8	15316	Intramural NIH HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	1	FALSE	Yes	No	https://ror.org/01cwqze88	National Institutes of Health	
1	32199	NCI NIH HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	1	FALSE	Yes	No	https://ror.org/040gcmg81	National Cancer Institute	
20	7369	NCRR NIH HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	1	FALSE	Yes	No	https://data.crossref.org/fundingdata/funder/10.13039/100000097	National Center for Research Resources	
19	8123	NIH HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	1	FALSE	Yes	No	https://ror.org/01cwqze88	National Institutes of Health	
32	4363	PHS HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	2	FALSE	Yes	No	https://ror.org/05xf94514	United States Public Health Service	
557	90	Natural Science Foundation of Shaanxi Province	https://ror.org/056wz7x19	Health Commission of Shaanxi Province	3	FALSE	Yes	No			
897	51	Health Technology Assessment Programme	https://ror.org/05qs5k564	Health Technology Assessment Agency	3	FALSE	Yes				
540	93	Heart and Stroke Foundation of Canada	https://ror.org/00qbpyp73	Heart and Stroke Foundation	3	FALSE	Yes	Yes			
235	247	CCR NIH HHS	https://ror.org/020qj1b53	Helping Hand Society	1	FALSE	Yes	No			
355	148	HHS | NIH | National Cancer Institute	https://ror.org/020qj1b53	Helping Hand Society	1	FALSE	Yes	No	https://ror.org/040gcmg81	National Cancer Institute	
672	73	HHS | NIH | National Cancer Institute (NCI)	https://ror.org/020qj1b53	Helping Hand Society	1	FALSE	Yes	No	https://ror.org/040gcmg81	National Cancer Institute	
665	74	NCPDCID CDC HHS	https://ror.org/020qj1b53	Helping Hand Society	2	FALSE	Yes	No	https://ror.org/042twtr12	Centers for Disease Control and Prevention	
12	12161	NIA NIH HHS	https://ror.org/020qj1b53	Helping Hand Society	1	FALSE	Yes	No	https://ror.org/049v75w11	National Institute on Aging	
147	442	NIADDK NIH HHS	https://ror.org/020qj1b53	Helping Hand Society	1	FALSE	Yes	No	https://www.wikidata.org/wiki/Q131419965	"National Institute of Arthritis, Diabetes, and Digestive and Kidney Diseases "	
827	56	ODCDC CDC HHS	https://ror.org/020qj1b53	Helping Hand Society	2	FALSE	Yes	No	https://ror.org/042twtr12	Centers for Disease Control and Prevention	
942	48	"Higher Education Commision, Pakistan"	https://ror.org/0267nkd62	Higher Education Academy	3	FALSE	Yes	No	https://ror.org/038y3sz68	Higher Education Commission	
845	54	"Higher Education Commission, Pakistan"	https://ror.org/038y3sz68	Higher Education Commission	3	FALSE	Yes	Yes			
75	1214	Fundamental Research Funds for the Central Universities	https://ror.org/02s0c9732	Hope Funds for Cancer Research	3	FALSE	Yes	No			
366	143	the Fundamental Research Funds for the Central Universities	https://ror.org/02s0c9732	Hope Funds for Cancer Research	3	FALSE	Yes	No			
614	81	Natural Science Foundation of Hebei Province	https://ror.org/0000yrh61	Hospital of Hebei Province	3	FALSE	Yes	No			
369	141	Natural Science Foundation of Hubei Province	https://ror.org/03323pz98	Hubei Provincial Women and Children's Hospital	3	FALSE	Yes	No			
565	89	Magyar Tudományos Akadémia	https://ror.org/02ks8qq67	Hungarian Academy of Sciences	3	FALSE	Yes				
54	1720	DER - Maternal and Pediatric Infectious Disease Branch (MPIDB)	https://ror.org/015vn2982	Infectious Disease Consultants	3	FALSE	Yes				
564	89	Innovationsfonden	https://ror.org/00daj4111	Innovation Fund Denmark	3	FALSE	Yes				
185	334	National Institute of Child Health and Human Development	https://ror.org/00s0b8a75	"Institute of Human Development, Child and Youth Health"	3	FALSE	Yes				
249	230	Human Frontier Science Program	https://ror.org/02ebx7v45	International Human Frontier Science Program Organization	3	FALSE	Yes				
443	117	FP7 People: Marie-Curie Actions	https://ror.org/0144ggd58	International Research and Development Actions	3	FALSE	Yes				
772	61	DER - Fertility and Infertility Branch (FIB)	https://ror.org/028zgc806	Isfahan Fertility and Infertility Center	3	FALSE	Yes				
891	51	AIRC	https://ror.org/02g2x7380	Italian Association for Cancer Research	3	FALSE	Yes				
954	47	JDRF	https://ror.org/02j6fbg68	JDRF	3	TRUE	Yes				
799	58	Agricultural Science and Technology Innovation Program	https://ror.org/0335n2618	Jiangsu Agricultural Science and Technology Innovation Fund	3	FALSE	Yes				
722	67	Six Talent Peaks Project in Jiangsu Province	https://ror.org/04py1g812	Jiangsu Province Hospital	3	FALSE	Yes				
384	138	JSPS	https://ror.org/00hhkn466	JSPS	3	TRUE	Yes				
803	58	Key-Area Research and Development Program of Guangdong Province	https://ror.org/00swtqp09	Key Laboratory of Guangdong Province	3	FALSE	Yes				
641	76	"Deanship of Scientific Research, King Saud University"	https://ror.org/02f81g417	King Saud University	3	FALSE	Yes				
534	94	Stichting voor de Technische Wetenschappen	https://ror.org/05emg8z25	Landsteiner Foundation for Blood Transfusion Research	3	FALSE	Yes				
869	53	Leibniz-Gemeinschaft	https://ror.org/01n6r0e97	Leibniz Association	3	FALSE	Yes				
601	82	"Chang Gung Memorial Hospital, Linkou"	https://ror.org/02dnn6q67	Linkou Chang Gung Memorial Hospital	3	FALSE	Yes				
282	204	Lundbeckfonden	https://ror.org/03hz8wd80	Lundbeck Foundation	3	FALSE	Yes				
123	561	H2020 Marie Skłodowska-Curie Actions	https://ror.org/015h0qg34	Maria Curie-Skłodowska University	3	FALSE	Yes				
744	65	H2020 Marie Sk??odowska-Curie Actions	https://ror.org/02aqv1x10	Marie Curie	3	FALSE	Yes				
321	170	H2020 Marie Sklodowska-Curie Actions	https://ror.org/02aqv1x10	Marie Curie	3	FALSE	Yes				
335	165	Spanish Ministry of Economy and Competitiveness	https://ror.org/02fn8ac40	Ministry of Economy	3	FALSE	Yes				
469	108	"Ministry of Economy, Industry and Competitiveness"	https://ror.org/055tm7f07	"Ministry of Economy, Trade and Industry"	3	FALSE	Yes				
315	173	Ministry of Education - Singapore	https://ror.org/03m01yf64	Ministry of Education	3	FALSE	Yes				
568	88	"Ministerie van Onderwijs, Cultuur en Wetenschap"	https://ror.org/02x3w5g21	Ministry of Education Culture and Science	3	FALSE	Yes				
587	85	"Ministry of Education, Science and Technology"	https://ror.org/0270k0c71	Ministry of Education Science and Technology	3	FALSE	Yes				
308	178	"Ministerstvo Školství, Mládeže a Tělovýchovy"	https://ror.org/037n8p820	Ministry of Education Youth and Sports	3	FALSE	Yes				
729	66	MEXT | JST | Core Research for Evolutional Science and Technology	https://ror.org/048rj2z13	"Ministry of Education, Culture, Sports, Science and Technology"	3	FALSE	Yes	Yes			
664	74	MEXT | JST | Core Research for Evolutional Science and Technology (CREST)	https://ror.org/048rj2z13	"Ministry of Education, Culture, Sports, Science and Technology"	3	FALSE	Yes	Yes			
850	54	"Ministry of Education, Culture, Sports, Science and Technology of Japan"	https://ror.org/048rj2z13	"Ministry of Education, Culture, Sports, Science and Technology"	3	FALSE	Yes	Yes			
556	90	"Ministry of Education, Culture, Sports, Science, and Technology"	https://ror.org/048rj2z13	"Ministry of Education, Culture, Sports, Science and Technology"	3	FALSE	Yes	Yes			
851	54	"Ministry of Education, Youth and Sports of the Czech Republic"	https://ror.org/04ydcpm48	"Ministry of Education, Sports and Youth"	3	FALSE	Yes				
943	48	Ministry of Health of the Czech Republic	https://ror.org/00mjd8b34	Ministry of Finance of the Czech Republic	3	FALSE	Yes				
740	65	China Agriculture Research System of MOF and MARA	https://ror.org/02jnxpg76	Ministry of Finance of the People's Republic of China	3	FALSE	Yes				
237	242	Italian Ministry of Health	https://ror.org/03mcwam86	Ministry of Health	3	FALSE	Yes				
495	103	Ministerstvo Zdravotnictví Ceské Republiky	https://ror.org/00y6khe77	Ministry of Health	3	FALSE	Yes				
852	54	Ontario Ministry of Health and Long-Term Care	https://ror.org/00tjpb250	Ministry of Health and Long Term Care	3	FALSE	Yes				
258	220	"Ministry of Health, Labour and Welfare"	https://ror.org/03mwa7s65	Ministry of Health Labour and Welfare	3	FALSE	Yes				
470	108	"Ministry of Higher Education, Malaysia"	https://ror.org/05mcs2t73	Ministry of Higher Education	3	FALSE	Yes				
913	50	H2020 Research Infrastructures	https://ror.org/04vttb719	Ministry of Infrastructure	3	FALSE	Yes				
115	655	Ministerio de Economía y Competitividad	https://ror.org/01ccvt456	Ministry of Labour and Social Economy	3	FALSE	Yes				
776	61	"Ministry of Education, Universities and Research"	https://ror.org/01gbnem66	Ministry of Research and Universities	3	FALSE	Yes				
607	82	Polish Ministry of Science and Higher Education	https://ror.org/05dwvd537	Ministry of Science and Higher Education	3	FALSE	Yes				
211	281	"Department of Science and Technology, Ministry of Science and Technology"	https://ror.org/02b207r52	Ministry of Science and Technology	3	FALSE	Yes				
460	111	"Department of Science and Technology, Ministry of Science and Technology, India"	https://ror.org/02b207r52	Ministry of Science and Technology	3	FALSE	Yes				
611	81	"Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja"	https://ror.org/03tqbke55	Ministry of Science and Technology	3	FALSE	Yes				
407	130	Ministry of Science and Technology of China	https://ror.org/02b207r52	Ministry of Science and Technology	3	FALSE	Yes				
618	80	Ministry of Science and Technology of Taiwan	https://ror.org/02b207r52	Ministry of Science and Technology	3	FALSE	Yes				
67	1365	"Ministry of Science and Technology, Taiwan"	https://ror.org/02b207r52	Ministry of Science and Technology	3	FALSE	Yes				
465	109	Ministry of Science and Technology of the People’s Republic of China	https://ror.org/027s68j25	Ministry of Science and Technology of the People's Republic of China	3	FALSE	Yes				
617	80	"Ministero dell?Istruzione, dell?Universit? e della Ricerca"	https://ror.org/0341vw408	Ministry of Universities and Research	3	FALSE	Yes				
192	325	"Ministero dell’Istruzione, dell’Università e della Ricerca"	https://ror.org/0341vw408	Ministry of Universities and Research	3	FALSE	Yes				
205	303	"Ministero dell'Istruzione, dell'Università e della Ricerca"	https://ror.org/0341vw408	Ministry of Universities and Research	3	FALSE	Yes				
