_id	Name	Description	Model	Repository	Number of Words	Predictions	# of predictions	words	chars	# correct	% Hallucinations
PRJNA474356	Bacteria	Bacterial genomes in TP area, China Genome sequencing and assembly	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Genome sequencing', 'Assembly'}	2	11	74	2	
PRJNA316379	Homo sapiens	Human, multiple tumors Raw sequence reads	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Sequencing', 'Tumor profiling'}	2	8	53	1	
PRJNA49215	Cutibacterium acnes HL059PA1	Demonstration Project Reference Genome for Human Microbiome Project	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Metagenomics', 'DNA sequencing'}	2	11	95	1	
PRJNA652973	Metschnikowia reukaufii strain:Y41	Metschnikowia reukaufii Y41 transcriptome - fukami118 Y41_conditioned	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Conditioned culture techniques', 'Transcriptome sequencing'}	2	10	103	1	
PRJNA670606		Spartina anglica Microbiome	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Metagenomics', '16S rRNA sequencing', 'Microbiome analysis'}	3	3	30	1	
PRJNA210806	Arthropoda	Arthropoda from Danum Valley metabarcoding	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Metabarcoding'}	1	6	52	1	
PRJEB9366	Bombus terrestris RNA-seq data	RNA-seq data of 27 combinations of caste and developmental stage for Bombus terrestris.	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'RNA sequencing (RNA-seq)'}	1	17	117	1	
NCBI_SRA_ERP113466	The spread of chloramphenicol resistant Neisseria meningitidis in southeast Asia		gpt-3.5-turbo	NCBI SRA	20-Nov	{'Epidemiological surveillance', 'Sequencing', 'Phylogenetic analysis', 'Antibiotic susceptibility testing'}	4	10	83	1	
NCBI_SRA_SRP002712	Reference genome for the Human Microbiome Project	Clostridium clostridioforme 2_1_49FAA. Reference genome for the Human Microbiome Project.	gpt-3.5-turbo	NCBI SRA	20-Nov	{'Metagenomic sequencing', 'Next-generation sequencing', 'Whole genome shotgun sequencing'}	3	17	138	0	
PRJNA619711	Brassica rapa cultivar:VT123	Brassica rapa VT123 Gene Expression Profiling - VT123_CTP1_R1 transcriptome	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Gene expression profiling', 'Transcriptome analysis'}	2	12	103	2	
PRJNA331592	Sorghum bicolor strain:R09069 | cultivar:R09069	Sorghum bicolor strain:R09069 | cultivar:R09069 Genome sequencing	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Genome sequencing'}	1	12	112	1	
PRJNA132323		Breast tumors from CHEK2 1100delC mutation carriers: genomic landscape and clinical implications	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Genomic sequencing', 'Clinical analysis'}	2	12	99	2	
NCBI_SRA_SRP087912	Streptococcus equinus Sb10 genome sequencing	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	gpt-3.5-turbo	NCBI SRA	20-Nov	{'Genome sequencing'}	1	17	121	1	
NCBI_SRA_SRP168796	Panicum virgatum Gene Expression Profiling - 2_AMP_CK_AP13_4_02 transcriptome	Gene Expression Profiling of Panicum virgatum transgenic RNAi line; Sample from Internode	gpt-3.5-turbo	NCBI SRA	20-Nov	{'Transcriptome analysis', 'RNA interference', 'Gene expression profiling', 'RNA sequencing'}	4	20	166	2	
PRJNA336766	soil metagenome	Forest soil microbial communities from Amazon forest - 2010 replicate II A1 metagenome	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Metagenomic sequencing', 'Soil sampling and analysis'}	2	15	101	2	
PRJNA829252	Panicum virgatum cultivar:FLAME 1047-38-4-3 Pv	Panicum virgatum FLAME 1047-38-4-3 Pv Resequencing genome sequencing	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Genome sequencing', 'Resequencing'}	2	13	114	2	
Dataverse_10.34894_UF5X0Y	Ommeren de Kroonheuvel, balk. Projectnummer dendrochronologie (Stichting RING): 2009012	Dendrochronological research project	gpt-3.5-turbo	Harvard Dataverse	20-Nov	{'Dendrochronology'}	1	12	123	0	
PRJNA426923	Boechera stricta	Boechera stricta Reference Population resequencing - 99 genome sequencing	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Reference population resequencing', 'Genome sequencing'}	2	11	89	2	
PRJNA477073	Brachypodium distachyon cultivar:Bd1-1	Brachypodium distachyon Bd1-1 gene expression profiling - 4dpi_Bd1-1_Mock_2 transcriptome	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Gene expression profiling', 'Transcriptome analysis'}	2	12	127	2	
PRJEB53028	snATAC-seq of the developing mouse cerebellum across eleven stages	snATAC-seq of the developing mouse cerebellum across eleven stages	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Mouse cerebellum development stages analysis', 'snATAC-seq'}	2	18	132	1	
NCBI_SRA_SRP191232	Marine microbial communities from Ellis Fjord, Antarctic Ocean - #183 metagenome	Marine microbial communities from Ellis Fjord, Antarctic Ocean	gpt-3.5-turbo	NCBI SRA	20-Nov	{'Metagenomic sequencing'}	1	19	142	1	
PRJEB11784	RNA-seq on SIP+-treated mating type minus cultures of Seminavis robusta	RNA-seq on SIP+-treated mating type minus cultures of Seminavis robusta	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'SIP+ treatment', 'RNA-seq'}	2	20	142	2	
PRJNA743766	Escherichia coli strain:UTI | isolate:P10405	Escherichia coli strain:UTI | isolate:P10405 Genome sequencing and assembly	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Genome sequencing', 'Assembly'}	2	14	119	2	
PRJNA124187		Pol II and its associated epigenetic marks are present at pol III-transcribed non-coding RNA genes	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Chromatin immunoprecipitation (ChIP)', 'Chromatin immunoprecipitation followed by sequencing (ChIP-seq)', 'Polymerase chain reaction (PCR)'}	3	15	101	0	
PRJNA303190	bacteria	direct sequencing of 16S rRNA V3-V4 region of lung tissue from lung cancer patients raw sequence reads	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Direct sequencing', 'Lung tissue sampling', 'Raw sequence reads', 'V3-V4 region', '16S rRNA'}	5	18	110	2	
Mendeley_6sh3wthfdk	Publications on the Micro credit research	All 552 publications on the topic of the Micro credit on Scopus from 1994-2021!	gpt-3.5-turbo	Mendeley	20-Nov	{'Database search', 'Data extraction', 'Text mining', 'Data scraping', 'Filtering', 'Data analysis', 'Sorting'}	7	21	121	1	
PRJNA194705	Acinetobacter baumannii 135867	Comparative genomics and transcriptomics to identify genetic mechanisms underlying the emergence of carbapenem resistant Acinetobacter baumannii (CRAb)	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'Transcriptomics', 'Comparative genomics'}	2	20	181	2	
ZENODO_7530244	IDSL.CSA unique CSA variants for the ST001000 - full deconvolution	IDSL.CSA unique CSA variants for the ST001000 - full deconvolution	gpt-3.5-turbo	Zenodo	20-Nov	{'Full deconvolution'}	1	20	132	1	
NCBI_SRA_SRP087305	Halorubrum lacusprofundi UNSW DL20 genome sequencing	Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change	gpt-3.5-turbo	NCBI SRA	20-Nov	{'Metagenomics', 'Genome sequencing'}	2	19	164	2	
PRJNA721180	TGFÎ² reprograms TNF stimulation of macrophages towards osteoclastogenesis [RNA-seq]	TGFÎ² reprograms TNF stimulation of macrophages towards osteoclastogenesis [RNA-seq]	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	20-Nov	{'RNA-seq'}	1	18	166	1	
Dataverse_10.7910_DVN_TUF0PV	Haitian ason (ritual rattle)	Haitian Vodou ritual rattle used to conduct ceremonies and call the Lwa (spirits) into ceremony.	gpt-3.5-turbo	Harvard Dataverse	20-Nov	{'Interviewing', 'Cultural immersion', 'Observational study'}	3	19	124	0	
NCBI_SRA_DRP005212	16S rRNA metagenome project for broiler chicken in Vietnam and Thailand	In this research, we aimed to understand differences between chicken gut microbiota in Vietnam and Thailand.	gpt-3.5-turbo	NCBI SRA	21-30	{'16S rRNA sequencing', 'Metagenomics analysis'}	2	27	179	1	
NCBI_SRA_SRP156801	Sorted cell/s from McNutts Creek water, Athens, Georgia, United States - Uncultured microbe JGI Ottese.MC11.SYBR.01.H10 metagenome	Sorted cells from McNutts Creek water, Athens, Georgia, United States	gpt-3.5-turbo	NCBI SRA	21-30	{'Metagenomics', 'Sorting cells'}	2	26	199	2	
NCBI_SRA_SRP275734	Soil 16S rRNA and ITS amplicon Sequencing after foliar exposure SiO2-NP to pakchoi	Soil 16S rRNA and ITS amplicon Sequencing after foliar exposure SiO2-NP to pakchoi	gpt-3.5-turbo	NCBI SRA	21-30	{'Foliar exposure to SiO2-NP', 'Soil 16S rRNA amplicon sequencing', 'Soil ITS amplicon sequencing', 'Pakchoi cultivation'}	4	27	165	2	
NCBI_SRA_SRP317308	Marine microbial communities from Saanich Inlet, British Columbia, Canada - FGYH-65-G5 metagenome	Marine microbial communities from Saanich Inlet, British Columbia, Canada. Sequencing of fosmid clones.	gpt-3.5-turbo	NCBI SRA	21-30	{'Sequencing of fosmid clones'}	1	25	200	1	
NCBI_SRA_SRP048827	Root-knot nematode associatied bacteria	To explored the bacterial content associated with different developmental stages, including egg mass, female and second-stage juvenile of M. incognita by using the pyrosequencing approach	gpt-3.5-turbo	NCBI SRA	21-30	{'Pyrosequencing'}	1	29	226	1	
PRJEB28950		EMG produced TPA metagenomics assembly of the Estuarine microbial communities from the Columbia River estuary - metaG 1555A-3 metagenome (marine metagenome) data set.	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	21-30	{'Metagenomics assembly', 'Electromyography (EMG)'}	2	23	169	1	
PRJNA179245	Homo sapiens	Baseline serum anti-glycan antibodies of 28 subjects in a clinical trial of PROSTVAC-VF, a therapeutic cancer vaccine [Training IgM 1:50]	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	21-30	{'Baseline serum collection', 'Enzyme-linked immunosorbent assay (ELISA)', 'Training IgM antibody testing'}	3	22	149	1	
PRJNA466793	soil metagenome	Enriched cells from forest soil in Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States - Alteio_BWMinHeated_Nextera90 metagenome	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	21-30	{'Metagenomic sequencing', 'Next-generation sequencing', 'Cell enrichment'}	3	21	169	1	
PRJEB35509	Epidermolysis bullosa-Pyloric Atresia	Identification of a Novel Pathogenic Missense Mutation in the Fibronectin type III Domain of ITGB4 Gene in Epidermolysis Bullosa with Pyloric Atresia	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	21-30	{'DNA sequencing', 'PCR amplification', 'Bioinformatic analysis', 'Sanger sequencing'}	4	25	186	1	
NCBI_SRA_SRP252177	Impact of wheat domestication on root-associated microbiomes	In this study, we compared root-associated microbiomes in modern, landraces and ancestors of wheat using amplicon based sequencing of bacterial and fungal communities.	gpt-3.5-turbo	NCBI SRA	21-30	{'Amplicon based sequencing'}	1	30	227	1	
NCBI_SRA_SRP331491	Homo sapiens Raw sequence reads in 2D and 3D cultured A549 cells	miR-29b-3p deficiency in organoid cells resist radiation killing via regulating oncogenes	gpt-3.5-turbo	NCBI SRA	21-30	{'Sequencing', 'miRNA analysis', 'Organoid culture', 'Culturing', 'Radiation treatment'}	5	23	153	2	
NCBI_SRA_SRP122525	Serpentinite rock and fluid subsurface biosphere microbial communities from McLaughlin Reserve, California, USA - CSWold_Dec13	Subsurface biosphere microbial communities from McLaughlin Reserve, California, USA	gpt-3.5-turbo	NCBI SRA	21-30	{'DNA extraction', 'Sequencing', 'Serpentinite rock sampling', 'PCR amplification', 'Fluid sampling'}	5	24	209	1	
Mendeley_d8739nckf9	Dataset for WGS of Vietnamese broadhead catfish (Clarias macrocephalus)	Dataset for genome sequencing and de novo assembly of the Vietnamese broadhead catfish (Clarias macrocephalus).	gpt-3.5-turbo	Mendeley	21-30	{'de novo assembly', 'Whole genome sequencing (WGS)'}	2	24	182	2	
NCBI_SRA_SRP174755	Marine bacterial communities from Monterey Bay, California, United States - itags 89_S targeted loci	Marine bacterial communities from surface water in Monterey Bay, California, United States	gpt-3.5-turbo	NCBI SRA	21-30	{'Metagenomics', 'DNA sequencing', 'PCR (Polymerase Chain Reaction)', 'Molecular barcoding'}	4	26	190	1	
NCBI_SRA_SRP375301	Transcriptome sequencing of potato for late blight resistance	This is total RNA sequencing data of potato for late blight resistance at 72 h post inoculation of P. infestans.	gpt-3.5-turbo	NCBI SRA	21-30	{'Total RNA sequencing', 'Inoculation with Phytophthora infestans', 'Transcriptome sequencing'}	3	28	173	2	
PRJNA581785	Miscanthus sacchariflorus x Miscanthus sinensis cultivar:PF30022 x PMS-009	Miscanthus sacchariflorus lutarioriparius PF30022 x Miscanthus sinensis PMS-009 Population Resequencing - 14UI-021.035 genome sequencing	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	21-30	{'Genome sequencing', 'Population resequencing'}	2	22	210	2	
PRJNA598960		Isolation and re-connection: the demographic history and multiple contact zones of the Green Odorous Frog (Odorrana margaretae) around the Sichuan Basin	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	21-30	{'Demographic history modeling', 'DNA sequencing', 'Population genetics analysis', 'Phylogenetic analysis'}	4	21	155	1	
NCBI_SRA_SRP164553	Metatranscriptome of Populus tremula x Populus alba 717-1B4 root, 7 days culture from Champenoux, France - C1-1w	Metatranscriptome of Populus root microbial communities, 7 days on P20MES control, no treatment	gpt-3.5-turbo	NCBI SRA	21-30	{'Metatranscriptomics', 'Root culture', 'Microbial community analysis'}	3	30	207	2	
NCBI_SRA_SRP109841	Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge C36_LANv2 metagenome	Raman-based microcolony genomics for studying microevolution and ecology of nitrifiers	gpt-3.5-turbo	NCBI SRA	21-30	{'Microcolony genomics', 'Raman spectroscopy'}	2	24	207	1	
ZENODO_6358591	Cast Al-Si-Mg alloy APT data	Data from publication. Will be opened when publication is online (hopefully 2022). Atom probe tomography data.	gpt-3.5-turbo	Zenodo	21-30	{'Atom probe tomography'}	1	21	138	1	
ZENODO_3243956	List of European Security and Defence Policy / Common Security and Defence Policy Missions 1991-2017	List of European Security and Defence Policy / Common Security and Defence Policy Missions 1991-2017	gpt-3.5-turbo	Zenodo	21-30	{'Data verification', 'Data compilation', 'Database management', 'Data collection'}	4	30	200	0	
PRJNA472247	Effect of LIMD1 knockdown on gene expression in Human Bronchial Epithelial Cells (HBECs)	Effect of LIMD1 knockdown on gene expression in Human Bronchial Epithelial Cells (HBECs)	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	21-30	{'Gene expression analysis', 'LIMD1 knockdown', 'Human Bronchial Epithelial Cells (HBECs) manipulation'}	3	26	176	1	
PXD006815	Changes in glycogen metabolism machinery are associated with brain aging. Proteomic and immunofluorescent evidence for and against the astrocyte-to-neuron lactate shuttle	Analysis of proteome changes during mouse brain aging	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	21-30	{'Immunofluorescence imaging', 'Proteomic analysis'}	2	29	223	2	
PRJNA365364	marine metagenome	Marine microbial communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling - KN S21 250_A metaT metatranscriptome	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	21-30	{'Metatranscriptomic sequencing', 'Metagenomic sequencing'}	2	25	179	2	
NCBI_SRA_SRP213226	Metatranscriptome of Cenococcum geophilum strain 1.96 mycelium from greenhouse in Uitikon, Zurich, Switzerland - Cg1.96_Control_R2	Metatranscriptome of Cenococcum geophilum strain 1.96 control mycelium	gpt-3.5-turbo	NCBI SRA	21-30	{'Metatranscriptomics', 'RNA sequencing (RNA-Seq)', 'Mycelium sampling'}	3	23	200	1	
PRJNA422751	Study of mitotic chromatin shows involvement of histone modifications in bookmarking and reveals nucleosome deposition patterns	Study of mitotic chromatin shows involvement of histone modifications in bookmarking and reveals nucleosome deposition patterns	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	31-40	{'Immunofluorescence microscopy', 'Chromatin immunoprecipitation (ChIP)', 'High-throughput sequencing'}	3	32	254	0	
PRJNA534259	Genomic, transcriptomic, and structural analysis of Pseudomonas virus PA5oct highlights the molecular complexity among Jumbo phages	Genomic, transcriptomic, and structural analysis of Pseudomonas virus PA5oct highlights the molecular complexity among Jumbo phages	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	31-40	{'Genomic analysis', 'Transcriptomic analysis', 'Structural analysis'}	3	32	262	3	
GSE104979	Vascular endothelial cells (VECs) and lymphatic endothelial cells (LECs) of small intestines	Analysis of vascular endothrial cells and lympatic endotherial cells purified from small intestines Vascular endotherial cells (n=3), lymphatic endotherial cells (n=3) of small intestines	gpt-3.5-turbo	NCBI GEO	31-40	{'Analysis', 'Purification'}	2	37	280	0	
ZENODO_3491338	Supplementary material 22 from: Branco VV, Henriques S, Rego C, Cardoso P (2019) Species conservation profiles of spiders (Araneae) endemic to mainland Portugal. Biodiversity Data Journal 7: e39315. https://doi.org/10.3897/BDJ.7.e39315	Distribution of Maso douro (Bosmans & Cardoso, 2010)	gpt-3.5-turbo	Zenodo	31-40	{'Distribution mapping', 'Field surveys'}	2	37	287	1	
Mendeley_m7cngsdm8c	Vertical Gradient Variations in Radiation Budget and Heat Fluxes in the Urban Boundary Layer: A Comparison Study between Polluted and Clean Air Episodes in Beijing during Winter	flux data radiation data profile of day and night	gpt-3.5-turbo	Mendeley	31-40	{'Radiation measurements', 'Profiling techniques', 'Day and night comparison studies', 'Flux measurements'}	4	36	226	0	
ZENODO_8245343	Data repository for Jarvis et al. (2023): The probabilistic nature of dune collisions in 2D"	This is a data repository associated with Jarvis et al. (2023)Â "The probabilistic nature of dune collisions in 2D" published in EarthÂ SurfaceÂ Dynamics. Â	gpt-3.5-turbo	Zenodo	31-40	{'2D simulation', 'Probabilistic modeling', 'Data collection'}	3	38	246	2	
NCBI_SRA_SRP336099	RNA-seq data of the effect of volatile organic compounds produced by Microbacterium aurantiacum on Nicotiana benthamiana	We performed this project aiming to identify the promotion pathway of volatile organic compounds produced by Microbacterium aurantiacum on tobaccoNicotiana benthamiana.	gpt-3.5-turbo	NCBI SRA	31-40	{'RNA sequencing (RNA-seq)'}	1	37	288	1	
GSE202291	RNA sequencing of exogenous RNAi mutants under CPL-1* expression	The goal of this experiment was to identify RNAs that are regulated by the exogenous RNAi pathway under ER stress conditions. biological replicates of rde-1(ne219); cpl-1*::yfp and drh-1(ok3495); cpl-1*yfp and cpl-1*yfp	gpt-3.5-turbo	NCBI GEO	31-40	{'Exogenous RNAi', 'Mutant analysis', 'Fluorescence microscopy', 'RNA sequencing'}	4	40	283	1	
S-EPMC2979232	(-)-(1S,5R)-2-Oxabicyclo-[3.3.1]nonan-3-one.	In the title compound, C(8)H(12)O(2), the cyclo-hexane ring exhibits a chair conformation and the ?-lactone ring is axially bonded to the cyclo-hexane ring. In the crystal, mol-ecules are linked by C-H?O hydrogen bonds, resulting in ribbons extending along [010].	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	31-40	{'', 'The techniques used to generate the dataset are:', 'Hydrogen bonding analysis', 'X-ray crystallography'}	4	40	307	0	
PRJNA496404	An enhancer in the middle of the IgÎº locus orchestrates nuclear architecture to generate a diverse antigen receptor repertoire	An enhancer in the middle of the IgÎº locus orchestrates nuclear architecture to generate a diverse antigen receptor repertoire	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	31-40	{'High-throughput chromosome conformation capture (Hi-C)', '4C coupled with high-throughput sequencing (4C-seq)', 'Chromatin immunoprecipitation combined with high-throughput sequencing (ChIP-seq)', 'Microscopy', 'Circular chromosome conformation capture (4C)', 'Chromosome conformation capture carbon copy (5C)'}	6	38	252	0	
GSE86499	JunB is essential for IL-23-dependent pathogenicity of Th17 cells.	To understand molecular mechanisms by which JunB regulates Th17 differentiation, we performed microarray analyses of JunB-deficient and control Th17 cells. Gene expresson profiles in WT and JunB-deficient TH0, TH17(Î²), TH17(23) cells.	gpt-3.5-turbo	NCBI GEO	31-40	{'Microarray analysis', 'Gene expression profiling'}	2	40	300	2	
VIVLI_1d66bda0-42db-4d27-a5ea-a63ea7390876	Dataset from A Randomized, Single-blind, Placebo-controlled Study to Evaluate the Safety and Tolerability of Raxibacumab (Human Monoclonal Antibody to B. Anthracis Protective Antigen) in Healthy Subjects	To evaluate the safety and tolerability of raxibacumab in healthy subjects.	gpt-3.5-turbo	Vivli	31-40	{'Safety evaluation', 'Single-blind study design', 'Randomized controlled trial', 'Tolerability evaluation', 'Placebo control'}	5	37	278	4	
PRJNA589895	In vivo CRISPR screens reveal NOTCH regulators suppressing Head and Neck Squamous Cell Carcinoma in mice [Cut&Run]	In vivo CRISPR screens reveal NOTCH regulators suppressing Head and Neck Squamous Cell Carcinoma in mice [Cut&Run]	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	31-40	{'CRISPR screens', 'Cut&Run technique', 'In vivo experiments'}	3	34	228	2	
Dataverse_10.21950_6SHH8V	Federico-Tena World Trade Historical Database : Haiti	Project developed by Giovanni Federico (UniversitÃ di Pisa) and Antonio Tena Junguito (Universidad Carlos III de Madrid). This data base outlines changes in world trade from 1800 to 2016. Dataset: Haiti	gpt-3.5-turbo	Harvard Dataverse	31-40	{'Data visualization', 'Data analysis', 'Historical research', 'Data collection'}	4	38	255	1	
ZENODO_8137469	Natural history specimens collected and/or identified and deposited.	Natural history specimen data collected and/or identified by Franz Tappeiner, http://www.wikidata.org/entity/Q1449236. Claims or attributions were made on Bionomia, https://bionomia.net using specimen data from the Global Biodiversity Information Facility, https://gbif.org.	gpt-3.5-turbo	Zenodo	31-40	{'Deposition', 'Claims making', 'Attribution making', 'Identification', 'Collection'}	5	37	342	0	
Mendeley_kbrprbvtjw	Lattice Boltzmann velocity fields dataset	The dataset for geometrical learning of flows. The dataset is composed of 300 Lattice-Boltzmann simulations of the flow with different boundary conditions. Sample was generated via PoreSpy. Inflow boundary condition described in the paper.	gpt-3.5-turbo	Mendeley	31-40	{'PoreSpy', 'Lattice Boltzmann simulations'}	2	39	280	1	
NCBI_SRA_SRP295303	Gene expression profiles of bulk tumor tissues of intrahepatic cholangiocarcinoma	We report the gene expression profiles of bulk tumor tissues of intrahepatic cholangiocarcinoma Overall design: Gene expression profiles of bulk tumor tissues of intrahepatic cholangiocarcinoma	gpt-3.5-turbo	NCBI SRA	31-40	{'Tumor tissue collection', 'Gene expression profiling'}	2	35	274	1	
PRJNA666388	Genome-wide analysis of retinal transcriptome reveals common genetic network underlying perception of contrast and optical defocus detection	Genome-wide analysis of retinal transcriptome reveals common genetic network underlying perception of contrast and optical defocus detection	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	31-40	{'Microarray analysis', 'RNA sequencing', 'Genome-wide association study'}	3	34	280	1	
