														
														
Technique	obi Score	obi Term	chmo Score	chmo Term	ncit Score	ncit Term	bao Score	bao Term	efo Score	efo Term	mmo Score	mmo Term	edam Score	edam Term
Graph creation	0.516	image creation	0.319	gas chromatography-flame ionisation detection	0.498	Creatinine Measurement	0.414	hybrid cell creation method			0.347	blood creatinine analysis		
Random sampling	0.469	material sampling process	0.337	solid sampling graphite furnace atomic absorption spectrometry	0.644	Randomization	0.372	random conformational search	0.647	DNA shearing	0.344	random zero sphygmomanometer		
Obfuscation of dates					0.347	Location of Diffuse Infiltration			0.314	sedation				
Morbidity and mortality data collection	0.334	cell collecting	0.348	ion mobility spectroscopy	0.511	Mortality Map			0.349	specimen collection process				
Latent factors			0.326	spatially-offset Raman spectroscopy	0.579	Feelings about Genomic Testing Results	0.475	z factor						
Literature review	0.355	temperature measurement assay	0.34	high-temperature X-ray diffraction	0.52	Life Review Therapy	0.32	temperature profile						
Scrub typhus diagnostic tests (ELISA)	0.405	falcivax rapid diagnostic test	0.382	ELISA	0.624	Diagnostic Procedure	0.4	ELISA			0.393	enzyme linked immunosorbent assay		
T-cell Receptor sequencing	0.71	T cell receptor repertoire sequencing assay	0.387	phase cycle	0.764	T Cell Receptor Repertoire Sequencing	0.582	receptor	0.629	single cell sequencing			0.657	Sequencing
Blood collection	0.545	cell collecting	0.342	reflection electron microscopy	0.763	Blood Product Collection	0.353	blood to plasma ratio assay	0.752	blood draw	0.517	body fluid collection method		
Interviews	0.317	study intervention	0.371	interferometry	0.792	Interview	0.384	QT interval assay	0.491	medical procedure			0.3	Protein interaction experiment
Illumina sequencing	0.701	sequencing assay	0.438	phase cycle	0.973	Illumina Sequencing	0.489	Whole Genome Sequencing	0.949	Illumina sequencing			0.743	Sequencing
Strategic Innovation Fund analysis	0.386	discriminant function analysis	0.495	activation analysis	0.477	Genetic Variation Analysis	0.408	computational structure analysis	0.405	spatial analysis	0.354	urine analysis	0.436	Exome sequencing
Data dictionary creation	0.451	class prediction data transformation	0.366	oxidation–reduction titration	0.442	Fractionated Radiotherapy	0.339	hybrid cell creation method	0.389	data transformation	0.406	cell fractionation		
Chikungunya diagnostic tests (ELISA)	0.574	ELISA measuring Chikungunya IgM antibody	0.382	ELISA	0.624	Diagnostic Procedure	0.4	ELISA			0.393	enzyme linked immunosorbent assay		
Unique ID merging	0.301	detection technique	0.355	infrared dichroism spectroscopy	0.398	Imaging Technique								
Flat files	0.343	file merge			0.364	Flagellates Measurement			0.335	SPLAT				
Geographic variation analysis	0.486	canonical variate analysis	0.49	X-ray diffraction	0.713	Genetic Variation Analysis	0.398	computational expression analysis	0.434	spatial analysis	0.379	urine analysis	0.467	Exome sequencing
Range expansion from one or two refugia	0.391	cell culture expansion			0.464	Cell Expansion			0.459	ExSeq				
TaqMan assays for species-specific gene fragments detection	0.428	detection of specific nucleic acids with complementary probes assay measuring epitope specific RANTES production by T cells	0.359	mass detection	0.457	Prostate Specific Antigen Measurement	0.48	bioassay specification	0.411	specimen collection process	0.405	ion-selective electrode method		
Uracil DNA glycosylase					0.431	Glycosylated Hemoglobin Measurement	0.386	DNA	0.396	Deoxyribonuclease digestion				
Multivariate logistic regression analysis	0.594	multiple linear regression analysis	0.435	activation analysis	0.661	Regression Method	0.419	serial analysis of gene expression	0.43	cap analysis gene expression	0.344	serial analysis of gene expression assay	0.394	Exome sequencing
Full-length immunoglobulin heavy and light chain genes sequencing	0.408	chain termination sequencing assay			0.777	Immunoglobulin Heavy Chain Sequencing	0.325	Whole Genome Sequencing	0.505	FL-cDNA	0.314	serum globulin analysis	0.421	Sequencing
Whole exome sequencing	0.802	exome sequencing assay	0.415	phase cycle	0.951	Whole Exome Sequencing	0.82	Whole Genome Sequencing	0.952	exome sequencing			0.98	Exome sequencing
Widefield imaging	0.602	imaging assay	0.569	imaging mass spectrometry	0.641	Imaging Technique	0.544	imaging method			0.392	magnetic resonance imaging	0.654	Imaging
SPAdes assembly	0.505	sequence assembly process			0.497	FAQ - Assemble			0.382	BAsE-Seq				
PCR (Polymerase Chain Reaction)	0.897	polymerase chain reaction	0.309	pulsed laser polymerisation-size exclusion chromatography	0.903	Polymerase Chain Reaction	0.901	polymerase chain reaction	0.917	polymerase chain reaction	0.881	polymerase chain reaction assay	0.927	PCR experiment
Computed tomography scan	0.76	computed tomography imaging assay	0.414	thermography	0.888	Computed Tomography	0.672	tomography			0.883	computed tomography	0.897	Tomography
Leucocyte-derived reactive oxygen species (ROS) analysis	0.314	replicate analysis	0.354	activation analysis	0.444	Reactive Therapy			0.33	spatial analysis			0.343	Exome sequencing
Histidine-rich protein 2-based enzyme-linked immunosorbent assay	0.595	enzyme-linked immunosorbent assay	0.644	ELISA	0.624	ELISA	0.581	enzyme-linked immunosorbent spot assay	0.449	protein assay	0.696	enzyme linked immunosorbent assay		
Stress mapping	0.505	Lead structure mapping assay	0.556	Raman microscopy	0.583	Gene Mapping	0.478	Epitope Mapping	0.507	m1A mapping				
Follow-up visits					0.747	Follow-Up			0.753	follow-up				
Thin blood smear	0.539	blood assay	0.311	thin-film X-ray diffraction	0.785	Thin Smear Technique	0.355	whole blood stability assay	0.416	blood draw	0.343	blood protein analysis		
Demographic Surveillance System (DSS)	0.544	surveillance process	0.327	thermography	0.587	Surveillance			0.329	digestive system surgery			0.302	MRI
Osteogenic differentiation	0.46	differential medium assay	0.456	differential isothermal capacitance transient spectroscopy	0.621	Differentiation Therapy	0.398	differential interference contrast microscopy	0.434	differential expression analysis data transformation	0.395	blood differential lipoprotein-cholesterol analysis		
Worm tracking			0.472	particle-tracking velocimetry	0.57	Eye Tracking			0.313	cell picking	0.46	treadmill method with automated tracking		
Taxonomic identification of mosquitoes	0.403	histone modification identification by ChIP-Seq assay			0.593	Taxonomic Identification Below Species Level	0.415	nucleic acid identification and quantitation method						
Standard procedures for cholesterol measurement	0.492	cholesterol assay	0.482	pH measurement	0.728	Cholesterol Measurement	0.416	assay measurement type	0.457	medical procedure	0.611	blood total cholesterol measurement test		
Immunomodulation	0.419	immunoprecipitation	0.54	force spectroscopy	0.837	Immunomodulation Therapy	0.464	gene expression modulation method	0.409	RIP	0.434	immunoprecipitation	0.446	RNA immunoprecipitation
DNA binding assays	0.751	binding assay	0.435	imaging assay	0.622	Ligand Binding Assay	0.781	binding assay	0.622	DNA assay				
Hierarchical clustering	0.947	hierarchical clustering	0.344	static light scattering	0.961	Hierarchical Clustering	0.836	hierarchial clustering	0.411	clone by clone sequencing				
Next-generation sequencing	0.607	sequencing assay	0.502	sum-frequency generation spectroscopy	0.943	Next Generation Sequencing	0.497	Whole Genome Sequencing	0.776	Nx1-seq			0.643	Sequencing
Survival and proliferative advantage analysis	0.488	survival analysis data transformation	0.423	activation analysis	0.629	Survival Analysis	0.409	image analysis method	0.399	spatial analysis	0.385	cell proliferation assay	0.394	Exome sequencing
Physical examination	0.724	physical examination of an organism	0.329	determination of nitrosamines	0.965	Physical Examination	0.545	physical detection method	0.708	checkup	0.304	cell fractionation		
Surveys	0.303	surveillance process	0.404	photoelectron yield spectroscopy	0.523	Field Survey	0.309	curve fit method						
Environmental data collection	0.73	environmental material collection process	0.614	environmental scanning electron microscopy	0.532	Environmental Justice Screening and Mapping Tool			0.432	specimen collection process	0.362	body fluid collection method		
ELISA for sporozoite identification	0.431	parasite species identification by PCR assay	0.395	ELISA	0.596	Lesion Identification	0.463	metabolite identification and profiling assay	0.301	label-free quantification	0.407	enzyme linked immunosorbent assay		
Ethical approval and consent gathering														
Plasma isolation	0.548	isolation of cell population	0.522	plasma desorption mass spectrometry	0.609	Cell Sorting	0.438	plasma stability assay	0.559	single cell isolation	0.358	isolated bone method		
Light microscopy	0.973	light microscopy assay	0.951	optical microscopy	0.992	Light Microscopy	0.812	microscopy	0.717	microscopy assay	0.885	in vivo light microscopy	0.993	Light microscopy
Cytokine analysis	0.674	cytokine assay	0.646	flow cytometry	0.612	Cytogenetic Analysis	0.495	image analysis method	0.559	data transformation	0.856	blood cytokine analysis	0.607	Exome sequencing
Somatic hypermutation bias	0.332	hyperlog transformation			0.622	Somatic Mutation Analysis	0.309	conformation determination method	0.316	amputation			0.331	Immunoprecipitation experiment
Fund allocation analysis	0.458	discriminant function analysis	0.525	laser desorption-ionisation mass spectrometry	0.567	Genetic Variation Analysis	0.441	computational expression analysis	0.481	spatial analysis	0.42	urine analysis	0.517	Exome sequencing
Interview questionnaire					0.806	CHART-SF Interview Version Questionnaire Question			0.402	medical procedure				
Single-cell based high-throughput sequencing	0.661	genotyping by high throughput sequencing assay	0.323	phase cycle	0.639	Single Cell RNA Sequencing	0.427	low throughput screening	0.72	single cell sequencing	0.581	high throughput expression assay	0.534	Sequencing
Epidemiological data collection	0.392	cell collecting	0.322	electrochemical detection	0.625	Epidemiological Method	0.382	electrophysiological method	0.409	specimen collection process	0.438	bioassay	0.409	Bioimaging
Population comparison analysis	0.506	isolation of cell population	0.469	laser desorption-ionisation mass spectrometry	0.775	Population Analysis	0.487	computational expression analysis	0.532	single cell isolation	0.378	ex vivo analysis of atomic composition	0.443	Exome sequencing
Obfuscation of dates for participant privacy	0.316	data partitioning			0.342	MPAI-4 - Participation: Initiation								
preprocessing pipeline (SEQC)	0.464	material processing			0.565	Preprocess	0.547	processing method	0.489	data transformation				
Deep profiling	0.548	lipid profiling assay	0.472	profilometry	0.632	Isotope-Coded Affinity Tag Protein Analysis	0.668	protein profiling assay	0.563	proteomic profiling	0.641	high throughput proteomic profiling	0.527	RNA-Seq
Geospatial Analysis	0.494	dialysis	0.552	X-ray diffraction	0.546	Genetic Testing	0.511	pathway analysis	0.847	spatial analysis	0.464	urine analysis	0.572	Exome sequencing
Structured questionnaire administration	0.51	oral administration	0.447	X-ray diffraction	0.853	Questionnaire Administration	0.543	structure generation	0.419	Structure-Seq				
Immune-labeling markers	0.509	specific labeling			0.469	Plasma Cell Labeling Index	0.565	immunolabeling method	0.591	labelling	0.323	multiphase pCASL MRI		
Cell wall fraction analysis	0.525	cell lysis	0.64	diffraction method	0.595	Mid Cell Fraction Measurement	0.431	IN Cell Analyzer	0.439	data transformation	0.631	cell fractionation	0.476	Exome sequencing
Statistical methods	0.465	statistical model validation	0.638	statistical total correlation spectroscopy	0.897	Statistical Technique	0.903	statistical method	0.354	UMI Method	0.37	in vivo measuring stick method	0.415	Chromosome conformation capture
Forced heterodimer MyoD~E12 (MDE) expression	0.34	vector mediated expression			0.404	IgG Expression Measurement	0.424	gene expression detection method	0.333	knock in expression	0.475	expression assay		
Attractiveness assessment	0.461	survival assessment assay	0.405	nanowire electron scattering	0.654	Physical Examination	0.472	binding assessment method			0.542	wildness/tameness assessment method		
Microscopy diagnosis	0.976	microscopy assay	0.972	microscopy	0.993	Microscopy	0.995	microscopy	0.878	microscopy assay	0.836	in vivo microscopy	0.746	Light microscopy
Active and passive malaria case detection	0.441	ligase detection reaction	0.519	mass detection	0.588	Pet is as Active as it Has Been	0.433	caspase activity determination	0.351	Ribo-seq	0.302	ribonuclease protection assay		
Innovation assessment	0.477	survival assessment assay			0.684	Physical Examination	0.523	protein conformation assessment			0.476	in vivo visual assessment		
Data analysis	0.759	data analysis service	0.676	X-ray diffraction	0.651	DNA Analysis	0.598	sequencing data analysis software	0.996	data transformation	0.568	urine analysis	0.701	Exome sequencing
Biological sample collection	0.525	histological sample preparation			0.965	Biospecimen Collection	0.404	electrophysiological method	0.763	specimen collection process	0.581	bioassay	0.538	Bioimaging
X-ray crystallography	0.58	X-ray crystallography 3D molecular structure determination assay	0.877	X-ray diffraction	0.877	Crystallography	0.98	x ray crystallography			0.406	tomography	0.88	X-ray diffraction
Metagenomic sequencing	0.683	whole metagenome sequencing assay	0.405	phase cycle	0.668	Biopolymer Sequencing	0.593	Whole Genome Sequencing	0.815	16S metagenomic sequencing			0.98	Metagenomic sequencing
Laboratory tests	0.591	laboratory animal care	0.324	scanning tunnelling spectroscopy	0.896	Laboratory Procedure								
Stable isotope analysis	0.404	replicate analysis	0.646	stable isotope ratio mass spectrometry	0.514	DNA Stability Analysis	0.44	structure analysis method	0.488	data transformation	0.43	urine analysis	0.53	Exome sequencing
Reduced Representation Bisulfite Sequencing (RRBS)	0.891	reduced representation bisulfite sequencing assay			0.81	Reduced-Representation Bisulfite Sequencing	0.608	Bisulfite Sequencing assay	0.69	RRMAB-seq			0.464	Sequencing
Review of hospital discharge codes			0.585	discharge mass spectrometry	0.632	Clinical Status Ordinal Scale Outcome 1	0.345	charge coupled device						
T-cell receptor beta (TCRb) sequencing	0.611	T cell receptor repertoire sequencing assay	0.334	phase cycle	0.658	T Cell Receptor Repertoire Sequencing	0.501	receptor	0.541	single cell sequencing			0.566	Sequencing
Random number algorithm	0.486	probabilistic algorithm			0.526	Randomization	0.525	genetic algorithm method	0.529	DNA shearing	0.312	random zero sphygmomanometer		
SPAdes preassembly	0.469	sequence assembly process			0.396	FAQ - Assemble			0.32	BAsE-Seq				
Phylogenetic analysis	0.439	network analysis	0.561	titration	0.985	Phylogenetic Analysis	0.815	computational phylogenetic analysis	0.5	data transformation	0.44	urine analysis	0.543	Exome sequencing
High-throughput sequencing	0.837	genotyping by high throughput sequencing assay	0.379	phase cycle	0.676	High Throughput Screening	0.533	low throughput screening	0.891	assay by high throughput sequencer	0.76	high throughput expression assay	0.643	Sequencing
CyTOF experiments	0.559	epitope protection experiment	0.688	nuclear Overhauser enhancement spectroscopy	0.708	Experiment	0.499	experimental design method	0.32	CytoSeq			0.542	RNAi experiment
C. elegans behavioral database					0.511	Behavioral Intervention	0.401	organism behavior assay	0.468	behavioral stimulus				
Staining with DAPI	0.682	staining	0.458	negative-staining transmission electron microscopy	0.693	Staining Method	0.444	vital dye staining	0.373	cytokine secretion assay				
Covariance matrix	0.457	variance calculation	0.328	excitation–emission matrix fluorescence spectroscopy	0.606	Variance	0.507	distance matrix alignment	0.383	raw matrix generation				
Rapid malaria test	0.63	malaria rapid diagnosis assay	0.399	rapid-scan infrared absorption spectroscopy	0.655	Plasmodium Measurement	0.301	RapidFire Mass Spec			0.358	Schirmer test		
Demographic surveillance	0.603	surveillance process	0.386	thermography	0.692	Surveillance	0.335	tomography			0.33	tomography	0.357	MRI
Ethical review					0.604	Medical Chart Review								
Integron analysis	0.489	regression analysis method	0.586	X-ray diffraction	0.602	Regression Method	0.635	integrated pathway analysis	0.559	data transformation	0.492	urine analysis	0.607	Exome sequencing
Network analysis	0.978	network analysis	0.605	X-ray diffraction	0.972	Pathway Analysis	0.984	network analysis	0.577	data transformation	0.508	urine analysis	0.627	Exome sequencing
Data dictionaries	0.438	class prediction data transformation	0.316	differential interference contrast microscopy	0.307	Direct Antiglobulin Test	0.304	data based structure generation	0.35	data transformation				
Extracellular matrix (ECM) detection	0.488	submatrix extraction	0.481	mass detection	0.554	Extracellular Water Measurement	0.355	gene expression detection method	0.353	cellular modification	0.412	intracellular calcium assay		
Data collection method	0.472	cell collecting	0.615	reflection method	0.6	Gravity Drip Collection Method	0.474	transfection method	0.493	specimen collection process	0.602	body fluid collection method		
density gradient centrifugation	0.622	centrifugation	0.502	pulsed field gradient	0.933	Density Gradient Centrifugation	0.433	conjugate gradient method	0.968	density gradient centrifugation	0.666	centrifugation		
Geographic location/study sites	0.358	study intervention			0.475	Electrocardiographic Study	0.312	localization assay						
Outcome evaluation	0.471	liver evaluation venous blood protein assay			0.626	Oral Examination					0.365	free radical elective evaluator photometry		
Thick blood smear staining	0.569	staining	0.382	negative-staining transmission electron microscopy	0.644	Thick Smear Technique	0.37	vital dye staining	0.329	blood draw	0.313	blood creatinine analysis		
Phone calls			0.489	multi-angle light scattering	0.423	Multi-Angle Laser Light Scattering								
Myeloperoxidase activity analysis	0.39	acyl-CoA oxidase activity level assay	0.503	activation analysis	0.685	Myeloperoxidase Measurement	0.431	kinase activity assay	0.402	data transformation	0.487	blood renin activity assay	0.436	Exome sequencing
Fibrosis marker analysis	0.482	dialysis	0.569	X-ray diffraction	0.662	Fibrosis Assessment	0.488	image analysis method	0.538	data transformation	0.482	urine analysis	0.595	Exome sequencing
Probability Proportion to Size (PPS) technique	0.458	detection technique	0.47	scanning vibrating electrode technique	0.447	Dose Proportionality Study	0.352	protein stability assay						
Household surveys					0.586	Panel Study of Income Dynamics, Wealth Supplement								
Competing risk regression analysis	0.638	regression analysis method	0.421	X-ray diffraction	0.732	Regression Method	0.551	computational expression analysis	0.476	cap analysis gene expression	0.358	bone compression test	0.436	Exome sequencing
Geographic location/study sites selection	0.485	selection	0.394	site-selection spectroscopy	0.484	Action Study	0.336	affinity selection	0.374	hybrid selection of targets				
Whole genome sequencing	0.955	whole genome sequencing assay	0.405	phase cycle	0.978	Whole Genome Sequencing	0.982	Whole Genome Sequencing	0.739	exome sequencing			0.98	Whole genome sequencing
Transcriptome sequencing	0.843	metatranscriptome sequencing assay	0.387	phase cycle	0.979	Whole Transcriptome Sequencing	0.511	Whole Genome Sequencing	0.805	G&T-Seq	0.454	high throughput transcription profiling by array	0.733	RNA-Seq
Pharyngocirrus isolation and sequencing	0.532	chromatin isolation by RNA purification sequencing assay	0.413	phase cycle	0.533	Nucleic Acid Sequencing	0.361	Whole Genome Sequencing	0.425	DNA-seq			0.548	Sequencing
Qualitative data collection	0.423	cell collecting	0.335	quantitative determination method	0.561	Prospective Tissue Collection	0.391	quantitative PCR	0.441	specimen collection process	0.376	body fluid collection method		
Reverse Transcription Polymerase Chain Reaction (RT-PCR)	0.889	reverse transcription polymerase chain reaction assay	0.356	proton transfer reaction mass spectrometry	0.91	Reverse Transcriptase-Polymerase Chain Reaction	0.688	polymerase chain reaction	0.921	reverse transcribed polymerase chain reaction	0.923	reverse transcription polymerase chain reaction assay	0.729	PCR experiment
Quantitative real-time PCR	0.504	quantitative venous blood IgA assay	0.458	quantitative determination method	0.964	Real Time PCR	0.799	quantitative PCR	0.36	polymerase chain reaction	0.683	real-time polymerase chain reaction assay		
Incidence rate calculation	0.484	variance calculation	0.411	electron coincidence spectroscopy	0.497	Intraocular Lens Power Calculation	0.385	calculated value						
Bar-coded pyrosequencing	0.74	pyrosequencing assay	0.34	phase cycle	0.771	Pyrosequencing	0.404	Whole Genome Sequencing	0.733	454 Sequencing			0.599	Sequencing
Data adjustment	0.366	data vector reduction data transformation			0.615	Adjusted Bonferroni Correction	0.315	sequencing data alignment software	0.325	data transformation				
Rapid diagnostic testing	0.669	falcivax rapid diagnostic test	0.326	rapid-scan infrared absorption spectroscopy	0.757	Diagnostic Procedure								
