_id	name	description	Model	Measurement Technique	Predictions
lds-1007	HG-6-64-1 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay, quantitative PCR']
lds-1032	JWE-035 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay', 'Quantitative PCR']
lds-1026	NU7441 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['KINOMEscan assay platform', 'Competition binding assay', 'Kinase-tagged phage', 'Immobilized ligand', 'Quantitative PCR', 'Graphical presentation on TREEspot Kinase Dendrograms']
lds-1075	SB590885 KiNativ -- dose response experiment	The KiNativ assay platform is based on the use of biotinylated acyl phosphates of ATP or ADP that act as probes by reacting with protein kinases on conserved lysine residues in the ATP binding pocket to covalently attach a biotin moiety.  Using these probes, cell lysates treated with a kinase inhibitor can be labeled with BHAcATP or BHAcADP, with kinases inhibited by the compound of interest exhibiting reduced or no labeling.  This is followed by digestion with trypsin, isolation of biotinylated peptides, and analysis by mass spectrometry to determine the extent of labeling of peptides from each kinase.	gpt-3.5-turbo	{'name': 'KiNativ kinase-small molecule binding assay', 'description': 'Biochemical'}	['KiNativ assay platform', 'Biotinylated acyl phosphates', 'Cell lysate treatment', 'BHAcATP labeling', 'BHAcADP labeling', 'Kinase inhibitor treatment', 'Trypsin digestion', 'Isolation of biotinylated peptides', 'Mass spectrometry analysis']
lds-1074	GW-5074 KiNativ -- dose response experiment	The KiNativ assay platform is based on the use of biotinylated acyl phosphates of ATP and ADP that act as probes by reacting with protein kinases on conserved lysine residues in the ATP binding pocket to covalently attach a biotin moiety.  Using these probes, cell lysates treated with a kinase inhibitor can be labeled with BHAcATP or BHAcADP, with kinases inhibited by the compound of interest exhibiting reduced or no labeling.  This is followed by digestion with trypsin, isolation of biotinylated peptides, and analysis by mass spectrometry to determine the extent of labeling of peptides from each kinase.	gpt-3.5-turbo	{'name': 'KiNativ kinase-small molecule binding assay', 'description': 'Biochemical'}	['KiNativ assay', 'Biotinylated acyl phosphates', 'Protein kinase reactions', 'Covalent attachment', 'Cell lysate treatment', 'BHAcATP labeling', 'BHAcADP labeling', 'Trypsin digestion', 'Isolation of biotinylated peptides', 'Mass spectrometry analysis']
lds-1076	PLX-4720 KiNativ -- dose response experiment	The KiNativ assay platform is based on the use of biotinylated acyl phosphates of ATP or ADP that act as probes by reacting with protein kinases on conserved lysine residues in the ATP binding pocket to covalently attach a biotin moiety.  Using these probes, cell lysates treated with a kinase inhibitor can be labeled with BHAcATP or BHAcADP, with kinases inhibited by the compound of interest exhibiting reduced or no labeling.  This is followed by digestion with trypsin, isolation of biotinylated peptides, and analysis by mass spectrometry to determine the extent of labeling of peptides from each kinase.	gpt-3.5-turbo	{'name': 'KiNativ kinase-small molecule binding assay', 'description': 'Biochemical'}	['KiNativ assay platform', 'Biotinylated acyl phosphates of ATP or ADP', 'Protein kinases', 'Covalent attachment', 'BHAcATP', 'BHAcADP', 'Kinase inhibitor', 'Trypsin digestion', 'Isolation of biotinylated peptides', 'Mass spectrometry analysisc']
lds-1073	Sorafenib KiNativ -- dose response experiment	The KiNativ assay platform is based on the use of biotinylated acyl phosphates of ATP or ADP that act as probes by reacting with protein kinases on conserved lysine residues in the ATP binding pocket to covalently attach a biotin moiety.  Using these probes, cell lysates treated with a kinase inhibitor can be labeled with BHAcATP or BHAcADP, with kinases inhibited by the compound of interest exhibiting reduced or no labeling.  This is followed by digestion with trypsin, isolation of biotinylated peptides, and analysis by mass spectrometry to determine the extent of labeling of peptides from each kinase.	gpt-3.5-turbo	{'name': 'KiNativ kinase-small molecule binding assay', 'description': 'Biochemical'}	['KiNativ assay platform', 'Biotinylated acyl phosphates', 'Protein kinases', 'Cell lysates', 'BHAcATP/BHAcADP labeling', 'Trypsin digestion', 'Isolation of biotinylated peptides', 'Mass spectrometry analysis']
lds-1027	KIN001-220 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay', 'Quantitative PCR']
lds-1015	CP724714 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay, quantitative PCR']
lds-1022	WH-4-023 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay', 'Kinome profiling', 'Quantitative PCR']
lds-1020	BMS345541 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay', 'Quantitative PCR']
lds-1029	AZD1152-HQPA KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay', 'Quantitative PCR (qPCR)']
lds-1014	CP466722 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay', 'Kinome profiling', 'Quantitative PCR']
lds-1030	PD0332991 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay', 'Kinome profiling', 'Quantitative PCR', 'Graphing techniques']
lds-1011	AZ-628 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['KINOMEscan assay platform', 'Competition binding assay', 'Kinase-tagged phage', 'Test compound', 'Immobilized ligand', 'Quantitative PCR', 'DNA tag', 'TREEspot Kinase Dendrograms']
gse1	NHGRI_Melanoma_class	This series represents a group of cutaneous malignant melanomas and unrelated controls which were clustered based on correlation coefficients calculated through a comparison of gene expressionprofiles.Keywords: other	gpt-3.5-turbo	[{'name': 'Expression profiling by array'}]	['Gene expression profiling', 'Clustering based on correlation coefficients']
gse10	eye-SAGE	Human retinal and RPE SAGE libraries.Profile of the genes expressed in the human peripheral retina, macula, and retinal pigment epithelium determined through serial analysis of gene expression (SAGE).Keywords: other	gpt-3.5-turbo	[{'name': 'Expression profiling by SAGE'}]	['Serial analysis of gene expression (SAGE)']
gse100	zzMex67 co-IPed RNA vs. Total RNA  (zzMex67IP_v_TotalRNA)	Comparison of cDNA from RNA IPed with zzMex67 to that from total RNA; resulting analysis gives Mex67 binding level relative to total abundance for each mRNAKeywords: repeat sample	gpt-3.5-turbo	[{'name': 'Expression profiling by array'}]	['RNA immunoprecipitation (RNA IP)', 'cDNA synthesis', 'Comparative analysis']
gse1000	Osteosarcoma TE85 cell tissue culture study	Amino acid conjugated surfaces and controls at 6 and 32 hoursKeywords: other	gpt-3.5-turbo	[{'name': 'Expression profiling by array'}]	['Tissue culture', 'Amino acid conjugation', 'Control experiments', 'Timepoint analysis']
