_id	Name	Description	Model	Predictions
GSE212104	Identification and interrogation of the gene regulatory network of CEBPA double mutant Acute Myeloid Leukaemia [Promoter capture HiC]	Acute myeloid leukaemia (AML) is a heterogeneous haematological malignancy caused by mutations in genes encoding transcriptional and epigenetic regulators together with signalling genes. It is characterised by a disturbance of differentiation and abnormal proliferation of hematopoietic progenitors. We have previously shown that each AML subtype establishes its own core gene regulatory network, consisting of transcription factors binding to their target genes and imposing a specific gene expression pattern that is required for AML maintenance. In the study presented here, we integrate gene expression, open chromatin and ChIP data, with promoter-capture HiC data to define a refined core gene regulatory network common to all patients with one CEBPA N-terminal mutation plus one C- terminal mutation that each disrupt the structure of a major regulator of myelopoiesis (CEBPAN/C AML). We identify the binding sites of mutated C/EBPα proteins in primary cells, we show that the C/EBP family, AP-1 factors and RUNX1 colocalise and are all required for AML maintenance, and we employ single cell experiments to link important network nodes to the specific differentiation trajectory from leukemic stem to blast cells. Taken together, our study provides an important resource which predicts the specific therapeutic vulnerabilities of this AML sub-type in human cells. Promoter capture HiC of an Acute Myeloid Leukemia patient with double CEBPA mutations	gpt-3.5-turbo	['Gene expression analysis', 'Open chromatin analysis', 'ChIP (Chromatin immunoprecipitation)', 'Promoter capture HiC (High-throughput chromosome conformation capture)']
GSE77962	Adipose tissue gene expression is differentially regulated with different rates of weight loss in overweight and obese humans	Background: Moderate weight loss can ameliorate adverse health effects associated with obesity, reflected by an improved adipose tissue (AT) gene expression profile. However, the effect of rate of weight loss on the AT transcriptome is unknown.Objective: We investigated the global AT gene expression profile before and after two different rates of weight loss that resulted in similar total weight loss, and after a subsequent weight stabilization period.Design: In this randomized controlled trial, 25 male and 28 female individuals (BMI: 28-35 kg/m2) followed either a low-calorie diet (LCD; 1250 kcal/d) for 12 weeks or a very-low-calorie diet (VLCD; 500 kcal/d) for 5 weeks (weight loss (WL) period) and a subsequent weight stable (WS) period of four weeks. The WL period and WS period together is termed dietary intervention (DI) period. Abdominal subcutaneous AT biopsies were collected for microarray analysis, and gene expression changes were calculated for all three periods in the LCD group, VLCD group and between diets (ΔVLCD-ΔLCD).Results: Weight loss was similar between groups during the WL period (LCD: -8.1±0.5 kg, VLCD: -8.9±0.4 kg, difference p=0.25). Overall, more genes were significantly regulated and changes in gene expression were more extreme in the VLCD group compared to the LCD group. Gene sets related to mitochondrial function, adipogenesis and immunity/inflammation were more strongly upregulated on a VLCD compared to a LCD during the DI period (positive ΔVLCD-ΔLCD). Neuronal- and olfactory-related gene sets were decreased during the WL period and DI period in the VLCD group.Conclusions: The rate of weight loss (LCD vs. VLCD), with similar total weight loss, strongly regulates AT gene expression. Increased mitochondrial function and adipogenesis on a VLCD compared to a LCD reflect potential beneficial diet-induced changes in AT, while differential neuronal and olfactory regulation suggest functions of these genes beyond the current paradigm. In this randomized controlled trial, 53 male and female individuals (BMI: 28-35 kg/m2) underwent a dietary intervention (DI) with two different rates of weight loss consisting of either a low-calorie diet (1250 kcal/d) for 12 weeks or a very-low-calorie diet (500 kcal/d) for 5 weeks (weight loss (WL) period) and a subsequent weight stable (WS) period of four weeks. Abdominal subcutaneous AT biopsies were collected for whole-genome gene expression analysis at study start, after the WL period and after the WS period.This trial is registered with www.clinicaltrials.gov under the accession number NCT01559415.	gpt-3.5-turbo	['Whole-genome gene expression analysis', 'Microarray analysis']
GSE168192	Persister state-directed transitioning and vulnerability in melanoma	Melanoma is a highly plastic tumor characterized by dynamic interconversion of different cell identities depending on the biological context. For example, melanoma cells with high expression of the H3K4 demethylase KDM5B (JARID1B) rest in a slow-cycling, yet reversible persister state. Over time, KDM5Bhigh cells can promote rapid tumor repopulation with equilibrated KDM5B expression heterogeneity. The cellular identity of KDM5Bhigh persister cells has not been studied so far, missing an important cell state-directed treatment opportunity in melanoma. Here, we have established a doxycycline-titratable system for genetic induction of permanent intratumor expression of KDM5B and screened for chemical agents that phenocopy this effect. Transcriptional profiling and cell functional assays confirmed that the dihydropyridine phenoxyethyl 4-(2-fluorophenyl)-2,7,7-trimethyl-5-oxo-1,4,5,6,7,8-hexa-hydro-quinoline-3-carboxylate (termed Cpd1) supports high KDM5B expression and directs melanoma cells towards differentiation along the melanocytic lineage and to cell cycle-arrest. The high KDM5B state additionally prevents cell proliferation through negative regulation of cytokinetic abscission. Moreover, treatment with Cpd1 promoted the expression of the melanocyte-specific tyrosinase gene specifically sensitizing melanoma cells for the tyrosinase-processed antifolate prodrug 3-O-(3,4,5-trimethoxybenzoyl)-(-)-epicatechin (TMECG). In summary, our study provides proof-of-concept for a new dual hit strategy in melanoma, in which persister state-directed transitioning limits tumor growth and plasticity and primes melanoma cells towards lineage-specific elimination. RNAseq of melanoma cells with KDM5B knockdown (WM3734Tet3G-shJARID1B or as control  WM3734Tet3G-scramble, described in Shannan et al., European journal of cancer 2019) were induced with 500 ng/ml doxycycline for 72 h and analysed in triplicate using Illumina sequencer NextSeq 500.	gpt-3.5-turbo	['RNAseq', 'Doxycycline induction', 'Genetic knockdown', 'Cell functional assays', 'Transcriptional profiling', 'Illumina sequencing']
GSE45593	GENOMICS TO IDENTIFY HLA IDENTICAL RENAL TRANSPLANT TOLERANCE SIGNATURES	Immunosuppression is needed in HLA identical sibling renal transplantation.  We conducted a tolerance trial in this patient cohort using Alemtuzumab induction, donor hematopoietic stem cells, tacrolimus/mycophenolate immunosuppression converted to sirolimus, planning complete drug withdrawal by 24 months post-transplantation.  After an additional 12 months with no immunosuppression, normal biopsies and renal function, recipients were considered tolerant.  Twenty recipients were enrolled.  Of the first 10 (>36 months post-transplantation), 5 had immunosuppression successfully withdrawn for 16-36 months (tolerant), 2 had disease recurrence and 3 had subclinical rejection in protocol biopsies (non-tolerant). Microchimerism disappeared after 1 year, and CD4+CD25highCD127-FOXP3+ T cells and CD19+IgD/M+CD27- B cells increased to 5 years post-transplantation in both groups, whereas immune/inflammatory gene expression pathways in the peripheral blood and urine were differentially downregulated in tolerant compared to non-tolerant recipients. Therefore, in this HLA identical renal transplant tolerance trial, absent chimerism, Treg and Breg immunophenotypes were indistinguishable between tolerant and non-tolerant recipients, but global genomic changes indicating immunomodulation were observed only in tolerant recipients. A total of 46 PBMC samples representing blood draws from four time points in the first 9 recipients were processed for microarray analysis (The Scripps Research Institute, La Jolla, CA). The analyzed time points were: immediately pre-operatively in the absence of immunosuppression (n=9); post-operatively at 1 year (n=8, range 11-13 months); at 2 years (n=12, range 18-25 months); >3 years (n=17, range 32-48 months).  (At year 2 and at > 3 years, repeated samples were obtained from individual subjects, and at one year, one subject had a technically unsatisfactory sample.)  To discount the effects of immunosuppression on gene expression, microarray data were included on whole blood from 18 healthy human subjects (controls: GSE40586; NCBI Gene Expression Omnibus [GEO] repository).	gpt-3.5-turbo	['Genomics', 'Immunophenotyping', 'Microarray analysis']
GSE170953	DNase-seq from head of caudate nucleus (ENCSR663MNQ)	For data usage terms and conditions, please refer to http://www.genome.gov/27528022 and http://www.genome.gov/Pages/Research/ENCODE/ENCODE_Data_Use_Policy_for_External_Users_03-07-14.pdf https://www.encodeproject.org/ENCSR663MNQ/	gpt-3.5-turbo	['DNase-seq']
GSE89744	Analyses of a mutant FoxP3 allele reveal BATF as a critical transcription factor in the differentiation and accumulation of tissue regulatory T cells	This SuperSeries is composed of the SubSeries listed below. Refer to individual Series	gpt-3.5-turbo	['Mutant FoxP3 allele analysis', 'Transcription factor analysis', 'Differentiation analysis', 'Accumulation analysis']
GSE159211	Single-cell RNA sequencing of pancreatic islets from obese mice with different diabetes risk reveals diabetes-susceptible β cell clusters	Single-cell RNA sequencing of pancreatic islets from 18-week-old male New Zealand Obese (NZO/HIBomDife) and B6.V-Lepob/ob (OB) mice were fed a standard diet or a carbohydrate-enriched diet for 2 additional days (+CH / -CH). 4 single-cell RNA sequencing experiments of pancreatic islets of 3 pooled mice per condition were performed using the Chromium Single Cell 3ʹ Reagent Kit v3 (10X Genomics, PN-1000075, Pleasanton, USA), to generate single cell expression profiles of OB and NZO mice with and without a diabetonic treatment.	gpt-3.5-turbo	['Single-cell RNA sequencing', 'Chromium Single Cell 3ʹ Reagent Kit v3', 'Pooling mice', 'Diabetic treatment']
GSE96578	Transcriptional profiles of CD8+ T cells from peripheral blood of melanoma patients before and after anti-PD1 therapy	RNA-Seq analysis was used to study the profile of CD8 t cells from melanoma patients before and after treatment to understand if we can detect transcriptional changes in peripheral blood Transcriptional profiles of CD8+ T cells from peripheral blood of melanoma patients before and after anti-PD1 therapy	gpt-3.5-turbo	['RNA-Seq analysis']
GSE99566	c-MYC drives neuroblastoma tumorigenesis and retinoic acid resistance in zebrafish [ATAC-Seq]	Neuroblastoma is an often intractable tumor that accounts for 15% of childhood cancer deaths. In addition to MYCN amplification in 20% of tumors, 11% express high levels of c-MYC (MYC) protein. To study this newly defined subgroup, we have created a novel transgenic zebrafish model in which overexpression of MYC in the peripheral sympathetic nervous system drives early-onset neuroblastoma. ATAC-seq was performed on MYC and MYCN driven neuroblastoma tumors to determine chromatin accesibility in these cells	gpt-3.5-turbo	['ATAC-Seq (Assay for Transposase-Accessible Chromatin using sequencing)']
GSE225776	Effect of frataxin silencing by RNAi on 4, 7 and 14 days old worms	The study aimed to investigate the mechanisms that promote compensatory pro-longevity responses during mild mitochondrial stress in Caenorhabditis elegans.   This was achieved by performing a DNA microarray analysis to compare gene expression profiles of wild-type and mild mitochondrial-stressed long-lived worms at days 4, 7, and 14 after birth, in five replicates.    The worms were fed with either an empty-vector control (pL4440) or vector-expressing dsRNA against nematode frataxin (frh-1) to induce mild mitochondrial stress, for 3 consecutive generation starting from eggs. frh-1 silenced and control group were collected at  days 4, 7, and 14 after birth in 5 independent replicates.	gpt-3.5-turbo	['RNA interference (RNAi)', 'DNA microarray analysis', 'Gene expression profiling', 'Replicates', 'Frataxin silencing']
GSE105736	ChIP-seq from thyroid gland (ENCSR492ZIW)	CTCF ChIP-seq on human thyroid glandFor data usage terms and conditions, please refer to http://www.genome.gov/27528022 and http://www.genome.gov/Pages/Research/ENCODE/ENCODE_Data_Use_Policy_for_External_Users_03-07-14.pdf https://www.encodeproject.org/ENCSR492ZIW/	gpt-3.5-turbo	['Chromatin immunoprecipitation sequencing (ChIP-seq)']
GSE173004	DNase-seq from activated CD4-positive, alpha-beta T cell (ENCSR696LPC)	For data usage terms and conditions, please refer to http://www.genome.gov/27528022 and http://www.genome.gov/Pages/Research/ENCODE/ENCODE_Data_Use_Policy_for_External_Users_03-07-14.pdf https://www.encodeproject.org/ENCSR696LPC/	gpt-3.5-turbo	['DNase-seq']
GSE39113	Control of Pro-Inflammatory Gene Programs by Regulated Trimethylation and Demethylation of Histone H4K20	Regulation of genes that initiate and amplify inflammatory programs of gene expression is achieved by signal-dependent exchange of co-regulator complexes that function to read, write and erase specific histone modifications linked to transcriptional activation or repression.  Here, we provide evidence for an unexpected role of trimethylated histone H4 lysine 20 (H4K20me3) as a repression checkpoint that restricts expression of toll like receptor 4 (TLR4) target genes in macrophages. H4K20me3 is deposited at the promoters of a subset of these genes by the SMYD5 histone methyltransferase through its association with NCoR co-repressor complexes.  Signal-dependent erasure of H4K20me3 is required for effective gene activation and is achieved by NF-KB-dependent delivery of the histone demethylase PHF2.  Liver X receptors antagonize TLR4-dependent gene activation by maintaining NCoR/SMYD5-mediated repression. These findings reveal a histone H4K20 tri-methylation/de-methylation strategy that integrates positive and negative signaling inputs that control immunity and homeostasis. mRNA profiling from thioglycollate-elicited mouse macrophages treated with siRNA for Control, Smyd5 and Phf2 for 48 hours followed by 4 hours of LPS treatment.	gpt-3.5-turbo	['siRNA treatment', 'mRNA profiling']
GSE83003	ChIP-seq from forebrain (ENCSR894JAS)	H3K9me3 ChIP-seq on embryonic 11.5 day mouse forebrainFor data usage terms and conditions, please refer to http://www.genome.gov/27528022 and http://www.genome.gov/Pages/Research/ENCODE/ENCODE_Data_Use_Policy_for_External_Users_03-07-14.pdf https://www.encodeproject.org/ENCSR894JAS/	gpt-3.5-turbo	['ChIP-seq']
GSE119163	Genome-wide characterization of the Fur regulatory network reveals a link between catechol degradation and bacillibactin metabolism in Bacillus subtilis	The goal of this study is to obtain a genomic view of the Fur regulatory network under both iron replete and iron deficient conditions in Bacillus subtilis using ChIP-seq. Besides the known Fur target sites, 70 putative DNA binding sites were identified, and the vast majority had higher occupancy under iron sufficient conditions. In addition,we discovered a role for catechol degradation in bacillibactin metabolism, and provided evidence that catechol 2,3-dioxygenase can detoxify endogenously produced catechol substrates in addition to its more widely studied role in biodegradation of environmental aromatic compounds and pollutants. To modulate intracellular iron levels, we employed a high-affinity Fe2+ exporter FrvA from L. monocytogenes to impose iron starvation. Bacillus wild-type cells (with C-terminal FLAG-tagged Fur at its native locus and an IPTG-inducible ectopic copy of frvA integrated at amyE locus) were harvested at 0 and 30 min after IPTG induction to study Fur-dependent regulation under iron sufficient and deficient conditions, respectively.	gpt-3.5-turbo	['ChIP-seq, genomic characterization, high-affinity Fe2+ exporter, immunoprecipitation, ectopic copy integration.']
GSE132843	Microarray data from human cultured ILC3s	Innate lymphoid cells (ILCs) are tissue-resident lymphocytes subdivided into ILC1s, ILC2s and ILC3s based on core regulatory programs and signature cytokines secreted. ILCs exhibit functional plasticity: for instance, human IL-22-producing ILC3s convert into IFN-γ-producing ILC1-like in vitro. Whether this conversion occurs in vivo is unclear. Using flow cytometry, mass cytometry and scRNAseq, here we found that ILC3s and ILC1s occupy opposite ends of a spectrum including discrete subsets in human tonsils. RNA velocity suggested strong directionality toward ILC1s for one ILC3-ILC1 intermediate cluster. Clonal analysis revealed graded ability of ILC3-ILC1 subsets to convert into ILC1-like cells. When examined in humanized mice, ILC3 acquisition of ILC1 features showed tissue-dependency. In chromatin studies, Aiolos emerged as a nuclear factor that cooperates with Tbet to repress evolutionarily conserved regulatory elements active in ILC3s. The human intestine also exhibited an ILC3–ILC1 transitional population. We conclude that conversion of ILC3s to ILC1-like occurs in vivo in human tissues, and that tissue factors and Aiolos are crucial for this process. ILC3 were sorted from human tonsils, expanded in SCF+IL-7 and stimulated with IL-23+IL-1b+IL-15 overnight.	gpt-3.5-turbo	['Flow cytometry', 'Mass cytometry', 'single-cell RNA sequencing (scRNAseq)', 'RNA velocity analysis', 'Clonal analysis', 'Chromatin studies']
GSE154493	p300 suppresses the transition of myelodysplastic syndrome to acute myeloid leukemia [ChIP-seq II]	The p300 lysine acetyltransferase (KAT) can function as an oncogene or a tumor suppressor in hematologic malignancies. We have identified a tumor suppressor role for p300 in myelodysplastic syndrome (MDS) driven by Tet2 deficiency. Compared to Tet2-null hematopoietic stem and progenitor cells (HSPCs), HSPCs lacking both p300 and Tet2 (double knock out, DKO) displayed enhanced proliferation and impaired differentiation. Consequently, p300Δ/Δ Tet2-/- mice developed acute myeloid leukemia. p300 loss in Tet2-/- HSPCs induced a global epigenomic reprogramming that enhanced leukemogenicity at least in part by increasing expression of Myb, as knock-down of Myb specifically hindered the proliferation of the DKO HSPCs. We show that p300 KAT activity regulates the function of Tet2 null HSPCs, and that augmenting p300 function impairs their unlimited self-renewal. Such a strategy could prove useful in individuals with Tet2 deficient hematopoiesis or MDS. 25M mouse lin- bone marrow cells were isolated from WT mice for Myb enrichment by ChIPseq.	gpt-3.5-turbo	['Chromatin immunoprecipitation sequencing (ChIP-seq)', 'Knock-out (KO)', 'RNA interference (RNAi)', 'Enrichment']
GSE162842	The PAF1 complex promotes 3‘ processing of pervasive transcripts [ChIP-seq]	The PAF1 complex (PAF1C) functions in multiple transcriptional and co-transcriptional processes. Although many aspects of the requirement for PAF1 in coding gene transcription have been heavily studied, the function of PAF1C at sites of non-coding transcription is poorly understood.  eRNAs and PROMPTs are pervasive transcripts transcribed by RNA Polymerase II and rapidly degraded after 3’ endonucleolytic cleavage by the Integrator complex (Integrator). Here we show that PAF1C depletion results in near universal 3’ end processing defects in pervasive transcripts, leading to transcription termination dysregulation. Mechanistically, PAF1C recruits Integrator to chromatin through direct interactions promoting timely cleavage and transcription termination of pervasive transcripts. We also show that PAF1C recruits Integrator to the promoters of coding genes, where PAF1C then dissociates from the Integrator complex upon entry into processive elongation. Our results demonstrate an unexpected function for PAF1C in limiting the length and accumulation of pervasive transcripts, while highlighting a general requirement for PAF1C in Integrator recruitment. Examination of H3K27ac, PAF1 and INTS11 distribution	gpt-3.5-turbo	['ChIP-seq', 'Immunoprecipitation', 'Western blotting', 'RNA Polymerase II transcription assays']
GSE81972	Determination of the RNA linked to the paraspeckle in the GH4C1 cell line	The goal of this study was to determine the identity of the RNA linked to the paraspeckles in the rat GH4C1 cell line. GH4C1 cell were fixed with 1% paraformaldehyde in PBS. Then nuclei were purified, lysed and sonicated. RNA pull-down was performed using two antisense DNA biotinylated oligonucleotide probes that target the lncRNA Neat1. Streptavidin-magnetic beads were added to hybridization reaction and complexes were captured by magnets. RNA was isolated using NucleoSpin®RNA XS (Macherey-Nagel).	gpt-3.5-turbo	['Fixation with paraformaldehyde', 'Nuclei purification', 'Lysis', 'Sonication', 'RNA pull-down', 'Antisense DNA biotinylated oligonucleotide probes', 'Streptavidin-magnetic beads', 'Hybridization reaction', 'Magnetic capture', 'RNA isolation']
