	name	dup_counts
3286	Binary black-hole simulation SXS:BBH:0260	3
3287	Binary black-hole simulation SXS:BBH:0261	2
3288	Binary black-hole simulation SXS:BBH:0262	4
3290	Binary black-hole simulation SXS:BBH:0265	2
3294	Binary black-hole simulation SXS:BBH:0269	2
3295	Binary black-hole simulation SXS:BBH:0270	3
3296	Binary black-hole simulation SXS:BBH:0271	3
3297	Binary black-hole simulation SXS:BBH:0272	2
3298	Binary black-hole simulation SXS:BBH:0273	2
3299	Binary black-hole simulation SXS:BBH:0274	2
3300	Binary black-hole simulation SXS:BBH:0275	2
3301	Binary black-hole simulation SXS:BBH:0276	3
3303	Binary black-hole simulation SXS:BBH:0278	3
3305	Binary black-hole simulation SXS:BBH:0280	3
3310	Binary black-hole simulation SXS:BBH:0286	3
3311	Binary black-hole simulation SXS:BBH:0287	2
3314	Binary black-hole simulation SXS:BBH:0291	2
3315	Binary black-hole simulation SXS:BBH:0292	2
3316	Binary black-hole simulation SXS:BBH:0293	3
3317	Binary black-hole simulation SXS:BBH:0294	2
3318	Binary black-hole simulation SXS:BBH:0295	2
3319	Binary black-hole simulation SXS:BBH:0296	2
3321	Binary black-hole simulation SXS:BBH:0298	4
3323	Binary black-hole simulation SXS:BBH:0300	2
3325	Binary black-hole simulation SXS:BBH:0302	2
3326	Binary black-hole simulation SXS:BBH:0303	3
3327	Binary black-hole simulation SXS:BBH:0305	3
3328	Binary black-hole simulation SXS:BBH:0307	2
3329	Binary black-hole simulation SXS:BBH:0308	3
3331	Binary black-hole simulation SXS:BBH:0310	3
3332	Binary black-hole simulation SXS:BBH:0311	2
3333	Binary black-hole simulation SXS:BBH:0312	3
3338	Binary black-hole simulation SXS:BBH:0319	2
3341	Binary black-hole simulation SXS:BBH:0322	2
3344	Binary black-hole simulation SXS:BBH:0327	4
3345	Binary black-hole simulation SXS:BBH:0328	2
3346	Binary black-hole simulation SXS:BBH:0329	3
3347	Binary black-hole simulation SXS:BBH:0330	2
3354	Binary black-hole simulation SXS:BBH:0337	2
3355	Binary black-hole simulation SXS:BBH:0338	4
3358	Binary black-hole simulation SXS:BBH:0341	4
3359	Binary black-hole simulation SXS:BBH:0342	2
3361	Binary black-hole simulation SXS:BBH:0344	2
3362	Binary black-hole simulation SXS:BBH:0345	2
3363	Binary black-hole simulation SXS:BBH:0348	4
3364	Binary black-hole simulation SXS:BBH:0349	2
3367	Binary black-hole simulation SXS:BBH:0352	3
3371	Binary black-hole simulation SXS:BBH:0356	3
3373	Binary black-hole simulation SXS:BBH:0358	2
3375	Binary black-hole simulation SXS:BBH:0360	2
3376	Binary black-hole simulation SXS:BBH:0361	2
3377	Binary black-hole simulation SXS:BBH:0362	2
3378	Binary black-hole simulation SXS:BBH:0363	3
3381	Binary black-hole simulation SXS:BBH:0366	2
3382	Binary black-hole simulation SXS:BBH:0368	3
3383	Binary black-hole simulation SXS:BBH:0369	2
3385	Binary black-hole simulation SXS:BBH:0371	2
3386	Binary black-hole simulation SXS:BBH:0372	2
3388	Binary black-hole simulation SXS:BBH:0375	2
3393	Binary black-hole simulation SXS:BBH:0381	2
3394	Binary black-hole simulation SXS:BBH:0382	2
3395	Binary black-hole simulation SXS:BBH:0383	3
3396	Binary black-hole simulation SXS:BBH:0384	2
3397	Binary black-hole simulation SXS:BBH:0385	2
3400	Binary black-hole simulation SXS:BBH:0389	3
3403	Binary black-hole simulation SXS:BBH:0392	2
3406	Binary black-hole simulation SXS:BBH:0395	4
3410	Binary black-hole simulation SXS:BBH:0399	2
3413	Binary black-hole simulation SXS:BBH:0402	3
3415	Binary black-hole simulation SXS:BBH:0404	2
3417	Binary black-hole simulation SXS:BBH:0406	2
3419	Binary black-hole simulation SXS:BBH:0408	2
3421	Binary black-hole simulation SXS:BBH:0410	2
3423	Binary black-hole simulation SXS:BBH:0412	2
3424	Binary black-hole simulation SXS:BBH:0413	2
3425	Binary black-hole simulation SXS:BBH:0414	3
3427	Binary black-hole simulation SXS:BBH:0417	2
3428	Binary black-hole simulation SXS:BBH:0418	2
3429	Binary black-hole simulation SXS:BBH:0419	2
3430	Binary black-hole simulation SXS:BBH:0420	3
3431	Binary black-hole simulation SXS:BBH:0421	2
3432	Binary black-hole simulation SXS:BBH:0422	2
3434	Binary black-hole simulation SXS:BBH:0424	3
3436	Binary black-hole simulation SXS:BBH:0426	2
3437	Binary black-hole simulation SXS:BBH:0427	3
3440	Binary black-hole simulation SXS:BBH:0431	3
3441	Binary black-hole simulation SXS:BBH:0432	4
3442	Binary black-hole simulation SXS:BBH:0433	3
3443	Binary black-hole simulation SXS:BBH:0435	2
3445	Binary black-hole simulation SXS:BBH:0437	2
3447	Binary black-hole simulation SXS:BBH:0439	4
3452	Binary black-hole simulation SXS:BBH:0446	3
3453	Binary black-hole simulation SXS:BBH:0447	2
3455	Binary black-hole simulation SXS:BBH:0449	2
3457	Binary black-hole simulation SXS:BBH:0451	2
3459	Binary black-hole simulation SXS:BBH:0453	4
3460	Binary black-hole simulation SXS:BBH:0454	3
3461	Binary black-hole simulation SXS:BBH:0455	2
3465	Binary black-hole simulation SXS:BBH:0460	2
3467	Binary black-hole simulation SXS:BBH:0462	2
3468	Binary black-hole simulation SXS:BBH:0463	2
3470	Binary black-hole simulation SXS:BBH:0465	2
3471	Binary black-hole simulation SXS:BBH:0466	3
3472	Binary black-hole simulation SXS:BBH:0467	2
3475	Binary black-hole simulation SXS:BBH:0470	2
3476	Binary black-hole simulation SXS:BBH:0471	2
3477	Binary black-hole simulation SXS:BBH:0472	3
3478	Binary black-hole simulation SXS:BBH:0473	2
3479	Binary black-hole simulation SXS:BBH:0474	2
3480	Binary black-hole simulation SXS:BBH:0475	4
3481	Binary black-hole simulation SXS:BBH:0476	3
3482	Binary black-hole simulation SXS:BBH:0477	4
3484	Binary black-hole simulation SXS:BBH:0479	3
3485	Binary black-hole simulation SXS:BBH:0481	2
3486	Binary black-hole simulation SXS:BBH:0482	2
3487	Binary black-hole simulation SXS:BBH:0483	3
3490	Binary black-hole simulation SXS:BBH:0486	2
3492	Binary black-hole simulation SXS:BBH:0488	3
3495	Binary black-hole simulation SXS:BBH:0492	2
3500	Binary black-hole simulation SXS:BBH:0497	2
3501	Binary black-hole simulation SXS:BBH:0498	2
3502	Binary black-hole simulation SXS:BBH:0499	2
3503	Binary black-hole simulation SXS:BBH:0500	3
3504	Binary black-hole simulation SXS:BBH:0501	2
3505	Binary black-hole simulation SXS:BBH:0502	3
3506	Binary black-hole simulation SXS:BBH:0503	2
3507	Binary black-hole simulation SXS:BBH:0504	3
3508	Binary black-hole simulation SXS:BBH:0505	3
3513	Binary black-hole simulation SXS:BBH:0511	2
3514	Binary black-hole simulation SXS:BBH:0513	2
3515	Binary black-hole simulation SXS:BBH:0514	2
3516	Binary black-hole simulation SXS:BBH:0515	2
3517	Binary black-hole simulation SXS:BBH:0516	2
3518	Binary black-hole simulation SXS:BBH:0517	2
3519	Binary black-hole simulation SXS:BBH:0518	3
3521	Binary black-hole simulation SXS:BBH:0520	2
3522	Binary black-hole simulation SXS:BBH:0521	2
3523	Binary black-hole simulation SXS:BBH:0522	3
3527	Binary black-hole simulation SXS:BBH:0528	3
3528	Binary black-hole simulation SXS:BBH:0529	3
3529	Binary black-hole simulation SXS:BBH:0531	3
3530	Binary black-hole simulation SXS:BBH:0532	2
3531	Binary black-hole simulation SXS:BBH:0533	2
3532	Binary black-hole simulation SXS:BBH:0535	3
3533	Binary black-hole simulation SXS:BBH:0536	4
3534	Binary black-hole simulation SXS:BBH:0537	2
3535	Binary black-hole simulation SXS:BBH:0539	3
3537	Binary black-hole simulation SXS:BBH:0541	2
3539	Binary black-hole simulation SXS:BBH:0543	2
3541	Binary black-hole simulation SXS:BBH:0545	3
3543	Binary black-hole simulation SXS:BBH:0548	2
3544	Binary black-hole simulation SXS:BBH:0549	2
3548	Binary black-hole simulation SXS:BBH:0554	3
3549	Binary black-hole simulation SXS:BBH:0555	2
3550	Binary black-hole simulation SXS:BBH:0556	3
3551	Binary black-hole simulation SXS:BBH:0558	2
3553	Binary black-hole simulation SXS:BBH:0562	2
3554	Binary black-hole simulation SXS:BBH:0563	2
3556	Binary black-hole simulation SXS:BBH:0565	2
3557	Binary black-hole simulation SXS:BBH:0566	3
3558	Binary black-hole simulation SXS:BBH:0567	2
3559	Binary black-hole simulation SXS:BBH:0568	2
3562	Binary black-hole simulation SXS:BBH:0571	2
3563	Binary black-hole simulation SXS:BBH:0572	2
3565	Binary black-hole simulation SXS:BBH:0575	2
3567	Binary black-hole simulation SXS:BBH:0577	2
3570	Binary black-hole simulation SXS:BBH:0581	2
3571	Binary black-hole simulation SXS:BBH:0582	3
3573	Binary black-hole simulation SXS:BBH:0584	2
3574	Binary black-hole simulation SXS:BBH:0585	2
3575	Binary black-hole simulation SXS:BBH:0586	4
3576	Binary black-hole simulation SXS:BBH:0587	2
3577	Binary black-hole simulation SXS:BBH:0588	2
3581	Binary black-hole simulation SXS:BBH:0593	2
3583	Binary black-hole simulation SXS:BBH:0596	5
3585	Binary black-hole simulation SXS:BBH:0599	2
3586	Binary black-hole simulation SXS:BBH:0600	3
3587	Binary black-hole simulation SXS:BBH:0601	2
3589	Binary black-hole simulation SXS:BBH:0603	4
3591	Binary black-hole simulation SXS:BBH:0605	3
3592	Binary black-hole simulation SXS:BBH:0606	3
3593	Binary black-hole simulation SXS:BBH:0607	3
3594	Binary black-hole simulation SXS:BBH:0608	3
3595	Binary black-hole simulation SXS:BBH:0609	2
3602	Binary black-hole simulation SXS:BBH:0622	3
3604	Binary black-hole simulation SXS:BBH:0624	3
3605	Binary black-hole simulation SXS:BBH:0626	3
3607	Binary black-hole simulation SXS:BBH:0628	2
3608	Binary black-hole simulation SXS:BBH:0629	2
3609	Binary black-hole simulation SXS:BBH:0630	3
3610	Binary black-hole simulation SXS:BBH:0631	4
3613	Binary black-hole simulation SXS:BBH:0634	3
3615	Binary black-hole simulation SXS:BBH:0636	3
3618	Binary black-hole simulation SXS:BBH:0639	2
3619	Binary black-hole simulation SXS:BBH:0640	2
3620	Binary black-hole simulation SXS:BBH:0641	2
3623	Binary black-hole simulation SXS:BBH:0644	2
3624	Binary black-hole simulation SXS:BBH:0645	2
3625	Binary black-hole simulation SXS:BBH:0646	2
3626	Binary black-hole simulation SXS:BBH:0647	3
3627	Binary black-hole simulation SXS:BBH:0648	3
3628	Binary black-hole simulation SXS:BBH:0649	2
3629	Binary black-hole simulation SXS:BBH:0650	4
3630	Binary black-hole simulation SXS:BBH:0651	2
3633	Binary black-hole simulation SXS:BBH:0654	3
3634	Binary black-hole simulation SXS:BBH:0655	3
3635	Binary black-hole simulation SXS:BBH:0656	3
3637	Binary black-hole simulation SXS:BBH:0659	4
3638	Binary black-hole simulation SXS:BBH:0660	3
3640	Binary black-hole simulation SXS:BBH:0662	2
3643	Binary black-hole simulation SXS:BBH:0665	4
3644	Binary black-hole simulation SXS:BBH:0666	2
3647	Binary black-hole simulation SXS:BBH:0669	3
3649	Binary black-hole simulation SXS:BBH:0671	2
3650	Binary black-hole simulation SXS:BBH:0672	2
3652	Binary black-hole simulation SXS:BBH:0675	2
3653	Binary black-hole simulation SXS:BBH:0677	3
3656	Binary black-hole simulation SXS:BBH:0682	4
3657	Binary black-hole simulation SXS:BBH:0683	2
3658	Binary black-hole simulation SXS:BBH:0684	3
3660	Binary black-hole simulation SXS:BBH:0686	3
3662	Binary black-hole simulation SXS:BBH:0688	2
3663	Binary black-hole simulation SXS:BBH:0690	2
3664	Binary black-hole simulation SXS:BBH:0691	2
3665	Binary black-hole simulation SXS:BBH:0692	2
3667	Binary black-hole simulation SXS:BBH:0694	2
3669	Binary black-hole simulation SXS:BBH:0696	3
3670	Binary black-hole simulation SXS:BBH:0697	4
3671	Binary black-hole simulation SXS:BBH:0698	2
3675	Binary black-hole simulation SXS:BBH:0702	2
3676	Binary black-hole simulation SXS:BBH:0703	2
3677	Binary black-hole simulation SXS:BBH:0704	2
3678	Binary black-hole simulation SXS:BBH:0705	3
3679	Binary black-hole simulation SXS:BBH:0707	3
3681	Binary black-hole simulation SXS:BBH:0710	2
3683	Binary black-hole simulation SXS:BBH:0712	2
3684	Binary black-hole simulation SXS:BBH:0713	2
3685	Binary black-hole simulation SXS:BBH:0714	2
3687	Binary black-hole simulation SXS:BBH:0717	3
3689	Binary black-hole simulation SXS:BBH:0721	2
3691	Binary black-hole simulation SXS:BBH:0724	3
3692	Binary black-hole simulation SXS:BBH:0725	2
3693	Binary black-hole simulation SXS:BBH:0726	2
3696	Binary black-hole simulation SXS:BBH:0729	2
3699	Binary black-hole simulation SXS:BBH:0732	2
3700	Binary black-hole simulation SXS:BBH:0733	3
3701	Binary black-hole simulation SXS:BBH:0734	2
3703	Binary black-hole simulation SXS:BBH:0737	2
3707	Binary black-hole simulation SXS:BBH:0741	2
3708	Binary black-hole simulation SXS:BBH:0742	3
3710	Binary black-hole simulation SXS:BBH:0744	3
3712	Binary black-hole simulation SXS:BBH:0746	2
3715	Binary black-hole simulation SXS:BBH:0749	3
3716	Binary black-hole simulation SXS:BBH:0750	2
3717	Binary black-hole simulation SXS:BBH:0751	3
