	_id	clean_pred	measurementTechnique	jsim
717	reframedb_a00487	Luminescence assay	cell based	0.0
716	reframedb_a00309	Video motion capture	phenotypic	0.0
846	lds-1006	quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
847	lds-1006	data analysis	KINOMEscan kinase-small molecule binding assay	0.0
715	reframedb_a00309	Video motion capture	cell based	0.0
714	reframedb_a00309	Brugia pahangi worm motility assay	phenotypic	0.0
713	reframedb_a00309	Brugia pahangi worm motility assay	cell based	0.0
850	lds-1012	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
712	reframedb_a00156	Plate reader luciferase activity measurement	phenotypic	0.0
711	reframedb_a00156	Bright Glo reagent addition	phenotypic	0.0
710	reframedb_a00156	White 384-well plate dispensing	phenotypic	0.0
852	lds-1018	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
854	lds-1017	Kinome scanning	KINOMEscan kinase-small molecule binding assay	0.0
868	lds-1077	Mass spectrometry analysis	KiNativ kinase-small molecule binding assay	0.0
871	lds-1023	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
702	reframedb_a00156	Transgenic reporter parasite creation	phenotypic	0.0
889	lds-1075	Trypsin digestion	KiNativ kinase-small molecule binding assay	0.0
684	reframedb_a00254	LC/MS method	cell-based	0.0
884	lds-1075	Biotinylated acyl phosphates	KiNativ kinase-small molecule binding assay	0.0
683	reframedb_a00254	LC/MS method	phenotypic	0.0
885	lds-1075	Cell lysate treatment	KiNativ kinase-small molecule binding assay	0.0
682	reframedb_a00254	Phenotypic screening	cell-based	0.0
680	reframedb_a00254	Growth-based high throughput screening	cell-based	0.0
886	lds-1075	BHAcATP labeling	KiNativ kinase-small molecule binding assay	0.0
887	lds-1075	BHAcADP labeling	KiNativ kinase-small molecule binding assay	0.0
888	lds-1075	Kinase inhibitor treatment	KiNativ kinase-small molecule binding assay	0.0
679	reframedb_a00254	Growth-based high throughput screening	phenotypic	0.0
881	lds-1026	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
890	lds-1075	Isolation of biotinylated peptides	KiNativ kinase-small molecule binding assay	0.0
678	reframedb_a00383	Drug concentration measurement	phenotypic	0.0
677	reframedb_a00383	Drug concentration measurement	cell based	0.0
676	reframedb_a00383	Normalization of data	phenotypic	0.0
891	lds-1075	Mass spectrometry analysis	KiNativ kinase-small molecule binding assay	0.0
675	reframedb_a00383	Normalization of data	cell based	0.0
674	reframedb_a00383	Absorbance measurement	phenotypic	0.0
673	reframedb_a00383	Absorbance measurement	cell based	0.0
893	lds-1074	Biotinylated acyl phosphates	KiNativ kinase-small molecule binding assay	0.0
882	lds-1026	Graphical presentation on TREEspot Kinase Dendrograms	KINOMEscan kinase-small molecule binding assay	0.0
880	lds-1026	Immobilized ligand	KINOMEscan kinase-small molecule binding assay	0.0
701	reframedb_a00156	Luminescent viability assay	phenotypic	0.0
692	reframedb_a00254	Z-score calculation	cell-based	0.0
700	reframedb_a00254	LC/MS assay	cell-based	0.0
699	reframedb_a00254	LC/MS assay	phenotypic	0.0
698	reframedb_a00254	Spectrophotometry	cell-based	0.0
697	reframedb_a00254	Spectrophotometry	phenotypic	0.0
696	reframedb_a00254	Z-prime score calculation	cell-based	0.0
695	reframedb_a00254	Z-prime score calculation	phenotypic	0.0
694	reframedb_a00254	Dose response analysis	cell-based	0.0
723	reframedb_a00487	Luciferase assay	cell based	0.0
693	reframedb_a00254	Dose response analysis	phenotypic	0.0
872	lds-1023	Graphing data	KINOMEscan kinase-small molecule binding assay	0.0
879	lds-1026	Kinase-tagged phage	KINOMEscan kinase-small molecule binding assay	0.0
691	reframedb_a00254	Z-score calculation	phenotypic	0.0
690	reframedb_a00254	Anaerobic incubation	cell-based	0.0
874	lds-1007	quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
689	reframedb_a00254	Anaerobic incubation	phenotypic	0.0
688	reframedb_a00254	OD600 measurement	cell-based	0.0
687	reframedb_a00254	OD600 measurement	phenotypic	0.0
686	reframedb_a00254	384-well plate screening	cell-based	0.0
876	lds-1032	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
685	reframedb_a00254	384-well plate screening	phenotypic	0.0
721	reframedb_a00487	Reporter assays	cell based	0.0
830	reframedb_a00516	Immunofluorescence Staining	high content imaging phenotypic assay	0.0
724	reframedb_a00227	Growth inhibition assay	cell based	0.0
795	reframedb_a00546	50% tissue culture infective dose (TCID50) assay	phenotypic	0.0
785	reframedb_a00529	Cell line culture	cell-based high-content imaging	0.0
786	reframedb_a00529	Infection	cell-based high-content imaging	0.0
787	reframedb_a00529	Fixation	cell-based high-content imaging	0.0
788	reframedb_a00529	Staining	cell-based high-content imaging	0.0
756	reframedb_a00212	Dose-response testing	cell based	0.0
790	reframedb_a00529	Analysis	cell-based high-content imaging	0.0
791	reframedb_a00529	Compound screening	cell-based high-content imaging	0.0
792	reframedb_a00529	Drug concentration detection	cell-based high-content imaging	0.0
793	reframedb_a00546	Cell Based Screen	phenotypic	0.0
794	reframedb_a00546	Plaque forming units (PFU) assay	phenotypic	0.0
796	reframedb_a00546	Quantifying monolayer disruption	phenotypic	0.0
748	reframedb_a00385	Dose response assay	phenotypic	0.0
755	reframedb_a00212	High-throughput screen	high-content imaging	0.0
754	reframedb_a00212	High-throughput screen	cell based	0.0
797	reframedb_a00546	Luciferase based toxicity assays	phenotypic	0.0
752	reframedb_a00212	High-content imaging	cell based	0.0
798	reframedb_a00546	Optical 96-well plates	phenotypic	0.0
751	reframedb_a00385	Optical density measurement	cell-based	0.0
799	reframedb_a00546	A549-ACE2 and A549-ACE2-TMPRSS2 cells	phenotypic	0.0
800	reframedb_a00546	Serially diluted compounds	phenotypic	0.0
750	reframedb_a00385	Optical density measurement	phenotypic	0.0
749	reframedb_a00385	Dose response assay	cell-based	0.0
784	reframedb_a00529	Cell counting	cell-based high-content imaging	0.0
783	reframedb_a00529	Assay development	cell-based high-content imaging	0.0
757	reframedb_a00212	Dose-response testing	high-content imaging	0.0
781	reframedb_a00212	SpotDetector algorithm	high-content imaging	0.0
766	reframedb_a00212	Fixation	cell based	0.0
769	reframedb_a00212	Permeabilization	high-content imaging	0.0
770	reframedb_a00212	Blocking	cell based	0.0
771	reframedb_a00212	Blocking	high-content imaging	0.0
765	reframedb_a00212	Dispensing	high-content imaging	0.0
764	reframedb_a00212	Dispensing	cell based	0.0
763	reframedb_a00212	Compound transfer	high-content imaging	0.0
772	reframedb_a00212	Staining	cell based	0.0
773	reframedb_a00212	Staining	high-content imaging	0.0
774	reframedb_a00212	Washing	cell based	0.0
762	reframedb_a00212	Compound transfer	cell based	0.0
761	reframedb_a00212	Incubation	high-content imaging	0.0
760	reframedb_a00212	Incubation	cell based	0.0
775	reframedb_a00212	Washing	high-content imaging	0.0
776	reframedb_a00212	Sealing	cell based	0.0
777	reframedb_a00212	Sealing	high-content imaging	0.0
895	lds-1074	Covalent attachment	KiNativ kinase-small molecule binding assay	0.0
759	reframedb_a00212	Passaging	high-content imaging	0.0
778	reframedb_a00212	Imaging	cell based	0.0
758	reframedb_a00212	Passaging	cell based	0.0
780	reframedb_a00212	SpotDetector algorithm	cell based	0.0
801	reframedb_a00546	DMSO dissolution	phenotypic	0.0
802	reframedb_a00546	Mock-infection	phenotypic	0.0
725	reframedb_a00227	Screening for inhibitors	cell based	0.0
825	reframedb_a00516	High Throughput Screening	cell based	0.0
819	reframedb_a00666	Sealing and incubation	fluorescence	0.0
736	reframedb_a00411	Plate spotting	enzyme-based fluorometric assay	0.0
735	reframedb_a00411	Fluorescence measurement	enzyme-based fluorometric assay	0.0
821	reframedb_a00666	Assessment of replicative state using a reporter	fluorescence	0.0
732	reframedb_a00227	Drug concentration measurement	cell based	0.0
822	reframedb_a00666	Pre-treatment with theophylline substrate solution	fluorescence	0.0
823	reframedb_a00666	Washing and seeding into 384 well plates	fluorescence	0.0
731	reframedb_a00227	Normalization	cell based	0.0
824	reframedb_a00666	Data recording and conversion into Excel format.	fluorescence	0.0
730	reframedb_a00227	Plate reading	cell based	0.0
729	reframedb_a00227	Incubation	cell based	0.0
803	reframedb_a00546	Cell viability assay	phenotypic	0.0
827	reframedb_a00516	High Content Image Analysis	cell based	0.0
728	reframedb_a00227	Multi-channel pipetting	cell based	0.0
727	reframedb_a00227	Optical density (OD) measurement	cell based	0.0
829	reframedb_a00516	Immunofluorescence Staining	cell based	0.0
768	reframedb_a00212	Permeabilization	cell based	0.0
831	reframedb_a00516	Dose Response Analysis	cell based	0.0
832	reframedb_a00516	Dose Response Analysis	high content imaging phenotypic assay	0.0
833	reframedb_a00516	Image Collection and Analysis	cell based	0.0
834	reframedb_a00516	Image Collection and Analysis	high content imaging phenotypic assay	0.0
726	reframedb_a00227	Batch culture	cell based	0.0
818	reframedb_a00666	Dispensing by automated equipment	fluorescence	0.0
817	reframedb_a00666	Culturing in liquid broth media	fluorescence	0.0
816	reframedb_a00666	Construction of reporter strain	fluorescence	0.0
737	reframedb_a00411	Enzyme incubation	enzyme-based fluorometric assay	0.0
804	reframedb_a00546	Luminescence measurement	phenotypic	0.0
805	reframedb_a00546	Formaldehyde fixation	phenotypic	0.0
806	reframedb_a00546	Coomassie staining	phenotypic	0.0
807	reframedb_a00546	Scanning with imaging cytometer	phenotypic	0.0
808	reframedb_a00546	Curve fitting	phenotypic	0.0
809	reframedb_a00546	MathIQ	phenotypic	0.0
747	reframedb_a00385	Drug susceptibility testing	cell-based	0.0
810	reframedb_a00546	Max filter status	phenotypic	0.0
811	reframedb_a00546	pXC50 calculation	phenotypic	0.0
812	reframedb_a00546	Transmitted light imaging	phenotypic	0.0
