	Class ID	Preferred Label	Synonyms	Definitions	Obsolete	Semantic Types	Parents
6376	C17457	Molecular Genetics	Molecular Genetics	The study of the flow and regulation of genetic information between DNA, RNA, and protein molecules.	False		C16624
6581	C18764	Environmental Engineering, Land	Environmental Engineering, Land	Environmental engineering focusing on issues related to land management and pollution remediation.	False		C18089
6583	C18765	Environmental Engineering, Water	Environmental Engineering, Water	Environmental engineering focusing on issues related to water quality management and remediation.	False		C18089
6587	C18763	Environmental Engineering, Atmosphere	Environmental Engineering, Atmosphere	Environmental engineering focusing on issues related to air quality management and remediation.	False		C18089
7592	C18642	Biochemical Endocrinology	Biochemical Endocrinology	The study of the chemistry of endocrine hormones in living organisms.	False		C16543
7631	C18596	Ultrastructural Pathology	Ultrastructural Pathology	The study and description of the fine structural changes that result from disease processes.	False		C18189
8262	C19428	Metal Carcinogenesis	Metal Carcinogenesis	The study of the processes by which normal cells are transformed into cancer cells by metals.	False		C18083
9253	C17839	Surgical Oncology	Surgical Oncology|oncology, surgical|oncologic surgery	Intervention studies in which surgery is the dominant feature to prevent, diagnose, stage, or treat cancer (except neurosurgery and eye surgery).  Includes special devices for dividing or destroying tissues, development and improvement of instruments for detection and diagnosis of tumors where surgery/biopsy is the dominant feature, cytoreductive procedures, intraoperative radiotherapy, surgical treatment of cancer and its complications, surgical supportive care, and plastic reconstructive and rehabilitation surgery.	False		C17837
9254	C17837	Oncology	Cancer, Oncology|Oncologic|Oncology|oncology	The study of tumors encompassing the physical, chemical, and biologic properties.	False		C16749
9544	C20892	Camp Nursing	Camp Nursing	Health and nursing care given to campers at a summer or children's camp by a registered nurse.	False		C16456
9553	C20894	Developmental Disabilities Nursing	Developmental Disabilities Nursing	Nursing care provided for children and adults with developmental disabilities in the homes, schools, and communities to maximize their ability to interact and function in the community at large.	False		C16456
11193	C18678	Biological Carcinogenesis	Biological Carcinogenesis	Studies of the role of biological agents as factors or cofactors in the etiology of human and animal cancer.	False		C18681
11194	C18675	Cancer, Viral	Cancer, Viral	Virus as an agent in the cause of a cancer.	False		C18666
11196	C18679	Carcinogenesis, Co-Carcinogenesis	Co-Carcinogenesis|Carcinogenesis, Co-Carcinogenesis	These are studies which use more than one type of agent to induce cancer, where one agent alone does not induce cancer, but it does when in combination with others.	False		C18666
11197	C18677	Carbohydrate Chemistry	Carbohydrate Chemistry	Chemistry of molecules having the form Cn(H2O)n	False		C16419
11619	C20662	Nursing Informatics	Nursing Informatics	The application of informatics methods to manage nursing information and improve healthcare.	False		C18145
12547	C20635	Radiation Physics	Radiation Physics	The scientific discipline of the application of physics to the use of ionizing radiation in therapy and in diagnostic radiology; including, by extension, nuclear medicine applications, ultrasound, and magnetic resonance imaging.	False		C16667
12551	C20631	Comparative Pathology	Comparative Pathology	Biological field of study concerned with the analysis of similarities and differences in specific characteristics between different diseases.	False		C19301
13958	C153191	Metagenomics	Metagenomics	The direct study of genetic material recovered from environmental samples, largely dominated by microbial organisms.	False		C84343
14122	C17952	Interventional Radiology	Interventional Radiology	The branch of radiology concerned with the use of radiation to treat disease.	False		C17059
14310	C17601	Bacterial Genetics	Bacterial Genetics	Subdiscipline of genetics with a focus on bacteria.	False		C17940
14313	C17608	Plant Genetics	Plant Genetics	The branch of genetics focusing on plant heredity.	False		C16624
14314	C17603	Environmental Toxicology	Environmental Toxicology	A branch of toxicology concerned with the sources, transformations and effects on health of natural and synthetic chemicals that are present in the environment.	False		C17206
14315	C17602	Critical Care Nursing	Critical Care Nursing	Critical care nursing is that specialty within nursing that deals specifically with human responses to life-threatening problems. A critical care nurse is a licensed professional nurse who is responsible for ensuring that all critically ill patients and their families receive optimal care. (AACN)	False		C20868
16359	C16715	Immunogenetics	Immunogenetics	A sub-field of genetics that uses both genetic and immunological analyses to study the genetics behind antibody formation and the immune response. (Biotech Life Science Dictionary)	False		C16624
17742	C18683	Carcinogenesis, Radiation	Radiation / Carcinogenesis|Carcinogenesis, Radiation|Radiation Carcinogenesis	The study of the processes by which normal cells, exposed to ionizing radiation, are transformed into cancer cells.	False		C18682
17743	C18681	Carcinogenesis Mechanism	Carcinogenesis Mechanism|Carcinogenesis, Mechanism	Research concerned with the metabolism, toxicity, physiological disposition, and mechanisms of action of carcinogens and their metabolites.	False		C18666
17747	C18680	Hormonal Carcinogenesis	Carcinogenesis, Hormonal|Hormonal Carcinogenesis	The study of the role of hormones and hormonal action in the development of cancer.	False		C18678
17749	C18682	Physical Carcinogenesis	Carcinogenesis, Physical|Physical Carcinogenesis	Studies to identify the mechanisms by which physical agents cause cancer	False		C18681
20254	C18082	Cellular Oncology	Cellular Oncology	The study of the cellular changes associated with the development of neoplastic conditions.	False		C17837
20255	C18083	Chemical Carcinogenesis	Chemical Carcinogenesis|Carcinogenesis, Chemical	The study of the processes by which normal cells are transformed into cancer cells by chemicals.	False		C18681
20256	C18086	Data Management	data management|Data Management	Processes for data acquisition, validation, storage, protection, and processing.	False		C17827
20502	C153189	Transcriptomics	Transcriptomics|Transcriptome Profiling	A study of the complete set of RNA transcripts that are produced by the genome, under specific circumstances or in a specific cell.	False		C17964
21732	C61478	Histologic Type	Histologic Type|Histopathology Type|Histopathologic Type|Histotype	Refers to the type of tissue in which a tumor originated.	False		C19165
22277	C19310	Statistics, Other	Statistics, Other	This term is used as a form filler when there is no appropriate Statistics term available.	False		C17167
22279	C19318	Reproductive Immunology	Reproduction Immunology|Reproductive Immunology	The science concerned with the various phenomena of immunity and induced sensitivity associated with the mother and fetus in gesticulating organisms.	False		C19000
22284	C19319	Subcellular Targeting, Experimental	Subcellular Targeting, Experimental	A molecular biology research technique whereby a protein is engineered to contain signals which will target it to a specific subcellular location.	False		C16621
23009	C181561	Toxicokinetic Analysis	Toxicokinetic Analysis|TOXICOKINETIC ANALYSIS|TK	Data analysis activities to characterize absorption, distribution, metabolism, and excretion (ADME) properties in relation to toxicity due to in vivo exposure to a substance/analyte.	False		C16415
23101	C19380	Retrovirology, Other	Retrovirology, Other		False		C19014
23104	C19687	Communication Tools	Communication Tools	Methods, products, and devices to facilitate interpersonal communication.	False		C19367
23111	C19685	Biology of Aging	Biology of Aging	The study of the biological reasons and mechanisms of human aging.	False		C16501
23517	C176258	Deep Learning	Deep Learning|deep learning	A subset of machine learning that is part of the broader family of machine learning methodologies based on artificial neural networks. A deep neural network has multiple layers between input and output layers to progressively extract higher level features from the raw input. (After DeepAI Machine Learning Glossary and Terms)	False		C176231
23891	C16405	Cell Physiology	Cellular Physiology|Cell Physiology|Cellular Function	Characteristics and physiological processes of cells from cell division to cell death.	False		C17992
24159	C19130	Chemical Dynamics	Chemical Dynamics	A branch of physical chemistry that seeks to explain time-dependent phenomena in terms of the detailed motion of the nuclei and electrons that constitute the system.	False		C16421
24268	C19001	Reproductive Endocrinology	Reproductive Endocrinology	The study of those hormones, and their actions, which affect fertility and pregnancy.	False		C16543
24273	C19000	Reproductive Biology	Reproductive Biology	Biological studies concerned with all factors affecting reproduction.	False		C16501
24995	C16635	Geriatrics	Gerontology / Geriatrics|Geriatric Health|Gerontology|Gerontological|Geriatrics	The branch of medical science that deals with diseases and problems specific to elderly people.	False		C17153
25761	C18726	Cyclic Nucleotide Biochemistry	Cyclic Nucleotide Biochemistry	The branch of biochemistry concerned with the metabolism of and biological pathways involving cyclic nucleotides.	False		C19400
25763	C18729	Data Base Management	Data Base Management	Database management involves the design and maintenance of electronic data storage systems to facilitate and optimize the categorization, selection, and retrieval of information.	False		C18086
25765	C18727	Cyclic Nucleotide Pharmacology	Cyclic Nucleotide Pharmacology	The science concerned with the chemistry, actions, and uses of cyclic nucleoside monophosphates.	False		C18936
26388	C192383	Rigid Image Registration	Rigid Image Registration|Rigid Registration	A simple image registration process that uses a linear transformation model to overlay two or more images from various scanners taken at different times and angles. This method may not account for changes in the weight of the patient between scans, changes in the positioning of the patient, and soft-tissue displacements due to breathing.	False		C80145
28759	C16591	Forensic Medicine	Forensic Medicine|Forensics	The application of medical knowledge to questions of law; research, reports and testimony in court by experts in medical science to assist in determining a legal question.	False		C17153
28913	C105699	Vascular Surgery	Vascular Surgery	A surgical specialty that focuses on diagnosis and management of disorders of the arterial, venous and lymphatic systems, other than the intracranial vessels and the heart.	False		C17173
29395	C18122	Chemical Kinetics	Chemical Kinetics	The study of rates and mechanisms of chemical reactions and of the factors on which they depend.	False		C16421
29604	C19048	Structural Chemistry	Structural Chemistry	Studies concerned with the understanding of chemical reactions in terms of the structural properties of the macromolecules that participate in them.	False		C16421
32905	C17059	Radiology	Radiology, General|Radiologic|Radiology|radiology	The branch of medical science dealing with the medical use of X-rays or other penetrating radiation.	False		C17153
32908	C17056	Radiochemistry	Radiochemistry|Nuclear Radiochemistry|Radiation Chemistry	The science concerned with the effects of radioactivity on health.	False		C16667
33988	C201959	Pain Management	Pain Management	A branch of medicine that takes a multi-disciplinary approach to the treatment of pain.	False		C86047
34006	C19605	Biochemistry and Cellular Biology	Biochemistry and Cellular Biology	The chemistry of living organisms and of the chemical, molecular, and physical changes occurring therein, pertaining the cell.	False		C17992
34007	C19606	Biology of HIV Transmission	Biology of HIV Transmission	Delineate the mechanisms of transmission and population spread of infection and their impact on disease progression.	False		C19112
34012	C19607	Comparative Carcinogenesis	Comparative Carcinogenesis	The study of the similarities and differences between different living organisms of the process by which normal cells are transformed into cancer cells.	False		C18681
34490	C19030	Sequencing Biochemistry	Sequencing Biochemistry	The study of the biochemistry related to sequencing macromolecules, e.g. nucleic acids, proteins, or long-chain carbohydrates.	False		C18632
34917	C16832	Medical Oncology	Oncology, Medical|Medical Oncology	The study and treatment of cancers with chemicals, biological products or immunotherapy.	False		C17837
36004	C142392	Anonymization	Anonymization|anonymization	The process of removing the association between identifying data and the data subject in order to protect privacy.	False		C45970
37779	C17099	Rheumatology	Rheumatology	A medical specialty that deals with diagnosis and treatment of diseases and disorders of the connective tissues.	False		C16749
39014	C167375	Data Refresh	Data Refresh	A process where all the data in a database environment is updated.	False		C47925
39217	C19941	Perinatal Carcinogenesis	Perinatal Carcinogenesis	Studies of the mechanisms by which maternal exposure to carcinogens cause cancer in in children.	False		C18681
39219	C19948	Bacteriophage Genetics	Bacteriophage Genetics	The science concerned with the genes and genetic structure of bacteriophages.	False		C17940
41860	C105687	Neurosurgery	Neurological Surgery|Neurosurgery	A surgical specialty concerned with surgical treatment of the nervous system.	False		C17173
43148	C18927	Pathology of Tumors in Animals	Pathology of Tumors in Animals	A branch of pathology that focuses on animal tumors.	False		C18189
43306	C19790	Histologic Subtype	Subtype, specify|Histologic Subtype|Histology	The classification of tumors based on their histology.	False		C19165
43750	C16962	Pediatrics	Pediatric Medicine|Pediatrics	The branch of medicine concerned with the treatment of infants and children.	False		C17153
45051	C19249	Cost Effectiveness Analysis	Cost Effectiveness Analysis|Cost Effective Analyses|Analysis of Cost Effectiveness		False		C16472
46111	C17399	Women's Health	Women's Health	Many diseases and disorders affect men and women differently.  Some predominantly effect one or the other while others take different clinical courses, with differing prognoses and outcomes.  Women's health takes a specific focus on the health and wellbeing of women.	False		C17039
47624	C19188	Genetic Engineering, Applied	Genetic Engineering, Applied	Genetic engineering performed with the object of creating, modifying or otherwise enhancing a product whose manufacture is partly or entirely dependent on a biological process.	False		C16621
47625	C19187	Diagnostic Radiology	Diagnostic Radiology (Ionizing and Nonionizing)|Diagnostic Radiology|Radiology	The branch of radiology concerned with the use of ionizing or nonionizing radiation for diagnostic purposes.	False		C17059
49419	C19749	Interactive Kiosk	Interactive Kiosk		False		C19545
49423	C19746	Human Cancer Pathology	Human Cancer Pathology	The branch of pathology concerned with the cause, origin, and nature of human cancers.	False		C19435
49925	C16734	Information Storage and Retrieval	Information Storage and Retrieval|Information Processing/Storage/Retrieval	Research regarding the systematic process of collecting and cataloging data so that they can be located and displayed on request.	False		C17827
49929	C16732	Information Dissemination	Information Dissemination	For information to be useful, not only does it need to be made available at the right time to those who need it such as policy makers, program planners, and health professionals, and patients but it has to be in the right form.  Information Dissemination includes both research into means of information distribution and the actual distribution of information.	False		C17827
50116	C19323	Tumor Biology	Tumor Biology	Biological differences between normal and cancer cells.  Studies use mechanistic approaches to explore tumor cell biology and tumor progression at the molecular and cellular level, and to examine cell-cell and cell-matrix interactions at the macromolecular level in whole tissues.  Included is the study of the pathology and biology of solid tumors and tumor-bearing animals, chimeric, transgenic, and knock-out animals.  Research focused on the development of technologies to facilitate these studies is included.	False		C18666
50118	C19322	Organic Synthesis	Organic Synthesis	Branch of chemistry concerned with the synthesis of organic compounds.  It studies and develops schemes and reagents to synthesize specific classes of organics.	False		C16419
50121	C19324	Supercomputing	Supercomputing	Pertaining to the fastest computers	False		C18149
50517	C17861	Pediatric Radiology	Pediatric Radiology|radiology, pediatric	A branch of radiology that focuses on diagnosing and treating diseases of children.	False		C17059
51519	C80145	Image Registration	Registration|Image Registration|REG	The process of transforming sets of image data from different times or perspectives into one coordinate system.	False		C17606
51520	C80146	Image Segmentation	Image Segmentation|Segmentation|SEG	The process of assigning a label to every pixel in an image such that pixels with the same label share certain visual characteristics, allowing the image to be partitioned into multiple segments (e.g., boundaries, lines, curves).	False		C17606
51591	C19499	DNA Biochemistry	Nucleic Acid Biochemistry, DNA|DNA Biochemistry|Nucleic Acid Biochemistry, DNA - Deoxyribonucleic Acid	The branch of biochemistry that is specifically concerned with the structure, synthesis, and maintenance of DNA.	False		C19350
51804	C105698	Hand Surgery	Hand Surgery	A surgical specialty concerned with the surgical management of disease, disability, or injury of the upper extremity.	False		C17173
53080	C18887	Molecular Virology	Molecular Virology	The study of viral processes at the molecular level.  Includes infection, replication, and expression of the viral genome.	False		C17256
53083	C18884	Molecular Cytogenetics	Molecular Cytogenetics	Studies of chromosome biology and behavior at the molecular level.	False		C16487
53085	C18886	Molecular Receptor Pharmacology	Molecular Receptor Pharmacology	The branch of pharmacology that tries to understand drug effects by understanding the way that receptors interact with proteins and other molecules in signal transduction.	False		C20634
53560	C20179	Toxicogenomics	Toxicogenomics	Toxicogenomics is a new scientific field that elucidates how the entire genome is involved in biological responses of organisms exposed to environmental toxicants/stressors. Toxicogenomics combines information from studies of genomic-scale mRNA profiling (by microarray analysis), cell-wide or tissue-wide protein profiling (proteomics), genetic susceptibility, and computational models to understand the roles of gene-environment interactions in disease. (from National Center for Toxicogenomics homepage)	False		C84343
53695	C19698	Cancer Advocacy	Cancer Advocacy		False		C17551
55141	C20869	Hospital Nursing	Hospital Nursing	The provision of professional nursing care in an inpatient setting.	False		C20868
55995	C18057	Environmental Carcinogenesis	Environmental Carcinogenesis|Carcinogenesis, Environmental	Studies to identify or characterize the mechanism of action of non-infectious exogenous agents, conditions, or procedures that initiate, promote, or otherwise contribute to the development of cancer. Although infectious agents are excluded from this definition, extrinsic factors that increase exposure to these agents (e.g., occupation, sexual activity, needle sharing, transfusion) are considered environmental.	False		C18681
56209	C19401	Nuclei, Structure/Function	Nuclei, Structure/Function	A branch of cell biology concerned with the working of the nucleus at the microscopic and molecular level.	False		C17992
56210	C19408	Membrane Structure and Function	Membrane Structure and Function|Membranes, Structure/Function	The lipid bilayer structure of membranes, associated proteins and how it relates to the function.	False		C19430
56979	C19120	Virology, RNA Viruses	Virology, RNA Viruses	Research concerned with the origin, structure, development, growth, function, genetics, and reproduction of RNA viruses.	False		C17256
56984	C19121	Visual Physiology	Visual Physiology	The science concerned with the normal processes of sight.	False		C19029
57086	C16928	Obstetrics	Obstetrical|Obstetrics	A medical-surgical specialty dealing with the care of a woman and her offspring during pregnancy, childbirth and the puerperium (the period shortly after birth).	False		C17153
57087	C16922	Nuclear Medicine	Radiology-Nuclear Medicine|Nuclear Medicine|Radiology / Radiation Biology / Nuclear Medicine	Nuclear Medicine is the branch of medicine that uses radioactive materials either to image a patient's body or to destroy diseased cells.	False		C17059
57208	C20618	Quantitative Genetics	Quantitative Genetics	The branch of genetics concerned with the inheritance of continuously-varying traits.	False		C16624
57213	C20611	Cytopathology	Cytopathological|Cytology and Pathology|Cytopathology|Cytopathologic	A branch of pathology that studies and diagnoses diseases on the cellular level including the anatomy, physiology, pathology and chemistry of the cell.	False		C18189
57532	C18846	Immunotoxicology	Immunotoxicology	The branch of toxicology focusing on the effects of poisons on the immune system.	False		C17206
58071	C17703	Teratology	Teratology	A branch of biology concerned with the study of birth defects.	False		C16542
59625	C52653	Dental Specialty	Dental Specialty	A branch of dentistry requiring advanced study.	False		C16497
60534	C17016	Prosthodontics	Prosthodontics	The branch of dentistry dealing with the replacement of teeth and related mouth or jaw structures by artificial devices.	False		C52653
60537	C17011	Preventive Medicine	Preventive Medicine	A branch of medicine that focuses on disease prevention.	False		C17153
60938	C17553	Clinical Ethics	Ethics in Clinical Practice|Clinical Ethics	The branch of ethics that studies moral values in the clinical sciences.	False		C39796
61824	C18663	Breast Cancer Genetics	Breast Cancer Genetics|Breast Cancer, Genetics	Breast cancer genetics involve clinical, epidemiologic and/or laboratory evaluations of individuals and their families who are at high risk of developing breast cancer due to hereditary predisposition.  These studies are aimed at identifying susceptibility genes for breast cancer and their associated molecular and genetic aberrations, as well as the functions of their encoded proteins.	False		C16627
61826	C18660	Bone and Connective Tissue Pathology	Bone and Connective Tissue Pathology	The branch of pathology that focuses the causes and nature and effects of diseases of the bone and connective tissues.	False		C18189
62567	C17768	Cellular Morphology	Cell Morphology|Morphology, Cellular|Cellular Morphology|CEMORPH	Cellular morphology is the form and structure of cells, and its relation to cell function, or the scientific study thereof.	False		C17943
62569	C17760	Radiation Oncology	Radiation Oncology|oncology, radiation	The study of the effects of ionizing radiation for treatment of tumors.	False		C17837
62787	C94518	Nutrigenomics	Nutrigenomics|nutrigenomics		False		C84343
63291	C16320	Bacteriology	Bacteriology	The branch of science that studies bacteria, especially in relation to medicine and agriculture.	False		C16851
63677	C16589	Food Microbiology	Food Microbiology	The field of study concerned with the study of food-borne microorganisms.	False		C16851
64689	C18905	Occupational Carcinogenesis	Occupational Carcinogenesis	Studies of carcinogens encountered through occupational exposure. The carcinogens can be of any type: chemicals, electromagnetic fields, UV, viruses, etc. Many of these agents may also be commonly encountered outside the occupational environment (e.g., UV) but in such cases they are not coded in this category; for farmers and sailors, UV is an occupational carcinogen. Epidemiologic studies will usually clearly identify occupational carcinogens but in experimental studies or analyses of carcinogenic mechanisms, a judgment must be made as to whether the primary means of exposure is occupational and thus requires selection of SIC 28; for example, one could be exposed to benzene in various settings, but the most frequent exposure risk would be occupational. For chemicals with which you are unfamiliar, consult the Merck Index to determine whether the chemical is used in manufacturing, agriculture, or other occupational setting.	False		C18057
64693	C18907	Ocular Pathology	Ocular Pathology	Subdiscipline of pathology with a focus on vision and the eye.	False		C18189
64695	C18903	Nucleic Acid Biochemistry, Synthesis	Nucleic Acid Biochemistry, Synthesis	Research into natural and artificial means for synthesis of nucleic acids.	False		C19350
65038	C16749	Internal Medicine	Internal Medicine|General Medicine|Medicine, Internal	A medical specialty concerned with the diagnosis of diseases of the internal organs and non-surgical treatments.	False		C17153
65421	C192580	Allergy Medicine Specialty	Allergy Medicine Specialty|Allergy	A medical specialty concerned with the diagnosis, treatment and management of allergies and allergy-related disorders.	False		C16749
66028	C86055	Cardiology	Cardiology	The branch of medicine dealing with the heart and its diseases.	False		C17153
66049	C105700	Urological Surgery	Urological Surgery	A surgical specialty concerned with surgical treatment of the diseases of the urinary tract and urogenital system.	False		C17173
66290	C16658	Gynecology	GYN|Gynecology	The branch of medicine that deals with the diseases and hygiene of women.	False		C16749
66988	C17851	Pediatric Surgery	Pediatric Surgery	A surgical specialty that focuses on surgical treatment of diseases of children.	False		C17173
66989	C17855	Pediatric Neurology	Pediatric Neurology|neurology, pediatric	A branch of neurology that focuses on diseases of children.	False		C16962
66990	C17852	Pediatric Oncology	Pediatric Oncology|Oncology, Pediatric	The medical specialty that focuses on tumors in children.	False		C17837
66991	C17854	Neurologic Oncology	Neurologic Oncology|Neuro-Oncology|oncology, neurologic	The branch of oncology concerned with the study, diagnosis, and treatment of cancers of the nervous system.	False		C17837
66992	C17856	Dermatologic Oncology	Dermatologic Oncology|oncology, dermatologic	The branch of oncology concerned with the study, diagnosis, and treatment of skin cancer.	False		C17837
68091	C18734	Developmental Cell Biology	Developmental Cell Biology	The branch of cell biology concerned with the cellular changes that take place between fertilization and maturity.	False		C16501
69370	C201965	Hematology and Oncology	Hematology and Oncology|Hematology/Oncology|HemOnc	A medical specialty that focuses on diseases and disorders of the blood and blood-forming tissues, including hematopoietic and lymphoid cell neoplasms.	False		C16749
71014	C182016	Z-Stacking	Focus Stack|Focal Plane Merging|Focus Stacking|Z-Stack|Z-Stacking	A digital image processing method which combines multiple images taken at different focal distances to create a composite image with a greater depth of field than is possible for a single image.	False		C17606
71769	C89796	Family Practice	Family Medicine|Family Practice|General Practice	A medical specialty that provides comprehensive health care for all members of a family regardless of age or sex.	False		C17153
73100	C18781	Experimental Pathology, Other Than Tumors	Experimental Pathology, Other Than Tumors	Basic research in the field of pathology, which excludes that concerned with tumors and cancer.	False		C19164
73102	C18780	Experimental Ophthalmology	Experimental Ophthalmology	Basic research in the field of ophthalmology.	False		C16939
73107	C18782	Experimental Pathology, Tumors	Experimental Pathology, Tumors	The study of the neoplastic process by studying artificially produced tumors.	False		C19164
73108	C18786	Extra-Nuclear Genetics	Extra-Nuclear Genetics	The genetics of extra-nuclear DNA, eg. Mitochondria and chloroplasts.	False		C16624
73687	C18273	Cardiovascular Pathology	Cardiovascular Pathology	Cardiovascular Pathology; a subdiscipline of pathology focusing on diseases of the heart or circulatory system.	False		C18189
73690	C18275	Pulmonary Pathology	Pulmonary Pathology	The branch of pathology that focuses the causes and nature and effects of diseases of the lungs and respiratory structures.	False		C18189
74558	C105689	Physical Medicine and Rehabilitation	Physical Medicine and Rehabilitation|Rehabilitation Medicine|Physiatry	A medical specialty focused on restoring functional ability and quality of life to people with physical impairments or disabilities.	False		C17153
74945	C26019	Viral Carcinogenesis	Viral Carcinogenesis	Studies of the role of viruses as factors or cofactors in the etiology of human and animal cancer.	False		C18678
74950	C26018	Biological Carcinogenesis, Non-Viral	Biological Carcinogenesis, Non-Viral	Studies of the role of non-viral biological agents as factors or cofactors in the etiology of human and animal cancer.	False		C18678
75166	C19155	Patterns of Care	Patterns of Care	Addresses geographic variability in medical practice in the United States and the medical and nonmedical factors that create this variability.	False		C17039
76405	C49019	Metabolomics	Metabolic Profiling|Metabolomics	Metabolomics is the study of the biological metabolic profile of a cellular specimen in a specific environment at an isolated timepoint. This discipline depicts the physiological states of cells and organisms by focusing on carbohydrates, lipids, and other metabolites. Several analytical techniques are utilized to quantify the metabolic content of specimens such as mass spectrometry and electrophoretic applications.	False		C17964
77129	C19063	Thrombosis / Hemostasis / Platelet Function	Thrombosis / Hemostasis / Platelet Function		False		C16405
77131	C19062	Thoracic Oncology	Thoracic Oncology	The branch of oncology concerned with the study, diagnosis, and treatment of neoplasms of the thorax.	False		C17837
77153	C188483	Cheminformatics	Cheminformatics	A branch of informatics focused on chemical data.	False		C18145
78640	C190606	Real World Value Mapping	Real World Value Mapping|Real World Value Map|RWV	The representation of the stored pixel values of referenced images into some Real World value in defined units. This allows the capture of retrospectively determined mappings, e.g., for values that cannot be determined at the time of image acquisition and encoding.	False		C142485
78806	C17109	Rural Health	Rural Health	The study of health and health care delivery in rural environments.	False		C19155
79140	C17195	Thoracic Surgery	Surgery, Thoracic|Thoracic Surgery	A branch of medicine dealing with the use of surgery to treat diseases of the chest and lungs.	False		C17173
79347	C19418	Genetic Programming	Genetic Algorithm|Genetic Programming	A method for obtaining an optimal programming algorithm.  Thousands of randomly created programs are progressively evolved over time using an evolutionary search based on the principle of survival of the fittest.  Mechanisms include the equivalent of recombination, mutation, duplication, deletion, etc.	False		C17147
79349	C19410	Membrane Structure / Transport Phenomena	Membrane Structure / Transport Phenomena		False		C19408
79691	C19071	Toxicology, Antidotes/Treatment	Toxicology, Antidotes/Treatment	The treatment or medication that can be administered to a person who has been exposed to a toxic substance	False		C17206
79692	C19070	Analytical Toxicology	Toxicology, Analytical|Analytical Toxicology	A quantitative analysis of a toxic substance.	False		C17206
79695	C19073	Toxicology, Non-Drug	Toxicology, Non-Drug	The toxicology of compounds other than those used for therapy.	False		C17206
79697	C19072	Toxicology, Biologicals	Toxicology, Biologicals	The study of the toxicology of biologics.	False		C17206
80003	C16985	Photochemistry	Photochemistry	The branch of chemistry that focuses on the changes that chemicals undergo when exposed to light.	False		C16421
81900	C16603	Gastroenterology	Gastroenterology	The branch of medicine that focuses on diagnosis and treatment of conditions affecting the gastrointestinal tract.	False		C16749
83572	C201530	Binary Mask	Binary Mask	A mapping of pixels used to define a region of interest in an image. Each pixel is designated as either belonging to the region of interest or part of the background by using ones or zeros, respectively.	False		C142485
84946	C18268	Community Health	Community Health	Community health; community-focused health delivery systems.	False		C17039
84949	C18269	Manpower	Manpower	The labor force available to do work on a project	False		C19614
85564	C19430	Membrane Biology	Membrane Biology	The study of the protoplasmic boundary of all cells that controls permeability and may serve other functions through surface specializations; e.g., active ion transport absorption by formation of pinocytotic vesicles; receptor-mediated antigen recognition, etc.	False		C17992
85570	C19435	Human Pathology	Human Pathology	Branch of medicine concerned with the cause, origin, and nature of human disease, including the changes occurring as a result of disease. (from EPA Terminology Reference System)	False		C18189
86740	C45970	Deidentification	Deidentification|de-identification|DID	Removal of text elements that would make data individually identifiable.	False		C47925
88708	C19142	Population Biology	Population Biology	Studies theoretical aspects of the biology of populations, particularly in the areas of ecology, genetics, demography, and epidemiology.	False		C19061
90525	C19393	Cell Energetics	Cell Energetics	The study of the energy changes involved in physical and chemical reactions within a cell.	False		C19605
90734	C19535	UV, Systematic Effects	UV, Systematic Effects		False		C17055
