"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"SNP calls on WGS of clinical Cryptococcus neoformans isolates from the ACTA clinical trial","2021-11-18","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 65, 2023-SEP-14","65","Genetic variation","cneoH99_HTS_SNP_ACTAtrial_2021_RSRC","DS_04bcdf3e8b","<i>Cryptococcus neoformans</i> var. grubii H99<br>","36354332","N/A","The Broad Institute","Cryptococcus neoformans recovered from the cerebral spinal fluid (CSF) of an immunocompromised patient","isolates","N/A"
"<i>Meyerozyma guilliermondii</i> ATCC 6260 Genome Sequence and Annotation","2015-03-23","Apollo","Geraldine Butler","UCD School of Biomolecular and Biomedical Science, Conway Institute, University College Dublin","FungiDB rel. 56, 2022-FEB-15","56","Genomes","mguiATCC6260_primary_genome_RSRC","DS_05a7d4a66a","<i>Meyerozyma guilliermondii</i> ATCC 6260<br>","19465905","N/A","Geraldine Butler","Genome Sequence and Annotation of <i>Meyerozyma guilliermondii</i> ATCC 6260","genome","6062"
"<i>Trichophyton tonsurans</i> CBS 112818 Genome Sequence and Annotation","2016-07-24","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 57, 2022-APR-21","57","Genomes","ttonCBS112818_primary_genome_RSRC","DS_06f647c621","<i>Trichophyton tonsurans</i> CBS 112818<br>","22951933","N/A","Christina Cuomo","Genome Sequence and Annotation of <i>Trichophyton tonsurans</i> CBS 112818","genome","8625"
"<i>Exophiala dermatitidis</i> NIH/UT8656 Genome Sequence and Annotation","2015-03-17","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 51, 2021-MAR-16","51","Genomes","ederNIHUT8656_primary_genome_RSRC","DS_06fdfcb16d","<i>Exophiala dermatitidis</i> NIH/UT8656<br>","28348446","N/A","Christina Cuomo","Genome Sequence and Annotation for <i>Exophiala dermatitidis</i> NIH/UT8656","genome","9356"
"<i>Aspergillus fumigatus</i> Af293 Genome Sequence and Annotation","2015-09-27","Apollo","William C. Nierman","J. Craig Venter Institute","FungiDB rel. 60, 2022-NOV-09","21","Genomes","afumAf293_primary_genome_RSRC","DS_071f05cd56","<i>Aspergillus fumigatus</i> Af293<br>","16372009","N/A","William C. Nierman","Genome sequence and annotation for <i>Aspergillus fumigatus</i> Af293.","genome","10130"
"Candida albicans functional genomic screening","2019-06-24","Apollo","Rebecca Shapiro","Department of Molecular and Cellular Biology, University of Guelph, Canada","FungiDB rel. 56, 2022-FEB-15","56","Phenotype","calbSC5314_phenotype_Shapiro_2021_Calb_RSRC","DS_0732741900","<i>Candida albicans</i> SC5314<br>","34864983","N/A","Gervais et al. 2021","Compiled and normalized <i>Candida albicans </i> functional genomic screening data","generic_profiles","N/A"
"Transcriptomes of clinical isolate strains and mutant derivatives","2019-05-22","Apollo","Aaron P. Mitchell","Department of Microbiology, University of Georgia, Athens, USA","FungiDB rel. 56, 2022-FEB-15","56","RNASeq","calbSC5314_Calb_network_2019_ebi_rnaSeq_RSRC","DS_075a4b4e1f","<i>Candida albicans</i> SC5314<br>","31116789","N/A","Huang et al., 2019","Three cultures of each strain were grown to provide three biological replicates for Nanostring and RNA-Seq experiments.","transcript_expression","N/A"
"<i>[Candida] auris</i> B8441 Genome Sequence and Annotation","2017-11-15","Apollo","Anastasia P. Litvintseva","Mycotic Diseases Branch, Centers for Disease Control and Prevention, Atlanta, Georgia","FungiDB rel. 53, 2021-JUL-21","37","Genomes","caurB8441_primary_genome_RSRC","DS_077dbc942e","<i>Candida auris</i> strain B8441<br>","27988485","N/A","Anastasia P. Litvintseva","<i>Candida auris</i> strain B8441 Genome Sequence and Annotation","genome","5584"
"<i>Aspergillus oryzae</i> RIB40 Genome Sequence and Annotation","2015-10-04","Apollo","Aspergillus Genome Database (AspGD)","Stanford University","FungiDB rel. 51, 2021-MAR-16","25","Genomes","aoryRIB40_primary_genome_RSRC","DS_07d4b5c58b","<i>Aspergillus oryzae</i> RIB40<br>","20392818","N/A","Aspergillus Genome Database (AspGD)","Genome sequence and annotation for <i>Aspergillus oryzae</i> RIB40.","genome","12364"
"<i>Pichia kudriavzevii</i> strain CBS5147 Genome Sequence","2018-04-17","N/A","Kenneth H. Wolfe","UCD Conway Institute, School of Medicine, University College Dublin, Dublin, Ireland","FungiDB rel. 52, 2021-MAY-20","52","Genomes","pkudCBS5147_primary_genome_RSRC","DS_085ea6d33a","<i>Pichia kudriavzevii</i> strain CBS5147<br>","30024981","N/A","Kenneth H. Wolfe","Genome Sequence of <i>Pichia kudriavzevii</i> strain CBS5147","genome","N/A"
"<i>Aspergillus flavus</i> NRRL3357 2020 Genome Sequence and Annotation","2021-02-02","N/A","Milton T. Drott","Department of Medical Microbiology and Immunology, University of Wisconsin—Madison, Madison, Wisconsin, USA","FungiDB rel. 56, 2022-FEB-15","56","Genomes","aflaNRRL3357_2020_primary_genome_RSRC","DS_08c86b558d","<i>Aspergillus flavus</i> NRRL3357 2020<br>","32665272","N/A","Milton T. Drott","Genome Sequence and Annotation of <i>Aspergillus flavus</i> NRRL 3357 2020","genome","13958"
"<i>[Candida] duobushaemulonis</i> B09383 Genome Sequence and Annotation","2018-05-01","Apollo","Nancy Chow","Centers for Disease Control and Prevention","FungiDB rel. 51, 2021-MAR-16","45","Genomes","cduoB09383_primary_genome_RSRC","DS_08ca801eb9","<i>Candida duobushaemulonis</i> strain B09383<br>","29599161","N/A","Nancy Chow","Genome sequence and annotation for <i>Candida duobushaemulonis</i> B09383.","genome","5329"
"Dap-Seq of Neurospora crassa","2018-02-28","Apollo","Louise N. Glass","University of California, Berkeley","FungiDB rel. 45, 2019-SEP-05","45","CHIP Seq","ncraOR74A_Glass_Dap-Seq_chipSeq_RSRC","DS_08d2dc7307","<i>Neurospora crassa</i> OR74A<br>","29678830","N/A","Fischer et al.","DAP-Seq performed on ADV-1 and PP-1 proteins.","transcript_expression","N/A"
"<i>Malassezia globosa</i> CBS 7966 Genome Sequence and Annotation","2007-11-02","Apollo","Jun Xu","Proctor and Gamble Co.","FungiDB rel. 66, 2023-NOV-28","19","Genomes","mgloCBS7966_primary_genome_RSRC","DS_0901e8597d","<i>Malassezia globosa</i> CBS 7966<br>","20516208","N/A","Jun Xu","Genome sequence and annotation for <i>Malassezia globosa</i> CBS 7966.","genome","4286"
"Transcriptome of Pyricularia oryzae isolates collected from Bangladeshi fields","2016-04-20","Apollo","Sophien Kamoun","The Sainsbury Laboratory, UK","FungiDB rel. 34, 2017-SEP-07","34","RNASeq","mory70-15_Islam_WheatBlast_ebi_rnaSeq_RSRC","DS_09cb5da8bb","<i>Pyricularia oryzae</i> 70-15<br>","27716181","N/A","Islam et al. 2016","Transcriptome of <i>Pyricularia oryzae</i> isolates collected from Bangladeshi fields","transcript_expression","N/A"
"Mapping TSS with TSS-Seq","2020-03-18","N/A","Guilhem Janbon","Institut Pasteur, Unité Biologie des ARN des Pathogènes Fongiques, Département de Mycologie, France","FungiDB rel. 59, 2022-AUG-30","59","RNASeq","cneoKN99_TSS-Seq_KN99_Wallace_2020_ebi_rnaSeq_RSRC","DS_09d688636a","<i>Cryptococcus neoformans</i> var. grubii KN99<br>","32020195","N/A","Wallace et al. 2020","Positioning of 5' transcripts extremities in <i>C. neoformans</i> alpha KN99 using TSS-Seq.","transcript_expression","N/A"
"<i>Candida tropicalis</i> MYA-3404 2020 Genome Sequence and Annotation","2020-05-27","N/A","Krishnendu Guin","Molecular Mycology Laboratory, Molecular Biology and Genetics Unit, Jawaharlal Nehru Centre for Advanced Scientific Research, Bangalore, India","FungiDB rel. 57, 2022-APR-21","57","Genomes","ctroMYA3404-2020_primary_genome_RSRC","DS_09efa311b1","<i>Candida tropicalis</i> MYA-3404 2020<br>","32469306","N/A","Krishnendu Guin","Genome Sequence and Annotation of <i>Candida tropicalis</i> MYA-3404 2020","genome","6136"
"<i>Fusarium oxysporum</i> f. sp. lycopersici 4287 Genome Sequence and Annotation","2015-08-20","Apollo","Corby Kistler","The University of Minnesota","FungiDB rel. 51, 2021-MAR-16","19","Genomes","foxy4287_primary_genome_RSRC","DS_0a0d833bea","<i>Fusarium oxysporum</i> f. sp. lycopersici 4287<br>","20237561","N/A","Corby Kistler","Genome sequence and annotation for <i>Fusarium oxysporum</i> f. sp. <i>lycopersici</i> 4287.","genome","21354"
"SNP calls on WGS of Coccidioides isolates from the Western Hemisphere","2016-04-25","Apollo","TGen North","Translational Genomics Research Institute","FungiDB rel. 30, 2017-FEB-03","30","Genetic variation","cposSilveira_HTS_SNP_Whole_Population_Genome_SNP_RSRC","DS_0a27b6bb7c","<i>Coccidioides posadasii</i> str. Silveira<br>","27118594","N/A","TGen North","<i>Coccidioides</i> whole population genome SNP analysis reveals local population structure and patterns of dispersal in the Western Hemisphere.","isolates","N/A"
"<i>Cladophialophora carrionii</i> KSF Genome Sequence and Annotation","2016-08-08","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 51, 2021-MAR-16","43","Genomes","ccarKSF_primary_genome_RSRC","DS_0bb6f43912","<i>Cladophialophora carrionii</i> KSF<br>","N/A","N/A","Christina Cuomo","Genome sequence and annotation for <i>Cladophialophora carrionii</i> KSF.","genome","11240"
"<i>Chaetothyriales sp.</i> CBS 132003 Genome Sequence and Annotation","2018-11-02","Apollo","Westerdijk","Westerdijk Fungal Biodiversity Institute, Uppsalalaan 8, 3584 CT Utrecht, Netherlands","FungiDB rel. 66, 2023-NOV-28","66","Genomes","cspCBS132003_primary_genome_RSRC","DS_0c1029de83","<i>Chaetothyriales sp.</i> CBS 132003<br>","N/A","N/A","Westerdijk","Genome Sequence and Annotation of <i>Chaetothyriales sp.</i> CBS 132003","genome","5727"
"<i>Fusarium odoratissimum</i> NRRL 54006 Genome Sequence and Annotation","2015-03-23","N/A","Li-Jun Ma","Department of Biochemistry and Molecular Biology, University of Massachusetts Amherst, Amherst, MA 01003","FungiDB rel. 51, 2021-MAR-16","36","Genomes","foxy54006_primary_genome_RSRC","DS_0c8f7592b7","<i>Fusarium odoratissimum</i> NRRL 54006<br>","N/A","N/A","Li-Jun Ma","<i>Fusarium odoratissimum</i> NRRL 54006 Genome Sequence and Annotation","genome","16975"
"<i>Blumeria graminis</i> f. sp. tritici 96224 Genome Sequence and Annotation","2019-08-27","Apollo","Beat Keller","Department of Plant and Microbial Biology, University of Zurich, Switzerland","FungiDB rel. 66, 2023-NOV-28","53","Genomes","bgraTritici96224_primary_genome_RSRC","DS_0d4e765ad5","<i>Blumeria graminis</i> f. sp. tritici 96224<br>","30388298","N/A","Beat Keller","Genome Sequence and Annotation of <i>Blumeria graminis</i> f. sp. tritici 96224","genome","8470"
"<i>Candida albicans</i> SC5314 Genome Sequence and Annotation","2016-10-14","Apollo","Candida Genome Database (CGD)","Stanford University","FungiDB rel. 60, 2022-NOV-09","21","Genomes","calbSC5314_primary_genome_RSRC","DS_0d9ee4ff86","<i>Candida albicans</i> SC5314<br>","15123810, 17419877, 24025428, 6394964","N/A","Candida Genome Database (CGD)","Genome sequence and annotation for <i>Candida albicans</i> SC5314.","genome","6468"
"Sex-specific gene expression during asexual development under constant light condition","2011-06-06_gus4","Apollo","Francesc Lopez","Yale University","FungiDB rel. 1.0, 01-JAN-05","0","DNA Microarray Assay","ncraOR74A_microarrayExpression_sexSpecificExpression_GSE26209_RSRC","DS_0dab2d9109","<i>Neurospora crassa</i> OR74A<br>","26956589","N/A","Wang et al.","Total RNA was sampled from isogenic Mat-A and Mat-a strains at early, middle, and late clonal stages of development.","transcript_expression","N/A"
"SNP calls on WGS of C. immitis isolates from Washington State, USA","2018-05-22","Apollo","Hanna N. Oltean","Washington State Department of Health, USA","FungiDB rel. 50, 2020-DEC-17","50","Genetic variation","cimmRS_HTS_SNP_Teixeira_Venezuela_Isolates_RSRC","DS_0e0a6f3045","<i>Coccidioides immitis</i> RS<br>","30789132","N/A","Oltean et al. 2019","<i>Coccidioides immitis</i> isolates were obtained as part of public health occidioidomycosis surveillance initiative.","isolates","N/A"
"Mycelial gene expression in response to treatment with 5,8-diHODE","2020-10-14","Apollo","Nancy P Keller","Department of Medical Microbiology and Immunology, University of Wisconsin","FungiDB rel. 52, 2021-MAY-20","52","RNASeq","afumAf293_Niu_Oxylipin_Metabolite_ebi_rnaSeq_RSRC","DS_0e1ec2bd61","<i>Aspergillus fumigatus</i> Af293<br>","33056992","N/A","Niu et al. 2020","Gene expression in <i>Aspergillus fumigatus</i> mycelium in exposure to either 0.005% ethanol (control) or 5 ug/mL 5,8-dihydroxyoctadecadienoic acid (5,8-diHODE) for 30 min and 120 min.","transcript_expression","N/A"
"SNP calls on WGS of Candida auris identified in the Netherlands","2019-08-18","Apollo","Erik H. Vogelzang","Department of Medical Microbiology and Infection Control, Amsterdam UMC","FungiDB rel. 60, 2022-NOV-09","60","Genetic variation","caurB8441_HTS_SNP_Vogelzang_Caur_2019_PRJNA560710_RSRC","DS_0f19274214","<i>Candida auris</i> strain B8441<br>","31574934","N/A","Vogelzang et al. 2019","WGS sequences of Candida auris from the Netherlands","isolates","N/A"
"<i>Trichoderma virens</i> Gv29-8 Genome Sequence and Annotation","2011-11-29","Apollo","Christian P Kubicek","Vienna University of Technology","FungiDB rel. 51, 2021-MAR-16","45","Genomes","tvirGv29-8_primary_genome_RSRC","DS_0fb7174bf2","<i>Trichoderma virens</i> Gv29-8<br>","21501500","N/A","Christian P Kubicek","Genome sequence and annotation for <i>Trichoderma virens</i> Gv29-8.","genome","12405"
"<i>Pyronema omphalodes</i> CBS 100304 Genome Sequence and Annotation","2022-08-03","Apollo","Igor V. Grigoriev","DOE Joint Genome Institute","FungiDB rel. 67, 2024-FEB-21","67","Genomes","pompCBS100304_primary_genome_RSRC","DS_0fc8997e7e","<i>Pyronema omphalodes</i> CBS 100304<br>","35898177","N/A","Igor V. Grigoriev","Genome Sequence and Annotation of <i>Pyronema omphalodes</i> CBS 100304","genome","11633"
"RNA-Seq analyses of fruiting body development","2019-03-22","Apollo","Laszlo G Nagy","Synthetic and Systems Biology Unit, Institute of Biochemistry, Biological Research Centre, Hungarian Academy of Sciences","FungiDB rel. 51, 2021-MAR-16","51","RNASeq","ccinokay7-130_Krizsan_Fruitbody_Ccinerea_ebi_rnaSeq_RSRC","DS_1018e6c09b","<i>Coprinopsis cinerea</i> okayama7#130<br>","30902897","N/A","Krizsan et al. 2019","Developmental transcriptome of a multicellular basidiomycete <i>Coprinopsis cinerea</i>.","transcript_expression","N/A"
"<i>Tremella mesenterica</i> DSM 1558 Genome Sequence and Annotation","2015-03-18","Apollo","Francis Martin","INRA, France","FungiDB rel. 51, 2021-MAR-16","21","Genomes","tmesDSM1558_primary_genome_RSRC","DS_107a700699","<i>Tremella mesenterica</i> DSM 1558<br>","23045686","N/A","Francis Martin","Genome sequence and annotation for <i>Tremella mesenterica</i> DSM 1558.","genome","8309"
"Stage-specific and genome-wide gene expression during the different developmental stages of Fusarium graminearum","2015-12-20","Apollo","JinRong Xu","Purdue University","FungiDB rel. 38, 2018-JUL-05","38","RNASeq","fgraPH-1_Xu_Stage_Specific_ebi_rnaSeq_RSRC","DS_112be26ddb","<i>Fusarium graminearum</i> PH-1<br>","26934920","N/A","Liu et al. 2016","Stand specific RNA-Seq of F. graminerum growth stages (conidia, vegetative hyphae, and perithecia at 6dpi)","transcript_expression","N/A"
"Transcriptome of wild-type vs veA and mtfA deletion mutants","2015-03-18_gus4","Apollo","Antonis Rokas","Vanderbilt University Medical Center, TN USA","FungiDB rel. 28, 2016-MAR-31","28","RNASeq","afumAf293_Lind_SecondaryMetabolism_Afum_ebi_rnaSeq_RSRC","DS_118e6fa430","<i>Aspergillus fumigatus</i> Af293<br>","25786130","N/A","Lind et al. 2015","RNA-Seq of wild-type and deletion mutants of the secondary metabolite regulators, VeA and MtfA.","transcript_expression","N/A"
"SNP calls on Paracoccidioides lutzii WGS","2016-05-24","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 42, 2019-MAR-07","42","Genetic variation","plutPb01_HTS_SNP_Munoz_WGS_RSRC","DS_11cc0909dd","<i>Paracoccidioides lutzii</i> Pb01<br>","27704050","N/A","Christina Cuomo","Whole genome sequencing of <i>P. lutzii</i> isolates.","isolates","N/A"
"<i>Pleurotus ostreatus</i> PC15 Genome Sequence and Annotation","2014-06-05","Apollo","Igor V. Grigoriev","DOE Joint Genome Institute","FungiDB rel. 53, 2021-JUL-21","53","Genomes","postPC15_primary_genome_RSRC","DS_11dde2ebed","<i>Pleurotus ostreatus</i> PC15<br>","24958869","N/A","Igor V. Grigoriev","Genome Sequence and Annotation of <i>Pleurotus ostreatus</i> PC15","genome","12460"
"<i>Phytophthora cactorum</i> 10300 Genome Sequence and Annotation","2018-07-03","Apollo","Richard J. Harrison","N/A","FungiDB rel. 68, 2024-MAY-07","68","Genomes","pcac10300_primary_genome_RSRC","DS_122336d025","<i>Phytophthora cactorum</i> 10300<br>","30278048","N/A","Richard J. Harrison","Genome Sequence and Annotation of <i>Phytophthora cactorum</i> 10300","genome","23884"
"<i>Aspergillus versicolor</i> CBS 583.65 Genome Sequence and Annotation","2016-12-07","Apollo","Ronald P. de Vries","Westerdijk Fungal Biodiversity Institute","FungiDB rel. 66, 2023-NOV-28","33","Genomes","averCBS583.65_primary_genome_RSRC","DS_126622b076","<i>Aspergillus versicolor</i> CBS 583.65<br>","28196534","N/A","Ronald P. de Vries","Genome sequence and annotation for <i> Aspergillus versicolor</i> CBS 583.65","genome","13364"
"Proteogenomic Re-Annotation of <i>Coccidioides posadasii</i> str. Silveira","2017-11-12","Apollo","Douglas Lake","School of Life Sciences, Arizona State University, AZ, USA","FungiDB rel. 36, 2018-FEB-19","36","Protein expression","cposSilveira_massSpec_Mitchell_ProteogenomicReAnnotation_RSRC","DS_12b70afbf9","<i>Coccidioides posadasii</i> str. Silveira<br>","29130603","N/A","Mitchell et al.","<i>Coccidioides posadasii</i> is a dimorphic fungal pathogen that causes coccidioidomycosis in a wide range of mammalian hosts, including humans. Proteomic analysis of strain Silveira was performed to provide empirical evidence of the proteins produced in both the mycelial (CDN) and parasitic (SPH) phases.","protein_expression","N/A"
"<i>Puccinia sorghi</i> strain RO10H11247 Genome Sequence and Annotation","2015-08-19","Apollo","BIA - FCEN - UBA","Bia Argentina","FungiDB rel. 52, 2021-MAY-20","52","Genomes","psorRO10H11247_primary_genome_RSRC","DS_1394ad1592","<i>Puccinia sorghi</i> strain RO10H11247<br>","N/A","N/A","BIA - FCEN - UBA","Genome Sequence and Annotation of <i>Puccinia sorghi</i> strain RO10H11247","genome","21769"
"Transcriptome profiling of Trichophyton rubrum on glucose and keratin","2022-06-17","Apollo","Nilce M. Martinez-Rossi","Department of Genetics, Ribeirao Preto Medical School, Sao Paulo University","FungiDB rel. 68, 2024-MAY-07","68","RNASeq","trubCBS118892_Martins-Santana_2023_ebi_rnaSeq_RSRC","DS_1436095090","<i>Trichophyton rubrum</i> CBS 118892<br>","35783403","N/A","Martins-Santana et al. 2023","Global Analysis of the dermatophyte Trichophyton rubrum when shifted from glucose to keratin","transcript_expression","N/A"
"<i>Xylaria arbuscula</i> CBS 124340 Genome Sequence and Annotation","2022-03-18","Apollo","Jana M. U'Ren","BIO5 Institute and Department of Biosystems Engineering, The University of Arizona, Tucson, AZ, 85721 USA","FungiDB rel. 67, 2024-FEB-21","67","Genomes","xarbCBS124340_primary_genome_RSRC","DS_14760c0f04","<i>Xylaria arbuscula</i> CBS 124340<br>","N/A","N/A","Jana M. U'Ren","Genome Sequence and Annotation of <i>Xylaria arbuscula</i> CBS 124340","genome","13122"
"<i>Coccidioides immitis</i> H538.4 Genome Sequence and Annotation","2015-07-10","N/A","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","FungiDB rel. 66, 2023-NOV-28","15","Genomes","cimmH538-4_primary_genome_RSRC","DS_1488fda3d6","<i>Coccidioides immitis</i> H538.4<br>","20516208","N/A","The Broad Institute of MIT and Harvard","Genome sequence and annotation for <i>Coccidioides immitis</i> H538.4.","genome","10724"
"RNA sequencing of stripe rust infected wheat leaves and isolated haustoria","2013-04-22","Apollo","Diane GO Saunders","The Sainsbury Laboratory, Norwich Research Park","FungiDB rel. 68, 2024-MAY-07","68","RNASeq","pstr93-210_Cantu_PST_2013_ebi_rnaSeq_RSRC","DS_14b0e873fb","<i>Puccinia striiformis</i> strain 93-210<br>","23607900","N/A","Cantu et al. 2013","Total RNA was extracted from a pool of stripe rust infected wheat leaves and from two biological replicates of haustoria isolates.","transcript_expression","N/A"
"<i>Exophiala spinifera</i> CBS 89968 Genome Sequence and Annotation","2016-06-16","Apollo","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","FungiDB rel. 58, 2022-JUN-23","58","Genomes","espiCBS89968_primary_genome_RSRC","DS_14b629a086","<i>Exophiala spinifera</i> CBS 89968<br>","28348446","N/A","Christina Cuomo","Genome Sequence and Annotation of <i>Exophiala spinifera</i> CBS 89968","genome","12110"
"Genome-wide transcriptome during sexual development","2013-10-10","Apollo","Jeff Townsend","Department of Biostatistics, School of Public Health, Yale University","FungiDB rel. 37, 2018-APR-25","37","RNASeq","ncraOR74A_Townsend_Transcriptome_SexualDevelopment_ebi_rnaSeq_RSRC","DS_14cdcc2c58","<i>Neurospora crassa</i> OR74A<br>","22626843, 24243796, 25329823","N/A","Wang et al. 2014","Transcriptomic sequencing was primed by random and multitargeted primers and accessed across eight time points","transcript_expression","N/A"
"<i>Scedosporium apiospermum</i> IHEM 14462 Genome Sequence and Annotation","2018-03-30","Apollo","Jean-Philippe Bouchara","Laboratoire de Parasitologie-Mycologie, Centre Hospitalier Universitaire, Angers, France","FungiDB rel. 51, 2021-MAR-16","41","Genomes","sapiIHEM14462_primary_genome_RSRC","DS_1566006e1e","<i>Scedosporium apiospermum</i> IHEM 14462<br>","25278533","N/A","Jean-Philippe Bouchara","Genome sequence and annotation for <i>Scedosporium apiospermum</i> IHEM 14462.","genome","10920"
