Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Release Policy,Short Attribution,Summary,Type,Genes,
Protein targets of serum antibodies in response to infection,2013-06-26_gus4,Apollo,Peter Crompton,"National Institutes of Health, USA","PlasmoDB rel. 11.0, 2014-FEB-03",20,Immunology,pfal3D7_microarrayAntibody_Crompton_Mali_RSRC,DS_0d4dd969f2,<i>Plasmodium falciparum</i> 3D7<br>,20351286,N/A,Crompton et al.,"Protein targets of antibodies in response to
    <i>P. falciparum</i> infection were determined by protein microarray hybridized with
    plasma collected from human malaria patients.",putative_function,N/A,
Schizont enriched EST library,10/19/2007,Apollo,Isabelle Florent,"Museum National d Histoire Naturelle, Paris France","PlasmoDB rel. 1.0, 01-JAN-05",0,EST,pfal3D7_EST_Florent_EstLibrary_sequences_RSRC,DS_0d8be16a67,<i>Plasmodium falciparum</i> 3D7<br>,"15287595, 19454033",N/A,Isabelle Florent,"<i>P. falciparum</i> FcB1 strain, Erythrocytic stages, schizont/merozoite stage EST library, from GenoScope.",EST,N/A,
Aligned genomic sequence reads - symptomatic malaria isolates,4/1/2014,Apollo,Christopher V. Plowe,"Howard Hughes Medical Institute/Center for Vaccine Development, University of Maryland, School of Medicine","PlasmoDB rel. 13.0, 2015-JAN-14",23,Genetic variation,pfal3D7_HTS_SNP_Plowe_symptomatic_malaria_analysis_RSRC,DS_0d9e5a3aaa,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Christopher V. Plowe,Whole genome sequencing of isolates collected from symptomatic malaria patients.,isolates,N/A,
Pfal3D7 real-time transcription and decay,August_2015_gus4,Apollo,Manuel Llinas,Pennsylvania State University,"PlasmoDB rel. 26, 2015-OCT-10",26,DNA Microarray Assay,pfal3D7_microarrayExpression_Llinas_RT_Transcription_Decay_RSRC,DS_0fa4237b4b,<i>Plasmodium falciparum</i> 3D7<br>,29985403,N/A,Manuel Llinas,"Biosynthetic pyrimidine labeling was used for the calculation of real-time,
             whole-genome analysis of transcription and stability throughout asexual development of <i>P. falciparum</i> 3D7 strain.",transcript_expression,N/A,
Antibody array of recent exposure to Plasmodium infection,8/11/2015,Apollo,Danica Helb,University of Pennsylvania,"PlasmoDB rel. 42, 2019-MAR-07",42,Immunology,pfal3D7_microarrayAntibody_Helb_RecentExposure_RSRC,DS_114ffa1e42,<i>Plasmodium falciparum</i> 3D7<br>,26216993,N/A,Helb et al.,"This study assessed responses to 856 P. falciparum antigens by protein microarray in 186 Ugandan children, for whom detailed P. falciparum exposure data were available.",putative_function,N/A,
Life Cycle Stages,1,Apollo,Elizabeth Winzeler,The Scripps Research Institute,"PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pyoeyoelii17X_microarrayExpression_Winzeler_sporozoite_RSRC,DS_11b08bd231,<i>Plasmodium yoelii</i> yoelii 17X<br>,18270564,N/A,Elizabeth Winzeler,"Comparative expression analysis on Plasmodium parasite life cycle data derived 
      from <i>P. falciparum</i> blood, sporozoite, zygote and ookinete stages, and 
      <i>P. yoelii</i> mosquito oocyst and salivary gland 
      sporozoites, blood and liver stages.",transcript_expression,N/A,
Regulatory elements during intraerythrocytic development by ATACseq,9/20/2017,Apollo,Richard Bartfai,"Department of Molecular Biology, Radboud University, ,","PlasmoDB rel. 44, 2019-JUL-02",44,CHIP Seq,pfal3D7_Toenhake_IDC_ATACseq_chipSeq_RSRC,DS_11b957c1d4,<i>Plasmodium falciparum</i> 3D7<br>,29649445,N/A,Toenhake et al.,Chromatin accessibility defined by direct profiling using the assay for transposase accessible chromatin sequencing (ATAC-seq) at eight time points during the intraerythrocytic cycle.,transcript_expression,N/A,
UTRs based on DAFT- and UTR-Seq (HB3 2020),6/8/2020,Apollo,Manuel Llinas,Pennsylvania State University,"PlasmoDB rel. 52, 2021-MAY-20",52,"Sequence sites, features and motifs",pfal3D7_HB3-UTRs-DAFT_GFF_RSRC,DS_11f60d0e06,<i>Plasmodium falciparum</i> 3D7<br>,32513207,N/A,Manuel Llinas,GFF files showing UTRs for HB3 strain determined by DAFT and 5UTR-Seq RNA sequencing techniques. Data are shown aligned to the 3D7 genome.,feature,N/A,
"Salivary gland sporozoite total, N-acetyl-, phospho- and surface proteomes (NF54)",1,Apollo,Stefan Kappe,Seattle Children’s Research Institute,"PlasmoDB rel. 30, 2017-FEB-03",19,Protein expression,pfal3D7_massSpec_Kappe_Sprotozoite_RSRC,DS_12a4b65dcc,<i>Plasmodium falciparum</i> 3D7<br>,"23325771, 27714937, 28759593, 31673027",N/A,Lindner et al.,"Total, N-acetylated, phosphorylated and putative surface proteomes of <i>P. falciparum</i> N54  salivary gland sporozoites.",protein_expression,N/A,
Aligned genomic sequence reads - KADdd2 (sensitive) and KAD707A (resistant),1/11/2012,Apollo,Elizabeth Winzeler,The Scripps Research Institute,"PlasmoDB rel. 10.0, 2013-SEP-25",19,Genetic variation,pfal3D7_HTS_SNP_Winzeler_KAD_RSRC,DS_135c202e2f,<i>Plasmodium falciparum</i> 3D7<br>,22096101,N/A,Meister et al.,"Whole genome resequencing data from two <i>P. falciparum</i> strains-
      KADdd2 (sensitive to KAD707/GNF707) and KAD707A (resistant to KAD707/GNF707)- were used to call SNPs 
       and determine CNV at the gene and chromosome level.",isolates,N/A,
HP1 localization at virulence clusters,1,Apollo,Till Voss,"Department of Medical Parasitology and Infection Biology, Swiss Tropical and Public Health Institute; University of Basel","PlasmoDB rel. 1.0, 01-JAN-05",0,ChIP chip,pfal3D7_chipChipExper_Till_Voss_RSRC,DS_1373afc053,<i>Plasmodium falciparum</i> 3D7<br>,19730695,N/A,Till Voss,Genome-wide localization of heterochromatin protein 1 (PfHP1) as determined by high-density ChIP-on-chip.,transcript_expression,N/A,
<i>Plasmodium falciparum</i> NF135.C10 Genome Sequence and Annotation,12/17/2019,N/A,Joana Carneiro da Silva,University of Maryland School of Medicine,"PlasmoDB rel. 55, 2021-DEC-02",55,Genomes,pfalNF135C10_primary_genome_RSRC,DS_14ab93d636,<i>Plasmodium falciparum</i> NF135.C10<br>,31915075,N/A,Joana Carneiro da Silva,Genome Sequence and Annotation of <i>Plasmodium falciparum</i> NF135.C10,genome,5615,
Microarray Expression from Patient Samples,1,Apollo,Chris I. Newbold,Weatherall Institute of Molecular Medicine,"PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pfal3D7_microarrayExpression_Newbold_Patients_RSRC,DS_1556ad1e1e,<i>Plasmodium falciparum</i> 3D7<br>,19376968,N/A,Chris I. Newbold,"<i>Plasmodium falciparum</i> directly from the blood of 17 infected individuals was 
      cultured to examine patterns of mature-stage gene expression in patient isolates.",transcript_expression,N/A,
Heat-shock response phenotypic screen,7/27/2021,Apollo,John Adams,University of South Florida,"PlasmoDB rel. 56, 2022-FEB-15",56,Phenotype,pfal3D7_phenotype_HS_Response_Phenotype_RSRC,DS_166e521549,<i>Plasmodium falciparum</i> 3D7<br>,34315897,N/A,Zhang et al. 2021,"Heat-shock sentativity phenotype screen of 922 functionally uncharacterized piggy back mutants. Three rounds of temperture cycling followed by quantitative insertion site sequencig were used to establish the heat shock phenotype (sensitive, neutral, tolerant) for each gene.",generic_profiles,N/A,
Sporozoite surface proteome (NF54),4/29/2016,Apollo,Kristian E. Swearingen,Institute for Systems Biology,"PlasmoDB rel. 30, 2017-FEB-03",30,Protein expression,pfal3D7_massSpec_Sporozoite_surface_proteome_RSRC,DS_16fc915143,<i>Plasmodium falciparum</i> 3D7<br>,27128092,N/A,Swearingen et al.,"Proteome of <i>P. falciparum</i> NF54 salivary gland sporozoite surface proteins isolated by 
    affinity enrichment of surface-exposed proteins labeled with a biotin tag.",protein_expression,N/A,
Patient isolates cultured through the intraerythrocytic development cycle,3/2/2020,Apollo,Manoj Duraisingh,Harvard T.H. Chan School of Public Health,"PlasmoDB rel. 54, 2021-SEP-08",54,RNASeq,pvivP01_Pvivax_3_patient_IDC_2020_ebi_rnaSeq_RSRC,DS_1715c6542a,<i>Plasmodium vivax</i> P01<br>,32119669,N/A,Rangel et al.,<i>Plasmodium vivax</i> transcriptional profiling of low input cryopreserved patient isolates through the intraerythrocytic development cycle.,transcript_expression,N/A,
<i>Plasmodium fragile</i> strain nilgiri Genome Sequence and Annotation,7/26/2016,Apollo,The Broad Institute of MIT and Harvard,The Broad Institute of MIT and Harvard,"PlasmoDB rel. 51, 2021-MAR-16",30,Genomes,pfraNilgiri_primary_genome_RSRC,DS_18cd64a91b,<i>Plasmodium fragile</i> strain nilgiri<br>,N/A,N/A,The Broad Institute of MIT and Harvard,<i>Plasmodium fragile</i> strain nilgiri Genome Sequence and Annotation with apicoplast.,genome,5744,
NSR-seq Transcript Profiling of malaria-infected pregnant women and children,01-04-2010_gus4,Apollo,Patrick Duffy,NIAID - NIH,"PlasmoDB rel. 9.0, 2012-MAY-18",14,RNASeq,pfal3D7_Duffy_rnaSeq_RSRC,DS_198bfa8376,<i>Plasmodium falciparum</i> 3D7<br>,21317536,N/A,Vignali et al.,"Transcriptome analysis (NSR-Seq) of three samples: <i>P. falciparum</i> 3D7 reference, infected pregenant women 
      and infected children (two pooled field isolates).",transcript_expression,N/A,
Popset Records from GenBank,N/A,Apollo,GenBank,NCBI,"PlasmoDB rel. 1.0, 01-JAN-05",0,Genetic variation,_isolates_genbank_RSRC$,DS_19a7ddd8f2,<i>Haemoproteus tartakovskyi</i> strain SISKIN1<br><i>Hepatocystis sp.</i> ex Piliocolobus tephrosceles 2019<br><i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,GenBank,GenBank records containing sequence and metadata for popsets,isolates,N/A,
<i>Plasmodium vinckei</i> vinckei strain vinckei Genome Sequence and Annotation,6/17/2014,N/A,The Broad Institute of MIT and Harvard,The Broad Institute of MIT and Harvard,"PlasmoDB rel. 51, 2021-MAR-16",30,Genomes,pvinvinckeivinckei_primary_genome_RSRC,DS_19b83aa2be,<i>Plasmodium vinckei</i> vinckei strain vinckei<br>,N/A,N/A,The Broad Institute of MIT and Harvard,Sequence for <i>Plasmodium vinckei vinckei</i> strain vinckei,genome,5009,
WGS of Pfal isolates from French Guiana during a period of malaria decline (paired-end),8/5/2016,Apollo,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","PlasmoDB rel. 63, 2023-MAY-03",63,Genetic variation,pfal3D7_HTS_SNP_Neafsey_malaria_decline_Paired_RSRC,DS_19e0b85ea6,<i>Plasmodium falciparum</i> 3D7<br>,35867831,N/A,Early et al. 2022,Paired-end whole genome sequencing of 144 isolates from a dataset containing 148 <i>P. falciparum</i> isolates (blood or culture) from patients. Samples were collected between 1998 and 2015.,isolates,N/A,
<i>Plasmodium falciparum</i> CD01 Genome Sequence and Annotation,4/20/2018,N/A,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","PlasmoDB rel. 51, 2021-MAR-16",41,Genomes,pfalCD01_primary_genome_RSRC,DS_1abc3cd4c9,<i>Plasmodium falciparum</i> CD01<br>,29862326,N/A,Matt Berriman,Genome Sequence and annotation for <i>Plasmodium falciparum</i> CD01,genome,5483,
Male vs female gametocytes (ANKA),9/25/2007,Apollo,Andrew Waters,"Department of Parasitology, Leiden University","PlasmoDB rel. 1.0, 01-JAN-05",0,Protein expression,pberANKA_massSpec_MaleAndFemaleGametocytes_Waters_RSRC,DS_1cc4128dd9,<i>Plasmodium berghei</i> ANKA<br>,N/A,N/A,Andrew Waters,"Proteomes of highly purified male or female gametocytes from <i>P. berghei</i> ANKA were determined by 1DE, LC-MS/MS.",protein_expression,N/A,
piggyBac insertion mutagenesis,3/23/2010,Apollo,John Adams,University of South Florida,"PlasmoDB rel. 37, 2018-APR-25",37,Phenotype,pfal3D7_phenotype_pB_mutagenesis_MIS_MFS_RSRC,DS_1cc763e9d0,<i>Plasmodium falciparum</i> 3D7<br>,"19422698, 20949012, 29724925",N/A,John Adams,<i>P. falciparum</i> NF54 mutants were generated via random piggyBac transposon mutagenesis. Mutants are genetically identical except for a single randomly inserted transposon at TTAA tetranucleotide sites.,generic_profiles,N/A,
<i>Plasmodium falciparum</i> 3D7 Genome Sequence and Annotation,9/1/2020,Apollo,GeneDB,"GeneDB, Wellcome Sanger Institute","PlasmoDB rel. 9.0, 2012-MAY-18",0,Genomes,pfal3D7_primary_genome_RSRC,DS_1d17c1883c,<i>Plasmodium falciparum</i> 3D7<br>,"31080894, 32513207",N/A,GeneDB,<i>P. falciparum</i> (3D7) chromosomes sequence and annotation,genome,5720,
Aligned genomic sequence reads - strain SY57,4/2/2016,Apollo,Beatrice H. Hahn,University of Pennsylvania,"PlasmoDB rel. 30, 2017-FEB-03",30,Genetic variation,preiCDC_HTS_SNP_UPENNBL_PreichenowiSY57_QuerySRA_RSRC,DS_1d84ebd027,<i>Plasmodium reichenowi</i> CDC<br>,27002652,N/A,Beatrice H. Hahn,Whole genome sequencing of <i>Plasmodium reichenowi</i> SY57. The data were used to call SNPs against the <i>Plasmodium reichenowi</i> CDC reference genome.,isolates,N/A,
Intraerythrocytic life cycle of <i>Plasmodium vivax</i> (VCG-1),10/12/2014,Apollo,Manuel Alfonso Patarroyo,Fundación Instituto de Inmunología de Colombia (FIDIC),"PlasmoDB rel. 25, 2015-JUL-23",25,Protein expression,pvivP01_massSpec_Patarroyo_Intraerythrocytic_Proteome_RSRC,DS_1da74810e4,<i>Plasmodium vivax</i> P01<br>,25316051,N/A,Moreno-Perez et al.,Proteome during the <i>Plasmodium vivax</i> VCG-1 intraerythrocytic life cycle,protein_expression,N/A,
Life cycle stage transcriptome for P. vinckei petteri,5/31/2017,Apollo,Arnab Pain,King Abdullah University of Science and Technology,"PlasmoDB rel. 55, 2021-DEC-02",55,RNASeq,pvinvinckeiCY_pvin_petteri_stages_Pain_ebi_rnaSeq_RSRC,DS_1deaf05e67,<i>Plasmodium vinckei</i> vinckei CY<br>,33888092,N/A,Ramaprasad et al 2021,"RNA seq transcriptomes of <i>Plasmodium vinckei</i> petteri mixed stages, gametocytes, rings and trophozoites.",transcript_expression,N/A,
P vivax patient isolate transcriptomes,9/30/2022,Apollo,Anna Rosanas-Urgell,Institute of Tropical Medicine Antwerp,"PlasmoDB rel. 64, 2023-JUL-12",64,RNASeq,pvivP01_pvivP01_patient_isolate_RNASeq_ebi_rnaSeq_RSRC,DS_1f0d95797a,<i>Plasmodium vivax</i> P01<br>,36250048,N/A,De Meulenaere et al. 2022,"RNA seq transcriptomes of schizont and trophozoite stage cultures of <i>P vivax</i> isolates from pateints in Peru, Papua New Guinea.",transcript_expression,N/A,
Oligos (Winzeler/Westenberger),2009-11,Apollo,Henk Stunnenberg,"Radboud University Nijmegen, The Netherlands","PlasmoDB rel. 1.0, 01-JAN-05",0,Array Probes,pfal3D7_chipChipPlatform_Affy-Winzeler-Westenberger_RSRC,DS_1f3165940a,<i>Plasmodium falciparum</i> 3D7<br>,N/A,N/A,Henk Stunnenberg,Oligos (Winzeler/Westenberger) Zoom to 20K or less to see the probe glyphs.,transcript_expression_platform,N/A,
<i>Plasmodium falciparum</i> GA01 Genome Sequence and Annotation,4/20/2018,N/A,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","PlasmoDB rel. 51, 2021-MAR-16",41,Genomes,pfalGA01_primary_genome_RSRC,DS_1f8272dd26,<i>Plasmodium falciparum</i> GA01<br>,29862326,N/A,Matt Berriman,Genome Sequence and annotation for <i>Plasmodium falciparum</i> GA01,genome,5551,
17XL predicted full length transcripts (ESTs),11/2/2006,Apollo,Junichi Watanabe,"Department of Parasitology, Institute of Medical Science, University of Tokyo","PlasmoDB rel. 1.0, 01-JAN-05",0,EST,pyoeyoelii17X_EST_WatanabePy17XL_PredictedTranscripts_sequences_RSRC,DS_20c45d8ed1,<i>Plasmodium yoelii</i> yoelii 17X<br>,17151081,N/A,Junichi Watanabe,<i>P. yoelii</i> 17XL predicted full length transcript sequences.,EST,N/A,
Midgut oocysts and salivary gland sporozoite epigenetics,1/16/2017,Apollo,Elena Gomez-Diaz,Instituto de Parasitologia y Biomedicina Lopez-Neyra (IPBLN),"PlasmoDB rel. 46, 2019-NOV-06",46,CHIP Seq,pfal3D7_Corces_epigenetics_chipSeq_RSRC,DS_20d81deb91,<i>Plasmodium falciparum</i> 3D7<br>,28091569,N/A,Gomez-Diaz et al.,"ChIP-seq analyses of histone modifications, including H3K9ac, H3K27ac, H3K4me3, and H3K9me3, at the oocyst and sporozoite stages.",transcript_expression,N/A,
<i>Plasmodium vivax-like sp.</i> Pvl01 Genome Sequence and Annotation,6/21/2018,Apollo,Virginie Rougeron,"French National Centre for Scientifici Research, Montpellier, France","PlasmoDB rel. 42, 2019-MAR-07",42,Genomes,pvivPvl01_primary_genome_RSRC,DS_22083c762c,<i>Plasmodium vivax-like</i> Pvl01<br>,30142149,N/A,Virginie Rougeron,Genome Sequence and annotation for <i>Plasmodium vivax-like</i> Pvl01,genome,5604,
<i>Plasmodium gallinaceum</i> 8A Genome Sequence and Annotation,9/1/2020,Apollo,GeneDB,"GeneDB, Wellcome Sanger Institute","PlasmoDB rel. 68, 2024-MAY-07",0,Genomes,pgal8A_primary_genome_RSRC,DS_22b4dadc51,<i>Plasmodium gallinaceum</i> 8A<br>,29500236,N/A,GeneDB,Genome sequence and annotation for <i>P. gallinaceum</i> 8A,genome,5447,
Infected erythrocytes from patient blood sample,8/11/2009,Apollo,Utpal S. Tatu,"Indian Institute of Science, Bangalore","PlasmoDB rel. 1.0, 01-JAN-05",0,Protein expression,pvivP01_massSpec_Tatu_Clinical_RSRC,DS_234a94edb9,<i>Plasmodium vivax</i> P01<br>,21136953,N/A,Acharya et al.,"Parasite-infected erythrocytes were colleced/enriched from a human blood sample. Protein preparations from the lysed infected erythrocytes 
      were analyzed by 1DE, LC-MS/MS. Presented here are the <i>P. vivax</i> samples.",protein_expression,N/A,
WGS of Pfal isolates from French Guiana during a period of malaria decline (single-end),8/3/2016,Apollo,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","PlasmoDB rel. 63, 2023-MAY-03",63,Genetic variation,pfal3D7_HTS_SNP_Neafsey_malaria_decline_Single_RSRC,DS_24c55944e8,<i>Plasmodium falciparum</i> 3D7<br>,35867831,N/A,Early et al. 2022,Whole genome sequencing (single-end) of 3 <i>P. falciparum</i> isolates (blood or culture) from patients. Samples were collected between 1998 and 2015.,isolates,N/A,
Transcriptome of sequestration phenotypes,1/21/2021,Apollo,Gwladys I. Bertin,Université de Paris UMR261-MERIT Faculté de Pharmacie,"PlasmoDB rel. 53, 2021-JUL-21",53,RNASeq,pfal3D7_Kamaliddin_Sequestration_ebi_rnaSeq_RSRC,DS_26bc402eec,<i>Plasmodium falciparum</i> 3D7<br>,33475364,N/A,Kamaliddin et al,RNA sequence analysis of ring-stage parasites from five strains of <i>Plasmodium falciparum</i> with different sequestration phenotypes.,transcript_expression,N/A,
"Erythrocytic expression time series (3D7, DD2, HB3)",1.0_gus4,Apollo,Joseph L DeRisi,"Department of Biochemistry and Biophysics, University of California, San Francisco","PlasmoDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,pfal3D7_microarrayExpression_Derisi_TimeSeries_RSRC,DS_28ef9b0494,<i>Plasmodium falciparum</i> 3D7<br>,"12929205, 16493140",N/A,Bozdech et al. and Llinas et al.,"Microarray expression data for the <i>P. falciparum</i> 3D7, DD2, and HB3 strains during the erythocytic 
      stage generated by the DeRisi lab (UCSF).",transcript_expression,N/A,
High resolution intraerythrocytic time course transcriptome by RNA-Seq,10/9/2020,Apollo,Zbynek Bozdech,"School of Biological Sciences, Nanyang Technological University","PlasmoDB rel. 57, 2022-APR-21",57,RNASeq,pfal3D7_ppfal3d7_kucharski_RBC_RNAseq_ebi_rnaSeq_RSRC,DS_29940f3f82,<i>Plasmodium falciparum</i> 3D7<br>,33036628,N/A,Kucharski and Tripathi et al.,Plasmodium falciparum 3D7 high resolution time course transcriptome (RNAseq),transcript_expression,N/A,
<i>Plasmodium falciparum</i> ML01 Genome Sequence and Annotation,4/20/2018,N/A,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","PlasmoDB rel. 51, 2021-MAR-16",41,Genomes,pfalML01_primary_genome_RSRC,DS_2a60a79d5d,<i>Plasmodium falciparum</i> ML01<br>,29862326,N/A,Matt Berriman,Genome Sequence and annotation for <i>Plasmodium falciparum</i> ML01,genome,6067,
"Asexual blood stages, salivary gland sporozoite and midgut oocyst transcriptomes",1/18/2017,Apollo,Victor G. Corces,"Department of Biology, Emory University","PlasmoDB rel. 45, 2019-SEP-05",45,RNASeq,pfal3D7_Gomez-Diaz_asexual_stages_ebi_rnaSeq_RSRC,DS_2aa311d6a0,<i>Plasmodium falciparum</i> 3D7<br>,28091569,N/A,Gomez-Diaz,Transcriptional analysis of asexual blood stages from 4 infected donors and the salivary gland sporozoites and midgut oocysts resulting from infecting mosquitoes with their blood.,transcript_expression,N/A,
Geographically dispersed P. falciparum isolates,5/3/2018,Apollo,Matt Berriman,"Wellcome Sanger Institute, Hinxton, UK","PlasmoDB rel. 41, 2018-DEC-13",41,Genetic variation,pfal3D7_HTS_SNP_Otto_GeoDispersedIsolates_RSRC,DS_2d13238b19,<i>Plasmodium falciparum</i> 3D7<br>,29862326,N/A,Otto et al.,"Illumina whole genome sequencing of <i>P falciparum</i> isolates and lab strains. Data were aligned to the 
     Pf3D7 reference genome was used to determine SNPs.",isolates,N/A,
