Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,Genes,,,,
Musca domestica Transcriptome or Gene expression,Jan-20,Apollo,Weibo Xie,Huazhong Agricultural University,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,mdomaabys_SRP051337_ebi_rnaSeq_RSRC,DS_0273077ad5,<i>Musca domestica</i> aabys<br>,N/A,Weibo Xie,"RNA-Seq of eggs, larvae and adults",transcript_expression,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 1997 (New Jersey light trap)",3/8/2019,N/A,Ryan Smith,Iowa State University,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000409_RSRC,DS_0280f71104,<br>,"18714883, 25102595, 31036953",Ryan Smith,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000409)",population_biology,N/A,,,,
A. arabiensis RNA seq Raw sequence reads,8/31/2017,Apollo,Federica Bernardini,Imperial College London,"VectorBase rel. 67, 2024-FEB-21",67,RNASeq,aaraDONGOLA2021_SRP103209_ebi_rnaSeq_RSRC,DS_02bd0203a9,<i>Anopheles arabiensis</i> DONGOLA 2021<br>,28860320,Federica Bernardini,Cross-species Y chromosome function between malaria vectors of the Anopheles gambiae species complex,transcript_expression,N/A,,,,
"Origin of a High-Latitude Population of Aedes aegypti in Washington, DC",Jun-20,Apollo,Andrea Gloria-Soria,"Department of Ecology and Evolutionary Biology, Yale University","VectorBase rel. 48, 2020-AUG-27",48,Genetic variation,aaegLVP_AGWG_VBP0000201_Gloria-Soria_2017_AaegL5_ebi_VCF_RSRC,DS_02c0ef3cc2,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Andrea Gloria-Soria,"An overwintering population of Aedes aegypti has been documented in the Capitol Hill neighborhood of
 Washington, DC, since 2011. Mitochondrial cytochrome oxidase I (mtCOI) sequence data presented in a previous
 study traced the origin to the New World. Here, we use microsatellite and SNP chip data along with more
mitochondrial DNA (mtDNA) sequences on Washington Ae. aegypti samples and samples from potential sources to
 further narrow the origin of this population. Genetically, Washington Ae. aegypti are closest to populations in
Florida, meaning this is the most likely source. Florida experienced the first mosquito-borne transmission of dengue
in the United States after decades of absence of this disease, as well as local transmission of chikungunya and Zika
in recent years. This indicates that the Capitol Hill, Washington, DC population of Ae. aegypti is capable of
 transmitting viruses such as dengue, chikungunya, and Zika in modern US city environments.",isolates,N/A,,,,
<i>Dermacentor andersoni</i> qqDerAnde1.1 Genome Sequence,5/16/2022,N/A,GenBank,NCBI,"VectorBase rel. 67, 2024-FEB-21",67,Genomes,dandqqDerAnde1.1_primary_genome_RSRC,DS_033bfc01d1,<i>Dermacentor andersoni</i> qqDerAnde1.1<br>,N/A,GenBank,Genome Sequence of <i>Dermacentor andersoni</i> qqDerAnde1.1,genome,N/A,,,,
"Evaluation of resting traps to examine the behaviour and ecology of mosquito vectors in an area of rapidly changing land use in Sabah, Malaysian Borneo",8/14/2018,N/A,Rebecca Brown,"Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow, Glasgow, UK","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000300_RSRC,DS_035b484ded,<br>,29898780,Rebecca Brown,This study evaluated the use of two mosquito traps: the resting bucket and sticky resting bucket traps relative to CDC backpack aspiration for sampling mosquitoes resting in a range of habitats representing a gradient of deforestation. (MapVEu VBP0000300),population_biology,N/A,,,,
"A multipurpose high throughput SNP chip for the dengue and yellow fever mosquito, Aedes aegypti",Jun-20,Apollo,Benjamin R Evans,"Department of Ecology and Evolutionary Biology, Yale University","VectorBase rel. 48, 2020-AUG-27",48,Genetic variation,aaegLVP_AGWG_VBP0000122_Aedes_Evans_2015_AxiomGT1_calls_2_AaegL5_ebi_VCF_RSRC,DS_03aef8200c,<i>Aedes aegypti</i> LVP_AGWG<br>,25721127,Benjamin R Evans,High throughput genotyping of Aedes aegypti populations from around the world using a custom SNP genotyping chip.,isolates,N/A,,,,
Insecticides resistance,5/5/2014,Apollo,Chunxiao Li,Beijing Institute of Microbiology and Epidemiology,"VectorBase rel. 58, 2022-JUN-23",58,RNASeq,cquiJHB_SRP041691_ebi_rnaSeq_RSRC,DS_03eb8ee9f3,<i>Culex quinquefasciatus</i> JHB 2020<br>,N/A,"Li and Zhao 2014, unpublished","Larvae of Cx. quinquefasciatus (and Cx. pipiens pallens) collected from the field were reared in the lab to adulthood to get F1 generation. Then, without any exposure to insecticides, half of the F1 generation (12 larvae) was sequenced.",transcript_expression,N/A,,,,
GPL18530 - NimbleGen Aedes aegypti 12plex array,4/4/2014,Apollo,Susanta K. Behura,"Division of Animal Sciences, University of Missouri","VectorBase rel. 47, 2020-APR-07",47,Array Probes,aaegLVP_AGWG_microarrayPlatform_GPL18530_NimbleGen_RSRC,DS_04102dc2b8,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Susanta K. Behura,"An expression design for 17,494 genes/transposable_ORFs from Aedes aegypti and TEfam with up to three 60-mer probe pairs (PM/MM) per gene. Each probe is also replicated 3 times on the array. The design includes random GC and other control probes.",transcript_expression_platform,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 2000 (New Jersey light trap)",2/10/2019,N/A,Unidentified,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000391_RSRC,DS_0411d42f58,<br>,N/A,Unidentified,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000391)",population_biology,N/A,,,,
Aposymbiotic midguts,Jan-20,Apollo,XiaoLi Bing,"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, CT 06520, USA.","VectorBase rel. 47, 2020-APR-07",47,RNASeq,gmorYale_SRP097906_ebi_rnaSeq_RSRC,DS_0445efcab5,<i>Glossina morsitans</i> Yale<br>,28659447,Bing et al 2017,"Whole gut transcriptomes (including cardia, bacteriome and midgut) were generated from aposymbiotic flies (collected at 11 days post eclosion at 72 hours post blood meal and derived from mothers treated with tetracycline and dietary yeast extract supplementation).",transcript_expression,N/A,,,,
Insecticide resistance and target site mutations (G119S ace-1 and L1014F kdr) of Culex pipiens in Morocco,3/27/2018,N/A,M'hammed Sarih,"Institut Pasteur du Maroc, Service de Parasitologie et des Maladies Vectorielles, Casablanca, Morocco","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000230_RSRC,DS_045378de97,<br>,29357900,M'hammed Sarih,"Mosquito adults from Mohammadia city in Morocco were reared from immature stages. The level of their susceptibility to insecticides was assessed using standard WHO bioassay. The two forms of the Cx. pipiens complex and their hybrids were identified by a multiplex PCR. Identified mosquitoes were then tested for the presence of the G119S ace-1 and L1014F kdr mutations using PCR-RFLP and PCR assays, respectively. (MapVEu VBP0000230)",population_biology,N/A,,,,
Frequency and intensity of pyrethroid resistance through the CDC bottle bioassay and their association with the frequency of kdr mutations in A. aegypti from Mexico,6/20/2018,N/A,Adriana E Flores,"Universidad Autonoma de Nuevo Leon, Facultad de Ciencias Biologicas. Av. Universidad s/n, Cd. Universitaria, San Nicolas de los Garza, N.L. 66455. Mexico.","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000272_RSRC,DS_04797fe387,<br>,29575404,Adriana E Flores,Estimated the frequency and intensity (F-RDT and I-RDT) of pyrethroid resistance in populations of Ae. aegypti from Mexico using the bottle bioassay and results were related to the frequencies of kdr mutations V1016I and F1534C. (MapVEu VBP0000272),population_biology,N/A,,,,
Mosquito midguts (MGs) and salivary glands (SGs) infected with P. falciparum,1/20/2021,Apollo,Elena Gomez-Diaz,Instituto de Parasitologia y Biomedicina Lopez-Neyra (IPBLN),"VectorBase rel. 56, 2022-FEB-15",56,RNASeq,agamPEST_Ruiz_RNAeq_Agambiae_MGs_SGs_infected_Pfalciparum_2021_ebi_rnaSeq_RSRC,DS_047c56768c,<i>Anopheles gambiae</i> PEST<br>,33987532,Ruiz et al 2021,A. gambiae s.s. Kisumu midguts (MGs) and salivary glands (SGs) infected with P. falciparum 3D7,transcript_expression,N/A,,,,
Reproductive tissues infection with endosymbiotic Spiroplasma,9/16/2021,N/A,Serap Aksoy,"Yale University, New Haven, CT, USA","VectorBase rel. 60, 2022-NOV-09",60,RNASeq,gfusIAEA_Son_Spiroplasma_2021_ebi_rnaSeq_RSRC,DS_0488584851,<i>Glossina fuscipes</i> IAEA<br>,34529715,Son et al 2021,"Field captured (Uganda) <i>Spiroplasma</i> infected and uninfected male (testes, accessory glands, and ejaculatory duct) and female (ovaries, spermathecae, uterus, and oocysts) reproductive tissues.",transcript_expression,N/A,,,,
Gut transcriptomes of ISARL and GFP-injected ticks after engorgement on B. burgdorferi-infected or uninfected mice,11/16/2021,Apollo,Erol Fikrig,Yale University,"VectorBase rel. 61, 2022-DEC-15",61,RNASeq,iscaPalLabHiFi_Tang_adiponectin_1_2021_ebi_rnaSeq_RSRC,DS_04b01e4314,<i>Ixodes scapularis</i> PalLabHiFi<br>,34783654,Tang et al 2021,"Gut transcriptomes of ds <i>I. scapularis</i> adiponectin receptor-like (ISARL, ISCW018477) and ds <i>Aequorea victoria</i> green fluorescent protein (GFP -control)-injected ticks after 96 hr feeding/engorgement on <i>Borrelia burgdorferi</i> N40-infected or uninfected mice (Mus musculus)",transcript_expression,N/A,,,,
Comparison of deltamethrin tablet formulation with liquid deltamethrin and permethrin for bednet treatment in The Gambia.,10/15/2014,N/A,M Jawara,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000107_RSRC,DS_04d0cad288,<br>,N/A,M Jawara,Insecticide resistance study imported from IRBase. (MapVEu VBP0000107),population_biology,N/A,,,,
Female antenna,11/1/2013,Apollo,Laurence J Zwiebel,"Center for Human Genetics Research, Vanderbilt University Medical Cente","VectorBase rel. 52, 2021-MAY-20",52,RNASeq,aquaSANGWE_Rinker_Antennal_Transcriptome_ebi_rnaSeq_RSRC,DS_04d3b07723,<i>Anopheles quadriannulatus</i> SANGWE<br>,24182346,Rinker et al 2013,Transcriptome of female <i>Anopheles quadriannulatus</i> antenna determined by RNA sequencing.,transcript_expression,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 1996 (New Jersey light trap)",3/8/2019,N/A,Ryan Smith,Iowa State University,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000410_RSRC,DS_04f870f657,<br>,"18714883, 25102595, 31036953",Ryan Smith,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000410)",population_biology,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 1980",7/9/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000482_RSRC,DS_04fe2cdae1,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 1980. (MapVEu VBP0000482),population_biology,N/A,,,,
"Detection of kdr and ace-1 mutations in wild populations of Anopheles
arabiensis and An. melas in a residual malaria transmission area of Senegal",6/17/2021,N/A,O. Sy,"Laboratoire d'Ecologie Vectorielle et Parasitaire, Faculté des Sciences et Techniques, Université Cheikh Anta Diop, Dakar, Sénégal","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000766_RSRC,DS_05034465f6,<br>,33771262,O. Sy,"Malaria vectors were collected from three selected villages using nocturnal human
 landing catches and pyrethrum spray collections methods. An. gambiae s.l. specimens were identified
 at the species level then genotyped for the presence of kdr-west (L1014F), kdr-east (L1014S) and ace-1R mutations
by qPCR. (MapVEu VBP0000766)",population_biology,N/A,,,,
"A survey of Anopheles species composition and insecticide resistance on the island of Bubaque, Bijagos Archipelago, Guinea-Bissau",2/2/2021,N/A,G James Logan,"ARCTEC, Chariot Innovations Ltd, London School of Hygiene and Tropical Medicine, Keppel Street, London, WC1E 7HT UK","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000723_RSRC,DS_052029e709,<br>,31941507,G James Logan,A survey of mosquito species composition was performed at the onset of the wet season (June/July) and the beginning of the dry season (November/December). Sampling was performed using indoor adult light-traps and larval dipping. Anopheles mosquitoes were identified to species level and assessed for kdr allele frequency by TaqMan PCR. Females were analysed for sporozoite positivity by CSP-ELISA. Resistance to permethrin and &#945;-cypermethrin was measured using the CDC-bottle bioassay incorporating the synergist piperonyl-butoxide. (MapVEu VBP0000723),population_biology,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2017",6/19/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000479_RSRC,DS_0543cdeae7,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 2017. (MapVEu VBP0000479),population_biology,N/A,,,,
Anopheles sinensis strain:China Raw sequence reads,Jan-20,N/A,Xinyu Feng,"National Institute of Parasitic Disease, Chinese Center for Disease Control and Prevention","VectorBase rel. 47, 2020-APR-07",47,RNASeq,asinSINENSIS_SRP128390_ebi_rnaSeq_RSRC,DS_05a1c0cc77,<i>Anopheles sinensis</i> SINENSIS<br>,N/A,Xinyu Feng,Analysis of microRNA profile of Anopheles sinensis by the deep sequencing and the bioinformatic approach,transcript_expression,N/A,,,,
"Knockdown Resistance (kdr) Mutations in Indian
Anopheles stephensi (Diptera: Culicidae) Populations",2/6/2018,N/A,Cherry L Dykes,"National Institute of Malaria Research, Sector 8, Dwarka, Delhi-110077, India","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000225_RSRC,DS_05aa8c9b3c,<br>,26747858,Cherry L Dykes,Seven populations of An. stephensi from six states of India were screened for the presence of two alternative kdr mutations L1014F and L1014S using allele-specific polymerase chain reaction assays. (MapVEu VBP0000225),population_biology,N/A,,,,
"Maryland Dept. of Agriculture mosquito surveillance, Maryland, USA, 2020",11/6/2020,N/A,Stephen Panossian,Maryland Department of Agriculture Mosquito Control Section,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000711_RSRC,DS_05cafa787e,<br>,N/A,Stephen Panossian,Maryland Dept. of Agriculture weekly mosquito population surveillance performed using CDC light traps in 2020. (MapVEu VBP0000711),population_biology,N/A,,,,
Transcriptome,Jan-20,Apollo,Steve Horvath,"Human Genetics, David Geffen School of Medicine and School of Public Health, University of California Los Angeles;","VectorBase rel. 47, 2020-APR-07",47,RNASeq,clecHarlan_SRP059123_ebi_rnaSeq_RSRC,DS_060278821b,<i>Cimex lectularius</i> Harlan<br>,30478043,Horvath et al.,"The 1KITE (1K Insect Transcriptome Evolution) project aims to study the transcriptomes of 1,000 insect species encompassing all recognized insect orders. For each species, so-called ESTs (Expressed Sequence Tags) will be produced using next generation sequencing techniques (NGS).",transcript_expression,N/A,,,,
Euryhaline vs stenohaline: larvae response to increasing salinity stress,5/25/2016,Apollo,Hilary Uyhelji,"Biological Sciences, University of Notre Dame","VectorBase rel. 61, 2022-DEC-15",61,RNASeq,acolAcolN3idAnoColuKW18c001_1_SRP065966_ebi_rnaSeq_RSRC,DS_06db9bdec3,<i>Anopheles coluzzii</i> AcolN3<br>,26945667,Uyhelji et al 2016,Transcriptomic comparison between euryhaline and stenohaline malaria vector sibling species to increasing salinity stress.,transcript_expression,N/A,,,,
"UK Culicoides surveillance, Pirbright Institute, UK, 2008",3/19/2019,N/A,Simon Carpenter,Pirbright Institute,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000437_RSRC,DS_06ebb7e6f1,<br>,N/A,Simon Carpenter,"A UK surveillance network for Culicoides biting midges was ran up by The Pirbright Institute from 2006 to 2011 using 8W ultraviolet Onderstepoort Veterinary Institute (OVI) light-suction traps. Traps were set from dusk until dawn one day a week. Culicoides were categorised into groups using wing patterns and metrics. Male members of the subgenus Avaritia were identified to species level based on their genital morphology, whilst females were treated as a single group and sub-divided according to the appearance of their abdomen (unpigmented, pigmented, gravid and blood-fed). Development of pigmentation in female Culicoides is broadly indicative of aging, but direct extrapolation to parity is not recommended. For larger samples, a subsampling technique was used. 17 trapping sites are georeferenced to the county level. In most cases, there was a single trap per county. For higher resolution georeferencing, please contact the authors. (MapVEu VBP0000437)",population_biology,N/A,,,,
"Mosquito abundance, Rhode Island Department of Environmental Management, in Rhode Island, USA, 2020",4/27/2021,N/A,Alan Gettman,Rhode Island Department of Environmental Management,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000740_RSRC,DS_07235e75d1,<br>,N/A,Alan Gettman,"Mosquito abundance in Mosquito abundance, Rhode Island Department of Environmental Management, in Rhode Island, USA, 2020 (MapVEu VBP0000740)",population_biology,N/A,,,,
<i>Anopheles coluzzii</i> Mali-NIH Genome Sequence and Annotation,AcolM1,N/A,Mara Lawniczak,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK","VectorBase rel. 47, 2020-APR-07",47,Genomes,acolMali-NIH_primary_genome_RSRC,DS_08157340e8,<i>Anopheles coluzzii</i> Mali-NIH<br>,20966253,Mara Lawniczak,Genome Sequence and Annotation for <i>Anopheles coluzzii</i> Mali-NIH,genome,14796,,,,
Dengue 1 infection,Jan-20,Apollo,Vincent Raquin,"Insect-Virus Interactions Group, Department of Genomes and Genetics, Institut Pasteur, Paris, France.; Centre National de la Recherche Scientifique, Unité de Recherche Associée 3012, Paris, France.;","VectorBase rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP134172_ebi_rnaSeq_RSRC,DS_083bb296ab,<i>Aedes aegypti</i> LVP_AGWG<br>,29261661,Raquin et al 2017,Midgut transcriptome of <i>Aedes aegypti</i> (strain: KPP-TN) infected or not by blood meal with Dengue virus 1 (midguts at 24 and 96 hpi).,transcript_expression,N/A,,,,
Midgut transcriptomes of blood fed DENV2 NS1 vs. those blood fed BSA,Jan-20,Apollo,Jianying Liu,Tsinghua university,"VectorBase rel. 47, 2020-APR-07",47,RNASeq,aaegLVP_AGWG_SRP064748_ebi_rnaSeq_RSRC,DS_08468158cd,<i>Aedes aegypti</i> LVP_AGWG<br>,27562253,Liu et al 2016,"Transcriptional changes in the <i>Aedes aegypti</i> midguts transcriptome 4,8,18 hours after blood feeding BSA or DENV2 NS1.",transcript_expression,N/A,,,,
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2012",7/29/2019,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000524_RSRC,DS_0864a1e5cf,<br>,N/A,Mark Tomek,Desplaines Valley Mosquito Abatement 2012. (MapVEu VBP0000524),population_biology,N/A,,,,
Combined target site (kdr) mutations play a primary role in highly pyrethroid resistant phenotypes of Aedes aegypti from Saudi Arabia,6/19/2017,N/A,Ashwaq M Al Nazawi,"Saudi Ministry of Health, Riyadh, Saudi Arabia, Department of Vector Biology, Liverpool School of Tropical Medicine, Pembroke Place, Liverpool, L3 5QA UK","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000181_RSRC,DS_089955ae83,<br>,28347352,Ashwaq M Al Nazawi,"Aedes aegypti collected from each city were raised to adults and assayed for resistance to permethrin, deltamethrin (with and without the synergist piperonyl butoxide, PBO), fenitrothion, and bendiocarb. Two fragments of the voltage-gated sodium channel (Vgsc), encompassing four previously identified mutation sites, were sequenced and subsequently genotyped to determine associations with resistance. Expression of five candidate genes (CYP9J10, CYP9J28, CYP9J32, CYP9M6, ABCB4) previously associated with pyrethroid resistance was compared between assay survivors and controls. (MapVEu VBP0000181)",population_biology,N/A,,,,
"Mosquito surveillance in Uganda by PRISM ICEMR group, 2017 - 2019",6/22/2020,N/A,Grant Dorsey,"Department of Medicine, San Francisco General Hospital, University of California, San Francisco, San Francisco, California, United States of America","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000649_RSRC,DS_0899864ae1,<br>,N/A,Grant Dorsey,"Longitudinal entomological surveillance of mosquitoes from three regions of Uganda. This study is part of The Program for Resistance, Immunology, Surveillance and Modeling of Malaria in Uganda (PRISM) Study, part of International Centers of Excellence for Malaria Research Program (ICEMR). (MapVEu VBP0000649)",population_biology,N/A,,,,
Development of insecticide resistance in malaria vector Anopheles sinensis populations from Shandong province in China,3/27/2018,N/A,Jingxuan Kou,"Department of Medical Entomology, Shandong Institute of Parasitic Diseases, Jining, P.R. China","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000232_RSRC,DS_08b1f44bbc,<br>,25880316,Jingxuan Kou,"From 2003 to 2012, six districts in Shandong province were selected as the study areas. Insecticide susceptibility bioassay were tested on F1 progeny of An. sinensis to 4% DDT, 0.05% deltamethrin, 0.15% cyfluthrin, and 5% malathion, using the standard WHO resistance tube assay. (MapVEu VBP0000232)",population_biology,N/A,,,,
Insecticide resistance profiles in malaria vector populations from Sud-Kivu in the Democratic Republic of the Congo,8/23/2021,N/A,Sévérin N'Do,"Médecins Sans Frontières (MSF) OCBA, Barcelona, Spain. Institut de Recherche en Sciences de la Santé (IRSS), Bobo-Dioulasso, Burkina Faso. Université Nazi Boni (UNB), Bobo-Dioulasso, Burkina Faso.","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000773_RSRC,DS_08b7b6225b,<br>,34324683,Sévérin N'Do,"Insecticide susceptibility bioassays were performed on wild populations of A. funestus and A. gambiae using WHO insecticide-impregnated papers at discriminating concentration. In addition, PCR was performed to identify mosquito species and to detect kdr and ace-1R mutations involved in insecticide resistance. (MapVEu VBP0000773)",population_biology,N/A,,,,
"Mosquito surveillance in South Walton County, Florida, USA. 2014",7/4/2019,N/A,Peter J Brabant,South Walton County Mosquito Control District,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000481_RSRC,DS_08cba23738,<br>,N/A,Peter J Brabant,Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000481),population_biology,N/A,,,,
