Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Release Policy,Short Attribution,Summary,Type,Genes,
TrypanoCyc pathways database,2019.06.03,N/A,Trypanocyc,French National Institute of Agricultural Reasearch (INRA),"TriTrypDB rel. 1.0, 01-JAN-05",0,Metabolic pathways,Pathways_TrypanoCyc_RSRC,DS_0d82e4b210,<br>,25300491,N/A,Trypanocyc,Trypanocyc is a community annotated Pathway/Genome Database of <i>Trypanosoma brucei</i>,pathway,N/A,
Cell Cycle Transcriptome,2010-11-23_gus4,Apollo,Christine Clayton,University of Heidelberg,"TriTrypDB rel. 1.0, 01-JAN-05",0,RNASeq,tbruTREU927_Archer_Stuart_CellCycle_rnaSeq_RSRC,DS_0de2f64330,<i>Trypanosoma brucei</i> brucei TREU927<br>,21483801,N/A,Archer et al.,Gene expression profiling of the <i>T. brucei</i> cell cycle by RNA-Seq.,transcript_expression,N/A,
Purine Stress Response in Promastigotes- Quantitative Proteomics,2/27/2014,Apollo,Nicola S. Carter,Oregon Health and Science University,"TriTrypDB rel. 30, 2017-FEB-03",30,Protein expression,linfJPCM5_quantitativeMassSpec_Global_Proteome_Purine_RSRC,DS_0eaaca5395,<i>Leishmania infantum</i> JPCM5<br>,24586154,N/A,Martin et al.,"Quantitative proteomic comparison (AMT tag method) of purine-rich and purine-starved <i>L. donovani</i> promastigotes 
       at 6, 12, 24, and 48h. Data are analyzed against the <i>L. infantum</i> JPCM5 genome.",protein_expression,N/A,
Aligned FV1 Random Ends,8/13/2002,Apollo,Pathogen Sequencing Unit,Wellcome Sanger Institute,"TriTrypDB rel. 25, 2015-JUL-23",25,"Sequence sites, features and motifs",lmajFriedlin_sanger_FV1Ends_clonedInsertEnds_RSRC,DS_0f62cef8fb,<i>Leishmania major</i> strain Friedlin<br>,N/A,N/A,Pathogen Sequencing Unit,<i>L. major</i> FV1 random end-sequences provided by the GeneDB project at the Sanger Institute Pathogen Sequencing Unit.,aligned_sequence,N/A,
<i>Trypanosoma cruzi</i> Sylvio X10/1 Genome Sequence and Annotation,3/18/2017,N/A,Bjorn Andersson,"Department of Cell and Molecular Biology, Karolinska Institute","TriTrypDB rel. 5.0, 2013-MAY-31",0,Genomes,tcruSylvioX10-1_primary_genome_RSRC,DS_107bdce9bb,<i>Trypanosoma cruzi</i> Sylvio X10/1<br>,"21408126, 23035642",N/A,Bjorn Andersson,<i>Trypanosoma cruzi</i> Sylvio X10/1 Sequence and Annotation,genome,20684,
<i>Trypanosoma cruzi</i> strain S92a Genome Sequence,9/24/2018,N/A,Daniella Bartholomeu,"Universidade Federal de Minas Gerais, Belo Horizonte, Brazil","TriTrypDB rel. 52, 2021-MAY-20",52,Genomes,tcruS92a_primary_genome_RSRC,DS_12589b3fa3,<i>Trypanosoma cruzi</i> strain S92a<br>,30424726,N/A,Daniella Bartholomeu,Genome Sequence for <i>Trypanosoma cruzi</i> strain S92a,genome,N/A,
Proteome during T brucei differentiation,6/10/2020,Apollo,Alena Zíková,"Institute of Parasitology, Biology Centre, Czech Academy of Sciences","TriTrypDB rel. 62, 2023-MAR-09",62,Protein expression,tbruTREU927_quantitativeMassSpec_Dolezelova_Prot_Brucei_RSRC,DS_1338cb2822,<i>Trypanosoma brucei</i> brucei TREU927<br>,32520929,N/A,Dolezelova et al. 2020,Differential proteomics of <i>Trypanosoma brucei</i> differentiation with the <i>in vitro</i> system based on the inducible expression of RBP6.,protein_expression,N/A,
Promastigote transcriptome,2011-04-11_gus4,Apollo,Jeremy Mottram,"University of Glasgow, UK","TriTrypDB rel. 5.0, 2013-MAY-31",18,RNASeq,linfJPCM5_Mottram_Jeremy_rnaSeq_RSRC,DS_14341db303,<i>Leishmania infantum</i> JPCM5<br>,N/A,N/A,Jeremy Mottram,Promastigote transcriptome of <i>L. infantum</i> JPCM5 by mRNA-Seq,transcript_expression,N/A,
Promastigote glycosome proteome,2015-05,Apollo,Milind S. Patole,"National Centre for Cell Science, Pune, India","TriTrypDB rel. 28, 2016-MAR-31",28,Protein expression,ldonBPK282A1_massSpec_Jamdhade_promastigotes_glycosomes_RSRC,DS_14fde991d9,<i>Leishmania donovani</i> BPK282A1<br>,25748437,N/A,Jamdhade and Harsh et al.,<i>L. donovani</i> strain MHOM/IN/80/Dd8 promastigote glycosome proteome aligned to <i>L. donovani</i> BPK282A1.,protein_expression,N/A,
T cruzi life stages transcriptomes,6/17/2022,Apollo,Florencia Díaz-Viraqué,"Institut Pasteur de Montevideo, Montevideo, Uruguay","TriTrypDB rel. 66, 2023-NOV-28",66,RNASeq,tcruCLBrenerEsmeraldo-like_tcruCLBrenerEsmeraldo-like_Life_Stages_Diaz-Viraque_RNASeq_ebi_rnaSeq_RSRC,DS_15c3b6ac1e,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br>,37828247,N/A,Diaz-Viraque et al.,"RNA-seq of different stages of the parasite life cycle - epimastigotes, intracellular amastigotes and cell-derived trypomastigotes.",transcript_expression,N/A,
ORC1\\CDC6 binding sites,7/10/2013,Apollo,Richard McCulloch,The Wellcome Centre for Integrative Parasitology,"TriTrypDB rel. 8.0, 2014-MAY-08",21,ChIP chip,tbruTREU927_chipChipExper_McCulloch_Orc1Cdc6_RSRC,DS_16012a9b37,<i>Trypanosoma brucei</i> brucei TREU927<br>,22840408,N/A,Tiengwe et al.,Genome wide binding sites of the replication initiator ORC1/CDC6 in <i>T. brucei</i> TREU927 determined by ChIP-chip assay.,transcript_expression,N/A,
Membrane Proteins from insect developmental forms (strain G),N/A,Apollo,JF da Silveira,Universidade Federal de São Paulo,"TriTrypDB rel. 1.0, 01-JAN-05",0,Protein expression,_massSpec_Proteomics_Membrane_RSRC,DS_1606d33390,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br><i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br><i>Trypanosoma cruzi</i> strain CL Brener<br>,19374451,N/A,Cordero et al.,Proteomic Analysis of Detergent-Solubilized Membrane Proteins from Insect-Developmental Forms of <i>T. cruzi</i>.,protein_expression,N/A,
Glycosomal proteome,6/6/2014,Apollo,Mike Ferguson,University of Dundee,"TriTrypDB rel. 32, 2017-APR-20",32,Protein expression,tbruTREU927_quantitative_massSpec_Guther_glycosomal_proteome_RSRC,DS_17396b5363,<i>Trypanosoma brucei</i> brucei TREU927<br>,24792668,N/A,Guther et al.,Glycosome proteome for procyclic form Trypanosoma brucei by epitope-tag organelle enrichment. Green - high-confidence glycosomal.,generic_profiles,N/A,
Spatial proteomics of T. brucei BSF and PCF,3/29/2022,Apollo,Paula MacGregor,"University of Bristol, UK","TriTrypDB rel. 65, 2023-SEP-14",65,Cellular Localization,tbruTREU927_lopit_hyperLopit_RSRC,DS_189fd880da,<i>Trypanosoma brucei</i> brucei TREU927<br>,37479728,N/A,Moloney et al.,Subcellular localization of proteins from bloodstream and procyclic forms of <i>T. brucei</i> based on hyperLOPIT spatial proteomics,generic_profiles,N/A,
Comparative transcriptomes of virulent and avirulent T. cruzi (CLBrener aligned),6/9/2017,N/A,Najib M. El-Sayed and Santuza M.R. Teixeira,University of Maryland and Universidade Federal de Minas Gerais,"TriTrypDB rel. 41, 2018-DEC-13",41,RNASeq,tcruCLBrener_Teixeira_virulent_avirulent_ebi_rnaSeq_RSRC,DS_19a72d6e6e,<i>Trypanosoma cruzi</i> strain CL Brener<br>,29240831,N/A,Belew et al. 2017,Comparative transcriptomes of virulent and avirulent <i>T. cruzi</i>,transcript_expression,N/A,
Popset Records from GenBank,N/A,Apollo,GenBank,NCBI,"TriTrypDB rel. 1.0, 01-JAN-05",0,Genetic variation,_isolates_genbank_RSRC$,DS_19a7ddd8f2,<i>Bodo saltans</i> strain Lake Konstanz<br><i>Leishmania major</i> strain Friedlin<br>,N/A,N/A,GenBank,GenBank records containing sequence and metadata for popsets,isolates,N/A,
<i>Trypanosoma cruzi</i> strain CL Brener Genome Sequence and Annotation,12/7/2015,N/A,GeneDB,"GeneDB, Wellcome Sanger Institute","TriTrypDB rel. 9.0, 2015-JAN-14",0,Genomes,tcruCLBrener_primary_genome_RSRC,DS_1a6c8bdaac,<i>Trypanosoma cruzi</i> strain CL Brener<br>,"16020725, 19486522",N/A,GeneDB,Sequence and annotation of <i>Trypanosoma cruzi</i> CL Brener .<br>,genome,3397,
Nucleosome positions in Tb427 bloodstream and procyclic forms,3/13/2017,Apollo,Hugh-George Patterton,Stellenbosch University,"TriTrypDB rel. 37, 2018-APR-25",37,CHIP Seq,tbruTREU927_Maree_NuclPosition_BF_PF_chipSeq_RSRC,DS_1bc9340082,<i>Trypanosoma brucei</i> brucei TREU927<br>,28344657,N/A,Maree et al.,Genome-wide nucleosome positions in <i>T. brucei</i> Lister 427 bloodstream form and procyclic form using MNase-seq.,transcript_expression,N/A,
<i>Leishmania tarentolae</i> Parrot Tar II 2019 Genome Sequence and Annotation,11/28/2019,N/A,Yasuyuki Goto,"The University of Tokyo, Tokyo, Japan","TriTrypDB rel. 54, 2021-SEP-08",54,Genomes,ltarParrotTarII2019_primary_genome_RSRC,DS_1be7789a1f,<i>Leishmania tarentolae</i> Parrot Tar II 2019<br>,32439660,N/A,Goto et al.,Genome Sequence and Annotation of <i>Leishmania tarentolae</i> Parrot Tar II 2019 (ATCC 30267),genome,8703,
<i>Leishmania enriettii</i> strain LEM3045 Genome Sequence and Annotation,12/16/2014,Apollo,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 7.0, 2014-FEB-03",20,Genomes,lenrLEM3045_primary_genome_RSRC,DS_1cb08577a1,<i>Leishmania enriettii</i> strain LEM3045<br>,34472979,N/A,Stephen M. Beverley,<i>Leishmania enriettii</i> strain LEM3045 sequence and annotation,genome,8831,
Bloodstream form enriched kinome (427 MITat1.4),5/23/2011,Apollo,Michael Urbaniak,University of Dundee,"TriTrypDB rel. 5.0, 2013-MAY-31",18,Protein expression,tbruTREU927_massSpec_Urbaniak_BSF_Unenriched_And_Kinobead_Enriche_Proteome_RSRC,DS_1de5a846e4,<i>Trypanosoma brucei</i> brucei TREU927<br>,22908928,N/A,Urbaniak et al.,Comparison of total proteome to the kinase-enriched proteome in <i>T. brucei</i> 427,protein_expression,N/A,
Long slender vs short stumpy blood stage quantitative proteomes,2012-10-16_gus4,Apollo,Torsten Ochsenreiter,University of Bern,"TriTrypDB rel. 8.1, 2014-SEP-10",22,Protein expression,tbruTREU927_quantitativeMassSpec_Gunasekera_LS_SS_comparison_RSRC,DS_1e1fb1711d,<i>Trypanosoma brucei</i> brucei TREU927<br>,23067041,N/A,Gunasekera et al,"Comparison of the <i>Trypanosoma brucei</i> TREU927 long slender and 
    short stumpy blood stage proteomes analyzed by 1DE, LC-MS/MS.",protein_expression,N/A,
Quantitative proteomics of T. brucei differentiation,2/24/2016,Apollo,Falk Butter,"Institute of Molecular Biology (IMB), Mainz","TriTrypDB rel. 41, 2018-DEC-13",41,Protein expression,tbruTREU927_quantitativeMassSpec_Quant_Tbrucei_Differentiation_RSRC,DS_1ec24003f1,<i>Trypanosoma brucei</i> brucei TREU927<br>,26910529,N/A,Dejung et al. 2016,"Quant proteomics of <i>Trypanosoma brucei</i> AnTat1.1 differentiation with time points at 0, 2, 4, 6, 12, 24, and 48 hours",protein_expression,N/A,
Procyclic form 5 and 3 end-enriched transcriptomes,2010-03-24_gus4,Apollo,Christian Tschudi,Yale School of Public Health,"TriTrypDB rel. 5.0, 2013-MAY-31",18,RNASeq,tbruTREU927_Tschudi_Transcriptome_ebi_rnaSeq_RSRC,DS_1ede7b449f,<i>Trypanosoma brucei</i> brucei TREU927<br>,20838601,N/A,Kolev et al.,"RNA-Seq of four <i>Trypanosoma brucei rhodesiense</i> YTat 1.1 procyclic form cDNA libraries  
      enriched for 5' or 3' end transcripts. Data is aligned to the <i>T. brucei</i> TREU927 genome.",transcript_expression,N/A,
Comparative transcriptomes of virulent and avirulent T. cruzi (Non-Esmo aligned),6/9/2017,N/A,Najib M. El-Sayed and Santuza M.R. Teixeira,University of Maryland and Universidade Federal de Minas Gerais,"TriTrypDB rel. 41, 2018-DEC-13",41,RNASeq,tcruCLBrenerNon-Esmeraldo-like_Teixeira_virulent_avirulent_ebi_rnaSeq_RSRC,DS_2059b80084,<i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br>,29240831,N/A,Belew et al. 2017,Transcriptomes of virulent and avirulent <i>T. cruzi</i> determined by RNA-Seq.,transcript_expression,N/A,
"Promastigote, Axenic Amastigote and Intracellular Amastigote Transcriptomes",10/9/2015,Apollo,Eva Gluenz,"Sir William Dunn School of Pathology, University of Oxford, UK","TriTrypDB rel. 32, 2017-APR-20",32,RNASeq,lmexMHOMGT2001U1103_macrophage_mouse_ebi_rnaSeq_RSRC,DS_20ca9a8d2b,<i>Leishmania mexicana</i> MHOM/GT/2001/U1103<br>,26452044,N/A,Fiebig et al.,"Illumina sequencing of poly-A selected RNA of <i>L. mexicana</i> promastigotes, axenic amastigotes and intracellular amastigotes.",transcript_expression,N/A,
Proteomic survey of the Leishmania major,12/22/2022,Apollo,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 62, 2023-MAR-09",62,Protein expression,lmajFriedlin_massSpec_Polanco_Survey_Lesh_RSRC,DS_20fef0c3cb,<i>Leishmania major</i> strain Friedlin<br>,36394313,N/A,Polanco et al 2022,High coverage proteomes of <i>Leishmania major</i> Friedlin promastigotes.,protein_expression,N/A,
<i>Leishmania panamensis</i> strain MHOM/PA/94/PSC-1 Genome Sequence and Annotation,3/5/2015,N/A,Ricardo Lleonart,Instituto de Investigaciones Científicas y Servicios de Alta Tecnología,"TriTrypDB rel. 52, 2021-MAY-20",37,Genomes,lpanMHOMPA94PSC1_primary_genome_RSRC,DS_21a844223f,<i>Leishmania panamensis</i> strain MHOM/PA/94/PSC-1<br>,25707621,N/A,Ricardo Lleonart,Genome Sequence and Annotation of <i>Leishmania panamensis</i> MHOM/PA/94/PSC-1,genome,8048,
Bloodstream Form Cytosolic Phosphoproteome (RUMP 528),4/4/2009,Apollo,Mike Ferguson,University of Dundee,"TriTrypDB rel. 1.0, 01-JAN-05",0,Protein expression,tbruTREU927_massSpec_Ferguson_Phospho_RSRC,DS_21c6a7b5fe,<i>Trypanosoma brucei</i> brucei TREU927<br>,19346560,N/A,Nett et al.,"The phosphoproteome of bloodstream form <i>Trypanonosoma brucei</i>, causative agent of African sleeping sickness.",protein_expression,N/A,
<i>Leishmania donovani</i> BPK282A1 Genome Sequence and Annotation,5/28/2016,Apollo,Matthew Berriman,"Wellcome Sanger Institute, UK","TriTrypDB rel. 60, 2022-NOV-09",18,Genomes,ldonBPK282A1_primary_genome_RSRC,DS_21f12513c4,<i>Leishmania donovani</i> BPK282A1<br>,22038251,N/A,Matthew Berriman,<i>Leishmania donovani</i> BPK282A1 Sequence and Annotation,genome,8135,
<i>Leishmania braziliensis</i> MHOM/BR/75/M2903 Genome Sequence and Annotation,9/30/2016,N/A,Stephen M. Beverley,Washington University in St. Louis,"TriTrypDB rel. 8.0, 2014-MAY-08",18,Genomes,lbraMHOMBR75M2903_primary_genome_RSRC,DS_22b60660b6,<i>Leishmania braziliensis</i> MHOM/BR/75/M2903<br>,N/A,N/A,Stephen M. Beverley,<i>Leishmania braziliensis</i> M2903 Genome sequence and annotation,genome,9379,
mRNA Decay in Bloodstream and Procyclic Forms,2014-03-18_gus4,Apollo,Christine Clayton,University of Heidelberg,"TriTrypDB rel. 30, 2017-FEB-03",30,Immunology,tbruTREU927_RNASeq_Clayton_mRNADegradation_halfLife_RSRC,DS_23cf1041d8,<i>Trypanosoma brucei</i> brucei TREU927<br>,25145465,N/A,Fadda et al.,mRNA decay in <i>T. brucei</i> TREU 927 bloodstream and procyclic forms assayed by mRNA-Seq,generic_profiles,N/A,
Comparative phosphoproteomes of bloodstream  and procyclic forms (T.b. 427),1,Apollo,Michael Urbaniak,University of Dundee,"TriTrypDB rel. 7.0, 2014-FEB-03",20,Protein expression,tbruTREU927_massSpec_Urbaniak_BSF_PCF_PhosphoProteomics_RSRC,DS_24b68cb68a,<i>Trypanosoma brucei</i> brucei TREU927<br>,23485197,N/A,Urbaniak et al.,Comparative phosphoproteomes of <i>T. brucei</i> 427 bloodstream and procyclic forms,protein_expression,N/A,
"TBP, TRF4, SNAp50, H3 binding by ChIP-chip",11/7/2008,Apollo,Peter Myler,Seattle Biomedical Research Institute,"TriTrypDB rel. 1.0, 01-JAN-05",0,ChIP chip,lmajFriedlin_chipChipExper_Peter_Myler_RSRC,DS_268bc9d797,<i>Leishmania major</i> strain Friedlin<br>,19356248,N/A,Peter Myler,"<i>Leishmania major</i> chromosomal binding locations of TATA-binding protein (TBP or TRF4), Small Nuclear Activating Protein complex (SNAP50), 
and H3 histones determined using microarrays hybridized with DNA obtained through chromatin immunoprecipitation (ChIP-chip).",transcript_expression,N/A,
<i>Trypanosoma congolense</i> IL3000 Genome Sequence and Annotation,6/6/2016,Apollo,Matthew Berriman,"Wellcome Sanger Institute, UK","TriTrypDB rel. 52, 2021-MAY-20",0,Genomes,tconIL3000_primary_genome_RSRC,DS_26f6be1159,<i>Trypanosoma congolense</i> IL3000<br>,22331916,N/A,Matthew Berriman,<i>Trypanosoma congolense</i> IL3000 Sequence and Annotation,genome,11792,
Aligned genomic sequence reads - 12 strains of hybrids,8/17/2013,Apollo,Deborah F. Smith,"University of York, UK","TriTrypDB rel. 25, 2015-JUL-23",25,Genetic variation,linfJPCM5_HTS_SNP_Sequencing_12_Strains_Of_Putative_Hybrids_RSRC,DS_289bdd71a3,<i>Leishmania infantum</i> JPCM5<br>,24453988,N/A,Deborah F. Smith,"Whole genome resequencing data from 12 strains of hybrids of <i>Leishmania infantum</i> (from a region that 
      reports only cutaneous leishmaniasis) were used to call SNPs 
      and determine CNV at the gene and chromosome level.",isolates,N/A,
Life cycle proteome (Brazil),N/A,Apollo,Rick Tarleton,University of Georgia,"TriTrypDB rel. 1.0, 01-JAN-05",0,Protein expression,_massSpec_Brent_RSRC,DS_2941c606c7,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br><i>Trypanosoma cruzi</i> CL Brener Non-Esmeraldo-like<br><i>Trypanosoma cruzi</i> strain CL Brener<br>,16020736,N/A,Atwood et al.,"Proteomic analysis of five <i>T. cruzi</i> Brazil life cycle stages 
          (amastigote, epimastigote, metacyclic trypomastigote, trypomastigote).",protein_expression,N/A,
<i>Trypanosoma cruzi</i> strain S15 Genome Sequence,9/24/2018,N/A,Daniella Bartholomeu,"Universidade Federal de Minas Gerais, Belo Horizonte, Brazil","TriTrypDB rel. 52, 2021-MAY-20",52,Genomes,tcruS15_primary_genome_RSRC,DS_2988b6c351,<i>Trypanosoma cruzi</i> strain S15<br>,30424726,N/A,Daniella Bartholomeu,Genome Sequence for <i>Trypanosoma cruzi</i> strain S15,genome,N/A,
Aligned genomic sequence reads - strains Cl3 and JRc14,3/15/2011,Apollo,Wes Warren,McDonnell Genome Institute at Washington University School of Medicine,"TriTrypDB rel. 1.0, 01-JAN-05",0,Genetic variation,tcruCLBrenerEsmeraldo-like_HTS_SNP_WhitePaperNGS_RSRC,DS_2a0a90eba6,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br>,N/A,N/A,Wes Warren,High throughput sequencing SNP calls for strains Cl3 and JRc14 aligned to the <i>T. cruzi</i> CL Brener Esmeraldo-like reference,isolates,N/A,
<i>Leptomonas pyrrhocoris</i> H10 Genome Sequence and Annotation,5/5/2015,Apollo,Julius Lukes,"Institute of Parasitology, Biology Centre, Czech Academy of Sciences","TriTrypDB rel. 52, 2021-MAY-20",25,Genomes,lpyrH10_primary_genome_RSRC,DS_2a2df6fd90,<i>Leptomonas pyrrhocoris</i> H10<br>,N/A,N/A,Julius Lukes,<i>Leptomonas pyrrhocoris</i> H10 Sequence and Annotation,genome,10148,
T. cruzi and T. brucei lysine and N-terminal acetylation proteomes,1/5/2018,Apollo,Sergio Schenkman,"Department of Microbiology, Immunology, and Parasitology, Universidade Federal de Sao Paulo","TriTrypDB rel. 38, 2018-JUL-05",38,Protein expression,tcruCLBrenerEsmeraldo-like_massSpec_Lysine_and_Nterminal_acetylation_RSRC,DS_2a7b5a1ada,<i>Trypanosoma cruzi</i> CL Brener Esmeraldo-like<br>,29168382,N/A,Moretti et al.,"Acetylation of lysine and N-terminal amino acids in <i>T. cruzi</i> epimastigotes, <i>T. brucei</i> procyclic forms, and <i>T. brucei</i> bloodstream forms.",protein_expression,N/A,
<i>Trypanosoma cruzi</i> strain S11 Genome Sequence,9/24/2018,N/A,Daniella Bartholomeu,"Universidade Federal de Minas Gerais, Belo Horizonte, Brazil","TriTrypDB rel. 52, 2021-MAY-20",52,Genomes,tcruS11_primary_genome_RSRC,DS_2b427cad62,<i>Trypanosoma cruzi</i> strain S11<br>,30424726,N/A,Daniella Bartholomeu,Genome Sequence for <i>Trypanosoma cruzi</i> strain S11,genome,N/A,
<i>Paratrypanosoma confusum</i> CUL13 Genome Sequence and Annotation,3/2/2018,Apollo,Pavel Flegontov,"Laboratory of Bioinformatics, Department of Biology and Ecology, Faculty of Science, University of Ostrava","TriTrypDB rel. 52, 2021-MAY-20",37,Genomes,pconCUL13_primary_genome_RSRC,DS_2b920dcbb5,<i>Paratrypanosoma confusum</i> CUL13<br>,29078369,N/A,Pavel Flegontov,Genome Sequence and Annotation of <i>Paratrypanosoma confusum</i> CUL13,genome,8659,
Hyperacetylated histone H2A in bloodstream and procyclic form,1/19/2021,Apollo,Hugh-George Patterton,Stellenbosch University,"TriTrypDB rel. 55, 2021-DEC-02",55,CHIP Seq,tbruTREU927_Maree_Hyperacetylated_Histone_chipSeq_RSRC,DS_2ba0b031ca,<i>Trypanosoma brucei</i> brucei TREU927<br>,N/A,N/A,"Maree et al, prepublication",Genomic distribution of hyperacetylated histone H2A C-terminal combinatorial PTMs in the bloodstream and procyclic life-cycle stages of <i>T. brucei</i>:,transcript_expression,N/A,
ChIP-Seq - Four histone Variants (Tb Lister 427-2018),3/9/2010,Apollo,George A.M. Cross,The Rockefeller University,"TriTrypDB rel. 1.0, 01-JAN-05",0,CHIP Seq,tbruLister427_2018_George_Cross_chipSeq_chipSeq_RSRC,DS_2bb377de3f,<i>Trypanosoma brucei</i> Lister strain 427 2018<br>,"19369410, 20347883",N/A,George A.M. Cross,"ChIP-Seq of H4K10ac, bromodomain protein (BDF3), and four histone variants mark the boundaries of polycistronic transcription units in <i>Trypanosoma brucei</i>.",transcript_expression,N/A,
