"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"Giardia secretome IEC infection","2017-12-11","N/A","Staffan Svärd","Uppsala University","HostDB rel. 39, 2018-AUG-30","39","Protein expression","hsapREF_massSpec_Secretome_IEC_infection_RSRC","DS_20f2f0535f","<i>Homo sapiens</i> REF<br>","29228011","N/A","Maayeh et al.","Secretome of human intestinal epithelial cell secretome during interaction with <i>Giardia intestinalis</i> WB clone C6 (ATCC30957; assemblage A) and isolates GS, clone H7 (ATCC50581; assemblage B)","protein_expression","N/A"
"Rat brain primary cells transcriptome during infection with T. gondii","2021-10-11","N/A","Mathieu Gissot","Institut Pasteur de Lille","HostDB rel. 57, 2022-APR-21","57","RNASeq","rnorBNNHsdMcwi_rnorBN_NHsdMcwi_brain_infection_RNASeq_ebi_rnaSeq_RSRC","DS_23f5fa7e60","<i>Rattus norvegicus</i> BN/NHsdMcwi<br>","34610266","N/A","Mouveaux et al. 2021","Rat primary brain cells transcriptome response to T. gondii infection during parasite spontaneous differentiation. Triplicate RNA samples of infected primary CNS cell culture at 1d, 2d, 4d, 7d, and 14d post-infection, as well as uninfected controls.","transcript_expression","N/A"
"Fresh whole blood infected with Candida parapsilosis","2018-10-02","N/A","Patricia Sieber","Department of Bioinformatics, Faculty of Biological Sciences, Friedrich Schiller University, Jena, Germany","HostDB rel. 49, 2020-NOV-05","49","RNASeq","hsapREF_Kaemmer_Blood_Parapsilosis_ebi_rnaSeq_RSRC","DS_243c5c551b","<i>Homo sapiens</i> REF<br>","30333805","N/A","Sieber et al. 2019","<i>Homo sapiens</i> fresh whole blood was infected with <i>Candida parapsilosis</i>.","transcript_expression","N/A"
"Transcriptional analysis of sorted subpopulations of mouse macrophages infected with C. albicans","2018-03-12","N/A","Christina Cuomo","The Broad Institute of Harvard and MIT, USA","HostDB rel. 45, 2019-SEP-05","45","RNASeq","mmusC57BL6J_Munoz_Candida_albicans_infection_ebi_rnaSeq_RSRC","DS_2485e50da3","<i>Mus musculus</i> C57BL6J<br>","30962448","N/A","Munoz et al.","C57BL6J macrophages were infected with the CAI4 strain of <i>Candida albicans</i>","transcript_expression","N/A"
"Human IEC cell transcriptome during Giardia Infection","2022-04-27","N/A","Staffan Svärd","Uppsala University","HostDB rel. 61, 2022-DEC-15","61","RNASeq","hsapREF_hsapREF_giardia_infect_RNASeq_ebi_rnaSeq_RSRC","DS_2a8fb2cda9","<i>Homo sapiens</i> REF<br>","35573800","N/A","Rojas et al. 2022","Host gene expression changes during <i>Giardia intenstinalis</i> infection of human intestinal epithelial cells (differentiated Caco-2 cells). Three biological replicates of control and 1.5hr, 3hr, and 4.5hr time points measured were analyzed by RNA sequencing.","transcript_expression","N/A"
"Human transcriptome during infection with encysting Giardia","2022-04-27","N/A","Staffan Svärd","Uppsala University","HostDB rel. 61, 2022-DEC-15","61","RNASeq","hsapREF_hsapREF_IEC_Giardia_encysting_RNASeq_ebi_rnaSeq_RSRC","DS_2b28f3bedc","<i>Homo sapiens</i> REF<br>","35573800","N/A","Rojas et al. 2022","Transcriptome of human Caco-2 cells infected with <i>G intestinalis</i> WB trohozoites 7h into encystation.","transcript_expression","N/A"
"Human IEC transcriptome during coincubation with Giardia cysts","2022-04-27","N/A","Staffan Svärd","Uppsala University","HostDB rel. 61, 2022-DEC-15","61","RNASeq","hsapREF_hsapREF_coincubation_Giardia_cyst_RNASeq_ebi_rnaSeq_RSRC","DS_2d12502a7d","<i>Homo sapiens</i> REF<br>","35573800","N/A","Rojas et al. 2022","RNA-seq data from human IEC (Caco-2 cells) during a coincubation with Giardia cysts. Mixed parasite and host samples collected at 1.5, 3 and 4.5 hours and host control cells were also assayed.","transcript_expression","N/A"
"HFF transcriptional response to virulent and avirulent T. cruzi","2017-06-09","N/A","Najib M. El-Sayed and Santuza M.R. Teixeira","University of Maryland and Universidade Federal de Minas Gerais","HostDB rel. 41, 2018-DEC-13","41","RNASeq","hsapREF_Teixeira_virulent_avirulent_ebi_rnaSeq_RSRC","DS_2eccc45616","<i>Homo sapiens</i> REF<br>","29240831","N/A","Belew et al. 2017","Transcriptional response of human foreskin fibroblasts following infection with <i>T. cruzi</i>.","transcript_expression","N/A"
"Chemical Entities of Biological Interest Compounds","2021-10-13","N/A","EMBL-EBI","EMBL-EBI","HostDB rel. 1.0, 01-JAN-05","0","Compounds from ChEBI","compounds_chEBI_RSRC","DS_32b4753324","<br>","23180789","N/A","EMBL-EBI","Compound records from Chemical Entities of Biological Interest (ChEBI)","compound","N/A"
"The Sequence Ontology","2015-05-15","N/A","The Sequence Ontology Project (SO)","N/A","HostDB rel. 1.0, 01-JAN-05","0","Ontology and terminology","SO_RSRC","DS_3331bdf8a7","<br>","15892872","N/A","The Sequence Ontology Project (SO)","The Sequence Ontology Project (SO) is a joint effort by genome annotation centres, including: WormBase, 
         FlyBase, the Mouse Genome Informatics group, and the Sanger Institute. As part of the Gene Ontology Project 
         and the Open Biomedical Ontologies (OBO), their aim is to develop an ontology, or hierarchical vocabulary, suitable for describing biological sequences.","sres","N/A"
"NCBI Taxonomy","2021-03-12","N/A","TAXON","NCBI","HostDB rel. 1.0, 01-JAN-05","0","Taxonomy and Phylogeny","taxonomy_RSRC","DS_385ea4f5f9","<br>","N/A","N/A","TAXON","The NCBI Taxonomy database is a curated set of names and classifications for all organisms that are represented in the Entrez databases. 
         The Taxonomy database attempts to incorporate phylogenetic and taxonomic knowledge from a variety of sources, including the published literature,
          web-based databases, and the advice of sequence submitters and outside taxonomy experts.","sres","N/A"
"PBMCs stimulated for 4h and 24h with live Candida spp. and their cell wall components","2020-08-24","N/A","Mihai G. Netea","Department of Internal Medicine, Radboud University Medical Center, Nijmegen, the Netherlands","HostDB rel. 51, 2021-MAR-16","51","RNASeq","hsapREF_Bruno_Immune_Response_ebi_rnaSeq_RSRC","DS_410d99350c","<i>Homo sapiens</i> REF<br>","32839538","N/A","Bruno et al. 2020","RNA sequencing profiles of PBMCs stimulated for 4h and 24h with live <i>C. albicans</i> and <i>C. auris</i> and their cell wall components","transcript_expression","N/A"
"Transcriptome of mouse bone marrow derived macrophages infected by Wild-Type and gra18 mutant strains of T. gondii","2018-06-01","N/A","Alexandre Bougdour","Team Host-pathogen interactions and immunity to infection, University of Grenoble Alpes, Inserm, CNRS, IAB, Grenoble, France","HostDB rel. 43, 2019-APR-25","43","RNASeq","mmusC57BL6J_He_WT_gra18_infection_ebi_rnaSeq_RSRC","DS_41ca068fb7","<i>Mus musculus</i> C57BL6J<br>","30320549","N/A","He et al.","Transcriptome of mouse bone marrow derived macrophages infected by Wild-Type and gra18 mutant strains of <i>T. gondii</i>","transcript_expression","N/A"
"Human brain transcriptome during incubation with parasite-infected erythrocyte specific protein 2 (PIESP2)","2021-04-30","N/A","Jiao Liang","Department of Pathogenic Biology, The Fourth Military Medical University","HostDB rel. 56, 2022-FEB-15","56","RNASeq","hsapREF_Hsap_PIESP2_RNAseq_Liang_ebi_rnaSeq_RSRC","DS_44778be79d","<i>Homo sapiens</i> REF<br>","33631268","N/A","Liu et al. 2021","RNA Seq comparison of human brain culture (hCMEC/D3) cells treated with the Plasmodium virulence factor, parasite-infected erythrocyte specific protein 2 (PIESP2). PIESP2, BSA and blank controls were assayed with 3 biological replicates.","transcript_expression","N/A"
"IEC18 cells infected with T. gondii","2017-03-31","N/A","John Boothroyd","Department of Microbiology and Immunology, Stanford University School of Medicine","HostDB rel. 59, 2022-AUG-30","59","RNASeq","rnorBNNHsdMcwi_rat_tgme49_rnaseq_ebi_rnaSeq_RSRC","DS_46d2821e89","<i>Rattus norvegicus</i> BN/NHsdMcwi<br>","28362800","N/A","Guiton et al. 2017","Rat intestinal epithelial cells (IEC18) infected with <i>T. gondii</i> tachyzoites and sporozoites for 8hrs.","transcript_expression","N/A"
"Mouse transcriptome during early and late chronic infection with T. gondii","2019-04-23","N/A","Laura J. Knoll","Medical Microbiology and Immunology, Unviersity of Wisconsin-Madison","HostDB rel. 46, 2019-NOV-06","46","RNASeq","mmusC57BL6J_Garfoot_Tg_infection_ebi_rnaSeq_RSRC","DS_4d3aadae16","<i>Mus musculus</i> C57BL6J<br>","30858341","N/A","Garfoot et al.","Male and female host RNA-Seq transcriptional profile time course from very early to chronic infection with <i>T. gondii</i>.","transcript_expression","N/A"
"Enzyme Nomenclature Database","2021-03-12","N/A","ENZYME","Swiss Institute of Bioinformatics","HostDB rel. 1.0, 01-JAN-05","0","Function","enzymeDB_RSRC","DS_4d5814c3f2","<br>","10592255","N/A","ENZYME","EC Numbers from ENZYME","function","N/A"
"mRNA-based anti-tick (I. scapularis) vaccine","2021-11-17","N/A","Erol Fikrig","Yale University","HostDB rel. 60, 2022-NOV-09","60","RNASeq","cpor2N_Sajid_anti_tick_vaccine_2021_ebi_rnaSeq_RSRC","DS_4f2dc1f39e","<i>Cavia porcellus</i> 2N<br>","34788080","N/A","Sajid et al 2021","Guinea pigs were inmmunized with 19ISP, an mRNA vaccine encoding 19 I. scapularis salivary proteins. Differential host transcriptional respons was measure on blood 2 weeks after the last vaccination booster.","transcript_expression","N/A"
"Leishmania major and Leishmania amazonensis RNA-Seq during human macrophage infection","2016-05-10","N/A","Najib M. El-Sayed","University of Maryland","HostDB rel. 37, 2018-APR-25","37","RNASeq","hsapREF_Fernandes_LM_LA_Infection_ebi_rnaSeq_RSRC","DS_5579dc883e","<i>Homo sapiens</i> REF<br>","27165796","N/A","Fernandes et al.","RNA-Seq analysis of transcriptomes of human macrophage and parasite during an infection time course. Human macrophages were infected with <I>Leishmania major</I> and <I>Leishmania amazonensis</I>","transcript_expression","N/A"
"In vitro infections of mouse BMDMs with Rhizopus delemar","2018-08-20","N/A","Georgios Chamilos","Department of Medicine, University of Crete, Foundation for Research and Technology","HostDB rel. 65, 2023-SEP-14","65","RNASeq","mmusC57BL6J_Andrianaki_2018_mmusC57BL6J_ebi_rnaSeq_RSRC","DS_57019430af","<i>Mus musculus</i> C57BL6J<br>","30127354","N/A","Andrianaki et al. 2018","Mouse bone-marrow derived macrophages (BMDMs) were infected the pathogenic mold, <i>Rhizopus delemar</i>, for 1, 4 or 18 hours and then subject to RNA-seq analysis to determine the transcriptional response of both the fungus and the host to infection.","transcript_expression","N/A"
"<i>Cavia porcellus</i> 2N Genome Sequence and Annotation","Cavpor3.0","N/A","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","HostDB rel. 58, 2022-JUN-23","58","Genomes","cpor2N_primary_genome_RSRC","DS_5ab25f3a67","<i>Cavia porcellus</i> 2N<br>","N/A","N/A","The Broad Institute of MIT and Harvard","Genome Sequence and Annotation of <i>Cavia porcellus</i> 2N","genome","26855"
"Transcriptome dynamics in Candida and human cell culture during infection","2015-04-09","N/A","Vincent M. Bruno","Institute for Genome Sciences, University of Maryland School of Medicine","HostDB rel. 65, 2023-SEP-14","65","RNASeq","hsapREF_Liu_calbSC5314_2015_ebi_rnaSeq_RSRC","DS_5f2c5bb6f7","<i>Homo sapiens</i> REF<br>","25858952","N/A","Liu et al. 2015","Characterization of the host cell and <i>C. albicans</i> transcriptomes during in vitro infection of human endothelial or oral epithelial cells.","transcript_expression","N/A"
"Host cell transcriptome in bovine cells infected with Cryptosporidium parvum","2018-10-02","N/A","Giovanni Widmer","Cummings School of Veterinary Medicine, Tufts University","HostDB rel. 42, 2019-MAR-07","42","RNASeq","btauHereford_Widmer_intracellularStages_ebi_rnaSeq_RSRC","DS_646e121371","<i>Bos taurus</i> breed Hereford<br>","N/A","N/A","Widmer et al.","Transcriptome of MDBK cells during <i>C. parvum</i> intracellular infection. 
Reads were mapped to the <i>Bos taurus</i>, breed Hereford reference genome.","transcript_expression","N/A"
"T gondii infected human host cells vs control","2017-03-08","N/A","John M. Greally","Albert Einstein College of Medicine","HostDB rel. 58, 2022-JUN-23","58","RNASeq","hsapREF_hsapREF_RNASeq_Greally_RSRC_ebi_rnaSeq_RSRC","DS_65d43ce7fa","<i>Homo sapiens</i> REF<br>","N/A","N/A","Wijetunga et al. 2017","Transcriptome of <i>Toxoplasma gondii</i> RH infected human foreskin fibroblasts determined by RNA Seq and compared to control.","transcript_expression","N/A"
"Transcriptomes of mouse macrophages infected with Leishmania mexicana","2015-10-09","N/A","Eva Gluenz","Sir William Dunn School of Pathology, University of Oxford, UK","HostDB rel. 32, 2017-APR-20","32","RNASeq","mmusC57BL6J_macrophage_Lmexicana_ebi_rnaSeq_RSRC","DS_672da12264","<i>Mus musculus</i> C57BL6J<br>","26452044","N/A","Fiebig et al.","Transcriptomes of uninfected <i>Mus musculus</i> bone marrow macrophages (BMDM) and 24h post-infection 
          with <i>Leishmania mexicana</i>.","transcript_expression","N/A"
"Transcriptional profile of bone marrow derived dendritic cells in response to infection by Paracoccidioides","2020-11-24","N/A","Patrícia Albuquerque","Laboratory of Molecular Biology of Pathogenic Fungi, Department of Cell Biology, Institute of Biological Sciences, University of Brasília","HostDB rel. 58, 2022-JUN-23","58","RNASeq","mmusC57BL6J_Pbmouse_de-Souza-Silva_2020_ebi_rnaSeq_RSRC","DS_683cbf571a","<i>Mus musculus</i> C57BL6J<br>","33255176","N/A","de-Souza-Silva et al. 2020","Examination and comparison of the transcriptional profile of bone marrow derived dendritic cells (BMDCs) in response to infection by the fungus <i>Paracoccidioides brasiliensis</i> in resistant/susceptible mice","transcript_expression","N/A"
"M. mulatta infected with P. cynomolgi over 100 days","2017-05-08","N/A","Mary R Galinski","Emory University","HostDB rel. 37, 2018-APR-25","37","RNASeq","mmulAG07107_Galinski_Mmulatta_Infected_with_Pcynomolgi_ebi_rnaSeq_RSRC","DS_6abf688526","<i>Macaca mulatta</i> isolate AG07107<br>","27590312","N/A","Joyner et al.","Transcriptome of whole blood and bone marrow from <i>Macaca mulatta</i> infected with <i>Plasmodium cynomolgi</i> over 100 days","transcript_expression","N/A"
"Human Proteome During Infection with 4 strains of T. gondii and one strain of N. caninum","2015-12-15","N/A","Jonathan M. Wastling","University of Liverpool","HostDB rel. 28, 2016-MAR-31","28","Protein expression","hsapREF_massSpec_Wastling_Tgon_Ncan_infection_RSRC","DS_70b01a66ee","<i>Homo sapiens</i> REF<br>","N/A","N/A","Wastling","<i>H. sapiens</i> peptide sequences from a proteomic analysis of a mixed parasite/host sample
      collected during <i>T. gondii</i> infections in human foreskin fibroblasts.","protein_expression","N/A"
"Human Erythrocyte Phosphoproteome during infection with P. fal 3D7 schizonts (2012)","2012-11-02","N/A","Edwin Lasonder","School of Biomedical and Healthcare Sciences, Plymouth University","HostDB rel. 2.2, 2015-JAN-14","23","Protein expression","hsapREF_massSpec_Lasonder_Schizont_Phosphoproteome_RSRC","DS_7209159db1","<i>Homo sapiens</i> REF<br>","23025827","N/A","Lasonder et al.","Phosphoproteomic analysis of <i>H. sapiens</i> erythocytes harvested 
    during the schizont stage of a <i>P. falciparum</i> 3D7 infection.","protein_expression","N/A"
"Proteomic changes in HCT-8 cells membranes infected with Cryptosporidium parvum","2023-09-15","N/A","Longxian Zhang","College of Veterinary Medicine, Henan Agricultural University","HostDB rel. 68, 2024-MAY-07","68","Protein expression","hsapREF_quantitativeMassSpec_Cpar_infection_Prot_RSRC","DS_74ac747eab","<i>Homo sapiens</i> REF<br>","37463621","N/A","Wang et al. 2023","Systematic quantitative proteomics analysis HCT-8 cell membranes infected by <i>C. parvum</i> compared to control.","protein_expression","N/A"
"Transcriptome of Bos taurus during infection with virulent and avirulent N. caninum strains","2019-01-10","N/A","L.M. Ortega-Mora","SALUVET, Animal Health Department, Faculty of Veterinary Sciences, Complutense University of Madrid","HostDB rel. 43, 2019-APR-25","43","RNASeq","btauHereford_Horcajo_Infection_with_Ncan_ebi_rnaSeq_RSRC","DS_7f556307fd","<i>Bos taurus</i> breed Hereford<br>","28899691","N/A","Horcajo et al.","Transcriptomic analysis of <i>Bos taurus</i> during infection with two different isolates of <i>Neospora caninum</i>, the highly virulent isolate Nc-Spain7 and the comparatively avirulent isolate Nc-Spain1H. This data was also aligned to the <i>N. caninum</i> genome and the parasite data is available in ToxoDB.","transcript_expression","N/A"
"Dual transcriptomes of malaria-infected Gambian children (Study Explorer)","2024-01","N/A","Aubrey Cunnington","Section of Paediatrics, Imperial College","HostDB rel. 68, 2024-MAY-07","68","N/A","ISASimple_EDA_leegambian_RSRC","DS_82dc5abc7f","<br>","29950443","N/A","Lee et al.","Clinical and WGCNA analysis variables for the dual transcriptomic (human and parasite) analysis of blood of 46 Gambian children diagnosed with severe or uncomplicated malaria.","population_biology","N/A"
"Host response to early and mid-stage P. berghei liver infection","2020-02-04","N/A","Emily Derbyshire","Department of Chemistry, Duke University","HostDB rel. 52, 2021-MAY-20","52","RNASeq","hsapREF_Moreno_Hsap_Pberg_LiverStage_ebi_rnaSeq_RSRC","DS_833d16a0c8","<i>Homo sapiens</i> REF<br>","32019802","N/A","Toro-Moreno and Sylvester et al.","Transcriptome sequencing (RNA-Seq) analysis throughout the <i>Plasmodium berghei</i> liver stage, covering as early as 2 hrs postinfection (hpi) and extending to 48 hpi in Huh7 and HepG2 cells.","transcript_expression","N/A"
"<i>Gallus gallus</i> isolate bGalGal1 Genome Sequence and Annotation","GRCg7b","N/A","Ensembl","EMBL-EBI and Wellcome Sanger Institute","HostDB rel. 57, 2022-APR-21","57","Genomes","ggalbGalGal1_primary_genome_RSRC","DS_8550997957","<i>Gallus gallus</i> isolate bGalGal1<br>","N/A","N/A","Ensembl","Genome Sequence and Annotation of <i>Gallus gallus</i> isolate bGalGal1","genome","25403"
"Transcriptomics of human airway epithelial cells upon exposure to Aspergillus fumigatus","2018-02-04","N/A","Vincent M. Bruno","Institute for Genome Sciences, University of Maryland School of Medicine","HostDB rel. 66, 2023-NOV-28","66","RNASeq","hsapREF_Watkins_A549Afum_2018_ebi_rnaSeq_RSRC","DS_868591b0e6","<i>Homo sapiens</i> REF<br>","29345613","N/A","Watkins et al. 2018","Aspergillus fumigatus (strains Af293 or CEA10) for 6 or 16 hours and then subject to RNA-seq analysis of both the host and fungal transriptomes.","transcript_expression","N/A"
"Candida auris infection of human whole blood","2022-12-13","N/A","Bernhard Hube","Department of Microbial Pathogenicity Mechanisms, Leibniz Institute for Natural Product Research and Infection Biology, Hans-Knoell-Institute","HostDB rel. 65, 2023-SEP-14","65","RNASeq","hsapREF_Allert_Cauris_href_2022_ebi_rnaSeq_RSRC","DS_89abb88a52","<i>Homo sapiens</i> REF<br>","35142597","N/A","Allert et al. 2022","Candida transcriptome was studied using ex vivo whole blood infection model.","transcript_expression","N/A"
"Dual transcriptomes of malaria-infected Gambian children (RNA-Seq)","2018_07_04","N/A","Aubrey Cunnington","Section of Paediatrics, Imperial College","HostDB rel. 46, 2019-NOV-06","46","RNASeq","hsapREF_Lee_Gambian_ebi_rnaSeq_RSRC","DS_8b52ce9c69","<i>Homo sapiens</i> REF<br>","29950443","N/A","Lee et al.","Dual transcriptomic analysis of human and Plasmodium from blood of 46 Gambian children diagnosed with malaria.","transcript_expression","N/A"
"Transcriptome of injected neurons and bystanders during Toxoplasma infection","2020-10-14","N/A","Anita Koshy","University of Arizona, Tucson, Arizona","HostDB rel. 50, 2020-DEC-17","50","RNASeq","mmusC57BL6J_Johnson_Neuron_Bystander_ebi_rnaSeq_RSRC","DS_8da1d89c6e","<i>Mus musculus</i> C57BL6J<br>","32878927","N/A","Johnson et al.","Transcriptome of type II and type III <i>Toxoplasma</i> injected mouse neurons and bystanders during infection.","transcript_expression","N/A"
"<i>Homo sapiens</i> REF Genome Sequence and Annotation","GRCh38.p13","N/A","GENCODE","EMBL-EBI and Wellcome Sanger Institute","HostDB rel. 52, 2021-MAY-20","18","Genomes","hsapREF_primary_genome_RSRC","DS_905b3b6393","<i>Homo sapiens</i> REF<br>","11181995, 11237011","N/A","GENCODE","The genome sequence and annotation for the human genome GRCh38","genome","60675"
"The Worldwide Protein Data Bank (wwPDB)","2021-03-12","N/A","RCSB PDB","Rutgers and UCSD","HostDB rel. 1.0, 01-JAN-05","0","Protein Structure","PDBProteinSequences_RSRC","DS_9ab85137b0","<br>","10592235, 14634627, 23023942","N/A","RCSB PDB","PDB proteins of known 3-dimensional structure","external_sequences","N/A"
"A spatiotemporally resolved single cell atlas of the Plasmodium liver stage - Host and Parasite","2023-04-24","N/A","Shalev Itzkovitz","Department of Molecular Cell Biology, Weizmann Institute of Science","HostDB rel. 64, 2023-JUL-12","64","scRNA-Seq","mmusC57BL6J_afriat_combined_cellxgene_RSRC","DS_9b1620359c","<i>Mus musculus</i> C57BL6J<br>","36352220","N/A","Afriat et al.","A spatiotemporally resolved single cell atlas of the Plasmodium liver stage:
To study the liver stage of the rodent malaria parasite Plasmodium berghei, we molecularly characterized thousands of infected and uninfected hepatocytes in different time points and inferred their spatial coordinates, thus enabling us to characterize the host’s and parasite’s temporal expression programs in a zonally-controlled manner. This dataset contains both host hepatocytes and <i>Plasmodium berghei</i> cells.","transcript_expression","N/A"
"Transcriptomes of 4 M. musculus cell types during infection with T. gondii","2017-02-07","N/A","Carsten Lueder","Institute for Medical Microbiology, University Medical Center, Georg-August-University","HostDB rel. 35, 2017-DEC-01","35","RNASeq","mmusC57BL6J_Swierzy_Mmus_Infection_with_Tgondii_ebi_rnaSeq_RSRC","DS_9bccd43ed7","<i>Mus musculus</i> C57BL6J<br>","28775382","N/A","Swierzy et al.","<i>M. musculus</i> cortical neurons, astrocytes, skeletal muscle cells and fibroblast transcriptomes 
      during infection with <i>T. gondii</i> strain NTE.","transcript_expression","N/A"
"MetaCyc Metabolic Pathway Database","2022.18.10","N/A","BioCyc Database Collection","N/A","HostDB rel. 1.0, 01-JAN-05","0","Metabolic pathways","Pathways_MetaCyc_RSRC","DS_9c4bcfb00e","<br>","26527732","N/A","BioCyc Database Collection","Metacyc is a curated database of experimentally elucidated metabolic pathways from all domains of life.","pathway","N/A"
