"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"Expression profiling of life cycle stages post-infection","1.0_gus4","Apollo","Jessica Kissinger","University of Georgia","CryptoDB rel. 1.0, 01-JAN-05","0","RT PCR","cparIowaII_rtpcr_Kissinger_RtPcr_RSRC","DS_2bf995383e","<i>Cryptosporidium parvum</i> Iowa II<br>","22438867","N/A","Jessica Kissinger","Expression profiling of <i>Cryptosporidium parvum</i> during <i>in vitro</i> development 
    determined by high throughput RT-PCR.","transcript_expression","N/A"
"<i>Cryptosporidium hominis</i> 37999 Genome Sequence","2014-12-18","N/A","Lihua Xiao","South China Agricultural University","CryptoDB rel. 52, 2021-MAY-20","25","Genomes","chom37999_primary_genome_RSRC","DS_2e1e8ca70a","<i>Cryptosporidium hominis</i> 37999<br>","N/A","N/A","Lihua Xiao","Genome sequence for <i>Cryptosporidium hominis</i> 37999","genome","N/A"
"Chemical Entities of Biological Interest Compounds","2021-10-13","N/A","EMBL-EBI","EMBL-EBI","CryptoDB rel. 1.0, 01-JAN-05","0","Compounds from ChEBI","compounds_chEBI_RSRC","DS_32b4753324","<br>","23180789","N/A","EMBL-EBI","Compound records from Chemical Entities of Biological Interest (ChEBI)","compound","N/A"
"The Sequence Ontology","2015-05-15","N/A","The Sequence Ontology Project (SO)","N/A","CryptoDB rel. 1.0, 01-JAN-05","0","Ontology and terminology","SO_RSRC","DS_3331bdf8a7","<br>","15892872","N/A","The Sequence Ontology Project (SO)","The Sequence Ontology Project (SO) is a joint effort by genome annotation centres, including: WormBase, 
         FlyBase, the Mouse Genome Informatics group, and the Sanger Institute. As part of the Gene Ontology Project 
         and the Open Biomedical Ontologies (OBO), their aim is to develop an ontology, or hierarchical vocabulary, suitable for describing biological sequences.","sres","N/A"
"Genomic variation in patient-derived Cryptosporidium hominis samples (C. hominis aligned)","2016-01-12","Apollo","Jessica Beser","Department of Microbiology, Public Health Agency of Sweden, Solna, Sweden","CryptoDB rel. 41, 2018-DEC-13","41","Genetic variation","chomTU502_HTS_SNP_Sikora_Clinical_Stool_Samples_RSRC","DS_33b107b983","<i>Cryptosporidium hominis</i> TU502<br>","28003424, 28919550","N/A","Sikora et al. 2016","Genomic variation in patient-derived <i>Cryptosporidium hominis</i> samples","isolates","N/A"
"Whole-cell spatial hyperLopit proteome of the Cryptosporidium sporozoite","2023-01-20","Apollo","Boris Striepen","University of Pennsylvania","CryptoDB rel. 62, 2023-MAR-09","62","Protein targeting and localization","cparIowaII_subcellular_localization_Striepen_Hyperlopit_RSRC","DS_354fdff56a","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","Guérin et al.","Whole-cell spatial hyperLopit proteome of the Cryptosporidium sporozoite","generic_profiles","N/A"
"WGS of C. parvum isolates from human (PRJNA634014) (C. parvum aligned)","2020-05-20","Apollo","Compare-europe.eu","N/A","CryptoDB rel. 53, 2021-JUL-21","53","Genetic variation","cparIowaII_HTS_SNP_Human_isolate_WGS_RSRC","DS_36e9d31613","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","Compare-europe.eu","Whole genome sequencing of <i>C. parvum</i> isolates retrieved from human hosts.","isolates","N/A"
"NCBI Taxonomy","2021-03-22","N/A","TAXON","NCBI","CryptoDB rel. 1.0, 01-JAN-05","0","Taxonomy and Phylogeny","taxonomy_RSRC","DS_385ea4f5f9","<br>","N/A","N/A","TAXON","The NCBI Taxonomy database is a curated set of names and classifications for all organisms that are represented in the Entrez databases. 
         The Taxonomy database attempts to incorporate phylogenetic and taxonomic knowledge from a variety of sources, including the published literature,
          web-based databases, and the advice of sequence submitters and outside taxonomy experts.","sres","N/A"
"<i>Cryptosporidium baileyi</i> TAMU-09Q1 Genome Sequence","2014-05-29","N/A","Guan Zhu","Texas A&M University","CryptoDB rel. 7.0, 2014-SEP-10","22","Genomes","cbaiTAMU-09Q1_primary_genome_RSRC","DS_38b658c536","<i>Cryptosporidium baileyi</i> TAMU-09Q1<br>","N/A","N/A","Guan Zhu","Genome sequence and assembly for <i>Cryptosporidium baileyi</i> TAMU-09Q1","genome","N/A"
"<i>Cryptosporidium parvum</i> 2022 Genome Sequence","2021-10-07","N/A","Fritz J. Sedlazeck","Baylor College of Medicine Human Genome Sequencing Center","CryptoDB rel. 63, 2023-MAY-03","63","Genomes","cpar2022_primary_genome_RSRC","DS_3901f3433e","<i>Cryptosporidium parvum</i> 2022<br>","35166336","N/A","Fritz J. Sedlazeck","Genome Sequence of <i>Cryptosporidium parvum</i> 2022, a fully resolved assembly based on Oxford Nanopore reads and improved using Illumina reads.","genome","N/A"
"Enriched cytoskeletal and membrane fractions","2008-10-28","Apollo","Andras Fiser","Albert Einstein Biodefense Proteomics Research Center, Albert Einstein College of Medicine, Yeshiva University","CryptoDB rel. 1.0, 01-JAN-05","0","Protein expression","cparIowaII_massSpec_Fiser_RSRC","DS_3cacea20b2","<i>Cryptosporidium parvum</i> Iowa II<br>","19159464","N/A","Madrid-Aliste et al.","Proteomes of enriched cytoskeletal and membrane fractions of <i>C. parvum</i>","protein_expression","N/A"
"<i>Gregarina niphandrodes</i> Unknown strain Genome Sequence and Annotation","2014-04-09","Apollo","David Sibley","Washington University School of Medicine","CryptoDB rel. 8.0, 2015-JAN-14","0","Genomes","gnipUnknown_primary_genome_RSRC","DS_3d5e2102b1","<i>Gregarina niphandrodes</i> Unknown strain<br>","N/A","N/A","David Sibley","Genome Sequence and Annotation for <i>Gregarina niphandrodes</i>","genome","6606"
"Whole genome sequences of C. parvum isolates from stool samples (C. parvum aligned)","2015-08-29","Apollo","Rachel Chalmers","Cryptosporidium Reference Unit, Public Health Wales Microbiology ABM, Singleton Hospital","CryptoDB rel. 36, 2018-FEB-19","36","Genetic variation","cparIowaII_HTS_SNP_Hadfield_IMS_Stool_Samples_RSRC","DS_3ef9c215b7","<i>Cryptosporidium parvum</i> Iowa II<br>","26318339","N/A","Rachel Chalmers","Whole genome sequence of seven <i>Cryptosporidium parvum</i> isolates directly from stool samples without 
    the intermediate step of propagation of oocysts in animals or whole genome amplification","isolates","N/A"
"Mitochondrial Fraction Proteomics","2009-04-10","Apollo","Lorenza Putignani","Microbiology Unit, Children Hospital and Research Institute Bambino Gesu","CryptoDB rel. 1.0, 01-JAN-05","0","Protein expression","cparIowaII_massSpec_Putignani_RSRC","DS_411cea3e31","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","Lorenza Putignani","proteome of the <i>C. parvum</i> mitochondrial fraction","protein_expression","N/A"
"Infected ileum and cecum of IFN-gamma negative, STAg treated mice","2021-04-29","Apollo","Laura J. Knoll","Medical Microbiology and Immunology, Unviersity of Wisconsin-Madison","CryptoDB rel. 57, 2022-APR-21","57","RNASeq","cparIowaII_cparIowaII_IFNgama_ileum_cecum_RNASeq_RSRC_ebi_rnaSeq_RSRC","DS_4207fdd0fa","<i>Cryptosporidium parvum</i> Iowa II<br>","34928716","N/A","Gallego-Lopez et al 2022","Transcriptome of <i>Cryptosporidium parvum</i> from the ileum and cecum of IFN-gamma negative mice during treatment with or without STAg.","transcript_expression","N/A"
"WGS of C. parvum isolates from human (PRJNA634014) (C. hominis aligned)","2020-05-20","Apollo","Compare-europe.eu","N/A","CryptoDB rel. 57, 2022-APR-21","57","Genetic variation","chomTU502_HTS_SNP_Human_isolate_WGS_RSRC","DS_4307cfb7f2","<i>Cryptosporidium hominis</i> TU502<br>","N/A","N/A","Compare-europe.eu","Whole genome sequencing of <i>C. parvum</i> isolates retrieved from human hosts. Isolates were aligned to <i>C. hominis</i>","isolates","N/A"
"<i>Cryptosporidium hominis</i> UKH1 Genome Sequence","2014-05-29","N/A","Giovanni Widmer","Cummings School of Veterinary Medicine, Tufts University","CryptoDB rel. 7.0, 2014-SEP-10","22","Genomes","chomUKH1_primary_genome_RSRC","DS_465ef2aaf4","<i>Cryptosporidium hominis</i> UKH1<br>","N/A","N/A","Giovanni Widmer","Genome sequence and assembly for <i>Cryptosporidium hominis</i> UKH1","genome","N/A"
"Enzyme Nomenclature Database","2021-03-23","N/A","ENZYME","Swiss Institute of Bioinformatics","CryptoDB rel. 1.0, 01-JAN-05","0","Function","enzymeDB_RSRC","DS_4d5814c3f2","<br>","10592255","N/A","ENZYME","EC Numbers from ENZYME","function","N/A"
"WGS of 4 laboratory strains (C. parvum aligned)","2020-04-10","Apollo","Adam Sateriale","The Francis Crick Institute","CryptoDB rel. 53, 2021-JUL-21","53","Genetic variation","cparIowaII_HTS_SNP_Sateriale_4strains_WGS_RSRC","DS_4e72fffb36","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","Adam Sateriale","Illumina MiSeq 300bp paired end reads for the 4 <i>C. parvum</i> strains that are currently used by most molecular biology labs that study <i>Cryptosporidium parvum</i>.","isolates","N/A"
"Cryptosporidium parvum IowaII asexual stages cell atlas","2023-07-26","Apollo","Boris Striepen","University of Pennsylvania","CryptoDB rel. 65, 2023-SEP-14","65","scRNA-Seq","cparIowaII_walzer_asexual_cellxgene_RSRC","DS_51a4ce88bd","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","Walzer et al.","Single cell atlas of asexual stages in Cryptosporidium parvum Iowa II","transcript_expression","N/A"
"<i>Cryptosporidium bovis</i> isolate 45015 Genome Sequence and Annotation","2021-11-10","Apollo","Lihua Xiao","South China Agricultural University","CryptoDB rel. 58, 2022-JUN-23","58","Genomes","cbov45015_primary_genome_RSRC","DS_54ba22490f","<i>Cryptosporidium bovis</i> isolate 45015<br>","32416746","N/A","Lihua Xiao","Genome Sequence and Annotation of <i>Cryptosporidium bovis</i> isolate 45015","genome","3723"
"Comparative genomics of Cryptosporidium isolate 31727 (C. parvum aligned)","2017-04-14","Apollo","Lihua Xiao","South China Agricultural University","CryptoDB rel. 34, 2017-SEP-07","34","Genetic variation","cparIowaII_HTS_SNP_Feng_Comparative_Paired_End_HTS_SNPs_RSRC","DS_58470a7950","<i>Cryptosporidium parvum</i> Iowa II<br>","28192123","N/A","Lihua Xiao","Comparative genomic analysis of the IId subtype family of <i>Cryptosporidium parvum</i> isolate 31727","isolates","N/A"
"<i>Chromera velia</i> CCMP2878 Genome Sequence and Annotation","2021-05-19","Apollo","Arnab Pain","King Abdullah University of Science and Technology","CryptoDB rel. 8.0, 2015-JAN-14","23","Genomes","cvelCCMP2878_primary_genome_RSRC","DS_5bcc4b1bd3","<i>Chromera velia</i> CCMP2878<br>","26175406","N/A","Arnab Pain","Genome Sequence and Annotation for <i>Chromera velia</i> CCMP2878","genome","30596"
"Aligned genomic sequence reads - TU114 Strain (C. parvum aligned)","2011-09-21","Apollo","Giovanni Widmer","Cummings School of Veterinary Medicine, Tufts University","CryptoDB rel. 1.0, 01-JAN-05","0","Genetic variation","cparIowaII_HTS_SNP_Widmer_HTS_RSRC","DS_5c4175a5a1","<i>Cryptosporidium parvum</i> Iowa II<br>","22522000","N/A","Giovanni Widmer","SNPs determined by aligning high throughput sequencing reads of <i>C. parvum</i> TU114 to the 
    	<i>C. parvum</i> reference genome","isolates","N/A"
"HNJ-1 predicted full length Transcripts (ESTs)","2006-11-02","Apollo","Junichi Watanabe","Department of Parasitology, Institute of Medical Science, University of Tokyo","CryptoDB rel. 1.0, 01-JAN-05","0","EST","cparIowaII_EST_Watanabe_PredictedTrancripts_sequences_RSRC","DS_5f8faf6298","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","Junichi Watanabe","J.Watanabe,H.Wakaguri1,M.Sasaki1,Y.Suzuki1,S.Sugano1 <i>C. parvum</i> HNJ-1 predicted full length transcript sequences.","EST","N/A"
"C. parvum WGS of clinical isolates (C. parvum aligned)","2019-05-04","Apollo","Kevin Tyler","University of East Anglia","CryptoDB rel. 46, 2019-NOV-06","46","Genetic variation","cparIowaII_HTS_SNP_Nader_Clinical_Isolates_RSRC","DS_61df67732f","<i>Cryptosporidium parvum</i> Iowa II<br>","30833731","N/A","Nader et al.","Whole genome sequence of C. parvum isolates determined by an IMS/Illumina-based method for the WGS of clinical isolates","isolates","N/A"
"C hominis isolates from 4 African locations (C. hominis aligned)","2020-08-28","Apollo","Simone Mario Caccio","Istituto Superiore di Sanità","CryptoDB rel. 56, 2022-FEB-15","56","Genetic variation","chomTU502_HTS_SNP_Caccio_WGS_RSRC","DS_633427c0ea","<i>Cryptosporidium hominis</i> TU502<br>","33355530","N/A","Simone Mario Caccio","Whole genome sequence and SNP analysis of the genomes of 26 C. hominis isolates, representing different gp60 subtypes, collected at rural sites in Gabon, Ghana, Madagascar and Tanzania","isolates","N/A"
"Transcriptome of 48 hours in vitro infection","2015-08-05","Apollo","Juan Alzate","Universidad de Antioquia","CryptoDB rel. 32, 2017-APR-20","32","RNASeq","cparIowaII_Isaza_Infection_Time_Series_ebi_rnaSeq_RSRC","DS_63b0de882c","<i>Cryptosporidium parvum</i> Iowa II<br>","26549794","N/A","Isaza et al.","Transcriptome (RNA-Seq) from <i>Cryptosporidium parvum</i> Iowa isolated from an in vitro infection of cultured HCT-8 cells.","transcript_expression","N/A"
"<i>Cryptosporidium muris</i> RN66 Genome Sequence and Annotation","2015-03-11","Apollo","Lis Caler","J. Craig Venter Institute","CryptoDB rel. 52, 2021-MAY-20","0","Genomes","cmurRN66_primary_genome_RSRC","DS_65beb477b7","<i>Cryptosporidium muris</i> RN66<br>","N/A","N/A","Lis Caler","Genome sequence and annotation for <i>Cryptosporidium muris</i> RN66","genome","3981"
"WGS of C. parvum isolates from animals (PRJNA633764) (C. parvum aligned)","2020-05-20","Apollo","Compare-europe.eu","N/A","CryptoDB rel. 53, 2021-JUL-21","53","Genetic variation","cparIowaII_HTS_SNP_Animal_isolate_WGS_RSRC","DS_66ab196f50","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","Compare-europe.eu","IWhole genome sequencing of <i>C. parvum</i> isolates retrieved from animal hosts.","isolates","N/A"
"<i>Porospora gigantea</i> A Genome Sequence and Annotation","2021-09-14","Apollo","Isabelle Florent","Museum National d Histoire Naturelle, Paris France","CryptoDB rel. 65, 2023-SEP-14","61","Genomes","pgigA_primary_genome_RSRC","DS_67c80917e2","<i>Porospora cf.</i> gigantea A<br>","35780080","N/A","Isabelle Florent","Genome sequence and annotation for <i>Porospora cf. gigantea</i> A, a marine eugregarine apicomplexan which was sequenced with Illumina methods.","genome","5270"
"The Database of Expressed Sequence Tags (dbEST)","N/A","Apollo","GenBank","NCBI","CryptoDB rel. 1.0, 01-JAN-05","0","EST","_dbEST_RSRC$","DS_6889a51dab","<i>Chromera velia</i> CCMP2878<br><i>Cryptosporidium andersoni</i> isolate 30847<br><i>Cryptosporidium baileyi</i> TAMU-09Q1<br><i>Cryptosporidium bovis</i> isolate 45015<br><i>Cryptosporidium hominis</i> TU502<br><i>Cryptosporidium meleagridis</i> strain UKMEL1<br><i>Cryptosporidium muris</i> RN66<br><i>Cryptosporidium parvum</i> Iowa II<br><i>Cryptosporidium ryanae</i> 45019<br><i>Cryptosporidium sp.</i> chipmunk LX-2015<br><i>Cryptosporidium sp.</i> chipmunk genotype I strain 37763<br><i>Cryptosporidium tyzzeri</i> isolate UGA55<br><i>Cryptosporidium ubiquitum</i> isolate 39726<br><i>Gregarina niphandrodes</i> Unknown strain<br><i>Porospora cf.</i> gigantea A<br><i>Vitrella brassicaformis</i> CCMP3155<br>","N/A","N/A","GenBank","ESTs from dbEST.","EST","N/A"
"Transcriptome in normal culture conditions","2014-05-07_gus4","Apollo","Arnab Pain","King Abdullah University of Science and Technology","CryptoDB rel. 8.0, 2015-JAN-14","23","RNASeq","vbraCCMP3155_Otto_rnaSeq_RSRC","DS_69206e5b11","<i>Vitrella brassicaformis</i> CCMP3155<br>","26175406","N/A","Woo et al.","RNA-Seq to generate transcriptome map of <i>Vitrella. brassicaformis</i> under a normal culturing condition.","transcript_expression","N/A"
"Paired end whole genome sequencing and comparative genomic analysis (C. hominis aligned)","2014-12-18","Apollo","Lihua Xiao","South China Agricultural University","CryptoDB rel. 35, 2017-DEC-01","35","Genetic variation","chomTU502_HTS_SNP_Guo_Genetic_Recombination_Paired_End_RSRC","DS_77fc236061","<i>Cryptosporidium hominis</i> TU502<br>","N/A","N/A","Lihua Xiao","Whole genome sequencing of <i>Cryptosporidium hominis</i> subtypes","isolates","N/A"
"HNJ-1 EST Library","2006-11-02","Apollo","Junichi Watanabe","Department of Parasitology, Institute of Medical Science, University of Tokyo","CryptoDB rel. 1.0, 01-JAN-05","0","EST","cparIowaII_EST_Watanabe_EstLibrary_sequences_RSRC","DS_79bebb1c43","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","Junichi Watanabe","The EST Library for <i>Cryptosporidium parvum</i> HNJ-1","EST","N/A"
"Comparative genomics of Cryptosporidium isolate 31727 (C. hominis aligned)","2017-04-14","Apollo","Lihua Xiao","South China Agricultural University","CryptoDB rel. 57, 2022-APR-21","57","Genetic variation","chomTU502_HTS_SNP_Feng_Comparative_Paired_End_HTS_SNPs_RSRC","DS_7cc80562ca","<i>Cryptosporidium hominis</i> TU502<br>","28192123","N/A","Lihua Xiao","Comparative genomic analysis of the IId subtype family of <i>Cryptosporidium parvum</i> isolate 31727","isolates","N/A"
"<i>Cryptosporidium hominis</i> UdeA01 Genome Sequence and Annotation","2015-12-03","N/A","Juan F. Alzate","UDEA, Centro Nacional de Secuenciacion Genomica-CNSG, Centro Nacional de Secuenciacion Genomica-CNSG, Universidad de Antioquia","CryptoDB rel. 66, 2023-NOV-28","30","Genomes","chomUdeA01_primary_genome_RSRC","DS_7f6973790e","<i>Cryptosporidium hominis</i> UdeA01<br>","26549794","N/A","Juan F. Alzate","<i>Cryptosporidium hominis</i> UdeA01 sequence and annotation","genome","3863"
"Oocyst wall proteome","2022-09-23","Apollo","Longxian Zhang","College of Veterinary Medicine, Henan Agricultural University","CryptoDB rel. 63, 2023-MAY-03","63","Protein expression","cparIowaII_massSpec_Wang_Oocyst_wall_prot_RSRC","DS_845b813eeb","<i>Cryptosporidium parvum</i> Iowa II<br>","36151578","N/A","Wang et al 2022","A comprehensive analysis of the proteome of oocyst wall of <i>Cryptosporidium parvum</i> was performed using label-free qualitative high-performance liquid chromatography (HPLC) fractionation and mass spectrometry-based qualitative proteomics technologies.","protein_expression","N/A"
"C hominis isolates from 4 African locations (C. parvum aligned)","2020-08-28","Apollo","Simone Mario Caccio","Istituto Superiore di Sanità","CryptoDB rel. 57, 2022-APR-21","57","Genetic variation","cparIowaII_HTS_SNP_Caccio_WGS_RSRC","DS_85a463de8b","<i>Cryptosporidium parvum</i> Iowa II<br>","33355530","N/A","Simone Mario Caccio","Whole genome sequence and SNP analysis of the genomes of 26 C. hominis isolates, representing different gp60 subtypes, collected at rural sites in Gabon, Ghana, Madagascar and Tanzania","isolates","N/A"
"Transcriptome of sporozoites and HTC-8 infection time course","combined_gus4","Apollo","Adrian B. Hehl","Institute of Parasitology, University of Zurich, Zurich, Switzerland","CryptoDB rel. 7.0, 2014-SEP-10","22","RNASeq","cparIowaII_Lippuner_rnaSeq_RSRC","DS_865efa49f4","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","Lippuner et al.","Transcriptomes of freshly excysted <i>C. parvum</i> sporozoites as well as parasites collected  
    48- and 96- hours post-infection in HTC8 cells were determined by SOLiD, paired end, strand-specific RNA-Seq.","transcript_expression","N/A"
"Single end whole genome sequencing and comparative genomic analysis (C. hominis aligned)","2014-12-18","Apollo","Lihua Xiao","South China Agricultural University","CryptoDB rel. 35, 2017-DEC-01","35","Genetic variation","chomTU502_HTS_SNP_Guo_Genetic_Recombination_Single_End_RSRC","DS_8711baff19","<i>Cryptosporidium hominis</i> TU502<br>","N/A","N/A","Lihua Xiao","Whole genome sequencing of <i>Cryptosporidium hominis</i> subtypes","isolates","N/A"
"<i>Cryptosporidium parvum</i> IOWA-ATCC Genome Sequence and Annotation","2022-10-21","N/A","Jessica Kissinger","University of Georgia","CryptoDB rel. 63, 2023-MAY-03","46","Genomes","cparIOWA-ATCC_primary_genome_RSRC","DS_8bd21e94e1","<i>Cryptosporidium parvum</i> IOWA-ATCC<br>","N/A","Please consult with the Principal Investigator before undertaking large scale analyses of this unpublished sequence or annotation.","Jessica Kissinger","<i>Cryptosporidium parvum</i> strain IOWA ATCC sequence and annotation","genome","4035"
"Transcriptome in normal culture conditions","2014-05-07_gus4","Apollo","Arnab Pain","King Abdullah University of Science and Technology","CryptoDB rel. 8.0, 2015-JAN-14","23","RNASeq","cvelCCMP2878_Otto_rnaSeq_RSRC","DS_8c8311991f","<i>Chromera velia</i> CCMP2878<br>","26175406","N/A","Woo et al.","RNA-Seq to generate transcriptome map of <i>Chromera velia</i> under a normal culturing condition.","transcript_expression","N/A"
"WGS of 4 laboratory strains (C hominis aligned).","2020-04-10","Apollo","Adam Sateriale","The Francis Crick Institute","CryptoDB rel. 57, 2022-APR-21","57","Genetic variation","chomTU502_HTS_SNP_Sateriale_4strains_WGS_RSRC","DS_8f674deb8c","<i>Cryptosporidium hominis</i> TU502<br>","N/A","N/A","Adam Sateriale","Illumina MiSeq 300bp paired end reads for the 4 <i>C. parvum</i> strains that are currently used by most molecular biology labs that study <i>Cryptosporidium parvum</i>.","isolates","N/A"
"<i>Cryptosporidium sp.</i> chipmunk LX-2015 Genome Sequence","2015-02-03","N/A","CDC","Centers for Disease Control and Prevention, USA","CryptoDB rel. 52, 2021-MAY-20","41","Genomes","cspchipmunkLX2015_primary_genome_RSRC","DS_92062c4a9b","<i>Cryptosporidium sp.</i> chipmunk LX-2015<br>","25762767","N/A","CDC","Genome sequence and assembly for <i>Cryptosporidium sp.</i> chipmunk LX-2015","genome","N/A"
"bld36_annotation_GFF","2018-03-20","Apollo","John Adams","University of South Florida","CryptoDB rel. 37, 2018-APR-25","37","Sequence sites, features and motifs","cparIowaII_bld36_annotation_GFF_GFF_RSRC","DS_96cc6e5e12","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","John Adams","The previous annotation for C. parvum IOWA II from release 36","feature","N/A"
"The Worldwide Protein Data Bank (wwPDB)","2021-03-22","N/A","RCSB PDB","Rutgers and UCSD","CryptoDB rel. 1.0, 01-JAN-05","0","Protein Structure","PDBProteinSequences_RSRC","DS_9ab85137b0","<br>","10592235, 14634627, 23023942","N/A","RCSB PDB","PDB proteins of known 3-dimensional structure","external_sequences","N/A"
