Data Set,Data Set Version,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,VEuPathDB Project,Genes,,,,
<i>Dermacentor andersoni</i> qqDerAnde1.1 Genome Sequence,5/16/2022,GenBank,NCBI,"VEuPathDB rel. 67, 2024-FEB-21",67,Genomes,dandqqDerAnde1.1_primary_genome_RSRC,DS_033bfc01d1,<i>Dermacentor andersoni</i> qqDerAnde1.1<br>,N/A,GenBank,Genome Sequence of <i>Dermacentor andersoni</i> qqDerAnde1.1,genome,VectorBase,N/A,,,,
Transcript alignment from previous annotation,31,Oscar Franzén,Uppsala University,"EuPathDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",tcruSylvioX10-1_bld31Transcripts_transcript_sequences_RSRC,DS_033caaf714,<i>Trypanosoma cruzi</i> Sylvio X10/1<br>,"21408126, 23035642",Oscar Franzén,Transcripts for bld 31 T. cruzi SylvioX10-1 .,aligned_sequence,TriTrypDB,N/A,,,,
<i>Macaca fascicularis</i> REF Genome Sequence and Annotation,6/12/2013,Chen Ding,"College of Life and Health Sciences, Northeastern University, Shenyang, China","VEuPathDB rel. 52, 2021-MAY-20",52,Genomes,mfasREF_primary_genome_RSRC,DS_033cf9c74d,<i>Macaca fascicularis</i> REF<br>,31329596,Chen Ding,Genome Sequence and Annotation of <i>Macaca fascicularis</i> REF,genome,HostDB,29324,,,,
Adaptive mechanisms of Aspergillus fumigatus’conidia to nutrient restriction Quant,5/24/2017,Manuela Oliveira,"Biology Department, Faculty of Sciences, University of Porto, Porto, Portugal","VEuPathDB rel. 45, 2019-SEP-05",45,Protein expression,afumAf293_quantitativeMassSpec_Oliveira_Nutrient_Restriction_quant_RSRC,DS_033e62f4ec,<i>Aspergillus fumigatus</i> Af293<br>,28365406,Andjo et al.,"<i>Aspergillus fumigatus</i> quantitative proteome. Aspergillus fumigatus, a common airborne fungus, has been reported as one of the most frequent agents of human fungal infections.",protein_expression,FungiDB,N/A,,,,
Core and disruptive genome compartments in <i>T cruzi</i> Dm28c,5/20/2023,Florencia Díaz-Viraqué,"Institut Pasteur de Montevideo, Montevideo, Uruguay","VEuPathDB rel. 66, 2023-NOV-28",66,N/A,tcruDm28c2018_Robello_genomeCompartment_RSRC,DS_0341761d39,<i>Trypanosoma cruzi</i> Dm28c 2018<br>,37828247,Diaz-Viraque et al.,Chromosomal positions of core and disruptive genome compartments in <i>T cruzi</i> Dm28c.,N/A, ,N/A,,,,
"Evaluation of resting traps to examine the behaviour and ecology of mosquito vectors in an area of rapidly changing land use in Sabah, Malaysian Borneo",8/14/2018,Rebecca Brown,"Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow, Glasgow, UK","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000300_RSRC,DS_035b484ded,<br>,29898780,Rebecca Brown,This study evaluated the use of two mosquito traps: the resting bucket and sticky resting bucket traps relative to CDC backpack aspiration for sampling mosquitoes resting in a range of habitats representing a gradient of deforestation. (MapVEu VBP0000300),population_biology, ,N/A,,,,
<i>Candida dubliniensis</i> CD36 Genome Sequence and Annotation,2/27/2015,Pathogen Sequencing Unit,Wellcome Sanger Institute,"VEuPathDB rel. 56, 2022-FEB-15",56,Genomes,cdubCD36_primary_genome_RSRC,DS_0360a7ae66,<i>Candida dubliniensis</i> CD36<br>,19745113,Pathogen Sequencing Unit,Genome Sequence and Annotation of <i>Candida dubliniensis</i> CD36,genome,FungiDB,6095,,,,
Fresh whole blood infected with Candida albicans,10/2/2018,Patricia Sieber,"Department of Bioinformatics, Faculty of Biological Sciences, Friedrich Schiller University, Jena, Germany","VEuPathDB rel. 49, 2020-NOV-05",49,RNASeq,hsapREF_Kaemmer_Blood_Albicans_ebi_rnaSeq_RSRC,DS_03824cf332,<i>Homo sapiens</i> REF<br>,30333805,Sieber et al. 2019,<i>Homo sapiens</i> fresh whole blood was infected with <i>Candida albicans</i>.,transcript_expression,HostDB,N/A,,,,
<i>Spizellomyces punctatus</i> DAOM BR117 Genome Sequence and Annotation,7/29/2015,The Broad Institute of MIT and Harvard,The Broad Institute of MIT and Harvard,"VEuPathDB rel. 51, 2021-MAR-16",21,Genomes,spunDAOMBR117_primary_genome_RSRC,DS_0399018270,<i>Spizellomyces punctatus</i> DAOM BR117<br>,N/A,The Broad Institute of MIT and Harvard,Genome sequence and annotation for <i>Spizellomyces punctatus</i> DAOM BR117.,genome,FungiDB,9169,,,,
"A multipurpose high throughput SNP chip for the dengue and yellow fever mosquito, Aedes aegypti",20-Jun,Benjamin R Evans,"Department of Ecology and Evolutionary Biology, Yale University","VEuPathDB rel. 48, 2020-AUG-27",48,Genetic variation,aaegLVP_AGWG_VBP0000122_Aedes_Evans_2015_AxiomGT1_calls_2_AaegL5_ebi_VCF_RSRC,DS_03aef8200c,<i>Aedes aegypti</i> LVP_AGWG<br>,25721127,Benjamin R Evans,High throughput genotyping of Aedes aegypti populations from around the world using a custom SNP genotyping chip.,isolates,VectorBase,N/A,,,,
Insecticides resistance,5/5/2014,Chunxiao Li,Beijing Institute of Microbiology and Epidemiology,"VEuPathDB rel. 58, 2022-JUN-23",58,RNASeq,cquiJHB_SRP041691_ebi_rnaSeq_RSRC,DS_03eb8ee9f3,<i>Culex quinquefasciatus</i> JHB 2020<br>,N/A,"Li and Zhao 2014, unpublished","Larvae of Cx. quinquefasciatus (and Cx. pipiens pallens) collected from the field were reared in the lab to adulthood to get F1 generation. Then, without any exposure to insecticides, half of the F1 generation (12 larvae) was sequenced.",transcript_expression,VectorBase,N/A,,,,
GPL18530 - NimbleGen Aedes aegypti 12plex array,4/4/2014,Susanta K. Behura,"Division of Animal Sciences, University of Missouri","VEuPathDB rel. 47, 2020-APR-07",47,Array Probes,aaegLVP_AGWG_microarrayPlatform_GPL18530_NimbleGen_RSRC,DS_04102dc2b8,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Susanta K. Behura,"An expression design for 17,494 genes/transposable_ORFs from Aedes aegypti and TEfam with up to three 60-mer probe pairs (PM/MM) per gene. Each probe is also replicated 3 times on the array. The design includes random GC and other control probes.",transcript_expression_platform,VectorBase,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 2000 (New Jersey light trap)",2/10/2019,Unidentified,N/A,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000391_RSRC,DS_0411d42f58,<br>,N/A,Unidentified,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000391)",population_biology, ,N/A,,,,
Aligned genomic sequence reads -  Multiple <i>E. histolytica</i> Strains,2/11/2011,Neil Hall,Wellcome Sanger Institute,"EuPathDB rel. 1.0, 01-JAN-05",0,Genetic variation,ehisHM1IMSS_HTS_SNP_Weedall_SOLID_htsSNPs_RSRC,DS_043fe19169,<i>Entamoeba histolytica</i> HM-1:IMSS<br>,N/A,Neil Hall,Whole genome sequencing of multiplen of 9 <i>E. Histolytica</i> strains,isolates,AmoebaDB,N/A,,,,
Aposymbiotic midguts,20-Jan,XiaoLi Bing,"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, CT 06520, USA.","VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,gmorYale_SRP097906_ebi_rnaSeq_RSRC,DS_0445efcab5,<i>Glossina morsitans</i> Yale<br>,28659447,Bing et al 2017,"Whole gut transcriptomes (including cardia, bacteriome and midgut) were generated from aposymbiotic flies (collected at 11 days post eclosion at 72 hours post blood meal and derived from mothers treated with tetracycline and dietary yeast extract supplementation).",transcript_expression,VectorBase,N/A,,,,
<i>Peronospora effusa</i> R13 Genome Sequence and Annotation,11/27/2018,Richard Michelmore,"College of Agricultural and Environmental Sciences, UC Davis, USA","VEuPathDB rel. 53, 2021-JUL-21",53,Genomes,peffR13_primary_genome_RSRC,DS_04464ff60b,<i>Peronospora effusa</i> R13<br>,30486780,Richard Michelmore,Genome Sequence and Annotation of <i>Peronospora effusa</i> R13,genome,FungiDB,8603,,,,
Insecticide resistance and target site mutations (G119S ace-1 and L1014F kdr) of Culex pipiens in Morocco,3/27/2018,M'hammed Sarih,"Institut Pasteur du Maroc, Service de Parasitologie et des Maladies Vectorielles, Casablanca, Morocco","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000230_RSRC,DS_045378de97,<br>,29357900,M'hammed Sarih,"Mosquito adults from Mohammadia city in Morocco were reared from immature stages. The level of their susceptibility to insecticides was assessed using standard WHO bioassay. The two forms of the Cx. pipiens complex and their hybrids were identified by a multiplex PCR. Identified mosquitoes were then tested for the presence of the G119S ace-1 and L1014F kdr mutations using PCR-RFLP and PCR assays, respectively. (MapVEu VBP0000230)",population_biology, ,N/A,,,,
Transcriptomes of wild-type vs veA and mtfA deletion mutants,2015-03-18_gus4,Antonis Rokas,"Vanderbilt University Medical Center, TN USA","VEuPathDB rel. 28, 2016-MAR-31",28,RNASeq,anidFGSCA4_Lind_SecondaryMetabolism_Anid_ebi_rnaSeq_RSRC,DS_04666bdd43,<i>Aspergillus nidulans</i> FGSC A4<br>,25786130,Lind et al. 2015,"RNA-Seq of wild-type and deletion mutants of the secondary metabolite regulators, VeA and MtfA",transcript_expression,FungiDB,N/A,,,,
Frequency and intensity of pyrethroid resistance through the CDC bottle bioassay and their association with the frequency of kdr mutations in A. aegypti from Mexico,6/20/2018,Adriana E Flores,"Universidad Autonoma de Nuevo Leon, Facultad de Ciencias Biologicas. Av. Universidad s/n, Cd. Universitaria, San Nicolas de los Garza, N.L. 66455. Mexico.","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000272_RSRC,DS_04797fe387,<br>,29575404,Adriana E Flores,Estimated the frequency and intensity (F-RDT and I-RDT) of pyrethroid resistance in populations of Ae. aegypti from Mexico using the bottle bioassay and results were related to the frequencies of kdr mutations V1016I and F1534C. (MapVEu VBP0000272),population_biology, ,N/A,,,,
Mosquito midguts (MGs) and salivary glands (SGs) infected with P. falciparum,1/20/2021,Elena Gomez-Diaz,Instituto de Parasitologia y Biomedicina Lopez-Neyra (IPBLN),"VEuPathDB rel. 56, 2022-FEB-15",56,RNASeq,agamPEST_Ruiz_RNAeq_Agambiae_MGs_SGs_infected_Pfalciparum_2021_ebi_rnaSeq_RSRC,DS_047c56768c,<i>Anopheles gambiae</i> PEST<br>,33987532,Ruiz et al 2021,A. gambiae s.s. Kisumu midguts (MGs) and salivary glands (SGs) infected with P. falciparum 3D7,transcript_expression,VectorBase,N/A,,,,
Promastigote-to-amastigote differentiation (L.d. Samples),1,Peter Myler,Seattle Biomedical Research Institute,"EuPathDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,linfJPCM5_microarrayExpression_Myler_promastigote_RSRC,DS_04880972f5,<i>Leishmania infantum</i> JPCM5<br>,20952481,Lahav et al.,"Microarray time course of axenic promastigote-to-amastigote differentiation in 
    	<i>Leishmania donovani</i> 1SR",transcript_expression,TriTrypDB,N/A,,,,
Reproductive tissues infection with endosymbiotic Spiroplasma,9/16/2021,Serap Aksoy,"Yale University, New Haven, CT, USA","VEuPathDB rel. 60, 2022-NOV-09",60,RNASeq,gfusIAEA_Son_Spiroplasma_2021_ebi_rnaSeq_RSRC,DS_0488584851,<i>Glossina fuscipes</i> IAEA<br>,34529715,Son et al 2021,"Field captured (Uganda) <i>Spiroplasma</i> infected and uninfected male (testes, accessory glands, and ejaculatory duct) and female (ovaries, spermathecae, uterus, and oocysts) reproductive tissues.",transcript_expression,VectorBase,N/A,,,,
Gut transcriptomes of ISARL and GFP-injected ticks after engorgement on B. burgdorferi-infected or uninfected mice,11/16/2021,Erol Fikrig,Yale University,"VEuPathDB rel. 61, 2022-DEC-15",61,RNASeq,iscaPalLabHiFi_Tang_adiponectin_1_2021_ebi_rnaSeq_RSRC,DS_04b01e4314,<i>Ixodes scapularis</i> PalLabHiFi<br>,34783654,Tang et al 2021,"Gut transcriptomes of ds <i>I. scapularis</i> adiponectin receptor-like (ISARL, ISCW018477) and ds <i>Aequorea victoria</i> green fluorescent protein (GFP -control)-injected ticks after 96 hr feeding/engorgement on <i>Borrelia burgdorferi</i> N40-infected or uninfected mice (Mus musculus)",transcript_expression,VectorBase,N/A,,,,
SNP calls on WGS of clinical Cryptococcus neoformans isolates from the ACTA clinical trial,11/18/2021,Christina Cuomo,"The Broad Institute of Harvard and MIT, USA","VEuPathDB rel. 65, 2023-SEP-14",65,Genetic variation,cneoH99_HTS_SNP_ACTAtrial_2021_RSRC,DS_04bcdf3e8b,<i>Cryptococcus neoformans</i> var. grubii H99<br>,36354332,The Broad Institute,Cryptococcus neoformans recovered from the cerebral spinal fluid (CSF) of an immunocompromised patient,isolates,FungiDB,N/A,,,,
Comparison of deltamethrin tablet formulation with liquid deltamethrin and permethrin for bednet treatment in The Gambia.,10/15/2014,M Jawara,N/A,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000107_RSRC,DS_04d0cad288,<br>,N/A,M Jawara,Insecticide resistance study imported from IRBase. (MapVEu VBP0000107),population_biology, ,N/A,,,,
Female antenna,11/1/2013,Laurence J Zwiebel,"Center for Human Genetics Research, Vanderbilt University Medical Cente","VEuPathDB rel. 52, 2021-MAY-20",52,RNASeq,aquaSANGWE_Rinker_Antennal_Transcriptome_ebi_rnaSeq_RSRC,DS_04d3b07723,<i>Anopheles quadriannulatus</i> SANGWE<br>,24182346,Rinker et al 2013,Transcriptome of female <i>Anopheles quadriannulatus</i> antenna determined by RNA sequencing.,transcript_expression,VectorBase,N/A,,,,
Core and disruptive genome compartments in T cruzi Brazil A4,5/20/2023,Florencia Díaz-Viraqué,"Institut Pasteur de Montevideo, Montevideo, Uruguay","VEuPathDB rel. 66, 2023-NOV-28",66,N/A,tcruBrazilA4_Robello_genomeCompartment_RSRC,DS_04d9baa7a5,<i>Trypanosoma cruzi</i> Brazil A4<br>,37828247,Diaz-Viraque et al.,Chromosomal positions of core and disruptive genome compartments in <i>T cruzi</i> Brazil A4.,N/A, ,N/A,,,,
