"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"Giardia Infection in human IEC","2022-04-27","Apollo","Staffan Svärd","Uppsala University","GiardiaDB rel. 61, 2022-DEC-15","61","RNASeq","gassAWB2019_gassAWB2019_infect_IEC_RNASeq_ebi_rnaSeq_RSRC","DS_61284aac46","<i>Giardia Assemblage</i> A isolate WB 2019<br>","35573800","N/A","Rojas et al. 2022","Gene expression changes during <i>Giardia intenstinalis</i> infection of human intestinal epithelial cells (differentiated Caco-2 cells). Three biological replicates of control and 1.5hr, 3hr, and 4.5hr time points measured were analyzed by RNA sequencing.","transcript_expression","N/A"
"(GS) Trophozoite Transcriptome","2012-10-03_gus4","N/A","Staffan Svärd","Uppsala University","GiardiaDB rel. 3.1, 2013-MAY-31","18","RNASeq","gassBGS_Svard_rnaSeq_RSRC","DS_613ae699e8","<i>Giardia Assemblage</i> B isolate GS<br>","23555231","N/A","Franzen et al.","Transcriptome profiling of <i>Giardia intestinalis</i> Assemblage B (GS) using strand-specific RNA-Seq","transcript_expression","N/A"
"The Database of Expressed Sequence Tags (dbEST)","N/A","Apollo","GenBank","NCBI","GiardiaDB rel. 1.0, 01-JAN-05","0","EST","_dbEST_RSRC$","DS_6889a51dab","<i>Giardia Assemblage</i> A isolate WB 2019<br><i>Giardia muris</i> strain Roberts-Thomson<br><i>Monocercomonoides exilis</i> PA203<br><i>Spironucleus salmonicida</i> ATCC50377<br>","N/A","N/A","GenBank","ESTs from dbEST.","EST","N/A"
"<i>Giardia Assemblage A</i> Beaver Genome Sequence","2020-03-23","N/A","James D Wasmuth","University of Calgary","GiardiaDB rel. 62, 2023-MAR-09","62","Genomes","gintBeaver_primary_genome_RSRC","DS_6a70ff036d","<i>Giardia intestinalis</i> Beaver<br>","32111234","N/A","James D Wasmuth","Genome Sequence of <i>Giardia intestinalis</i> Beaver","genome","N/A"
"Trophozoite Transcriptome of Giardia assemblage A strain AS175 (gassAWB2019 aligned)","2013-03-29","Apollo","Staffan Svärd","Uppsala University","GiardiaDB rel. 61, 2022-DEC-15","61","RNASeq","gassAWB2019_Franzen_Trophozoite_AS175_ebi_rnaSeq_RSRC","DS_6f448155f7","<i>Giardia Assemblage</i> A isolate WB 2019<br>","23555231","N/A","Franzen et al.","Trophozoite transcriptome of G. Assemblage A strain AS175 at passage 4 and 33","transcript_expression","N/A"
"Metronidazole resistant cell line transcriptomes","2022-02-10","Apollo","Staffan Svärd","Uppsala University","GiardiaDB rel. 61, 2022-DEC-15","61","RNASeq","gassAWB2019_gassAWB2019_MTZ_resistant_RNASeq_ebi_rnaSeq_RSRC","DS_7072abbd62","<i>Giardia Assemblage</i> A isolate WB 2019<br>","35222342","N/A","Krakovka et al 2022","Transcriptomes of two <i>in vitro</i> selected, metronidazole resistant parasite lines, as well as one revertant and the wild type cell line.","transcript_expression","N/A"
"Trophozoite transcription start sites (gassAWB2019 aligned)","2013-07-24","Apollo","Mohammed E.M. Tolba","Department of Parasitology, Faculty of Medicine, Assiut University","GiardiaDB rel. 61, 2022-DEC-15","61","RNASeq","gassAWB2019_Tolba_TSSseq_ebi_rnaSeq_RSRC","DS_76bb64c7e6","<i>Giardia Assemblage</i> A isolate WB 2019<br>","24116096, 8125298, 9373149","N/A","Tolba et al.","Trophozoite transcription start sites of <i>Giardia lamblia</i> Assemblage A isolate WB (ATCC 50803), 
    determined by strand-specific TSS-sequencing.","transcript_expression","N/A"
"<i>Giardia Assemblage A</i> AS175 Genome Sequence","2015-12-08","N/A","Staffan Svärd","Uppsala University","GiardiaDB rel. 51, 2021-MAR-16","44","Genomes","gassAAS175_primary_genome_RSRC","DS_78922f8cf6","<i>Giardia assemblage</i> A isolate AS175<br>","23555231","N/A","Staffan Svärd","Genome Sequence for <i>Giardia</i> Assemblage A isolate AS175","genome","N/A"
"<i>Giardia Assemblage A</i> isolate CIA Genome Sequence","2022-04-14","N/A","Monica Santin","Environmental Microbial and Food Safety Laboratory, Agricultural Research Service, United States Department of Agriculture, Beltsville, MD 20705, USA","GiardiaDB rel. 62, 2023-MAR-09","62","Genomes","gassACIA_primary_genome_RSRC","DS_7987adcf12","<i>Giardia Assemblage</i> A isolate CIA<br>","35909595","N/A","Monica Santin","Genome Sequence of <i>Giardia Assemblage</i> A isolate CIA","genome","N/A"
"Transcriptome from pooled trophozoite exponential and stationary stages","2014-01-02_gus4","Apollo","Jan Andersson","Department of Cell and Molecular Biology, Science for Life Laboratory, Uppsala University, BMC","GiardiaDB rel. 5.0, 2014-SEP-10","22","RNASeq","ssalATCC50377_Feifei_trophozoites_ebi_rnaSeq_RSRC","DS_80306f4ace","<i>Spironucleus salmonicida</i> ATCC50377<br>","24516394","N/A","Xu et al.","Transcriptome of <i>Spironucleus salmonicida</i> determined by Illumina RNA-Seq.","transcript_expression","N/A"
"Giardia Encystation Time Course","2021-11-30","Apollo","Staffan Svärd","Uppsala University","GiardiaDB rel. 61, 2022-DEC-15","61","RNASeq","gassAWB2019_gassAWB2019_encystation_RNASeq_ebi_rnaSeq_RSRC","DS_853e99b2a8","<i>Giardia Assemblage</i> A isolate WB 2019<br>","34946882","N/A","Rojas-Lopez et al 2021","Gene expression changes during encystation of <i>Giardia intenstinalis</i>, measured every 3.5 hr and analyzed by RNA sequence.","transcript_expression","N/A"
"Nitro drug-resistant strains and wild type proteomics","2019-04-09","Apollo","Norbert Muller","University of Bern, Switzerland","GiardiaDB rel. 46, 2019-NOV-06","46","Protein expression","gassAWB2019_quantitativeMassSpec_Nitro_drug_resistant_RSRC","DS_908bb845c6","<i>Giardia Assemblage</i> A isolate WB 2019<br>","30889439","N/A","Muller et al.","MS shotgun analysis of three resistant strains separately grown in the presence of two nitro drugs and compared to wild-types.","protein_expression","N/A"
"Soluble and insoluble trophozoite protein fractions (BHFC1)","2016-01-09","Apollo","Ana Paula Fernandes","Universidade Federal de Minas Gerais, Brazil","GiardiaDB rel. 34, 2017-SEP-07","34","Protein expression","gassAWB2019_massSpec_Coelho_Soluble_Insoluble_Fraction_RSRC","DS_96ecef4c91","<i>Giardia Assemblage</i> A isolate WB 2019<br>","27760188","N/A","Coelho et al.","Soluble and insoluble protein fraction proteomics of <i>Giardia duodenalis</i> BHFC1 aligned to <i>Giardia assemblage</i> A isolate WB.","protein_expression","N/A"
"(P15) Trophozoite Transcriptome","2012-10-03_gus4","N/A","Staffan Svärd","Uppsala University","GiardiaDB rel. 3.1, 2013-MAY-31","18","RNASeq","gassEP15_Svard_rnaSeq_RSRC","DS_9708587342","<i>Giardia Assemblage</i> E isolate P15<br>","23555231","N/A","Franzen et al.","Transcriptome profiling of <i>Giardia intestinalis</i> Assemblage E (P15) using strand-specific RNA-Seq","transcript_expression","N/A"
"Time-dependent transcriptional changes in axenic trophozoites (gassAWB2019 aligned)","2015-12-04","Apollo","Aaron Jex","Walter and Eliza Hall Institute of Medical Research and University of Melbourne","GiardiaDB rel. 61, 2022-DEC-15","61","RNASeq","gassAWB2019_Ansell_AxenicTrophozoites_ebi_rnaSeq_RSRC","DS_98744ad6a6","<i>Giardia Assemblage</i> A isolate WB 2019<br>","26636323","N/A","Ansell et al.","Time-Dependent Transcriptional Changes in Axenic <i>Giardia duodenalis</i> Trophozoites","transcript_expression","N/A"
"The Worldwide Protein Data Bank (wwPDB)","2021-01-06","N/A","RCSB PDB","Rutgers and UCSD","GiardiaDB rel. 1.0, 01-JAN-05","0","Protein Structure","PDBProteinSequences_RSRC","DS_9ab85137b0","<br>","10592235, 14634627, 23023942","N/A","RCSB PDB","PDB proteins of known 3-dimensional structure","external_sequences","N/A"
"MetaCyc Metabolic Pathway Database","2019.06.03","N/A","BioCyc Database Collection","N/A","GiardiaDB rel. 1.0, 01-JAN-05","0","Metabolic pathways","Pathways_MetaCyc_RSRC","DS_9c4bcfb00e","<br>","26527732","N/A","BioCyc Database Collection","Metacyc is a curated database of experimentally elucidated metabolic pathways from all domains of life.","pathway","N/A"
"DTA-Select Filter","1.0","Apollo","Daniel M. Ratner","University of Washington Department of Bioengineering","GiardiaDB rel. 1.0, 01-JAN-05","0","Protein expression","gassAWB2019_massSpec_Ratner_DTASelect-filter_RSRC","DS_a09264a5ff","<i>Giardia Assemblage</i> A isolate WB 2019<br>","N/A","N/A","Daniel M. Ratner","<i>G. lamblia</i> Assemblage A Proteomics experimental bands for experient DTASelect-filter","protein_expression","N/A"
"Basal body proteome (WB)","2011-10-08","Apollo","Frances D. Gillin","University of California San Diego","GiardiaDB rel. 1.0, 01-JAN-05","0","Protein expression","gassAWB2019_massSpec_Gillin_Proteomics_RSRC","DS_a519fce21e","<i>Giardia Assemblage</i> A isolate WB 2019<br>","21723868","N/A","Lauwaet et al.","<i>G. lamblia</i> Assemblage A conserved and unique basal body proteins","protein_expression","N/A"
"The GenBank Non-Redundant Protein Sequence Database (NRDB)","2021-01-06","N/A","NRDB","NCBI","GiardiaDB rel. 1.0, 01-JAN-05","0","Genomes and Annotation","NRDB_RSRC","DS_a7163a9f0d","<br>","N/A","N/A","NRDB","The GenBank non-redundant protein sequence database (NRDB) is a component of the NCBI BLAST databases 
         and contains entries from GenPept, Swissprot, PIR, PDF, PDB and NCBI RefSeq.","external_sequences","N/A"
"OrthoMCL Ortholog Groups","6r21","N/A","David S. Roos","Department of Biology, University of Pennsylvania","GiardiaDB rel. 1.0, 01-JAN-05","0","Orthology and synteny","OrthoMCL_RSRC","DS_a8f4849fb9","<br>","12952885, 16381887","N/A","David S. Roos","Ortholog group assignments as predicted by OrthoMCL","orthology","N/A"
"<i>Giardia Assemblage B</i> isolate GS Genome Sequence and Annotation","2009-07-13","N/A","Staffan Svärd","Uppsala University","GiardiaDB rel. 51, 2021-MAR-16","0","Genomes","gassBGS_primary_genome_RSRC","DS_b2514bd08d","<i>Giardia Assemblage</i> B isolate GS<br>","19696920","N/A","Staffan Svärd","Draft Genome Sequence of <i>Giardia intestinalis</i> Assemblage B Isolate GS <br><br>
Three rounds of sequencing of the GS genome using the 454 FLX sequencer generated 
808,181 high-quality reads with an average length of 227 bp (182 Mbp; 16× coverage). 
The final assembled sequence was distributed in 2,931 contigs with an average length 
of 3,753 bp (Table S1). Automated ORF prediction identified 6,768 ORFs and manual 
curation of the data resulted in a final set of 4,470 intact (mean length 1,836 bp) 
and 221 interrupted protein coding genes.","genome","4562"
"<i>Giardia Assemblage E</i> isolate P15 Genome Sequence and Annotation","2010-10-05","N/A","Staffan Svärd","Uppsala University","GiardiaDB rel. 51, 2021-MAR-16","0","Genomes","gassEP15_primary_genome_RSRC","DS_b9a14610a5","<i>Giardia Assemblage</i> E isolate P15<br>","20929575","N/A","Staffan Svärd","Sequence and annotation of <i>Giardia</i> Assemblage E isolate P15<br><br>

Genomic DNA was sequenced using a Genome Sequencer FLX/Titanium instrument. 
Three runs with the Genome Sequencer (454 Life Science) generated 1,639,140 reads. 
Genome assembly was performed <i>de novo</i> using the sequence assembly software MIRA V2.9.43. 
Manual inspection and editing of the assembly was carried out using consed and custom Perl scripts.<br><br>


Clustering of the shotgun reads and manual finishing of the assembly resulted in 820 contiguous 
sequences (contigs) with an N50 of 71,261 bp and an average genome coverage of 47X. The G + C 
content of the overall assembly is 47%. Gene prediction was performed using GLIMMER 3 and CRITICA. 
The vast majority of the P15 annotations were assigned using information from the WB and GS genomes.","genome","5159"
"Immune Epitope Database (IEDB)","N/A","Apollo","IEDB","La Jolla Institute for Allergy and Immunology, Center For Infectious Disease, Allergy and Asthma Research","GiardiaDB rel. 1.0, 01-JAN-05","0","Immunology","_IEDB(.*)RSRC$","DS_c3d9ec667a","<i>Giardia Assemblage</i> A isolate WB 2019<br><i>Giardia muris</i> strain Roberts-Thomson<br><i>Monocercomonoides exilis</i> PA203<br><i>Spironucleus salmonicida</i> ATCC50377<br>","19906713, 22610854","N/A","IEDB","IEDB epitopes.","epitope","N/A"
"<i>Giardia Assemblage B</i> isolate GS Calgary Genome Sequence","2020-03-23","N/A","James D Wasmuth","University of Calgary","GiardiaDB rel. 62, 2023-MAR-09","62","Genomes","gassBGSCalgary_primary_genome_RSRC","DS_cdacc7f1ce","<i>Giardia Assemblage</i> B isolate GS Calgary<br>","32111234","N/A","James D Wasmuth","Genome Sequence of <i>Giardia Assemblage</i> B isolate GS Calgary","genome","N/A"
"Assemblage A intestine foci transcriptome (gassAWB2019 aligned)","2017-04-23","Apollo","Scott Dawson","Department of Microbioogy, UC Davis","GiardiaDB rel. 61, 2022-DEC-15","61","RNASeq","gassAWB2019_Pham_Intestine_Foci_ebi_rnaSeq_RSRC","DS_ce3ac44063","<i>Giardia Assemblage</i> A isolate WB 2019<br>","28620589","N/A","Pham et al.","Transcriptome from Giardia foci in murine intestine","transcript_expression","N/A"
"<i>Giardia muris</i> strain Roberts-Thomson Genome Sequence and Annotation","2019-06-11","Apollo","Staffan Svärd","Uppsala University","GiardiaDB rel. 51, 2021-MAR-16","45","Genomes","gmurRobertsThomson_primary_genome_RSRC","DS_cf6ec570dd","<i>Giardia muris</i> strain Roberts-Thomson<br>","N/A","N/A","Staffan Svärd","Genome Sequence and Annotation for <i>Giardia muris</i> strain Roberts-Thomson","genome","5237"
"Trophozoite Secretome (pellet vs media) (GAWB)","2016-10-29","Apollo","Kevin Tyler","University of East Anglia","GiardiaDB rel. 35, 2017-DEC-01","35","Protein expression","gassAWB2019_massSpec_Trophozoite_Secretome_RSRC","DS_d1af9b9327","<i>Giardia Assemblage</i> A isolate WB 2019<br>","N/A","N/A","Tyler unpublished","Proteomic analysis of pellet and media (secreted) protein fractions from mid-log phase cultures of 
          <i>Giardia</i> Assemblage A isolate WB.","protein_expression","N/A"
"<i>Giardia Assemblage B</i> isolate GS_B Genome Sequence and Annotation","2013-11-25","N/A","Steve Porcella","Research Technologies Section, Genomics Unit, Rocky Mountain Laboratories, NIAIDiseases, NIH","GiardiaDB rel. 51, 2021-MAR-16","21","Genomes","gassBGS_B_primary_genome_RSRC","DS_d278aeda11","<i>Giardia Assemblage</i> B isolate GS_B<br>","24307482","N/A","Steve Porcella","Genome sequence and Annotation for <i>Giardia</i> Assemblage B isolate GS_B","genome","6166"
"Life Cycle SAGE Tags","2","N/A","Andrew G. McArthur","Andrew McArthur Consulting","GiardiaDB rel. 1.0, 01-JAN-05","0","SAGE","gassAWB_SAGE_McArthurSageTags_RSRC","DS_d3787b7fc3","<i>Giardia Assemblage</i> A isolate WB<br>","15850703","N/A","Andrew G. McArthur","<i>G. lamblia</i> Assemblage A Life Cycle Sage Tags","generic_profiles","N/A"
"Stress Response in Trophozoites - Incubation Time","1.0","N/A","Adrian B. Hehl","Institute of Parasitology, University of Zurich, Zurich, Switzerland","GiardiaDB rel. 1.0, 01-JAN-05","0","DNA Microarray Assay","gassAWB_microarrayExpression_Hehl_Stress-response_Incubation_RSRC","DS_d5d3a747c7","<i>Giardia Assemblage</i> A isolate WB<br>","N/A","N/A","Adrian B. Hehl","<i>G. lamblia</i> Assemblage A Stress Response in  Trophozoites - Incubation Time","transcript_expression","N/A"
"KEGG Metabolic Pathways","2021.11","N/A","KEGG","KEGG","GiardiaDB rel. 1.0, 01-JAN-05","0","KEGG Metabolic Pathways","Pathways_KEGG_RSRC","DS_d7d1b2b1ce","<br>","N/A","N/A","KEGG","Metabolic Pathway records from KEGG","pathway","N/A"
"<i>Giardia Assemblage A</i> 2 isolate DH Genome Sequence and Annotation","2013-11-25","N/A","Steve Porcella","Research Technologies Section, Genomics Unit, Rocky Mountain Laboratories, NIAIDiseases, NIH","GiardiaDB rel. 51, 2021-MAR-16","21","Genomes","gassA2DH_primary_genome_RSRC","DS_daf547df4c","<i>Giardia Assemblage</i> A2 isolate DH<br>","24307482","N/A","Steve Porcella","Genome Sequence and Annotation for <i>Giardia</i> Assemblage A2 isolate DH","genome","5209"
"AlphaFold Predictions","AlphaFold-release4","N/A","AlphaFold","EMBL-EBI","GiardiaDB rel. 60, 2022-NOV-09","60","Protein Structure","alphaFold_RSRC","DS_dc1c8cb24c","<br>","34265844, 34791371","N/A","AlphaFold","AlphaFold is an artificial intelligence created by DeepMind that predicts protein structure from amino acid sequences. AlphaFold has worked with EMBL-EBI to create a publicly available database of structural predictions.","function","N/A"
"Metronidazole resistant cell line proteome (mapped peptides)","2022-02-10","Apollo","Staffan Svärd","Uppsala University","GiardiaDB rel. 63, 2023-MAY-03","63","Protein expression","gassAWB2019_massSpec_Krakovka_Metronidazole_Proteomes_RSRC","DS_e61d38c027","<i>Giardia Assemblage</i> A isolate WB 2019<br>","35222342","N/A","Krakovka et al. 2022","Proteomic analysis of two <i>in vitro</i> selected, metronidazole resistant parasite lines, (M1 and M2) as well as one revertant (M1NR) and the wild type cell line (WB).","protein_expression","N/A"
