"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"Enzyme Nomenclature Database","2021-03-09","N/A","ENZYME","Swiss Institute of Bioinformatics","TrichDB rel. 1.0, 01-JAN-05","0","Function","enzymeDB_RSRC","DS_4d5814c3f2","<br>","10592255","N/A","ENZYME","EC Numbers from ENZYME","function","N/A"
"The Database of Expressed Sequence Tags (dbEST)","N/A","Apollo","GenBank","NCBI","TrichDB rel. 1.0, 01-JAN-05","0","EST","_dbEST_RSRC$","DS_6889a51dab","<i>Histomonas meleagridis</i> 2922-C6/04-10x<br><i>Trichomonas tenax</i> strain NIH4 ATCC 30207<br><i>Trichomonas vaginalis</i> G3 2022<br><i>Tritrichomonas foetus</i> strain K<br>","N/A","N/A","GenBank","ESTs from dbEST.","EST","N/A"
"Trichomonasvirus effect on T. vag extracellular vesicle proteome","2022-05-04","N/A","Jan Tachezy","Department of Parasitology, Charles University in Prague","TrichDB rel. 66, 2023-NOV-28","66","Protein expression","tvagG3_quantitativeMassSpec_TVV_sEV_Tachezy_RSRC","DS_69f09c60c8","<i>Trichomonas vaginalis</i> G3<br>","35602021","N/A","Rada et al. 2022","Proteomes of exosomes derived from virus-infected cells or controls: <T. vaginalis</i> clones TV79-49c1+, and its virus-free derivative TV79-49c1-.","protein_expression","N/A"
"<i>Histomonas meleagridis</i> 2922-C6/04-10x Genome Sequence and Annotation","2021-09-30","Apollo","Ivana Bilic","University of Veterinary Medicine, Vienna Austria","TrichDB rel. 60, 2022-NOV-09","60","Genomes","hmel2922-C604-10x_primary_genome_RSRC","DS_76243a8551","<i>Histomonas meleagridis</i> 2922-C6/04-10x<br>","34674644","N/A","Ivana Bilic","Genome Sequence and Annotation of <i>Histomonas meleagridis</i> 2922-C6/04-10x","genome","11119"
"T vaginalis transcriptome response to apicidin (HDAC inhibitor)","2017-03-27","Apollo","Hyoung-Pyo Kim","Yonsei University College of Medicine, Seoul, 03722, Korea","TrichDB rel. 66, 2023-NOV-28","66","RNASeq","tvagG32022_tvagG32022_apicidin_RNASeq_ebi_rnaSeq_RSRC","DS_7679411978","<i>Trichomonas vaginalis</i> G3 2022<br>","28345651","N/A","Song et al. 2017","RNA seq transcriptome of <i>Trichomonas vaginalis</i> in normal culture conditions or treated with 70 nM apicidin, a class I/II HDAC inhibitor, for 4 hours.","transcript_expression","N/A"
"ESTs in TvLG library","2007-08-21","Apollo","Petrus Tang","N/A","TrichDB rel. 1.0, 2005-JAN-01","0","EST","tvagG32022_EST_TvLG_sequences_RSRC","DS_8eb668498e","<i>Trichomonas vaginalis</i> G3 2022<br>","N/A","N/A","Petrus Tang","<i>T. vaginalis</i> G3 EST sequences","EST","N/A"
"<i>Trichomonas tenax</i> strain NIH4 ATCC 30207 Genome Sequence","2019-06-28","N/A","Bernard La Scola","N/A","TrichDB rel. 54, 2021-SEP-08","54","Genomes","ttenNIH4ATCC30207_primary_genome_RSRC","DS_8f5a417740","<i>Trichomonas tenax</i> strain NIH4 ATCC 30207<br>","N/A","N/A","Bernard La Scola","Genome Sequence of <i>Trichomonas tenax</i> strain NIH4 ATCC 30207","genome","N/A"
"The Worldwide Protein Data Bank (wwPDB)","2021-03-09","N/A","RCSB PDB","Rutgers and UCSD","TrichDB rel. 1.0, 01-JAN-05","0","Protein Structure","PDBProteinSequences_RSRC","DS_9ab85137b0","<br>","10592235, 14634627, 23023942","N/A","RCSB PDB","PDB proteins of known 3-dimensional structure","external_sequences","N/A"
"<i>Trichomonas vaginalis</i> G3 Genome Sequence and Annotation","2014-09-12","N/A","Jane Carlton","Center for Genomics and Systems Biology, New York University, 12 Waverly Place, New York, NY 10003","TrichDB rel. 52, 2021-MAY-20","0","Genomes","tvagG3_primary_genome_RSRC","DS_9c27e305bb","<i>Trichomonas vaginalis</i> G3<br>","N/A","N/A","Jane Carlton","Genome Sequence and Annotation for <i>Trichomonas vaginalis</i> G3","genome","98611"
"MetaCyc Metabolic Pathway Database","2022.18.10","N/A","BioCyc Database Collection","N/A","TrichDB rel. 1.0, 01-JAN-05","0","Metabolic pathways","Pathways_MetaCyc_RSRC","DS_9c4bcfb00e","<br>","26527732","N/A","BioCyc Database Collection","Metacyc is a curated database of experimentally elucidated metabolic pathways from all domains of life.","pathway","N/A"
"The GenBank Non-Redundant Protein Sequence Database (NRDB)","2021-03-09","N/A","NRDB","NCBI","TrichDB rel. 1.0, 01-JAN-05","0","Genomes and Annotation","NRDB_RSRC","DS_a7163a9f0d","<br>","N/A","N/A","NRDB","The GenBank non-redundant protein sequence database (NRDB) is a component of the NCBI BLAST databases 
         and contains entries from GenPept, Swissprot, PIR, PDF, PDB and NCBI RefSeq.","external_sequences","N/A"
"OrthoMCL Ortholog Groups","6r21","N/A","David S. Roos","Department of Biology, University of Pennsylvania","TrichDB rel. 1.0, 01-JAN-05","0","Orthology and synteny","OrthoMCL_RSRC","DS_a8f4849fb9","<br>","12952885, 16381887","N/A","David S. Roos","Ortholog group assignments as predicted by OrthoMCL","orthology","N/A"
"Localization histone H3 modifications (H3K4me3 and H3K27Ac)","2017-03-27","Apollo","Hyoung-Pyo Kim","Yonsei University College of Medicine, Seoul, 03722, Korea","TrichDB rel. 66, 2023-NOV-28","66","CHIP Seq","tvagG32022_Song_Localization_Apicidin_chipSeq_RSRC","DS_ae16b2e766","<i>Trichomonas vaginalis</i> G3 2022<br>","28345651","N/A","Song et al. 2017","ChIP-Seq of <i>Trichomonas vaginalis</i> using antibodies against H3K4me3 and H3K27Ac.</i>","transcript_expression","N/A"
"ESTs in TvVEC library","2007-08-21","Apollo","Petrus Tang","N/A","TrichDB rel. 1.0, 2005-JAN-01","0","EST","tvagG32022_EST_TvVEC_sequences_RSRC","DS_b2e8ca3fbf","<i>Trichomonas vaginalis</i> G3 2022<br>","N/A","N/A","Petrus Tang","<i>T. vaginalis</i> G3 EST sequences","EST","N/A"
"ESTs in TvLI library","2007-08-21","Apollo","Petrus Tang","N/A","TrichDB rel. 1.0, 2005-JAN-01","0","EST","tvagG32022_EST_TvLI_sequences_RSRC","DS_c019d7efcf","<i>Trichomonas vaginalis</i> G3 2022<br>","N/A","N/A","Petrus Tang","<i>T. vaginalis</i> G3 EST sequences","EST","N/A"
"Metronidazole treated sensitive or resistant trichomonas proteomes","2020_06_01","N/A","Kuo-Yang Huang","Graduate Institute of Pathology and Parasitology, National Defense Medical Center, Taiwan","TrichDB rel. 64, 2023-JUL-12","64","Protein expression","tvagG3_quantitativeMassSpec_Lin_Sensitive_Resistant_RSRC","DS_c0d0c750e2","<i>Trichomonas vaginalis</i> G3<br>","32487244","N/A","Lin et al. 2020","Metronidazole treated sensitive or resistant <i>Trichomonas vaginalis</i> quantitative proteomes.","protein_expression","N/A"
"T vaginalis transcriptome response to metronidazole","2023-06-12","Apollo","Jian Li","Hubei University of Medicine, Shiyan 442000, China","TrichDB rel. 66, 2023-NOV-28","66","RNASeq","tvagG32022_tvagG32022_MTZ_RNASeq_ebi_rnaSeq_RSRC","DS_c1cee339c0","<i>Trichomonas vaginalis</i> G3 2022<br>","37308818","N/A","Xie et al. 2023","RNA seq transcriptome of <i>T vaginalis</i> in normal culture conditions and treated with metronidazole at 25 µg/ml for 3 h.","transcript_expression","N/A"
"Immune Epitope Database (IEDB)","N/A","Apollo","IEDB","La Jolla Institute for Allergy and Immunology, Center For Infectious Disease, Allergy and Asthma Research","TrichDB rel. 1.0, 01-JAN-05","0","Immunology","_IEDB(.*)RSRC$","DS_c3d9ec667a","<i>Histomonas meleagridis</i> 2922-C6/04-10x<br><i>Trichomonas vaginalis</i> G3 2022<br><i>Tritrichomonas foetus</i> strain K<br>","19906713, 22610854","N/A","IEDB","IEDB epitopes.","epitope","N/A"
"Dynamic Secretome","2017-12-12","N/A","Jan Tachezy","Department of Parasitology, Charles University in Prague","TrichDB rel. 64, 2023-JUL-12","64","Protein expression","tvagG3_quantitativeMassSpec_Dynamic_Secretome_Tachezy_RSRC","DS_c679be0232","<i>Trichomonas vaginalis</i> G3<br>","29233912","N/A","Strafkova et al. 2018","<i>Trichomonas vaginalis</i> Extracellular proteome at 10, 30, 60, 120 minutes of incubation. Controls incubated at 4C were acquired at 60 and 120 minutes.","protein_expression","N/A"
"<i>Tritrichomonas foetus</i> strain K Genome Sequence and Annotation","2016-10-25","Apollo","Marlene Benchimol","N/A","TrichDB rel. 55, 2021-DEC-02","55","Genomes","tfoeK_primary_genome_RSRC","DS_cfaf5b6efd","<i>Tritrichomonas foetus</i> strain K<br>","28428299","N/A","Marlene Benchimol","Genome Sequence and Annotation of <i>Tritrichomonas foetus</i> strain K isolated from the urogenital tract of a Brazilian bull in 1975.","genome","25336"
"ESTs in TvEST library","2007-08-21","Apollo","Petrus Tang","N/A","TrichDB rel. 1.0, 2005-JAN-01","0","EST","tvagG32022_EST_TvEST_sequences_RSRC","DS_d06ac42fb7","<i>Trichomonas vaginalis</i> G3 2022<br>","N/A","N/A","Petrus Tang","<i>T. vaginalis</i> G3 EST sequences","EST","N/A"
"Phagolysosomal proteome (Quantitative)","2022-01-01","N/A","Jan Tachezy","Department of Parasitology, Charles University in Prague","TrichDB rel. 64, 2023-JUL-12","64","Protein expression","tvagG3_quantitativeMassSpec_Phagolysosomal_Proteome_Tachezy_RSRC","DS_d782442710","<i>Trichomonas vaginalis</i> G3<br>","34763061","N/A","Zimmann et al. 2022","Phagolysosomal Proteome","protein_expression","N/A"
"KEGG Metabolic Pathways","2022.10","N/A","KEGG","KEGG","TrichDB rel. 1.0, 01-JAN-05","0","KEGG Metabolic Pathways","Pathways_KEGG_RSRC","DS_d7d1b2b1ce","<br>","N/A","N/A","KEGG","Metabolic Pathway records from KEGG","pathway","N/A"
"AlphaFold Predictions","AlphaFold-release4","N/A","AlphaFold","EMBL-EBI","TrichDB rel. 60, 2022-NOV-09","60","Protein Structure","alphaFold_RSRC","DS_dc1c8cb24c","<br>","34265844, 34791371","N/A","AlphaFold","AlphaFold is an artificial intelligence created by DeepMind that predicts protein structure from amino acid sequences. AlphaFold has worked with EMBL-EBI to create a publicly available database of structural predictions.","function","N/A"
"T vaginalis transcriptome during Mycoplasma infection","2022-06-16","Apollo","Robert P. Hirt","Institute for Cell and Molecular Biosciences, The Medical School, Newcastle University","TrichDB rel. 67, 2024-FEB-21","67","RNASeq","tvagG32022_tvagG32022_Mycoplasma_infect_RNASeq_ebi_rnaSeq_RSRC","DS_dfda6d7d92","<i>Trichomonas vaginalis</i> G3 2022<br>","35608298, 35740218","N/A","Margarita et al. 2022","Transcriptome of <i>Trichomonas vaginalis</i> in the presence/absence of two <i>Mycoplasmas</i> &ndash; <i>Mycoplasma hominis</i> and <i>Candidatus</i> Mycoplasma girerdii.","transcript_expression","N/A"
"<i>Trichomonas vaginalis</i> G3 2022 Genome Sequence and Annotation","2022-08-01","Apollo","Jane Carlton","Center for Genomics and Systems Biology, New York University, 12 Waverly Place, New York, NY 10003","TrichDB rel. 65, 2023-SEP-14","61","Genomes","tvagG32022_primary_genome_RSRC","DS_e6874bf420","<i>Trichomonas vaginalis</i> G3 2022<br>","N/A","N/A","Jane Carlton","Long-read/Hi-C Genome Sequence and Annotation of <i>Trichomonas vaginalis</i> G3","genome","88188"
"Transposable Element for T. vaginalis G3 2022","2022-11-21","Apollo","Jane Carlton","Center for Genomics and Systems Biology, New York University, 12 Waverly Place, New York, NY 10003","TrichDB rel. 61, 2022-DEC-15","61","Sequence sites, features and motifs","tvagG32022_TE_GFF_RSRC","DS_ebb75ed0a9","<i>Trichomonas vaginalis</i> G3 2022<br>","17218520","N/A","Jane Carlton","Transposable Element for <i>T. vaginalis</i> G3 2022 derived from annotation","feature","N/A"
"Gene Ontology","2021-11-16","N/A","GO Consortium","N/A","TrichDB rel. 1.0, 01-JAN-05","0","Ontology","GO_RSRC","DS_fba620f00d","<br>","10802651","N/A","GO Consortium","GO annotations from The GO Consortium","function","N/A"
